	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.38.4625.01A.01R.1206.07	TCGA.DE.A0Y2.01A.11R.A10U.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.ET.A3BX.01A.11R.A19O.07	TCGA.EL.A3T6.01A.11R.A220.07	TCGA.DE.A0Y3.01B.11R.A10U.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.4C.A93U.01A.11R.A39I.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.EL.A3T9.01A.21R.A22L.07	GTEX.12WSB.0726.SM.5N9GD
ABCG4	0.87	0.0	0.0	52.82	18.84	35.0	24.46	54.72	41.52	4.98	3.38	33.06	10.0	27.25
ACER2	4.98	2.86	0.0	271.48	26.86	248.0	115.97	167.9	221.86	13.83	59.97	129.69	44.57	193.01
AKAP6	10.79	23.08	0.0	113.56	32.82	87.03	53.19	75.11	71.0	25.35	36.27	69.52	28.45	80.57
ALCAM	854.13	307.69	0.0	2004.85	733.19	1963.57	1529.73	2417.67	1594.73	753.83	1331.57	1857.6	612.11	575.03
ANKRD27	148.09	86.43	0.0	320.8	164.42	264.03	206.94	251.48	269.6	147.06	178.77	229.72	165.57	305.55
ANKRD28	151.22	105.15	0.0	791.35	260.38	769.69	447.82	633.73	674.59	253.23	444.72	571.05	366.09	514.56
AP1S3	26.28	14.78	0.0	348.71	62.12	532.74	129.69	171.45	366.09	73.03	84.04	269.6	211.31	198.47
AP3M1	208.38	152.28	0.0	575.03	248.0	525.39	447.82	409.15	470.14	211.31	303.44	500.46	336.79	447.82
AP4E1	29.48	31.45	0.0	140.04	43.63	120.1	99.43	81.14	98.73	49.56	72.01	72.52	68.07	94.67
ARFGEF1	384.34	303.44	0.0	1051.79	813.63	1407.55	967.76	1313.23	1104.13	738.29	780.44	1216.75	1051.79	679.29
ARHGAP44	5.19	2.36	0.0	466.88	389.72	414.87	438.59	559.28	423.61	264.03	500.46	320.8	180.02	376.41
ASAP2	6.16	2.81	0.0	854.13	358.54	808.0	473.41	665.29	830.75	246.28	444.72	575.03	381.68	616.37
BCL7A	63.89	80.01	0.0	490.14	218.79	450.94	271.48	567.1	287.01	140.04	275.28	234.57	161.02	162.14
BICD2	115.16	46.18	0.0	376.41	166.73	329.84	262.2	301.33	271.48	150.17	204.07	253.23	208.38	400.71
C12orf49	281.09	191.67	0.0	4802.93	1561.89	2976.74	2400.97	3303.0	2434.5	1030.12	2555.58	2384.37	466.88	1066.48
C18orf25	87.03	92.7	223.41	438.59	116.78	307.69	249.73	251.48	314.17	137.14	249.73	234.57	211.31	309.83
C3orf17	273.37	198.47	0.0	642.59	476.71	713.11	555.41	651.58	511.0	463.65	532.74	713.11	473.41	669.92
C6orf132	1.22	47.17	332.14	559.28	414.87	866.07	480.04	669.92	791.35	262.2	255.0	283.05	97.36	152.28
CAND1	189.02	293.07	890.44	2555.58	684.02	2335.28	1447.15	1519.15	2240.11	629.35	921.88	1662.49	842.36	1242.34
CDK16	688.78	624.99	2032.85	2935.74	2555.58	2835.7	2240.11	2997.45	3257.52	2520.38	1991.0	2163.77	1551.09	1447.15
CDS1	0.0	43.02	0.0	647.07	255.0	532.74	490.14	503.95	591.22	255.0	316.37	583.07	269.6	279.14
CMTM4	79.45	40.64	0.0	1819.35	728.11	1757.34	928.3	1844.76	1697.45	669.92	536.45	713.11	684.02	961.07
CNTN4	25.17	4.7	0.0	587.13	147.06	341.51	287.01	444.72	343.89	171.45	218.79	423.61	58.71	279.14
COBLL1	202.66	234.57	0.0	708.18	234.57	743.43	435.55	466.88	738.29	167.9	514.56	647.07	175.07	175.07
COLGALT2	1.04	2.18	0.0	356.05	36.79	197.09	85.22	124.37	193.01	23.93	13.32	125.24	46.18	72.01
CRK	339.14	220.32	426.57	1051.79	620.67	961.07	836.53	890.44	842.36	447.82	514.56	872.1	759.08	559.28
CTBP2	37.05	20.86	1340.84	1378.57	1175.27	1733.13	1388.16	1407.55	1561.89	791.35	1119.56	1259.69	866.07	1030.12
DAPK2	47.84	255.0	0.0	5183.54	4419.52	6745.86	6207.38	6164.49	4607.24	2796.65	3081.75	3419.52	854.13	1151.06
DPP4	473.41	775.05	463.65	2875.3	1697.45	2209.26	1733.13	1977.24	2915.45	1088.92	1498.22	1350.18	189.02	432.53
EIF2AK3	118.43	54.33	0.0	486.75	89.51	417.77	503.95	312.0	525.39	149.12	195.72	409.15	220.32	253.23
EPB41L4B	559.28	197.09	0.0	579.04	435.55	748.61	423.61	656.11	902.89	142.01	92.05	480.04	63.45	403.5
EPHA4	16.15	13.52	0.0	2537.92	764.36	2193.99	1233.75	1685.71	1477.58	595.34	915.51	1519.15	878.17	112.77
FAM120A	780.44	409.15	1001.93	1662.49	753.83	1685.71	1350.18	1388.16	1467.37	599.49	872.1	1457.23	769.69	1183.45
FAM160B1	115.16	92.7	0.0	381.68	172.65	348.71	285.03	297.17	289.02	127.0	226.54	307.69	163.28	242.88
FAM83G	76.17	135.24	0.0	305.55	215.77	339.14	232.94	373.81	204.07	181.28	138.1	204.07	126.12	131.51
FN1	65082.31	57448.23	114897.47	212926.09	456418.21	207103.59	212926.09	174152.51	358098.26	506427.83	453265.5	408505.64	353168.2	5650706.18
FNBP1	212.78	143.01	363.56	1208.34	450.94	1051.79	872.1	941.27	825.0	332.14	373.81	529.06	341.51	854.13
