	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
ABI1	934.76	579.04	316.37	733.19	947.83	547.75	470.14	500.46	480.04	884.29	551.56	579.04	909.17	490.14	551.56	775.05	819.3	540.19	620.67	525.39	616.37	529.06	473.41	559.28	486.75	813.63	629.35	603.67	521.76	713.11	688.78	698.41	620.67	660.68	612.11	775.05	234.57	320.8	595.34	432.53	890.44	376.41	607.87	603.67	599.49	363.56	571.05	575.03	728.11	679.29	503.95	486.75	921.88	688.78	423.61	665.29	802.41	647.07	412.0	733.19	356.05	629.35	848.22	417.77	507.46	669.92	473.41	483.38	603.67	454.09	703.28	423.61	518.15	460.44	463.65	543.96	470.14	728.11	684.02	612.11	866.07	476.71	825.0	813.63
ADAM17	166.73	113.56	40.36	127.89	162.14	82.29	98.04	117.6	127.89	202.66	100.13	88.26	187.71	96.01	108.14	159.9	111.21	125.24	159.9	76.71	84.63	90.14	126.12	79.45	89.51	176.29	118.43	86.43	72.52	146.03	131.51	144.01	117.6	148.09	106.63	130.6	46.5	54.72	102.97	60.39	180.02	63.45	108.14	113.56	134.3	143.01	100.83	142.01	138.1	105.89	78.89	107.38	158.79	134.3	89.51	124.37	145.02	120.1	97.36	130.6	66.65	105.15	177.53	87.03	103.69	122.64	83.45	102.25	103.69	94.67	105.15	63.89	108.9	82.29	77.25	89.51	76.17	146.03	109.66	125.24	180.02	87.03	166.73	147.06
AEBP2	483.38	348.71	146.03	361.04	688.78	262.2	281.09	239.52	299.25	540.19	348.71	336.79	438.59	297.17	381.68	429.54	389.72	312.0	325.29	163.28	293.07	339.14	271.48	226.54	297.17	299.25	368.65	205.5	293.07	414.87	438.59	301.33	204.07	314.17	423.61	406.31	117.6	182.55	327.56	206.94	384.34	217.27	325.29	343.89	264.03	194.36	293.07	409.15	435.55	346.29	232.94	318.57	555.41	389.72	237.86	463.65	457.25	303.44	265.87	463.65	167.9	241.19	559.28	234.57	353.59	312.0	312.0	262.2	314.17	194.36	339.14	180.02	175.07	223.41	260.38	246.28	281.09	466.88	376.41	417.77	555.41	341.51	521.76	463.65
AGO1	273.37	147.06	119.26	175.07	258.57	154.42	145.02	165.57	139.07	232.94	120.1	161.02	301.33	146.03	215.77	223.41	172.65	149.12	162.14	158.79	169.07	185.11	157.68	137.14	171.45	183.82	164.42	145.02	119.26	185.11	127.0	249.73	165.57	176.29	166.73	224.97	108.9	107.38	224.97	105.15	305.55	137.14	189.02	163.28	180.02	149.12	148.09	167.9	287.01	205.5	156.59	169.07	269.6	175.07	137.14	255.0	232.94	165.57	187.71	273.37	117.6	163.28	248.0	127.0	166.73	265.87	157.68	115.97	164.42	164.42	156.59	115.97	164.42	137.14	135.24	191.67	145.02	251.48	204.07	232.94	275.28	135.24	197.09	248.0
ANKRD12	323.03	234.57	88.26	177.53	397.93	161.02	136.19	173.85	228.13	303.44	145.02	137.14	348.71	141.02	172.65	226.54	193.01	113.56	191.67	128.79	157.68	143.01	202.66	117.6	93.35	299.25	206.94	135.24	149.12	217.27	185.11	195.72	152.28	165.57	181.28	205.5	45.53	95.34	189.02	120.1	348.71	80.01	183.82	211.31	110.43	128.79	159.9	223.41	214.27	198.47	142.01	173.85	258.57	221.86	132.44	307.69	232.94	180.02	141.02	327.56	92.7	165.57	277.2	129.69	158.79	147.06	131.51	162.14	151.22	191.67	149.12	88.26	166.73	150.17	145.02	180.02	123.5	249.73	234.57	173.85	285.03	94.01	255.0	212.78
ANKRD44	169.07	57.49	8.99	56.28	164.42	19.11	38.12	29.7	38.12	172.65	51.71	84.04	172.65	43.63	92.05	129.69	44.57	55.89	59.97	29.06	41.22	48.18	61.25	67.59	35.25	169.07	55.89	52.82	36.79	40.64	46.84	97.36	46.84	53.19	104.42	107.38	10.55	29.91	64.8	41.22	131.51	17.38	79.45	17.25	59.55	53.19	75.64	48.87	142.01	56.68	35.76	64.34	64.8	47.84	63.0	110.43	125.24	53.95	38.95	82.87	32.82	35.5	112.77	32.36	51.35	115.97	68.07	16.63	59.97	53.19	46.5	17.51	29.06	44.25	31.0	31.67	25.54	105.89	82.29	42.11	177.53	18.29	138.1	154.42
AP4E1	84.04	37.59	22.59	49.91	81.71	37.05	40.07	38.12	36.01	101.54	46.18	43.63	73.03	36.53	56.68	51.35	37.05	39.5	42.11	23.93	40.64	39.79	35.0	24.46	30.56	76.71	41.81	38.4	34.75	50.27	52.08	57.89	37.05	38.95	60.82	65.72	20.71	29.06	53.19	28.86	84.04	27.64	62.12	35.5	39.22	36.27	41.22	44.89	60.39	42.71	31.9	40.64	53.95	52.08	41.52	84.63	71.0	42.11	45.85	63.45	30.12	42.71	81.71	34.26	45.53	58.3	43.94	34.75	33.78	40.07	39.79	33.78	41.22	39.79	39.79	46.84	33.78	69.03	56.28	55.89	101.54	43.94	73.03	72.01
API5	1286.18	872.1	305.55	1023.0	1477.58	796.86	813.63	848.22	872.1	1628.26	934.76	896.64	1388.16	665.29	928.3	1088.92	1143.1	830.75	785.88	674.59	860.08	866.07	941.27	603.67	848.22	1059.11	921.88	909.17	791.35	1037.29	1037.29	1135.2	813.63	1023.0	1199.98	1199.98	642.59	603.67	974.5	642.59	1498.22	769.69	1119.56	947.83	836.53	575.03	890.44	1096.5	1175.27	1111.82	571.05	733.19	1167.14	1073.91	769.69	1477.58	1104.13	854.13	961.07	1286.18	480.04	988.12	1407.55	981.29	909.17	974.5	909.17	733.19	896.64	796.86	738.29	808.0	447.82	656.11	764.36	1037.29	842.36	1191.69	1037.29	1096.5	1331.57	974.5	1268.46	1427.22
ARID4A	220.32	85.22	57.89	120.94	303.44	75.11	100.13	113.56	113.56	237.86	123.5	120.1	205.5	81.71	134.3	191.67	125.24	121.79	116.78	76.71	115.97	111.99	138.1	85.82	80.01	221.86	99.43	107.38	117.6	148.09	162.14	116.78	105.89	111.99	152.28	137.14	43.32	51.35	131.51	91.41	258.57	70.01	159.9	98.73	103.69	85.22	100.83	129.69	142.01	163.28	105.89	129.69	170.25	136.19	103.69	193.01	172.65	123.5	113.56	197.09	64.34	123.5	209.84	77.25	120.1	139.07	117.6	106.63	143.01	68.55	112.77	65.72	123.5	107.38	105.89	117.6	104.42	180.02	151.22	140.04	201.25	94.01	198.47	199.85
ARNT	525.39	249.73	183.82	384.34	483.38	271.48	277.2	283.05	271.48	486.75	287.01	325.29	514.56	305.55	332.14	409.15	371.22	343.89	341.51	244.57	332.14	301.33	314.17	221.86	246.28	409.15	339.14	256.78	234.57	429.54	291.04	376.41	353.59	299.25	381.68	379.04	124.37	161.02	343.89	218.79	466.88	269.6	348.71	305.55	373.81	262.2	301.33	339.14	397.93	346.29	236.21	316.37	426.57	348.71	277.2	412.0	470.14	406.31	316.37	460.44	157.68	297.17	426.57	301.33	341.51	571.05	332.14	269.6	403.5	239.52	291.04	199.85	301.33	242.88	251.48	314.17	273.37	473.41	358.54	343.89	529.06	287.01	435.55	514.56
