	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.WEY5.1126.SM.4LMIE	GTEX.11NUK.1726.SM.5A5L2	GTEX.ZT9W.1426.SM.4YCD2	GTEX.QEL4.1526.SM.447AB	GTEX.XUJ4.0926.SM.4BOPA	GTEX.13QBU.0926.SM.5K7WQ	TCGA.97.7553.01A.21R.2039.07	TCGA.38.4625.01A.01R.1206.07	GTEX.ZT9X.0326.SM.51MTE	GTEX.146FQ.0926.SM.5LUAV	GTEX.12KS4.0726.SM.5FQSX	GTEX.11P81.0226.SM.5HL5M	GTEX.14A6H.0526.SM.5NQAZ	GTEX.WYVS.0526.SM.3NM9W	TCGA.22.1002.01A.01R.0692.07	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
CEACAM3	149.12	40.36	65.72	67.12	0.72	2.94	5.32	7.34	7.28	0.0	74.58	0.0	149.12	75.64	82.29	87.65	82.29	63.0	37.05	5.68	23.59	20.41	12.83	14.89
CMTM6	2537.92	529.06	493.56	476.71	307.69	320.8	403.5	287.01	371.22	363.56	1617.0	1322.37	1832.01	961.07	1561.89	1519.15	1183.45	2255.7	808.0	947.83	921.88	802.41	947.83	902.89
CNDP2	7803.01	1769.57	1477.58	1551.09	1015.93	748.61	660.68	915.51	1081.39	723.08	4123.49	0.0	10659.59	5791.62	3564.78	5995.9	3742.05	7857.29	2976.74	2178.83	3081.75	3901.01	2645.74	1781.89
CTSW	728.11	30.56	26.47	52.08	14.03	11.3	13.32	36.01	11.3	8.19	525.39	0.0	723.08	909.17	490.14	486.75	575.03	698.41	195.72	58.3	49.21	237.86	12.83	39.5
CXCL16	3540.14	878.17	392.44	412.0	144.01	271.48	262.2	136.19	161.02	148.09	4298.64	1697.45	6381.92	2287.2	5329.3	4704.07	6471.02	6887.62	1487.87	500.46	1447.15	842.36	1081.39	490.14
CXCL17	757033.75	723.08	819.3	406.31	0.0	75.64	14.35	9.48	43.32	0.0	4937.99	0.0	15285.81	12076.21	7081.29	21172.91	9088.59	29531.18	2682.69	733.19	4268.94	6652.97	3515.68	4038.61
DPY30	3847.29	1857.6	2075.59	1639.59	684.02	1268.46	1037.29	1151.06	981.29	941.27	1498.22	0.0	1857.6	2240.11	1551.09	2997.45	2224.63	2645.74	2075.59	1844.76	1977.24	2004.85	1844.76	2796.65
FASLG	121.79	4.74	3.41	5.41	0.0	1.03	0.49	1.2	1.46	0.0	60.82	20.11	40.93	44.25	28.24	49.21	23.59	46.84	8.51	9.7	3.59	58.3	2.2	0.87
FIBCD1	379.04	10.24	1.71	1.17	8.51	0.0	0.0	0.67	33.54	33.54	22.92	0.0	1540.37	217.27	351.14	260.38	356.05	43.94	23.59	0.0	0.84	11.91	0.0	1.0
IGSF6	150.17	67.12	54.72	38.67	11.91	8.58	13.03	22.59	10.0	6.01	1081.39	0.0	7331.05	1119.56	1277.29	2148.82	2573.36	1529.73	146.03	38.12	134.3	72.52	42.11	14.56
IL4I1	285.03	39.22	24.11	32.13	2.29	4.74	0.49	0.0	3.66	11.55	435.55	0.0	684.02	241.19	125.24	120.94	150.17	656.11	62.12	76.71	20.71	41.81	12.74	5.06
IRX2	2875.3	21.16	11.91	18.7	0.0	4.82	5.92	2.16	2.43	3.92	295.11	0.0	379.04	866.07	173.85	3928.15	591.22	878.17	169.07	11.73	96.01	15.68	44.25	12.55
KCNJ5	223.41	6.16	6.89	9.41	6.21	2.48	3.56	6.57	4.24	0.62	120.94	0.0	173.85	131.51	80.57	332.14	435.55	162.14	21.94	5.23	18.03	55.1	1.73	1.13
KIFC3	2351.53	753.83	967.76	902.89	271.48	551.56	226.54	414.87	351.14	178.77	1216.75	0.0	2573.36	2163.77	1359.57	1051.79	1745.2	1175.27	540.19	748.61	842.36	842.36	1051.79	802.41
KIR2DL3	14.03	1.11	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	13.12	0.0	3.47	14.89	14.45	14.03	8.51	4.24	4.43	1.39	3.2	0.0	0.0	0.0
KRT27	39.22	1.17	0.0	0.0	0.0	2.41	0.0	0.0	0.0	0.0	17.0	0.0	15.0	77.25	38.95	42.41	17.77	46.18	8.78	5.41	2.76	3.79	4.94	4.5
