	GTEX.WH7G.0526.SM.3NMBI	GTEX.QV31.0726.SM.3GAEG	GTEX.Y5LM.0626.SM.4V6G4	GTEX.ZYW4.1126.SM.5SI99	GTEX.13O61.0226.SM.5KM52	GTEX.11I78.0526.SM.5986A	GTEX.PWN1.2626.SM.2I3FH	GTEX.P4QT.2626.SM.2I3FM	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.ZTSS.0226.SM.59877	GTEX.ZV7C.0126.SM.57WDE	GTEX.X4LF.0426.SM.3NMB5	GTEX.TKQ1.0126.SM.33HB3	GTEX.PWCY.2326.SM.2I3EQ	GTEX.14ICL.0426.SM.5RQJ3	GTEX.ZY6K.0226.SM.5SIAY	GTEX.YF7O.0726.SM.4W213	GTEX.XUJ4.0726.SM.4BOOP	GTEX.12WSJ.0326.SM.5GCMT	GTEX.117YX.1226.SM.5H11S	GTEX.T8EM.0226.SM.3DB7C
ABRACL	866.07	1427.22	748.61	325.29	1044.52	1044.52	507.46	642.59	1225.22	1369.04	759.08	703.28	417.77	579.04	587.13	753.83	1529.73	1143.1	563.18	1268.46	728.11	974.5
AC018816.3	5.5	34.02	0.0	9.63	22.75	30.12	15.34	14.24	44.57	17.51	0.0	27.25	0.0	20.56	9.13	21.78	11.82	27.64	10.55	66.65	11.21	13.72
AKR1A1	3372.43	5147.73	3060.45	2335.28	5672.41	4210.15	2777.33	4210.15	6037.61	5872.48	3955.48	5006.93	2875.3	3395.89	4210.15	2255.7	5329.3	5076.84	3280.18	6164.49	3515.68	5292.48
ALDH18A1	1388.16	1781.89	1191.69	713.11	1769.57	1191.69	1447.15	1277.29	1508.65	1844.76	1111.82	1487.87	1225.22	1151.06	1175.27	928.3	1417.35	1923.14	1096.5	1447.15	995.0	1936.53
ALG5	1551.09	1923.14	1605.83	1259.69	1896.65	1662.49	1313.23	1350.18	2351.53	2004.85	1540.37	1594.73	1378.57	1639.59	1350.18	1277.29	2417.67	2367.9	1286.18	2018.8	1651.0	1909.85
ANKHD1-EIF4EBP3	195.72	373.81	177.53	105.89	208.38	198.47	91.41	122.64	189.02	211.31	166.73	226.54	152.28	224.97	211.31	153.34	244.57	231.32	102.25	253.23	182.55	303.44
ARCN1	2075.59	3018.3	2061.24	1529.73	2451.44	2303.12	2271.4	2193.99	2520.38	2855.44	2047.0	2485.67	2075.59	2303.12	2018.8	1870.53	2609.3	2682.69	1617.0	2520.38	1977.24	2777.33
ARF4	4481.23	6745.86	4671.57	3235.01	6207.38	4543.8	4639.29	4095.0	5831.91	5995.9	4481.23	5112.16	3639.7	5255.91	3955.48	3690.52	6887.62	6561.36	3190.46	6250.56	3874.05	6079.61
ARL1	1870.53	2303.12	1572.76	954.43	2303.12	2104.58	1437.15	1639.59	2384.37	2367.9	1794.29	1685.71	1427.22	1498.22	1572.76	1233.75	2895.31	2287.2	1467.37	2573.36	1467.37	1909.85
ARPC2	3039.3	4181.07	3349.13	3768.09	4010.71	3768.09	3540.14	3395.89	4181.07	3639.7	3212.66	3982.99	2855.44	3491.39	3018.3	3081.75	3901.01	3955.48	3540.14	3901.01	2915.45	3443.31
ATIC	684.02	1950.0	909.17	500.46	1685.71	1242.34	688.78	1242.34	1359.57	1151.06	836.53	1225.22	738.29	947.83	1135.2	320.8	1662.49	1277.29	988.12	1572.76	796.86	1437.15
BRK1	5076.84	6516.03	5006.93	4607.24	5711.87	5517.27	4095.0	4836.35	5292.48	5329.3	4802.93	5366.37	4419.52	5329.3	4038.61	4937.99	5517.27	6337.83	4972.34	5913.33	5255.91	4937.99
C11orf73	567.1	753.83	591.22	567.1	579.04	525.39	454.09	476.71	555.41	579.04	547.75	660.68	457.25	599.49	503.95	332.14	679.29	753.83	457.25	753.83	629.35	612.11
C16orf59	19.53	43.94	6.57	13.42	35.25	29.06	29.48	11.73	45.85	45.85	28.65	17.64	17.38	25.72	14.78	16.51	54.33	30.56	15.8	44.57	28.24	37.32
C19orf10	2555.58	2875.3	2468.49	1508.65	4512.4	2739.08	1781.89	2148.82	4298.64	3419.52	2627.46	2835.7	1844.76	2287.2	2537.92	1674.06	4010.71	4268.94	2319.15	5041.77	1883.54	2645.74
C1GALT1C1	486.75	713.11	559.28	295.11	633.73	629.35	392.44	540.19	529.06	647.07	518.15	543.96	463.65	567.1	447.82	381.68	703.28	607.87	514.56	567.1	595.34	525.39
C20orf24	1051.79	1857.6	1208.34	896.64	1508.65	1781.89	1437.15	1407.55	1721.16	1508.65	1340.84	1322.37	1331.57	1628.26	1159.07	1167.14	1883.54	1870.53	1427.22	1561.89	1427.22	1477.58
CALM1	3639.7	5594.3	3515.68	3235.01	5076.84	4704.07	3540.14	3901.01	4328.55	3901.01	3665.02	4358.66	4010.71	5112.16	4010.71	3467.27	5913.33	4802.93	4010.71	5954.47	4210.15	4239.45
CALU	1427.22	2224.63	1529.73	896.64	2303.12	2004.85	1745.2	1781.89	2119.22	1844.76	1417.35	1651.0	1216.75	1477.58	1447.15	854.13	2075.59	1745.2	1427.22	2351.53	1250.98	1685.71
CCDC167	320.8	1051.79	371.22	122.64	974.5	444.72	149.12	332.14	995.0	679.29	417.77	629.35	221.86	470.14	454.09	212.78	1250.98	1073.91	307.69	1561.89	195.72	679.29
CCT5	2591.27	3874.05	2816.11	1832.01	3564.78	3124.78	2956.17	3081.75	3491.39	4210.15	3491.39	3443.31	2468.49	3395.89	3039.3	2224.63	3212.66	3349.13	2816.11	3564.78	2875.3	3212.66
CKAP4	607.87	836.53	587.13	414.87	1119.56	836.53	693.58	808.0	1037.29	775.05	583.07	728.11	563.18	629.35	669.92	387.02	896.64	934.76	638.15	1051.79	414.87	660.68
CLIC1	4639.29	8363.13	5517.27	4903.87	7966.99	5751.61	5041.77	5329.3	6983.79	5831.91	4736.79	6121.9	4736.79	6607.01	4972.34	4450.27	7081.29	6516.03	4607.24	7857.29	4607.24	5006.93
CLPTM1L	2915.45	3146.52	2915.45	1628.26	3419.52	3060.45	2573.36	2434.5	2895.31	3325.99	3419.52	2875.3	2400.97	2335.28	3190.46	2351.53	3564.78	3395.89	2502.97	3039.3	2209.26	3419.52
COMMD7	1977.24	2468.49	1487.87	1388.16	2018.8	1950.0	1628.26	1594.73	2018.8	2075.59	1628.26	1769.57	1745.2	1923.14	1594.73	1457.23	2319.15	2434.5	1639.59	2335.28	1674.06	2287.2
COPG1	2739.08	4038.61	2875.3	1832.01	5292.48	3103.19	3690.52	3874.05	5219.6	4181.07	2855.44	3928.15	2645.74	2835.7	2976.74	2319.15	4937.99	4358.66	2434.5	5076.84	2502.97	3589.58
CREB3L2	1397.83	1857.6	1639.59	1127.35	1662.49	1340.84	1794.29	1583.71	1819.35	2895.31	1407.55	2367.9	1457.23	1216.75	1081.39	1023.0	1369.04	1923.14	1199.98	2061.24	1313.23	2701.35
CRELD1	2119.22	2664.15	2915.45	1001.93	2303.12	1628.26	902.89	1313.23	1794.29	1794.29	1819.35	2796.65	1159.07	1096.5	1745.2	1127.35	3955.48	2895.31	1977.24	3235.01	1233.75	2047.0
CXorf48	0.0	4.24	1.04	1.69	3.17	3.32	1.83	2.34	8.51	4.13	0.77	0.99	0.8	2.14	2.25	1.0	4.62	2.89	1.57	2.36	1.46	3.59
CYB561	1991.0	2271.4	1662.49	536.45	2627.46	2075.59	1216.75	1437.15	2895.31	2468.49	1844.76	1923.14	1487.87	1487.87	2178.83	1096.5	3081.75	2485.67	1583.71	3168.41	967.76	2555.58
