	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.N7MS.1626.SM.3LK5F	TCGA.A3.3362.01A.02R.1325.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.B0.5693.01A.11R.1541.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.CW.5585.01A.01R.1541.07	TCGA.CZ.5987.01A.11R.1672.07	TCGA.B0.5099.01A.01R.1420.07	TCGA.B8.A54K.01A.11R.A33J.07	TCGA.BP.5177.01A.01R.1426.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.EU.5907.01A.11R.1672.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.4346.01A.01R.1289.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.B0.4848.01A.01R.1277.07	TCGA.B0.5081.01A.01R.1334.07	TCGA.B4.5378.01A.01R.1503.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CZ.5464.01A.01R.1503.07	TCGA.CJ.6031.01A.11R.1672.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.BP.4332.01A.01R.1289.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B8.A7U6.01A.12R.A37O.07	TCGA.CJ.4882.01A.02R.1426.07	TCGA.BP.4355.01A.01R.1289.07	TCGA.BP.4164.01A.02R.1325.07	TCGA.AK.3434.01A.02R.1277.07	TCGA.BP.4784.01A.01R.1305.07	TCGA.A3.A8OW.01A.11R.A37O.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.CJ.4916.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.B0.5696.01A.11R.1541.07	TCGA.B8.5551.01A.01R.1541.07	TCGA.B0.4828.01A.01R.1277.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.AK.3428.01A.02R.1277.07	TCGA.B0.5703.01A.11R.1541.07	TCGA.DV.5576.01A.01R.1541.07	TCGA.B0.4816.01A.01R.1503.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.BP.4759.01A.01R.1289.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.B0.5106.01A.01R.1420.07	TCGA.BP.4804.01A.02R.1305.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4326.01A.01R.1289.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.B4.5838.01A.11R.1672.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.5181.01A.01R.1426.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.CJ.4878.01A.01R.1305.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.CZ.5452.01A.01R.1503.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.BP.5183.01A.01R.1426.07	TCGA.CZ.5451.01A.01R.1503.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.DV.A4W0.01A.11R.A266.07	TCGA.CJ.4637.01A.02R.1325.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.BP.4771.01A.01R.1289.07	TCGA.MM.A563.01A.11R.A266.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4810.01A.01R.1503.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B0.4824.01A.01R.1277.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.CZ.5982.01A.11R.1672.07	TCGA.EU.5904.01A.11R.1672.07	TCGA.BP.5196.01A.01R.1426.07
AD000671.6	6.78	0.0	21.16	13.22	33.3	10.08	17.25	9.85	21.32	4.62	7.63	10.0	29.48	12.0	24.63	64.34	64.8	16.63	37.05	49.91	9.2	24.28	61.25	29.48	63.89	7.51	21.01	11.91	19.82	108.14	10.31	18.29	16.88	65.26	18.97	17.77	22.1	10.71	14.56	13.83	47.84	20.11	19.53	94.67	31.9	81.71	0.0	12.36	0.0	38.67	38.12	14.56	16.03	35.0	44.89	68.07	18.03	77.79	50.63	18.29	23.76	7.75	18.29	19.82	28.45	24.46	6.06	9.27	13.52	57.89	53.19	60.39	58.71	12.83	21.94	19.68	8.51	15.45	82.87	36.79	42.71	38.12	10.63	91.41	59.97	46.5	82.29	50.63	22.59	3.79	48.18	12.83	29.48	21.94	28.86	31.45	4.43	12.45	18.56
ARHGAP9	98.04	33.06	318.57	195.72	819.3	102.97	283.05	89.51	397.93	78.34	52.45	218.79	518.15	83.45	314.17	1963.57	909.17	287.01	450.94	1487.87	104.42	466.88	679.29	409.15	599.49	110.43	153.34	214.27	176.29	1388.16	239.52	293.07	363.56	1037.29	177.53	182.55	293.07	81.71	316.37	237.86	1685.71	703.28	158.79	1030.12	483.38	738.29	253.23	299.25	61.25	688.78	500.46	131.51	221.86	679.29	791.35	1540.37	309.83	1175.27	323.03	339.14	688.78	111.99	320.8	166.73	660.68	149.12	152.28	114.36	473.41	346.29	947.83	981.29	1191.69	166.73	454.09	249.73	226.54	127.89	1498.22	400.71	878.17	314.17	159.9	1832.01	743.43	400.71	591.22	860.08	406.31	78.89	866.07	155.5	718.08	420.68	947.83	329.84	144.01	228.13	583.07
BATF	27.25	11.55	43.94	76.71	387.02	29.27	74.06	22.59	135.24	32.82	12.74	75.11	144.01	34.51	115.16	497.0	450.94	172.65	153.34	521.76	36.53	126.12	356.05	249.73	457.25	46.5	63.89	57.49	63.0	559.28	54.33	115.97	95.34	483.38	96.01	54.72	157.68	42.41	111.99	72.52	540.19	323.03	30.78	595.34	120.94	285.03	124.37	120.94	25.72	81.14	81.71	78.89	94.01	123.5	353.59	688.78	51.35	563.18	78.89	175.07	167.9	19.53	127.89	70.51	214.27	61.68	32.59	28.65	157.68	65.26	339.14	555.41	373.81	70.51	166.73	112.77	51.35	31.9	813.63	191.67	656.11	102.97	64.34	872.1	412.0	146.03	241.19	518.15	122.64	31.67	441.64	80.01	514.56	72.52	244.57	153.34	28.04	65.26	275.28
BIN2	71.0	14.56	170.25	177.53	414.87	102.25	223.41	87.03	224.97	55.49	42.71	161.02	341.51	85.22	193.01	808.0	497.0	177.53	303.44	728.11	99.43	255.0	447.82	450.94	384.34	89.51	106.63	166.73	94.67	830.75	220.32	267.73	205.5	521.76	143.01	118.43	283.05	60.82	150.17	256.78	620.67	283.05	103.69	733.19	234.57	397.93	101.54	271.48	31.22	358.54	248.0	147.06	140.04	457.25	543.96	733.19	97.36	909.17	244.57	211.31	314.17	103.69	146.03	185.11	273.37	109.66	120.94	78.34	361.04	190.34	514.56	514.56	660.68	145.02	316.37	162.14	134.3	100.13	860.08	358.54	603.67	237.86	183.82	941.27	507.46	185.11	312.0	381.68	267.73	84.63	476.71	96.01	376.41	177.53	532.74	108.14	110.43	186.4	251.48
BTK	17.25	7.4	127.0	114.36	353.59	54.33	136.19	44.57	212.78	21.01	33.78	45.53	170.25	75.64	138.1	363.56	197.09	100.83	189.02	403.5	71.5	206.94	249.73	197.09	231.32	38.4	88.26	77.79	69.03	511.0	143.01	234.57	119.26	305.55	125.24	102.25	111.99	57.49	96.68	128.79	363.56	149.12	58.3	591.22	127.89	291.04	127.0	33.06	22.75	363.56	221.86	66.65	118.43	423.61	327.56	246.28	85.22	555.41	167.9	137.14	209.84	67.12	101.54	107.38	151.22	69.03	75.64	53.95	115.16	127.0	381.68	307.69	327.56	106.63	190.34	111.21	82.87	82.87	511.0	242.88	218.79	139.07	68.55	356.05	271.48	163.28	271.48	182.55	62.56	50.63	217.27	53.57	118.43	125.24	353.59	67.59	77.25	84.63	147.06
C19orf38	17.38	5.59	56.68	72.52	119.26	24.99	88.26	46.5	136.19	18.03	31.9	63.89	111.21	29.27	105.15	151.22	137.14	90.14	171.45	211.31	35.0	141.02	149.12	120.1	218.79	11.82	122.64	63.0	57.89	293.07	47.84	146.03	102.25	153.34	50.98	56.28	69.52	21.32	46.84	106.63	135.24	111.21	74.06	205.5	96.68	120.1	144.01	60.82	17.0	211.31	74.06	57.89	55.1	142.01	139.07	172.65	52.45	295.11	70.01	63.0	68.55	28.65	165.57	91.41	85.82	44.89	37.05	37.32	101.54	60.39	176.29	146.03	153.34	60.82	103.69	42.41	64.34	33.3	226.54	135.24	157.68	48.87	51.35	229.72	231.32	211.31	104.42	144.01	81.14	31.22	162.14	8.51	107.38	40.64	131.51	34.26	43.63	66.65	94.01
C1orf200	0.0	0.0	0.35	2.05	3.53	0.66	0.0	1.28	0.0	0.0	0.0	0.0	3.69	1.95	2.89	7.4	3.23	0.0	2.41	6.67	1.07	2.12	1.5	3.59	4.62	0.82	0.0	1.38	0.35	9.7	0.35	1.5	1.95	3.2	0.71	0.0	2.89	0.0	0.33	1.79	6.89	5.45	0.34	6.73	1.08	2.81	2.07	0.0	0.0	3.17	0.71	1.25	2.1	2.25	5.28	2.86	0.83	8.99	0.68	1.91	4.03	0.0	2.18	1.73	2.2	0.0	0.69	1.58	0.72	1.04	3.44	4.5	4.06	0.72	5.19	0.69	0.84	0.34	7.46	2.71	3.59	1.08	1.07	8.71	0.36	4.5	2.71	5.15	2.94	0.67	5.77	3.63	5.59	0.41	6.94	0.42	0.66	0.72	2.43
CARD9	37.85	12.93	41.81	30.56	88.88	25.54	55.49	20.71	56.68	18.7	14.56	29.48	69.03	19.68	72.01	165.57	95.34	43.63	87.65	176.29	24.46	78.34	111.99	55.49	96.01	20.86	24.11	24.81	34.26	198.47	29.06	97.36	67.59	111.21	46.5	32.82	44.89	28.65	49.56	43.32	115.16	63.0	35.5	228.13	58.3	132.44	18.03	15.22	13.93	217.27	199.85	21.32	76.17	171.45	115.16	148.09	30.56	226.54	145.02	53.19	112.77	12.55	32.13	35.0	53.19	26.47	24.81	11.3	43.02	74.06	127.0	143.01	143.01	34.02	76.71	37.59	94.67	18.29	232.94	108.14	113.56	43.94	28.45	234.57	123.5	204.07	105.15	78.89	55.1	22.1	169.07	17.38	65.26	47.84	115.97	24.99	23.25	34.26	76.71
CCDC88B	1936.53	56.28	215.77	289.02	336.79	173.85	435.55	113.56	688.78	120.94	66.65	195.72	414.87	493.56	206.94	1119.56	656.11	688.78	387.02	890.44	88.88	587.13	536.45	325.29	733.19	575.03	258.57	128.79	202.66	1081.39	209.84	267.73	423.61	633.73	211.31	214.27	521.76	151.22	269.6	264.03	665.29	547.75	400.71	616.37	743.43	1008.9	147.06	450.94	93.35	733.19	348.71	334.46	620.67	684.02	775.05	1199.98	226.54	780.44	521.76	318.57	454.09	59.55	450.94	215.77	447.82	195.72	143.01	201.25	414.87	473.41	884.29	563.18	896.64	291.04	463.65	209.84	131.51	191.67	1030.12	713.11	559.28	239.52	316.37	1457.23	941.27	518.15	480.04	934.76	579.04	90.77	607.87	358.54	796.86	457.25	733.19	356.05	186.4	162.14	521.76
CYTH4	44.89	9.13	195.72	204.07	529.06	120.94	255.0	93.35	195.72	88.88	41.81	120.1	262.2	136.19	199.85	928.3	514.56	255.0	341.51	819.3	109.66	260.38	507.46	384.34	529.06	100.83	128.79	121.79	141.02	1088.92	195.72	454.09	155.5	325.29	176.29	111.99	164.42	88.26	136.19	242.88	708.18	293.07	152.28	1286.18	229.72	684.02	186.4	127.89	67.59	406.31	316.37	104.42	361.04	497.0	647.07	642.59	140.04	718.08	269.6	181.28	483.38	138.1	221.86	165.57	283.05	126.12	172.65	98.04	217.27	194.36	414.87	476.71	579.04	100.13	470.14	149.12	165.57	56.68	967.76	450.94	454.09	249.73	127.89	988.12	397.93	307.69	432.53	525.39	198.47	128.79	525.39	60.39	429.54	186.4	529.06	100.13	99.43	117.6	301.33
