	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.B8.4621.01A.01R.1503.07	TCGA.BP.4769.01A.01R.1289.07	TCGA.UZ.A9PU.01A.11R.A42S.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.A4.7997.01A.11R.2204.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.A4.8515.01A.11R.2404.07	TCGA.SX.A71W.01A.12R.A355.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.DW.7837.01A.11R.2139.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV	GTEX.12WSG.2126.SM.5EGJ7
RNF40	2090.03	2209.26	2384.37	1617.0	3146.52	2193.99	2119.22	1819.35	1745.2	2148.82	3235.01	3124.78	2319.15	3467.27	1605.83	3280.18	3190.46	3325.99	2224.63	2209.26	2796.65	1733.13	1685.71	1583.71	1605.83	2061.24	1819.35	1304.15	1832.01	1721.16	1806.78	1844.76	1662.49	1733.13	1950.0
RPGRIP1L	105.89	67.12	193.01	65.72	224.97	224.97	171.45	93.35	94.67	149.12	211.31	339.14	325.29	236.21	198.47	152.28	271.48	173.85	162.14	94.01	221.86	79.45	63.89	79.45	81.71	82.87	80.57	65.72	74.58	75.11	64.34	144.01	72.01	113.56	72.01
SDHA	2682.69	2555.58	5112.16	3018.3	5441.3	1617.0	3257.52	5954.47	2701.35	4543.8	5183.54	5479.15	4123.49	4972.34	3372.43	4802.93	5995.9	5183.54	4239.45	5292.48	6745.86	1073.91	1295.13	1111.82	1268.46	1313.23	1088.92	1268.46	1233.75	1923.14	1685.71	1529.73	1001.93	1583.71	2796.65
SFXN1	591.22	158.79	1104.13	412.0	638.15	400.71	819.3	571.05	497.0	842.36	954.43	1313.23	1008.9	1388.16	995.0	348.71	825.0	493.56	511.0	536.45	872.1	195.72	170.25	224.97	297.17	414.87	237.86	140.04	242.88	305.55	353.59	320.8	312.0	307.69	312.0
SLC10A2	0.0	0.0	5.54	0.0	11.38	0.0	58.3	5.02	0.0	12.09	15.45	5.15	95.34	7.57	2.63	3.44	11.21	0.0	2.39	2.01	22.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC13A1	0.0	0.0	2178.83	0.69	336.79	0.38	248.0	1242.34	0.39	100.83	759.08	1896.65	915.51	4481.23	98.04	1277.29	1977.24	83.45	633.73	1295.13	4419.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC15A1	0.0	56.68	497.0	45.21	135.24	144.01	195.72	117.6	49.56	289.02	108.14	116.78	314.17	743.43	48.87	785.88	363.56	177.53	137.14	309.83	483.38	0.0	2.41	1.36	1.38	1.0	1.36	2.73	3.26	11.47	3.03	9.48	1.27	0.99	2.01
SLC22A2	0.31	0.0	4210.15	7.82	2997.45	384.34	3081.75	2209.26	2.63	2319.15	4010.71	53.19	2758.13	6840.04	1709.26	3212.66	8305.36	1923.14	2645.74	5872.48	5555.65	0.23	0.23	0.0	0.0	1.17	1.46	0.0	0.0	0.0	2.12	0.0	0.0	0.0	5.54
SLC22A24	0.32	0.0	0.39	0.0	43.94	0.0	69.52	197.09	0.0	47.84	30.78	31.0	120.94	48.18	62.12	154.42	87.65	27.44	16.39	2.29	30.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC25A48	33.78	318.57	339.14	0.34	420.68	21.16	181.28	384.34	0.0	166.73	289.02	429.54	59.97	265.87	127.0	647.07	1639.59	135.24	135.24	624.99	346.29	72.01	135.24	7.69	59.97	0.0	90.14	190.34	151.22	6.57	1.11	0.64	4.9	0.69	0.0
