	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.B8.4621.01A.01R.1503.07	TCGA.BP.4769.01A.01R.1289.07	TCGA.UZ.A9PU.01A.11R.A42S.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.A4.7997.01A.11R.2204.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.A4.8515.01A.11R.2404.07	TCGA.SX.A71W.01A.12R.A355.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.DW.7837.01A.11R.2139.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV	GTEX.12WSG.2126.SM.5EGJ7
CIRH1A	1008.9	395.18	2351.53	579.04	1378.57	808.0	1923.14	2018.8	480.04	878.17	1508.65	1883.54	1508.65	1551.09	1051.79	1417.35	1832.01	819.3	1769.57	1369.04	2777.33	802.41	651.58	743.43	665.29	733.19	775.05	587.13	674.59	536.45	791.35	698.41	536.45	647.07	624.99
CLCN2	120.94	81.71	135.24	76.71	336.79	85.22	244.57	124.37	56.68	121.79	198.47	165.57	214.27	159.9	151.22	336.79	312.0	156.59	146.03	195.72	281.09	84.04	96.68	101.54	100.13	99.43	100.83	90.14	128.79	156.59	91.41	132.44	151.22	142.01	178.77
CLSTN3	343.89	1225.22	1277.29	591.22	961.07	848.22	1397.83	1073.91	753.83	934.76	1225.22	974.5	2047.0	1008.9	1388.16	1277.29	1233.75	1259.69	1844.76	825.0	1832.01	536.45	599.49	432.53	603.67	633.73	703.28	575.03	872.1	1037.29	688.78	483.38	743.43	460.44	2400.97
CLU	1472666.19	2729110.67	249727.34	677564.08	267651.2	1085552.95	309589.14	614902.29	894051.48	450134.56	288856.81	324980.94	360589.03	292889.12	469249.9	524287.0	341137.96	554180.87	309589.14	313910.86	99333.0	558035.51	672883.8	641014.63	598087.73	654483.73	938500.81	589853.66	736332.6	687022.54	736332.6	691801.16	682276.92	1131651.83	668235.84
CNDP1	1.39	5.28	10.31	3.03	31.67	4.35	34.02	20.41	0.75	32.59	44.57	90.77	19.25	65.26	17.64	105.89	105.15	28.45	29.27	48.18	66.18	4.13	9.27	3.0	3.03	1.0	2.36	6.67	8.19	8.45	8.78	5.82	8.78	12.64	0.65
COQ9	1119.56	1709.26	5366.37	1781.89	4802.93	1151.06	2335.28	4210.15	1104.13	3325.99	7280.4	6426.31	3325.99	5594.3	2148.82	5076.84	5872.48	7032.37	4736.79	4512.4	6121.9	995.0	1044.52	902.89	954.43	1104.13	1059.11	921.88	1059.11	1457.23	1225.22	1628.26	1331.57	1857.6	928.3
DAB2	363.56	1183.45	4152.18	703.28	2384.37	2303.12	3794.3	3768.09	1119.56	2319.15	3212.66	3768.09	2384.37	3325.99	3589.58	2895.31	3467.27	2627.46	2758.13	2367.9	4328.55	206.94	260.38	269.6	285.03	316.37	275.28	307.69	460.44	444.72	555.41	473.41	1008.9	400.71	466.88
DEPDC4	35.0	23.08	43.94	11.91	54.33	29.27	52.08	19.68	29.48	48.18	51.35	55.49	72.01	61.25	35.5	57.89	60.39	54.72	41.81	77.79	68.07	15.91	27.64	35.76	19.68	10.39	28.86	19.25	19.68	34.26	10.88	41.52	26.67	18.84	15.11
DNAH3	0.36	154.42	7.51	3.03	9.56	11.55	24.11	1.1	1.11	7.34	36.53	16.39	39.5	13.42	1.66	5.02	16.51	4.9	9.13	1.01	17.64	0.35	0.35	1.14	0.0	0.75	0.74	0.34	0.75	3.17	0.0	0.27	1.39	1.89	2.89
DOCK8	140.04	124.37	571.05	236.21	379.04	148.09	665.29	540.19	197.09	368.65	336.79	514.56	493.56	356.05	470.14	291.04	423.61	88.88	480.04	412.0	486.75	54.72	75.11	67.59	88.88	84.63	63.89	63.89	126.12	145.02	164.42	127.0	101.54	88.26	23.42
DPEP1	5.68	195.72	500.46	8.92	599.49	0.41	3564.78	71.5	45.21	156.59	309.83	665.29	4066.71	2367.9	2645.74	6652.97	555.41	334.46	808.0	1487.87	1159.07	27.44	18.56	8.45	9.06	4.98	48.87	47.5	49.91	5.96	14.56	10.39	7.69	21.63	11.73
EHHADH	131.51	88.26	2609.3	202.66	1447.15	176.29	1030.12	656.11	163.28	591.22	1651.0	1059.11	1628.26	1467.37	387.02	836.53	2573.36	638.15	915.51	1277.29	2520.38	72.01	90.77	52.45	49.56	20.26	42.41	72.52	79.45	182.55	126.12	211.31	125.24	156.59	40.64
EMX1	1.06	18.97	232.94	145.02	656.11	12.93	518.15	647.07	153.34	412.0	563.18	275.28	251.48	647.07	476.71	718.08	629.35	612.11	406.31	890.44	830.75	0.0	1.64	0.0	0.0	0.0	1.68	0.0	0.0	5.15	0.65	7.34	13.42	0.64	2.89
ERBB3	2400.97	1721.16	1457.23	547.75	2209.26	450.94	4937.99	2591.27	579.04	2417.67	1628.26	1233.75	3794.3	3103.19	4450.27	2997.45	4010.71	1896.65	1721.16	5147.73	2875.3	1225.22	665.29	1119.56	1313.23	1331.57	1322.37	981.29	1037.29	214.27	167.9	607.87	738.29	91.41	183.82
EXOC4	656.11	733.19	1143.1	743.43	1286.18	688.78	753.83	718.08	698.41	909.17	995.0	1119.56	1015.93	1359.57	854.13	665.29	1044.52	1073.91	872.1	1037.29	1322.37	866.07	830.75	791.35	842.36	884.29	733.19	642.59	624.99	684.02	669.92	780.44	633.73	575.03	909.17
FAHD1	921.88	420.68	2417.67	921.88	2209.26	753.83	1277.29	1883.54	921.88	2193.99	2573.36	3716.2	1844.76	4903.87	1268.46	3235.01	4123.49	2682.69	2271.4	2032.85	3515.68	358.54	518.15	320.8	409.15	571.05	381.68	279.14	438.59	450.94	353.59	363.56	336.79	343.89	287.01
FFAR4	2.51	12.27	7.94	3.03	6.36	8.99	55.49	12.93	6.62	44.57	63.0	51.35	17.38	18.84	17.38	66.18	7.82	19.11	41.81	19.53	26.1	2.76	8.92	6.78	4.31	8.71	2.53	3.26	6.84	4.86	4.24	1.57	1.23	1.23	0.69
FTCD	39.5	16.27	25.54	8.78	2555.58	0.0	2119.22	82.29	0.83	1757.34	92.05	42.41	1313.23	974.5	423.61	1135.2	3768.09	4268.94	3168.41	5006.93	2004.85	7.94	23.25	12.09	3.79	6.57	18.84	8.32	9.93	26.1	11.38	14.35	55.89	31.67	17.9
FUT6	7.0	1870.53	1259.69	2.43	785.88	110.43	1819.35	954.43	12.09	941.27	571.05	591.22	1331.57	1008.9	708.18	785.88	769.69	493.56	638.15	1594.73	967.76	0.0	0.39	0.0	0.0	5.36	0.77	0.0	0.78	1.45	1.73	0.0	3.14	0.0	0.0
GALM	341.51	718.08	723.08	371.22	693.58	381.68	1008.9	928.3	176.29	764.36	688.78	848.22	909.17	1225.22	802.41	988.12	1225.22	642.59	954.43	954.43	1819.35	271.48	392.44	246.28	265.87	289.02	325.29	389.72	301.33	412.0	358.54	470.14	406.31	414.87	486.75
GLRX	177.53	1127.35	4066.71	1119.56	2240.11	2468.49	1794.29	3372.43	1427.22	2417.67	3146.52	2855.44	3665.02	3515.68	2502.97	5147.73	3515.68	1870.53	3060.45	3515.68	4769.75	153.34	540.19	356.05	339.14	728.11	403.5	493.56	674.59	981.29	1369.04	503.95	1540.37	872.1	119.26
GNS	2287.2	1963.57	11267.44	2537.92	3257.52	2351.53	3103.19	2835.7	2591.27	4481.23	2976.74	4123.49	5517.27	4328.55	2895.31	2351.53	3540.14	3589.58	6516.03	4152.18	4903.87	1023.0	878.17	1104.13	1295.13	1417.35	896.64	796.86	1250.98	1950.0	1909.85	1883.54	1378.57	1487.87	1697.45
GOT1	1051.79	2163.77	3349.13	2335.28	2303.12	1519.15	1977.24	4388.98	1199.98	2047.0	3190.46	2915.45	2209.26	2573.36	1583.71	1551.09	3212.66	3280.18	2591.27	4769.75	3614.55	669.92	660.68	540.19	660.68	1088.92	493.56	567.1	559.28	1199.98	2224.63	769.69	1037.29	1242.34	403.5
HHLA2	0.32	142.01	1594.73	47.17	1844.76	5.23	1397.83	384.34	307.69	71.5	1268.46	1331.57	2591.27	808.0	669.92	780.44	2758.13	57.08	842.36	2739.08	2976.74	0.13	4.54	2.36	1.39	0.44	0.75	2.56	3.06	2.56	2.89	1.69	1.06	0.0	1.01
HNF1A	5.06	63.45	460.44	19.39	476.71	66.18	571.05	514.56	34.26	397.93	480.04	376.41	540.19	1001.93	802.41	660.68	674.59	624.99	444.72	633.73	896.64	2.89	4.43	5.5	1.75	4.94	3.92	3.14	3.96	7.28	3.38	6.31	9.06	5.63	13.72
HOGA1	100.13	37.05	1733.13	110.43	1268.46	435.55	988.12	1617.0	129.69	674.59	934.76	1066.48	848.22	1628.26	1397.83	884.29	1350.18	974.5	1340.84	1322.37	1359.57	11.38	8.25	11.73	1.83	0.0	2.71	6.84	16.03	65.72	37.32	47.84	7.75	9.27	5.63
HS2ST1	463.65	273.37	454.09	256.78	536.45	348.71	595.34	246.28	258.57	457.25	325.29	521.76	660.68	473.41	265.87	177.53	511.0	232.94	273.37	409.15	409.15	346.29	336.79	400.71	379.04	264.03	237.86	237.86	281.09	185.11	269.6	289.02	142.01	262.2	220.32
IL22RA1	1.62	3.89	86.43	0.71	64.34	1.13	122.64	105.89	5.23	94.67	36.53	69.03	258.57	275.28	265.87	167.9	125.24	44.57	67.59	178.77	133.36	11.13	15.34	11.3	16.63	11.64	9.93	21.47	35.0	88.26	5.23	56.68	6.57	23.42	11.38
IQCJ-SCHIP1	106.63	86.43	802.41	269.6	3168.41	234.57	1605.83	417.77	500.46	1963.57	2758.13	2645.74	2627.46	2739.08	253.23	1628.26	5479.15	4328.55	967.76	3146.52	4869.99	154.42	153.34	181.28	132.44	158.79	170.25	713.11	148.09	57.49	90.77	28.45	55.49	51.71	379.04
LGALS2	12.64	0.0	2555.58	80.01	1819.35	483.38	2240.11	7589.61	170.25	1540.37	1617.0	4704.07	3372.43	1794.29	2209.26	8247.98	3212.66	1151.06	1519.15	5954.47	5041.77	6.52	3.14	4.58	6.78	4.9	28.86	15.22	38.95	69.52	114.36	0.0	40.36	9.85	19.82
LPCAT3	878.17	974.5	3395.89	738.29	1628.26	967.76	2956.17	1350.18	1044.52	1857.6	1819.35	1551.09	3349.13	2178.83	1617.0	1857.6	2075.59	1397.83	2627.46	2384.37	3190.46	669.92	656.11	733.19	743.43	995.0	1023.0	674.59	764.36	1008.9	1175.27	928.3	854.13	860.08	693.58
LRRC19	0.66	0.82	616.37	51.71	514.56	19.25	665.29	241.19	7.69	470.14	521.76	336.79	718.08	511.0	384.34	376.41	497.0	273.37	387.02	403.5	473.41	0.42	1.25	1.73	0.87	1.3	1.71	0.41	0.87	0.22	0.47	3.0	0.97	0.73	4.17
LYRM1	351.14	1096.5	1427.22	967.76	1378.57	1104.13	764.36	713.11	679.29	1175.27	1467.37	1674.06	1991.0	1477.58	591.22	1088.92	1662.49	1883.54	1268.46	748.61	1225.22	1051.79	1183.45	988.12	819.3	753.83	1059.11	738.29	902.89	521.76	848.22	967.76	884.29	769.69	1313.23
MCCD1	1.16	0.0	67.12	2.39	3.56	0.0	12.83	0.75	0.0	3.41	3.08	27.44	14.35	5.23	15.8	169.07	2.23	1.99	13.52	18.29	154.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MESP2	49.91	32.59	56.28	14.03	209.84	73.54	186.4	23.76	42.11	136.19	41.22	95.34	144.01	54.72	13.83	138.1	85.82	54.72	114.36	89.51	91.41	34.02	98.04	16.51	3.69	3.38	13.22	6.78	10.96	16.51	6.73	0.88	7.51	30.12	3.72
METTL15	148.09	124.37	208.38	142.01	205.5	172.65	176.29	108.9	128.79	172.65	204.07	169.07	256.78	198.47	202.66	144.01	224.97	167.9	153.34	215.77	163.28	173.85	142.01	189.02	159.9	105.89	140.04	151.22	134.3	154.42	172.65	180.02	147.06	138.1	187.71
MMP24	1.91	105.15	1551.09	99.43	536.45	27.44	358.54	358.54	67.59	279.14	909.17	417.77	624.99	1605.83	351.14	723.08	1175.27	228.13	351.14	373.81	1127.35	4.35	7.51	6.84	8.06	16.27	7.11	7.94	17.64	19.68	26.1	22.1	14.45	21.63	17.25
MOGAT3	0.0	0.0	73.03	0.0	54.33	0.0	14.03	23.59	0.0	51.71	16.15	120.94	68.55	35.76	12.36	395.18	197.09	11.55	14.89	182.55	301.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MRPS35	1015.93	591.22	2018.8	974.5	1081.39	902.89	1015.93	1427.22	743.43	1286.18	1388.16	1397.83	2384.37	1572.76	1697.45	872.1	1487.87	1757.34	1617.0	2133.97	1963.57	872.1	808.0	728.11	769.69	1119.56	698.41	665.29	733.19	934.76	1066.48	1111.82	988.12	1023.0	738.29
MSRB1	1340.84	607.87	2209.26	500.46	3443.31	1340.84	2835.7	8022.41	665.29	2004.85	2645.74	3395.89	3847.29	7537.18	9740.98	10368.08	7032.37	4358.66	3372.43	3349.13	4152.18	387.02	438.59	258.57	312.0	470.14	529.06	285.03	332.14	426.57	470.14	414.87	358.54	444.72	432.53
NARS2	423.61	299.25	301.33	256.78	392.44	201.25	312.0	480.04	236.21	395.18	587.13	529.06	460.44	571.05	417.77	438.59	583.07	450.94	486.75	525.39	470.14	417.77	457.25	293.07	486.75	281.09	514.56	395.18	371.22	287.01	299.25	318.57	346.29	356.05	470.14
