	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.E7.A7XN.01A.11R.A352.07	TCGA.ZF.A9RF.01A.11R.A38B.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13D11.0326.SM.5LZXX	GTEX.Y5LM.0726.SM.4VBRP	GTEX.O5YW.0526.SM.2YUMX	GTEX.RU1J.0126.SM.2TF6Y	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.S4Z8.0426.SM.3K2AH	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.SNOS.0426.SM.32PMH	GTEX.ZA64.0326.SM.5HL8T	GTEX.WFJO.0326.SM.3GIL3	GTEX.12WSJ.0226.SM.5GCP7	GTEX.XUJ4.1426.SM.4BONT	GTEX.111YS.0626.SM.5GZXV	GTEX.12WSN.0626.SM.5BC61	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.139T6.0426.SM.5IJEM	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.13O21.3026.SM.5J2NI	GTEX.T6MO.0426.SM.32QOI	GTEX.13N2G.0826.SM.5IJE6	GTEX.P4QS.0526.SM.2I3ET	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.PWOO.0726.SM.2I3EB	GTEX.XGQ4.0826.SM.4AT4T	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.ZYWO.0826.SM.5E45W	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	TCGA.ET.A39P.01A.21R.A19O.07	TCGA.MK.A4N7.01A.11R.A250.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.E8.A432.01A.11R.A23N.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.H2.A3RI.01A.11R.A220.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.DJ.A1QI.01A.11R.A14Y.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.FY.A3RA.01A.11R.A220.07
ACSM3	31.22	32.13	103.69	0.0	0.16	1175.27	1628.26	1340.84	791.35	301.33	395.18	177.53	988.12	1721.16	575.03	1437.15	197.09	182.55	1250.98	1331.57	825.0	1277.29	1304.15	1977.24	708.18	688.78	2664.15	967.76	2018.8	656.11	314.17	447.82	909.17	1819.35	587.13	514.56	961.07	105.15	638.15	1081.39	1295.13	1498.22	567.1	314.17	915.51	2018.8	295.11	2591.27	1242.34	435.55	1175.27	1008.9	1447.15	1594.73	27.05	53.95	98.04	67.12	22.43	26.86	39.79	37.85	52.82	31.45	46.84	76.17	134.3	40.93	120.94	18.03
ANGPT1	16.27	1.6	18.43	0.0	0.27	256.78	1030.12	332.14	532.74	808.0	713.11	88.26	379.04	1119.56	376.41	679.29	7.63	267.73	309.83	785.88	813.63	139.07	995.0	1030.12	872.1	460.44	325.29	1044.52	967.76	232.94	153.34	295.11	400.71	178.77	497.0	128.79	660.68	98.73	38.12	152.28	748.61	165.57	147.06	183.82	303.44	381.68	144.01	37.32	226.54	466.88	325.29	414.87	389.72	346.29	21.94	141.02	60.82	29.7	17.77	95.34	30.56	23.08	40.36	102.25	49.56	71.0	46.5	124.37	45.53	16.51
ANKRD29	193.01	125.24	295.11	0.0	0.44	642.59	2032.85	234.57	1216.75	3235.01	1806.78	444.72	2664.15	4736.79	2119.22	1350.18	532.74	1923.14	738.29	2777.33	2224.63	1127.35	813.63	2915.45	3419.52	1769.57	1572.76	1066.48	1331.57	1119.56	1397.83	518.15	5112.16	967.76	1378.57	166.73	2104.58	808.0	104.42	2178.83	3820.7	1191.69	2816.11	1733.13	2627.46	1175.27	248.0	137.14	981.29	3491.39	842.36	2855.44	2384.37	1806.78	12.09	5.92	63.45	34.51	16.75	13.72	11.21	10.71	25.54	27.64	14.67	28.24	84.04	40.93	27.05	12.45
ANKS1A	151.22	204.07	148.09	0.0	0.27	540.19	785.88	353.59	555.41	1167.14	769.69	603.67	947.83	651.58	1059.11	620.67	314.17	540.19	486.75	941.27	693.58	435.55	688.78	713.11	974.5	1037.29	665.29	713.11	497.0	389.72	473.41	638.15	796.86	571.05	808.0	327.56	902.89	454.09	262.2	559.28	1127.35	379.04	753.83	723.08	753.83	532.74	346.29	316.37	518.15	954.43	759.08	665.29	967.76	624.99	211.31	312.0	229.72	199.85	209.84	135.24	226.54	217.27	253.23	277.2	256.78	234.57	236.21	256.78	166.73	201.25
BFAR	669.92	813.63	591.22	1044.52	143.01	1286.18	3419.52	934.76	1870.53	2627.46	1259.69	1781.89	2090.03	2835.7	2004.85	1487.87	1313.23	890.44	1662.49	2976.74	2591.27	1407.55	2434.5	2796.65	1721.16	2935.74	1794.29	1540.37	1561.89	1572.76	961.07	2319.15	1721.16	1350.18	1745.2	1119.56	1175.27	1508.65	669.92	2591.27	2178.83	1950.0	1135.2	1709.26	3874.05	2133.97	733.19	1073.91	1697.45	2240.11	1991.0	2855.44	2163.77	2520.38	854.13	1572.76	967.76	819.3	854.13	878.17	1008.9	785.88	1167.14	928.3	909.17	872.1	1073.91	921.88	902.89	1001.93
BNIP3	215.77	607.87	66.65	0.0	0.77	1066.48	1794.29	1159.07	1639.59	1617.0	819.3	579.04	2645.74	1950.0	1066.48	1286.18	483.38	620.67	1498.22	2061.24	1721.16	563.18	967.76	2591.27	3955.48	1870.53	1322.37	836.53	775.05	1088.92	713.11	1159.07	1359.57	748.61	1757.34	591.22	1467.37	567.1	733.19	4066.71	2573.36	1304.15	947.83	1583.71	3103.19	1819.35	995.0	575.03	1832.01	1295.13	1119.56	1572.76	1397.83	1529.73	660.68	536.45	540.19	511.0	842.36	624.99	1059.11	591.22	728.11	525.39	669.92	624.99	457.25	587.13	525.39	890.44
C14orf132	8.45	16.27	0.89	0.0	0.29	555.41	1572.76	206.94	769.69	2319.15	915.51	339.14	595.34	890.44	928.3	674.59	114.36	665.29	356.05	1191.69	954.43	497.0	684.02	1295.13	1119.56	1277.29	1051.79	665.29	1233.75	363.56	400.71	379.04	1331.57	384.34	830.75	166.73	1104.13	267.73	167.9	802.41	1651.0	460.44	1159.07	713.11	836.53	974.5	143.01	109.66	194.36	1857.6	629.35	780.44	1950.0	629.35	20.26	8.58	13.12	37.05	8.51	4.98	8.32	7.94	12.27	9.7	18.43	15.91	18.7	18.43	18.03	5.96
CCDC141	2.56	2.18	0.57	0.0	0.0	420.68	277.2	97.36	108.9	417.77	291.04	162.14	295.11	279.14	242.88	295.11	43.63	220.32	267.73	234.57	450.94	171.45	181.28	241.19	414.87	267.73	189.02	100.13	260.38	267.73	119.26	82.87	395.18	132.44	111.21	60.82	215.77	29.06	65.26	511.0	373.81	269.6	181.28	309.83	429.54	248.0	37.59	93.35	104.42	412.0	392.44	169.07	353.59	612.11	4.24	2.18	12.45	34.51	0.61	0.53	1.89	4.66	3.29	6.89	7.63	2.53	8.92	8.58	3.47	0.88
CPM	915.51	34.02	151.22	226.54	191.67	10014.87	11745.96	3467.27	5517.27	16383.0	8538.88	1594.73	3690.52	6792.79	6207.38	5751.61	660.68	3639.7	2047.0	5633.22	13033.07	3372.43	7331.05	9344.14	8134.41	8840.04	5479.15	7589.61	24660.96	2061.24	2997.45	2609.3	6699.25	2287.2	2193.99	6426.31	8840.04	660.68	3395.89	6164.49	4736.79	3847.29	6699.25	8421.31	4512.4	8022.41	1662.49	1909.85	2178.83	24660.96	8840.04	10084.54	4704.07	7081.29	195.72	376.41	234.57	120.94	115.97	154.42	147.06	68.07	189.02	237.86	325.29	185.11	105.89	1015.93	432.53	141.02
CPNE3	624.99	543.96	567.1	0.0	0.36	1508.65	1340.84	713.11	995.0	1781.89	921.88	693.58	1467.37	1350.18	915.51	1233.75	775.05	780.44	775.05	1870.53	1350.18	848.22	1096.5	1639.59	1857.6	1250.98	896.64	921.88	1167.14	1685.71	902.89	733.19	974.5	1104.13	934.76	684.02	1259.69	902.89	543.96	1350.18	1685.71	915.51	1051.79	1066.48	988.12	1397.83	947.83	656.11	825.0	1651.0	1359.57	1208.34	1529.73	1259.69	540.19	493.56	470.14	400.71	599.49	409.15	540.19	420.68	603.67	591.22	470.14	406.31	525.39	444.72	387.02	551.56
