	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.EK.A2GZ.01A.11R.A180.07	GTEX.1192X.1826.SM.5GIE2	GTEX.1399S.1526.SM.5P9JC	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.05.5420.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.05.5423.01A.01R.1628.07	TCGA.44.3918.01A.01R.1107.07	TCGA.44.3918.01A.01R.A278.07	TCGA.44.2656.01A.02R.A278.07	TCGA.50.5066.01A.01R.1628.07	TCGA.50.5068.01A.01R.1628.07	TCGA.44.2661.01A.01R.1107.07	TCGA.73.4676.11A.01R.1755.07	GTEX.13OVJ.0726.SM.5KM1W	GTEX.POYW.1226.SM.2XCEP	GTEX.ZYY3.0926.SM.5E454	GTEX.13O3P.1026.SM.5N9E7	GTEX.1477Z.0626.SM.5NQB7	GTEX.X261.1026.SM.3NMDL	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.NPJ8.0326.SM.2D7VV	GTEX.X4EP.0526.SM.3P5YW	GTEX.13FHO.1026.SM.5KM1Q	TCGA.34.5234.01A.01R.1635.07	GTEX.13OVJ.0626.SM.5J2O2	TCGA.FL.A1YG.11A.12R.A16F.07
ADORA3	108.14	96.68	158.79	114.36	9.7	5.11	69.52	297.17	0.0	0.0	518.15	476.71	336.79	616.37	497.0	708.18	703.28	312.0	166.73	258.57	80.57	120.94	180.02	173.85	118.43	305.55	94.67	43.94	575.03	65.72	35.5
AF165138.7	0.0	0.35	6.01	0.0	0.0	0.0	0.0	10.39	0.0	0.12	4.35	3.08	7.63	15.56	85.22	7.88	21.32	0.0	3.66	0.0	3.0	3.92	0.0	0.0	1.95	0.0	0.0	0.0	3.2	0.0	1.53
AIF1	1733.13	397.93	283.05	289.02	29.91	85.22	616.37	5672.41	0.0	0.45	3716.2	4210.15	3325.99	2555.58	4903.87	6471.02	5872.48	4671.57	6840.04	2591.27	2148.82	1977.24	2148.82	1159.07	7485.11	1001.93	3060.45	6887.62	4481.23	902.89	346.29
ANKRA2	463.65	285.03	551.56	265.87	143.01	205.5	155.5	743.43	0.0	0.21	1044.52	551.56	1111.82	1023.0	503.95	647.07	854.13	228.13	132.44	271.48	221.86	236.21	406.31	224.97	226.54	220.32	169.07	397.93	559.28	555.41	339.14
ANKRD49	438.59	244.57	287.01	285.03	114.36	115.97	15.22	595.34	0.0	0.51	713.11	470.14	647.07	595.34	500.46	988.12	785.88	172.65	231.32	334.46	171.45	236.21	414.87	176.29	208.38	248.0	172.65	193.01	813.63	267.73	228.13
APOBEC3G	303.44	476.71	195.72	149.12	34.02	28.04	39.22	1467.37	0.0	0.44	587.13	1015.93	1088.92	808.0	1268.46	1540.37	1388.16	457.25	289.02	248.0	202.66	289.02	583.07	248.0	642.59	249.73	1119.56	796.86	1487.87	220.32	450.94
APTX	583.07	1721.16	470.14	432.53	353.59	791.35	361.04	802.41	0.0	0.88	563.18	1322.37	1135.2	769.69	1066.48	902.89	547.75	624.99	764.36	896.64	392.44	543.96	329.84	532.74	603.67	629.35	629.35	571.05	1015.93	454.09	563.18
ATG12	981.29	848.22	1001.93	684.02	234.57	221.86	221.86	1369.04	466.88	392.44	1199.98	1119.56	1191.69	1388.16	1378.57	1313.23	1127.35	791.35	915.51	769.69	967.76	947.83	878.17	775.05	759.08	503.95	713.11	928.3	1135.2	587.13	665.29
C1orf200	1.6	0.31	0.0	0.0	0.0	0.42	0.0	3.44	0.0	0.0	3.5	2.53	8.13	1.11	1.89	3.89	4.43	1.93	2.18	0.0	1.55	3.99	0.83	1.97	5.87	1.66	3.38	3.79	2.25	0.0	0.0
C1orf63	1378.57	708.18	4268.94	583.07	480.04	518.15	92.7	2271.4	0.0	1.66	1794.29	1617.0	2739.08	1870.53	1369.04	3665.02	2682.69	599.49	426.57	1378.57	708.18	785.88	1529.73	854.13	1697.45	500.46	476.71	1417.35	878.17	2451.44	656.11
