	GTEX.XUZC.1626.SM.4BRVP	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.7235.11A.01R.2016.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13O61.1726.SM.5KM46	GTEX.13QJC.0826.SM.5RQKC	GTEX.13W46.0926.SM.5LU3T	GTEX.V1D1.0926.SM.4JBHQ	GTEX.13QBU.1626.SM.5LU4S
AC135178.1	88.26	72.01	102.25	2.29	10.79	4.58	11.21	28.04	21.32	0.0	0.4	47.84	92.7	122.64	109.66	78.89
ACIN1	2351.53	2609.3	2451.44	703.28	1250.98	733.19	1709.26	1295.13	1685.71	1322.37	674.59	1909.85	3820.7	3768.09	3847.29	2193.99
AGAP6	507.46	249.73	356.05	21.94	49.91	28.86	150.17	70.01	74.06	0.0	1.19	123.5	547.75	753.83	435.55	258.57
AKAP17A	426.57	616.37	518.15	133.36	175.07	165.57	271.48	166.73	228.13	0.0	1.03	412.0	620.67	612.11	713.11	400.71
ALG2	2018.8	723.08	995.0	579.04	688.78	392.44	647.07	748.61	463.65	0.0	0.31	902.89	819.3	1199.98	890.44	540.19
ANKRD23	88.26	74.58	90.77	7.57	16.03	13.62	31.9	9.13	40.07	0.0	0.74	93.35	65.26	149.12	129.69	106.63
AP003068.6	36.01	20.56	11.47	1.89	2.66	5.68	12.74	7.69	7.88	0.0	0.67	11.38	29.27	49.21	44.57	15.56
ARHGEF1	1745.2	3039.3	2417.67	1477.58	995.0	583.07	1175.27	1001.93	1001.93	0.0	1.31	1447.15	5041.77	2319.15	2485.67	1870.53
ARL17A	320.8	104.42	60.39	17.77	77.79	46.84	80.01	71.5	62.56	0.0	0.52	164.42	518.15	134.3	295.11	135.24
ATR	1313.23	426.57	647.07	218.79	353.59	229.72	642.59	327.56	403.5	503.95	92.7	406.31	743.43	961.07	753.83	587.13
BCDIN3D	305.55	193.01	199.85	59.13	157.68	95.34	127.89	135.24	183.82	0.0	0.0	218.79	163.28	251.48	194.36	125.24
BCS1L	1030.12	1167.14	1030.12	271.48	450.94	547.75	591.22	429.54	483.38	0.0	0.0	796.86	872.1	1359.57	1397.83	967.76
C21orf128	4.13	103.69	199.85	0.0	0.0	0.0	0.0	0.38	0.67	0.0	0.0	0.4	0.46	0.0	0.46	0.0
C3orf35	19.11	28.04	81.71	1.85	4.13	3.89	13.42	5.77	4.46	0.0	0.49	12.93	38.95	29.48	45.21	22.1
C6orf164	15.68	40.93	31.22	0.0	0.0	0.73	4.86	3.06	3.06	0.0	0.38	4.35	20.11	7.4	20.11	19.11
C7orf61	22.59	18.97	11.38	5.06	6.62	18.03	11.13	10.55	6.41	0.0	0.15	10.16	26.67	33.78	11.82	10.96
C8orf44	139.07	201.25	255.0	46.84	56.68	49.21	78.89	46.18	57.49	0.0	0.34	102.97	236.21	246.28	295.11	190.34
C9orf41	271.48	151.22	214.27	84.04	107.38	118.43	133.36	161.02	125.24	105.89	84.04	149.12	198.47	223.41	204.07	95.34
CATSPER3	23.42	15.56	17.51	2.81	7.51	3.47	6.26	6.73	10.96	0.0	0.11	7.94	18.29	24.28	28.24	6.52
CCDC79	1.71	2.12	4.43	0.0	0.0	1.03	0.73	0.0	0.0	0.0	0.06	0.27	1.03	1.81	2.61	0.91
CCNL2	3515.68	3467.27	2451.44	395.18	476.71	343.89	2287.2	854.13	1051.79	0.0	1.89	1709.26	4869.99	5711.87	4836.35	2573.36
CCNT2	414.87	281.09	371.22	135.24	198.47	153.34	299.25	187.71	189.02	0.0	0.68	251.48	616.37	366.09	483.38	381.68
CDK11A	1059.11	967.76	669.92	295.11	305.55	301.33	486.75	503.95	571.05	358.54	1417.35	387.02	1277.29	1594.73	1073.91	872.1
CLK1	2777.33	3081.75	2627.46	769.69	486.75	684.02	1159.07	1963.57	529.06	0.0	0.45	2004.85	6561.36	6516.03	6037.61	2367.9
CLK2	1359.57	1605.83	1304.15	279.14	447.82	493.56	780.44	518.15	599.49	0.0	0.82	967.76	1594.73	2075.59	2351.53	1199.98
CNOT3	713.11	974.5	1051.79	679.29	599.49	470.14	543.96	563.18	567.1	389.72	454.09	769.69	1159.07	1397.83	1183.45	551.56
COA5	1073.91	1388.16	1331.57	348.71	543.96	457.25	753.83	684.02	854.13	0.0	0.56	967.76	1295.13	1447.15	1277.29	1159.07
