	TCGA.KM.8639.01A.11R.2403.07	GTEX.13OVI.1126.SM.5KLZF	TCGA.CJ.5686.01A.11R.1672.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.A3.3363.01A.01R.0864.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.CJ.5680.11A.01R.1541.07	TCGA.CJ.5679.11A.01R.1541.07	TCGA.B0.5694.11A.01R.1541.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CW.5584.11A.01R.1541.07	TCGA.CZ.5987.11A.01R.1672.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.5P.A9KA.01A.11R.A42S.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.2Z.A9JL.01A.11R.A42S.07	TCGA.J7.6720.01A.11R.2139.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.DZ.6132.01A.11R.1965.07	TCGA.4A.A93X.01A.11R.A37K.07	TCGA.UZ.A9PN.01A.11R.A38C.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.A4.7997.01A.11R.2204.07	TCGA.V9.A7HT.01A.11R.A33Z.07	TCGA.B1.7332.01A.11R.A32Z.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.MH.A561.01A.11R.A26U.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.BQ.5883.01A.11R.1592.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.BQ.7053.01A.11R.1965.07	TCGA.5P.A9K4.01A.11R.A42S.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.2Z.A9J3.01A.12R.A38C.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.BQ.5888.11A.01R.1592.07	TCGA.GL.7966.11A.01R.2204.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.O8.A75V.01A.11R.A32O.07	GTEX.YB5E.0326.SM.5IFHU
ABLIM1	1745.2	1340.84	1135.2	743.43	559.28	1447.15	2133.97	1437.15	1781.89	1304.15	1457.23	1388.16	2090.03	981.29	660.68	656.11	764.36	514.56	1359.57	684.02	995.0	1001.93	525.39	1073.91	1487.87	1135.2	1015.93	599.49	884.29	612.11	1037.29	743.43	890.44	854.13	1073.91	547.75	796.86	1104.13	1183.45	629.35	669.92	1008.9	1313.23	842.36	836.53	1662.49	1457.23	1651.0	713.11	954.43	1096.5	1388.16	318.57	713.11	1378.57	884.29	718.08	1529.73	1059.11	791.35	1331.57	1242.34	629.35	629.35	967.76	1088.92	1037.29	665.29	1159.07	624.99	1250.98	1697.45	389.72	191.67	98.04	194.36	325.29	202.66	171.45
ADAMTS5	7.69	104.42	154.42	13.62	28.45	10.79	112.77	81.14	98.04	148.09	175.07	107.38	141.02	146.03	2.71	1.75	12.45	28.24	114.36	41.22	76.17	101.54	3.14	29.48	2.73	11.73	90.77	3.53	4.39	3.17	19.82	5.06	3.29	20.86	54.33	0.8	224.97	4.94	42.71	46.5	129.69	17.13	4.46	5.28	3.2	69.03	57.08	58.71	3.56	46.18	12.27	426.57	15.8	4.82	6.67	2.97	8.25	66.65	46.5	55.49	152.28	490.14	11.04	3.47	17.38	9.93	182.55	2.48	86.43	3.03	42.11	115.16	12.36	4.7	1.64	7.22	18.29	8.13	9.2
AEBP2	612.11	836.53	624.99	295.11	297.17	529.06	599.49	674.59	693.58	607.87	780.44	521.76	791.35	400.71	325.29	291.04	287.01	353.59	551.56	329.84	486.75	500.46	301.33	305.55	429.54	463.65	406.31	198.47	361.04	258.57	514.56	318.57	414.87	348.71	336.79	242.88	571.05	323.03	414.87	426.57	363.56	466.88	842.36	629.35	260.38	450.94	392.44	466.88	295.11	514.56	289.02	511.0	583.07	389.72	490.14	435.55	262.2	454.09	454.09	214.27	381.68	543.96	205.5	351.14	381.68	314.17	511.0	269.6	543.96	234.57	387.02	547.75	86.43	123.5	100.83	114.36	154.42	126.12	208.38
AP5B1	267.73	289.02	141.02	115.97	170.25	146.03	244.57	211.31	194.36	153.34	92.05	186.4	170.25	177.53	162.14	75.64	67.59	125.24	244.57	159.9	93.35	148.09	67.59	98.73	314.17	105.89	236.21	82.29	94.67	88.26	162.14	152.28	183.82	111.21	212.78	135.24	187.71	90.14	133.36	144.01	159.9	190.34	156.59	140.04	127.89	175.07	283.05	323.03	141.02	161.02	125.24	262.2	166.73	112.77	239.52	236.21	90.77	277.2	186.4	84.04	158.79	208.38	115.16	67.59	185.11	156.59	204.07	66.65	190.34	66.65	170.25	147.06	120.1	50.98	120.1	49.91	109.66	96.01	102.97
ARHGAP19	47.84	167.9	102.25	75.64	68.07	75.64	159.9	182.55	283.05	285.03	165.57	137.14	124.37	63.0	20.41	60.82	88.26	72.01	130.6	79.45	65.26	52.08	60.82	96.68	93.35	48.87	90.14	38.12	42.71	57.08	80.01	61.68	72.52	90.14	103.69	57.08	98.73	74.06	92.7	105.15	87.65	104.42	74.58	50.98	85.22	101.54	60.82	62.12	70.01	65.26	48.18	62.56	31.67	56.68	131.51	68.55	60.82	97.36	126.12	61.68	73.03	131.51	61.68	47.84	51.71	105.15	78.34	50.98	74.58	28.65	115.16	158.79	107.38	64.34	46.18	73.03	52.45	60.39	94.67
ARHGEF12	785.88	1721.16	1322.37	830.75	718.08	974.5	1936.53	1757.34	2133.97	1896.65	2351.53	1605.83	2133.97	1572.76	909.17	397.93	769.69	521.76	2018.8	813.63	878.17	1427.22	420.68	878.17	1617.0	1044.52	1119.56	616.37	457.25	463.65	1081.39	674.59	1015.93	896.64	1151.06	624.99	1008.9	579.04	759.08	954.43	866.07	1378.57	1529.73	780.44	555.41	1709.26	1540.37	1167.14	624.99	967.76	633.73	1467.37	536.45	703.28	1806.78	1073.91	743.43	1388.16	1369.04	785.88	728.11	1104.13	444.72	529.06	872.1	1127.35	1286.18	414.87	1594.73	341.51	902.89	1561.89	525.39	260.38	246.28	312.0	473.41	397.93	616.37
ASH1L	171.45	961.07	353.59	124.37	128.79	258.57	395.18	336.79	363.56	368.65	514.56	277.2	426.57	251.48	135.24	74.06	142.01	115.16	423.61	220.32	177.53	285.03	101.54	136.19	387.02	169.07	258.57	79.45	142.01	76.71	218.79	136.19	221.86	148.09	211.31	82.87	239.52	95.34	206.94	169.07	152.28	329.84	307.69	166.73	92.05	343.89	289.02	295.11	98.73	197.09	113.56	341.51	144.01	128.79	395.18	214.27	132.44	285.03	275.28	143.01	180.02	287.01	105.15	83.45	173.85	193.01	251.48	57.49	323.03	54.33	204.07	327.56	129.69	72.52	39.5	57.08	52.82	64.8	23.93
B3GNT2	848.22	1183.45	532.74	271.48	543.96	356.05	860.08	748.61	842.36	860.08	1359.57	780.44	866.07	438.59	253.23	291.04	251.48	555.41	620.67	341.51	256.78	381.68	128.79	172.65	406.31	325.29	529.06	201.25	211.31	336.79	493.56	575.03	325.29	381.68	336.79	223.41	540.19	101.54	239.52	379.04	346.29	406.31	432.53	587.13	486.75	493.56	271.48	366.09	432.53	351.14	125.24	728.11	351.14	327.56	363.56	713.11	185.11	571.05	607.87	228.13	684.02	242.88	217.27	295.11	595.34	305.55	638.15	346.29	381.68	100.83	567.1	848.22	172.65	156.59	190.34	138.1	208.38	91.41	334.46
BBX	332.14	1781.89	733.19	336.79	336.79	571.05	941.27	854.13	802.41	748.61	1467.37	733.19	921.88	521.76	334.46	201.25	232.94	253.23	813.63	249.73	476.71	1143.1	102.25	480.04	825.0	283.05	423.61	120.1	384.34	127.89	397.93	249.73	309.83	293.07	423.61	163.28	579.04	175.07	406.31	651.58	511.0	669.92	981.29	466.88	320.8	665.29	612.11	713.11	204.07	384.34	248.0	660.68	346.29	403.5	1119.56	384.34	255.0	571.05	476.71	320.8	271.48	616.37	285.03	242.88	426.57	376.41	457.25	201.25	764.36	115.16	397.93	698.41	81.14	61.68	31.45	61.25	71.0	61.25	68.07
BMPR1A	178.77	432.53	201.25	158.79	193.01	158.79	343.89	325.29	237.86	267.73	595.34	214.27	368.65	191.67	72.52	60.82	121.79	39.5	241.19	145.02	102.97	239.52	119.26	71.0	221.86	113.56	214.27	68.55	93.35	59.97	170.25	114.36	142.01	127.0	100.13	120.94	199.85	84.04	115.97	172.65	120.94	212.78	195.72	87.03	82.87	287.01	208.38	226.54	78.89	142.01	102.97	202.66	51.71	75.11	223.41	150.17	84.63	212.78	244.57	55.49	105.89	177.53	83.45	76.17	105.89	127.0	138.1	40.07	221.86	44.57	204.07	277.2	67.12	39.79	23.59	36.79	38.12	26.86	109.66
