	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.E2.A153.11A.31R.A12D.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.AC.A2FF.11A.13R.A17B.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.A7.A0DC.11A.41R.A089.07.1	GTEX.WYBS.0926.SM.3NM94	GTEX.Q2AG.0326.SM.48U1O	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.5434.01A.01R.1686.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.A4CA.01A.11R.A24Z.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07
PKDCC	202.66	202.66	353.59	1498.22	438.59	532.74	1498.22	265.87	493.56	0.0	1605.83	543.96	13.32	22.59	6.11	10.0	4.28	13.03	4.35	17.0	9.93	4.1	140.04	82.29	4.66	154.42	13.72	7.22	24.28	88.88	13.52	211.31	6.41	7.57	202.66	18.97	21.01	12.45	185.11	13.32
PNMAL2	41.81	41.81	38.67	70.01	47.5	65.72	70.01	90.77	38.95	11.82	42.41	53.19	8.85	5.5	2.66	4.54	3.53	2.18	5.28	20.71	2.16	2.58	18.84	9.93	3.82	28.45	2.61	2.01	3.14	10.47	15.8	13.52	3.0	5.87	9.85	4.17	5.36	2.73	16.63	2.48
PODXL	718.08	718.08	1447.15	1457.23	1697.45	1397.83	1457.23	1008.9	1397.83	71.0	1628.26	1119.56	157.68	99.43	229.72	173.85	142.01	93.35	180.02	106.63	58.3	114.36	830.75	591.22	81.14	540.19	129.69	70.01	128.79	223.41	256.78	684.02	98.73	169.07	239.52	124.37	158.79	172.65	603.67	104.42
RABL2A	183.82	183.82	395.18	271.48	400.71	466.88	271.48	441.64	529.06	86.43	656.11	1159.07	42.11	68.55	34.26	67.12	24.81	47.5	42.41	130.6	29.48	63.89	121.79	67.59	65.72	199.85	52.82	26.47	66.65	198.47	52.82	110.43	39.5	77.25	90.77	59.13	41.52	104.42	249.73	45.21
RNF183	733.19	733.19	63.89	92.7	88.88	130.6	92.7	633.73	73.03	75.11	5006.93	8022.41	0.0	1.58	1.85	4.46	1.14	4.03	5.23	0.0	3.38	1.53	9.41	15.68	24.46	5.87	0.62	0.0	5.63	8.06	2.71	0.0	6.57	5.41	2.71	0.0	1.38	0.0	42.41	0.0
ROBO2	6.62	6.62	9.48	29.48	14.03	14.78	29.48	56.68	157.68	1457.23	163.28	126.12	13.72	3.47	18.97	6.73	3.17	1.48	5.19	9.63	0.0	10.88	8.13	26.47	6.52	71.0	0.19	3.11	2.58	34.26	59.55	16.27	0.87	14.45	2.61	1.66	7.57	0.0	26.86	4.03
RPS6KA6	38.67	38.67	41.52	48.52	57.49	84.63	48.52	157.68	74.58	1.87	52.82	82.87	0.51	0.89	0.0	0.53	0.51	0.48	4.03	2.32	0.0	0.0	0.57	1.97	0.0	8.71	0.0	0.97	0.0	6.52	3.96	6.78	0.0	0.0	0.47	2.18	0.6	0.0	24.63	0.0
SAMD13	28.86	28.86	46.84	41.81	81.14	46.84	41.81	82.87	96.68	28.65	63.45	107.38	12.36	5.82	8.32	3.2	2.2	10.55	9.27	5.19	1.6	6.01	59.97	13.62	7.34	11.21	5.23	7.28	9.2	16.27	19.68	4.46	9.13	7.11	13.12	12.64	2.73	14.45	33.3	10.63
SBSPON	56.28	56.28	281.09	145.02	547.75	366.09	145.02	1733.13	271.48	1.57	480.04	156.59	2.61	4.9	2.1	14.89	4.98	2.48	7.88	4.35	4.43	4.39	6.62	16.88	2.92	371.22	2.18	3.26	15.56	10.08	11.04	10.31	2.89	1.89	8.13	2.76	4.7	8.99	101.54	3.89
SCN2B	11.3	11.3	43.02	17.51	49.21	46.18	17.51	69.03	75.11	23.08	20.56	17.51	3.86	5.15	1.22	3.29	6.57	1.64	1.77	12.45	0.0	0.65	8.85	8.65	1.35	10.39	1.71	1.51	2.12	7.63	9.93	10.55	13.52	2.2	14.78	6.26	2.61	10.88	9.06	0.79
SLC25A42	153.34	153.34	186.4	163.28	167.9	223.41	163.28	162.14	193.01	69.52	256.78	232.94	96.68	86.43	80.01	57.49	13.32	102.97	61.25	94.01	53.95	30.78	126.12	64.34	57.49	77.79	27.84	48.52	90.77	87.65	84.63	121.79	56.68	151.22	150.17	41.81	57.49	66.18	102.97	67.59
SLC4A8	105.89	105.89	100.83	131.51	80.01	71.5	131.51	420.68	271.48	2.51	723.08	269.6	8.99	10.16	10.55	14.03	23.76	6.84	11.38	16.39	60.39	8.13	10.39	14.24	17.25	21.01	19.39	5.92	13.52	26.86	21.01	26.28	9.85	6.73	19.39	9.93	12.27	18.43	80.01	17.0
SMARCD3	420.68	420.68	819.3	759.08	1023.0	967.76	759.08	1037.29	629.35	108.9	4450.27	2319.15	102.25	137.14	39.79	59.55	35.0	49.91	81.14	153.34	55.89	55.49	376.41	164.42	65.72	447.82	50.27	18.16	71.5	194.36	197.09	214.27	21.94	58.3	403.5	63.0	66.65	70.01	224.97	63.0
SNX22	96.68	96.68	22.26	20.71	144.01	118.43	20.71	22.1	157.68	10.47	24.81	21.47	4.58	16.88	3.32	18.29	6.67	14.24	11.91	30.78	10.24	8.0	13.93	12.83	12.64	17.13	5.23	10.39	11.47	13.52	8.71	17.0	10.47	5.73	20.56	13.72	15.0	16.88	33.54	18.97
