	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.E2.A153.11A.31R.A12D.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.AC.A2FF.11A.13R.A17B.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.A7.A0DC.11A.41R.A089.07.1	GTEX.WYBS.0926.SM.3NM94	GTEX.Q2AG.0326.SM.48U1O	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.5434.01A.01R.1686.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.A4CA.01A.11R.A24Z.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07
ACACB	231.32	231.32	343.89	2935.74	279.14	718.08	2935.74	595.34	470.14	12.64	305.55	285.03	7.57	7.88	12.45	30.78	7.06	5.45	13.93	7.17	7.69	4.62	96.01	31.67	9.06	162.14	2.18	5.73	10.79	53.57	21.32	108.14	25.35	10.79	76.17	19.11	9.27	11.64	156.59	6.94
ACSS1	698.41	698.41	624.99	312.0	373.81	457.25	312.0	376.41	403.5	47.17	629.35	583.07	166.73	237.86	74.58	139.07	69.03	198.47	142.01	172.65	51.35	147.06	55.89	162.14	120.1	429.54	74.58	63.0	94.01	228.13	171.45	271.48	251.48	309.83	307.69	157.68	72.52	180.02	323.03	116.78
ADAM22	91.41	91.41	44.25	73.03	47.84	57.08	73.03	120.94	43.32	10.63	52.08	43.32	1.83	6.52	1.14	3.59	0.58	0.56	11.91	7.75	1.62	3.29	14.35	7.82	0.57	23.59	4.54	3.29	5.5	10.63	3.32	17.64	2.53	4.46	14.56	8.25	2.23	1.83	24.63	2.43
AMOT	107.38	107.38	236.21	262.2	373.81	406.31	262.2	551.56	241.19	12.93	1096.5	2148.82	5.23	3.26	7.0	4.7	2.92	2.41	15.68	10.0	1.07	3.89	34.51	40.93	8.45	90.14	0.8	0.57	7.22	42.11	42.71	101.54	2.43	3.89	115.97	5.11	7.4	9.85	185.11	6.67
ANK2	180.02	180.02	423.61	902.89	218.79	353.59	902.89	460.44	647.07	5.15	130.6	316.37	6.31	6.21	5.96	13.22	1.41	5.19	1.85	47.17	2.12	4.86	28.45	264.03	7.28	86.43	3.23	4.62	6.36	61.25	58.3	536.45	1.75	8.32	66.65	9.56	6.26	9.93	92.05	6.73
ANKRD6	226.54	226.54	194.36	187.71	205.5	285.03	187.71	371.22	384.34	105.15	620.67	808.0	17.25	40.64	8.99	58.3	8.92	11.64	90.14	18.7	10.39	5.28	105.89	35.76	72.01	98.04	2.84	5.5	46.18	145.02	85.22	99.43	17.0	7.63	42.71	24.81	13.62	11.55	88.26	5.23
ANKS1B	65.26	65.26	118.43	73.54	84.04	113.56	73.54	316.37	224.97	2.68	54.72	248.0	4.13	0.53	6.21	4.31	2.53	19.53	0.96	34.51	12.0	4.66	26.28	8.51	13.32	15.34	6.01	4.9	4.54	3.89	3.66	5.68	3.2	1.85	23.93	7.22	7.51	0.54	30.34	11.21
APBB1	500.46	500.46	463.65	414.87	525.39	728.11	414.87	693.58	620.67	12.55	679.29	473.41	97.36	84.04	61.25	54.33	25.54	23.42	107.38	123.5	36.01	30.56	202.66	145.02	57.89	318.57	17.77	39.79	47.5	193.01	164.42	237.86	28.86	46.5	256.78	77.25	73.54	33.78	325.29	67.12
ARHGAP20	16.39	16.39	99.43	198.47	85.82	113.56	198.47	64.8	127.0	8.25	139.07	128.79	4.24	0.83	1.43	1.68	4.58	1.16	2.78	2.25	0.97	1.53	7.0	15.68	1.57	8.85	1.03	1.33	3.89	18.84	36.79	19.68	1.53	2.1	5.54	3.69	2.43	1.23	40.07	2.71
ASPA	26.1	26.1	32.59	206.94	23.59	67.59	206.94	116.78	127.0	4.86	84.63	128.79	0.39	0.38	0.89	1.58	1.13	1.43	2.29	3.17	0.88	2.14	18.7	9.63	2.89	4.74	0.32	0.0	2.66	2.34	3.69	6.94	0.0	0.8	10.08	0.8	1.41	0.39	20.86	1.69
ATP8A1	135.24	135.24	329.84	163.28	115.97	202.66	163.28	232.94	194.36	20.56	231.32	143.01	4.9	12.83	1.23	17.13	6.52	8.58	11.64	26.47	23.59	9.78	31.67	30.56	12.36	41.81	1.28	10.16	14.45	29.91	17.51	72.01	10.63	5.15	34.75	17.64	6.52	12.83	91.41	20.11
BBS2	463.65	463.65	842.36	616.37	934.76	1167.14	616.37	1781.89	1159.07	633.73	1313.23	2209.26	277.2	395.18	163.28	295.11	223.41	301.33	281.09	493.56	195.72	318.57	603.67	277.2	277.2	316.37	279.14	165.57	253.23	351.14	258.57	299.25	275.28	325.29	353.59	323.03	133.36	281.09	470.14	336.79
C14orf132	81.71	81.71	186.4	185.11	241.19	198.47	185.11	283.05	429.54	5.11	878.17	842.36	53.95	23.59	28.24	16.51	16.51	55.49	32.36	38.4	4.24	37.32	89.51	136.19	52.82	101.54	18.29	2.25	23.93	147.06	76.71	76.17	57.08	96.68	65.26	25.35	22.75	55.1	82.87	28.45
C2orf81	153.34	153.34	70.01	107.38	105.15	82.29	107.38	104.42	69.52	6.46	575.03	1909.85	23.25	27.84	26.28	16.27	8.58	33.54	7.11	39.79	8.13	23.93	119.26	23.08	44.89	43.02	46.5	21.63	12.83	40.36	43.94	28.24	40.64	35.0	66.18	18.16	20.71	27.44	171.45	23.08
CBX7	265.87	265.87	718.08	748.61	563.18	1216.75	748.61	836.53	620.67	43.94	1304.15	1175.27	75.11	81.14	27.05	94.01	41.22	59.55	116.78	85.82	58.71	114.36	212.78	237.86	59.13	220.32	31.22	71.0	50.63	202.66	251.48	253.23	69.52	77.25	206.94	54.33	50.63	33.3	444.72	100.83
CCDC157	94.01	94.01	71.0	53.19	76.71	100.83	53.19	44.89	84.04	34.02	417.77	1066.48	23.76	37.32	31.0	24.46	13.32	32.13	25.35	37.85	33.54	9.27	51.35	24.81	26.47	41.52	24.63	12.74	31.67	40.93	44.89	26.67	22.75	19.68	51.71	17.51	16.03	21.16	77.25	22.43
CCDC40	83.45	83.45	143.01	97.36	96.68	229.72	97.36	92.05	220.32	0.04	277.2	2777.33	12.27	27.84	22.1	26.1	7.88	18.7	16.03	33.78	5.54	5.82	28.65	18.16	21.32	26.28	78.34	34.02	14.67	75.11	32.13	40.07	23.93	20.41	12.45	16.27	5.32	24.28	118.43	6.16
CCDC85A	9.7	9.7	37.59	117.6	17.0	55.1	117.6	15.56	75.11	3.29	24.11	40.07	0.89	0.48	1.04	2.18	0.49	1.23	0.91	3.08	0.56	0.47	7.34	8.45	0.48	14.14	0.0	1.39	0.0	7.46	4.86	9.2	0.87	0.95	1.19	1.36	0.59	0.0	33.3	1.45
CCM2L	72.52	72.52	171.45	194.36	133.36	124.37	194.36	70.01	262.2	31.67	277.2	112.77	11.04	14.45	13.83	28.45	11.38	13.12	19.53	14.67	9.41	12.0	90.14	62.12	21.01	74.58	8.45	7.46	23.08	34.51	29.06	62.56	12.09	14.67	57.89	6.36	13.62	11.13	61.68	25.72
CHN2	100.13	100.13	73.54	93.35	105.15	62.56	93.35	120.1	148.09	4.9	4639.29	6250.56	62.56	10.47	14.35	7.22	3.17	17.77	11.64	7.75	16.51	23.76	33.54	17.77	13.83	27.84	10.16	10.16	4.9	48.87	29.7	54.72	14.78	29.48	52.82	11.21	7.0	14.78	91.41	22.26
CTSF	2178.83	2178.83	1605.83	2739.08	1259.69	2645.74	2739.08	1819.35	3325.99	262.2	4972.34	3257.52	389.72	299.25	175.07	147.06	47.5	153.34	178.77	234.57	89.51	92.7	848.22	460.44	115.16	511.0	185.11	151.22	104.42	363.56	476.71	457.25	125.24	112.77	642.59	141.02	201.25	109.66	532.74	164.42
CX3CR1	218.79	218.79	75.64	41.52	423.61	543.96	41.52	56.68	693.58	43.63	163.28	224.97	19.39	5.32	1.31	3.44	5.73	21.63	4.06	8.13	6.73	2.1	7.88	21.63	3.89	19.53	8.85	2.78	3.66	42.41	77.79	48.18	3.47	2.71	30.78	16.75	2.73	5.45	66.65	29.48
DEPTOR	1066.48	1066.48	775.05	441.64	595.34	890.44	441.64	1225.22	974.5	12.09	595.34	1313.23	42.41	15.0	17.9	84.63	54.72	18.56	73.54	31.9	8.38	13.42	178.77	115.97	42.71	83.45	27.44	38.4	25.35	136.19	136.19	130.6	9.27	40.64	142.01	12.74	25.72	47.84	293.07	34.51
EDN3	34.02	34.02	255.0	142.01	275.28	106.63	142.01	155.5	316.37	132900.7	16045.82	9025.81	1.14	0.0	0.77	0.71	0.0	0.66	0.0	3.23	0.0	0.0	1.28	4.54	0.0	3.92	0.0	0.0	0.0	2.14	2.23	7.06	0.66	0.0	37.32	2.14	0.0	0.0	44.25	0.0
EPHA6	8.19	8.19	4.17	10.31	3.63	17.13	10.31	15.22	10.31	51.35	48.87	35.0	0.0	0.72	0.85	0.0	0.0	0.68	0.0	0.68	0.0	0.35	1.66	2.53	0.0	1.31	0.0	0.79	0.0	1.87	1.19	1.68	0.69	0.0	0.0	0.39	0.0	0.0	5.92	0.85
EPM2A	95.34	95.34	101.54	166.73	92.05	111.21	166.73	150.17	81.14	25.35	63.0	76.17	40.93	20.56	18.84	40.93	35.25	20.56	21.63	24.99	20.86	22.75	65.26	37.05	19.97	51.35	31.0	9.2	24.46	58.3	35.25	41.81	19.68	14.56	81.71	48.18	17.51	20.26	58.71	35.25
FAM107A	111.21	111.21	309.83	796.86	279.14	733.19	796.86	967.76	249.73	2.2	8134.41	1427.22	2.76	6.84	13.83	20.41	3.17	11.21	32.36	248.0	5.15	34.75	14.56	125.24	7.17	55.49	1.97	11.91	7.0	12.36	41.52	65.72	3.86	12.55	33.78	28.65	39.79	2.78	403.5	43.02
GABRA2	3.06	3.06	15.45	35.76	7.75	5.36	35.76	2.03	51.71	3.17	23.93	2.18	0.47	0.0	0.0	0.49	0.0	1.19	0.0	7.69	0.0	0.0	0.0	1.01	0.46	1.14	0.0	0.0	0.0	0.0	2.66	1.0	0.45	0.49	6.06	2.14	0.0	0.0	3.26	0.0
GLOD5	31.22	31.22	20.71	6.41	30.12	22.59	6.41	33.06	39.79	74.58	248.0	785.88	0.0	0.0	0.0	2.16	0.0	2.71	0.0	0.0	0.0	0.0	5.54	0.0	0.0	1.53	0.0	1.81	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.7	0.0
GPRASP1	69.52	69.52	132.44	120.1	132.44	232.94	120.1	205.5	161.02	9.2	371.22	514.56	5.41	5.32	3.06	14.67	3.56	2.1	8.25	16.27	5.19	2.97	30.78	21.78	3.03	24.11	2.25	4.86	7.34	22.43	8.92	23.93	3.89	5.73	8.25	10.47	8.32	5.92	56.68	6.57
HCN1	3.41	3.41	2.84	6.78	0.38	6.01	6.78	3.99	3.99	0.0	13.32	1.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.95	0.0	0.0	0.0	0.0	0.38	0.73	0.0	0.0	0.0	0.41	0.0	0.46	0.0	0.0	0.36	0.41	0.49	0.0	2.27	0.0
IFT140	543.96	543.96	361.04	312.0	305.55	429.54	312.0	583.07	447.82	84.04	995.0	1001.93	77.25	108.14	79.45	84.63	58.71	97.36	94.01	74.06	37.05	68.07	363.56	181.28	100.13	123.5	108.9	65.26	76.71	139.07	144.01	116.78	78.34	128.79	114.36	73.54	56.28	195.72	277.2	92.05
IL17RB	82.29	82.29	215.77	368.65	212.78	536.45	368.65	189.02	305.55	50.98	441.64	679.29	6.57	6.89	11.73	15.11	11.73	7.06	19.39	14.03	5.02	3.72	35.25	15.45	7.22	13.93	6.57	8.51	22.26	18.56	14.35	21.16	10.08	6.01	12.74	9.7	10.79	6.62	37.85	8.19
KANK2	1286.18	1286.18	1111.82	2351.53	2119.22	1963.57	2351.53	1001.93	1709.26	253.23	5751.61	6983.79	281.09	287.01	336.79	217.27	320.8	159.9	175.07	356.05	279.14	195.72	1044.52	1104.13	217.27	819.3	220.32	167.9	229.72	780.44	599.49	954.43	178.77	392.44	902.89	351.14	262.2	269.6	1199.98	171.45
KCNJ16	9.48	9.48	37.85	193.01	84.04	144.01	193.01	262.2	37.59	0.0	358.54	486.75	0.0	0.68	0.0	0.0	0.68	0.0	0.0	12.64	0.0	0.0	0.77	1.31	0.0	0.65	0.0	0.0	0.69	1.19	0.0	0.0	0.0	0.0	0.65	0.72	0.0	0.69	15.56	0.0
KIAA1211L	154.42	154.42	241.19	128.79	152.28	220.32	128.79	397.93	69.52	813.63	607.87	796.86	23.76	28.86	102.25	77.79	17.25	41.81	60.39	111.21	41.81	37.32	94.01	129.69	37.32	47.17	54.72	60.82	60.82	144.01	177.53	53.95	43.94	34.75	140.04	31.22	41.22	68.07	348.71	187.71
KLF15	40.93	40.93	100.13	521.76	28.86	69.52	521.76	206.94	36.01	0.0	444.72	267.73	5.11	6.31	0.78	2.58	1.58	2.36	6.52	40.36	1.3	6.11	115.16	7.0	2.84	9.78	2.46	9.27	3.38	4.86	3.2	9.93	0.67	1.68	8.25	7.69	8.99	1.14	61.25	4.9
KLHDC1	36.79	36.79	75.64	92.05	58.3	102.97	92.05	132.44	96.68	22.1	113.56	112.77	12.18	4.94	8.85	10.16	16.27	6.78	8.99	5.96	13.72	13.22	36.53	26.67	8.99	16.03	4.54	12.74	7.63	21.94	13.42	18.97	6.84	29.06	16.51	17.77	7.75	4.17	36.53	10.24
KRT17	1096.5	1096.5	19754.96	8363.13	6250.56	47974.16	8363.13	27745.15	10154.69	4953441.24	170568.48	124000.67	475800.4	408505.64	971597.0	542775.98	485798.0	589853.66	466008.55	716197.51	701458.36	593956.43	428815.23	524287.0	524287.0	279017.26	542775.98	565825.41	645473.24	331809.5	303217.87	397335.0	546551.29	632189.57	309589.14	425853.18	912837.43	475800.4	271387.49	506427.83
LMX1A	2.61	2.61	1.35	25.17	1.04	5.11	25.17	2.34	20.56	0.68	2.36	2.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.61	0.45	0.0	21.32	0.32	0.0	1.14	0.8	0.42	0.45	0.0	0.0	0.36	0.0	0.0	0.0	1.75	0.0
LRRC3B	3.82	3.82	30.12	13.03	55.89	55.89	13.03	155.5	59.55	0.0	43.94	20.11	0.39	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	1.83	0.0	1.41	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	4.94	1.22	0.0	0.0	5.32	0.0
LZTFL1	579.04	579.04	493.56	575.03	563.18	642.59	575.03	733.19	842.36	113.56	457.25	1159.07	146.03	161.02	191.67	150.17	118.43	151.22	119.26	181.28	60.82	164.42	236.21	221.86	79.45	265.87	153.34	127.89	114.36	267.73	175.07	204.07	136.19	164.42	104.42	199.85	108.9	173.85	387.02	139.07
MECOM	115.97	115.97	283.05	204.07	173.85	138.1	204.07	191.67	332.14	403.5	2255.7	3874.05	15.34	13.42	49.91	39.5	16.75	18.16	28.65	12.64	13.62	19.39	223.41	71.5	32.59	165.57	15.91	34.26	17.38	92.05	57.08	86.43	13.12	75.11	43.32	21.94	42.41	21.32	295.11	26.67
MMP24	8.99	8.99	58.71	24.11	50.63	63.0	24.11	26.67	39.5	6.26	105.15	38.67	2.23	1.36	1.11	2.32	0.0	1.31	1.41	6.36	1.6	0.54	8.25	2.61	0.95	11.3	0.47	1.04	0.99	3.17	6.06	3.99	1.73	1.46	2.78	0.0	1.17	0.97	11.55	1.04
MSI2	967.76	967.76	698.41	819.3	665.29	780.44	819.3	1662.49	1088.92	271.48	866.07	1369.04	186.4	229.72	155.5	119.26	131.51	186.4	123.5	358.54	67.12	202.66	301.33	212.78	126.12	536.45	295.11	158.79	172.65	371.22	215.77	384.34	518.15	269.6	318.57	211.31	193.01	228.13	518.15	150.17
