	TCGA.ZF.AA58.01A.12R.A42T.07	GTEX.145ME.1526.SM.5Q5F2	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.IG.A97H.01A.11R.A38D.31	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.BA.A6DJ.01A.11R.A30B.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.D6.8569.01A.11R.2403.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CV.7235.11A.01R.2016.07	TCGA.CJ.4881.01A.01R.1305.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SK.01A.11R.A27V.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A10X.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.S32W.1926.SM.4AD63	GTEX.QDVN.0826.SM.48TZ2	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.1269C.0626.SM.5FQSS	GTEX.139YR.0226.SM.5IFEM	GTEX.S33H.1626.SM.4AD68	GTEX.ZZPU.0426.SM.5GZYH	GTEX.12WSG.0626.SM.5FQTQ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.132NY.0926.SM.5P9G3	GTEX.13NZ9.1326.SM.5MR3V	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.13VXU.0926.SM.5IFFH	GTEX.11WQC.0726.SM.5EQMR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AADAT	35.76	94.67	12.36	813.63	543.96	47.5	23.08	2.34	7.94	8.71	33.3	5.19	1.73	31.22	71.0	31.0	269.6	291.04	61.68	117.6	312.0	309.83	669.92	232.94	226.54	332.14	56.68	307.69	583.07	791.35	802.41	866.07	748.61	769.69	373.81	759.08	587.13	555.41	718.08	514.56	616.37	1073.91	1023.0	651.58	110.43	59.13	1806.78	1111.82	514.56	2133.97	353.59	2591.27	77.25	688.78	1015.93	234.57	185.11	629.35	197.09	718.08	115.16	170.25	129.69	651.58	1540.37	480.04	1183.45	90.14	1127.35	1151.06	1709.26	1030.12	0.0	0.4
ABHD1	8.92	85.22	10.55	142.01	73.54	3.32	5.87	3.89	3.41	2.56	0.0	6.57	0.0	88.88	25.91	20.86	64.8	75.11	48.18	96.68	73.54	130.6	34.51	84.04	65.26	137.14	16.51	194.36	72.52	94.01	96.68	124.37	115.16	113.56	59.55	122.64	118.43	224.97	62.56	159.9	29.27	91.41	223.41	144.01	7.75	8.65	76.71	224.97	11.47	28.45	37.59	80.01	23.93	123.5	316.37	43.02	52.45	48.87	82.29	29.48	68.55	42.41	52.45	75.64	70.51	53.57	88.88	67.12	206.94	120.94	483.38	336.79	0.0	0.14
ACAA1	1781.89	2664.15	934.76	11189.6	12329.98	665.29	1143.1	1605.83	595.34	733.19	848.22	1498.22	1662.49	1457.23	1322.37	3690.52	6561.36	9740.98	9808.75	6745.86	6887.62	11035.54	6792.79	9344.14	8963.45	7857.29	3146.52	9540.5	9740.98	11664.82	13033.07	14561.8	12160.22	10808.41	10014.87	13872.08	15824.9	15180.22	10959.3	10883.59	8538.88	13492.72	18178.19	14561.8	4358.66	3081.75	20451.65	26986.43	5913.33	16269.83	8778.97	17197.56	2758.13	16496.96	9740.98	8479.89	8022.41	13872.08	4358.66	10440.2	10014.87	7130.55	5594.3	9279.58	10659.59	9808.75	12160.22	8421.31	18560.17	12076.21	22072.07	19754.96	0.0	0.89
ACSM2B	0.0	1.66	0.0	18819.27	11827.67	0.0	0.0	0.39	0.0	0.0	0.0	0.0	5.32	0.44	1397.83	10440.2	10883.59	5292.48	10014.87	4972.34	10733.74	12764.83	12943.04	16269.83	5041.77	13215.02	5219.6	6840.04	12329.98	15392.14	15180.22	15285.81	14163.58	16727.26	8305.36	7803.01	9740.98	17317.18	8538.88	12076.21	7537.18	13399.51	19348.38	12415.75	392.44	228.13	12589.08	14663.09	13306.94	19214.73	10512.82	21172.91	134.3	17558.94	16383.0	1685.71	3372.43	26986.43	567.1	51775.15	2758.13	14262.1	764.36	16383.0	21320.18	24490.61	12853.63	1008.9	54727.32	25354.3	45072.75	34876.28	0.0	0.0
ACSM3	27.44	24.46	12.18	3768.09	2287.2	22.75	22.1	11.38	3.5	31.22	13.32	13.72	10.39	165.57	693.58	249.73	1819.35	1066.48	1617.0	954.43	409.15	2032.85	1111.82	1733.13	1059.11	1183.45	193.01	2004.85	1457.23	2609.3	2875.3	2739.08	2502.97	3039.3	1191.69	2351.53	2976.74	4123.49	2255.7	2148.82	1963.57	2835.7	3847.29	3955.48	336.79	65.72	4210.15	6121.9	1551.09	4419.52	896.64	4010.71	780.44	5329.3	4736.79	1628.26	2193.99	3124.78	387.02	2555.58	669.92	2627.46	346.29	3325.99	4038.61	2627.46	3690.52	490.14	6164.49	3372.43	6426.31	4769.75	0.0	0.16
ACSM5	4.17	1037.29	3.56	4736.79	2976.74	1.3	1.55	1.16	1.79	1.58	1.77	4.62	8.25	47.17	603.67	1286.18	3168.41	1896.65	2502.97	825.0	1844.76	1844.76	2032.85	2739.08	1378.57	3325.99	1044.52	2875.3	4095.0	1639.59	6381.92	5633.22	5672.41	5183.54	4066.71	3280.18	5517.27	3303.0	4181.07	2075.59	2935.74	5633.22	5831.91	4038.61	42.41	128.79	20881.4	4575.41	2645.74	7180.15	2061.24	8421.31	759.08	5441.3	3372.43	409.15	466.88	9606.86	480.04	1769.57	457.25	2537.92	1322.37	2468.49	13215.02	2240.11	1896.65	334.46	11189.6	6381.92	10440.2	13215.02	0.0	0.14
ADH6	2.14	3.14	0.0	9409.14	5076.84	20.71	0.0	1.17	0.0	0.0	1.79	2.76	1.25	3.41	34.02	1340.84	2976.74	2319.15	3168.41	4358.66	1350.18	7589.61	3212.66	5076.84	2520.38	1991.0	460.44	8191.0	5403.7	6983.79	6652.97	7857.29	6840.04	6699.25	3395.89	4388.98	4358.66	7032.37	4704.07	5555.65	4066.71	10883.59	9876.98	4328.55	414.87	293.07	10883.59	31650.8	3982.99	8421.31	1781.89	31650.8	379.04	8078.22	3349.13	974.5	4575.41	10368.08	214.27	10154.69	1594.73	5555.65	258.57	1950.0	12589.08	2163.77	7537.18	3874.05	11827.67	5913.33	24832.5	17558.94	0.0	0.16
ADK	1447.15	1487.87	884.29	2520.38	2018.8	1950.0	1991.0	1359.57	1268.46	1781.89	1467.37	1225.22	1832.01	764.36	275.28	1167.14	1073.91	1540.37	1832.01	2720.15	1001.93	2018.8	2240.11	1709.26	1388.16	2271.4	884.29	2047.0	1781.89	2148.82	1721.16	2468.49	2609.3	2367.9	1540.37	2119.22	2047.0	1963.57	2104.58	2384.37	2193.99	2537.92	2627.46	2573.36	2384.37	2209.26	2720.15	2520.38	3325.99	3372.43	2367.9	3103.19	1721.16	2739.08	1963.57	1819.35	1151.06	2451.44	1286.18	4358.66	3039.3	2287.2	708.18	2319.15	3515.68	1295.13	2520.38	1143.1	5041.77	2537.92	3018.3	1733.13	0.0	0.39
AGMO	1.83	71.0	0.0	1417.35	1104.13	10.88	0.0	0.0	0.44	0.0	1.43	2.71	1.22	2.89	87.65	543.96	1008.9	642.59	457.25	785.88	775.05	1295.13	718.08	1199.98	819.3	890.44	432.53	1359.57	1167.14	1135.2	1225.22	1175.27	915.51	1498.22	395.18	836.53	974.5	1233.75	1233.75	921.88	1015.93	1594.73	1304.15	988.12	58.3	49.21	2163.77	2417.67	2976.74	1832.01	204.07	4152.18	563.18	2133.97	854.13	511.0	688.78	2451.44	73.54	2148.82	273.37	299.25	214.27	860.08	2777.33	476.71	1923.14	264.03	2018.8	2032.85	3372.43	1250.98	0.0	0.3
AIG1	759.08	4388.98	603.67	4328.55	5441.3	599.49	791.35	723.08	785.88	733.19	612.11	1044.52	1331.57	866.07	2682.69	2178.83	4268.94	3901.01	3280.18	2224.63	3280.18	4388.98	2915.45	4210.15	3060.45	3665.02	2032.85	3614.55	5479.15	4152.18	4512.4	4937.99	4671.57	5711.87	3018.3	4671.57	4937.99	5366.37	4298.64	3901.01	5006.93	5711.87	4836.35	4903.87	2133.97	2400.97	5711.87	6745.86	5006.93	7331.05	2796.65	9409.14	3280.18	7433.4	3690.52	3467.27	3955.48	5517.27	2303.12	6337.83	4239.45	2287.2	2148.82	4358.66	8718.32	3589.58	5366.37	2193.99	6079.61	5913.33	7803.01	6250.56	0.0	0.59
