	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.AA62.01A.11R.A42T.07	TCGA.D6.6826.01A.11R.1915.07	TCGA.BB.4227.01A.01R.1873.07	TCGA.BA.4076.01A.01R.1436.07	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.14753.1626.SM.5NQ9L
EIF1AD	551.56	647.07	511.0	854.13	884.29	262.2	587.13	318.57	283.05	234.57	208.38
EIF2S3L	8.38	7.75	23.93	3.72	56.68	2.86	2.01	5.11	7.4	0.0	1.1
ERCC3	426.57	860.08	571.05	698.41	1081.39	384.34	297.17	500.46	281.09	258.57	139.07
ERCC6	116.78	105.15	211.31	90.77	183.82	47.17	21.32	45.21	30.56	14.24	24.99
FAM206A	358.54	429.54	420.68	454.09	514.56	171.45	158.79	190.34	172.65	85.82	72.52
FAM20B	178.77	417.77	473.41	525.39	392.44	199.85	154.42	248.0	157.68	111.99	127.89
FAM217B	67.59	95.34	150.17	129.69	144.01	21.47	15.11	33.06	19.25	5.92	8.06
FAM219B	718.08	532.74	371.22	373.81	669.92	234.57	275.28	291.04	131.51	152.28	132.44
FAM83A	3359929.59	5255.91	3901.01	6471.02	3955.48	0.0	1.13	0.0	3.03	0.0	6.21
FAM98B	237.86	303.44	309.83	457.25	229.72	112.77	75.64	171.45	111.21	61.68	65.26
FBXO45	429.54	403.5	281.09	368.65	603.67	68.07	69.52	94.67	57.89	39.5	28.45
FZD6	1277.29	698.41	1594.73	1508.65	1427.22	55.49	14.24	108.14	53.19	16.39	17.51
G2E3	88.26	167.9	307.69	287.01	414.87	40.36	22.43	55.1	40.36	13.93	13.93
GAPVD1	231.32	307.69	476.71	327.56	289.02	118.43	80.01	152.28	85.82	65.26	42.71
GBAS	397.93	808.0	1208.34	1304.15	4419.52	320.8	182.55	521.76	180.02	66.65	104.42
GIGYF1	209.84	444.72	450.94	299.25	563.18	239.52	173.85	281.09	166.73	111.21	66.65
GJC1	6.31	33.78	241.19	171.45	167.9	9.78	44.25	15.91	7.28	9.13	2.03
HMMR	221.86	351.14	409.15	842.36	348.71	16.03	23.25	44.57	8.0	2.78	2.51
IGF2BP3	312.0	23.08	540.19	234.57	444.72	8.45	0.64	5.11	0.53	0.0	7.4
INIP	343.89	267.73	301.33	269.6	361.04	153.34	154.42	217.27	115.16	90.14	180.02
INVS	98.04	119.26	246.28	140.04	194.36	133.36	53.19	121.79	80.57	100.13	106.63
IQCE	35.0	204.07	236.21	113.56	189.02	100.13	47.5	92.7	39.79	52.45	30.34
KDM5B	3257.52	529.06	595.34	1059.11	1104.13	114.36	97.36	199.85	59.13	45.85	40.07
KNSTRN	361.04	854.13	429.54	974.5	1277.29	154.42	81.14	149.12	118.43	108.14	123.5
KRT17	4953441.24	160252.91	96616.71	294926.33	355624.68	36.27	14.45	98.73	10.96	6.62	0.0
KRT6B	9.677103146E8	4704.07	35856.82	30361.44	45072.75	11.73	0.0	9.93	0.0	0.0	0.0
LPAR3	4268.94	142.01	1388.16	656.11	1059.11	0.54	0.0	0.47	1.5	0.0	0.0
MAP7	1923.14	813.63	376.41	583.07	1991.0	260.38	87.65	258.57	228.13	183.82	438.59
MB21D1	91.41	239.52	269.6	226.54	146.03	23.08	8.19	46.5	14.78	1.3	2.61
MMS22L	111.21	197.09	181.28	279.14	92.7	14.56	4.66	21.01	7.22	4.28	3.2
MROH1	295.11	473.41	450.94	329.84	363.56	138.1	59.13	162.14	56.68	126.12	21.63
MTERF	103.69	223.41	226.54	151.22	275.28	102.97	82.29	156.59	132.44	75.64	36.01
MYO10	379.04	309.83	1651.0	642.59	599.49	108.9	26.67	172.65	76.17	62.56	24.81
MYO5A	78.89	163.28	529.06	287.01	679.29	62.56	24.63	75.11	22.92	15.0	19.97
NACC1	595.34	769.69	902.89	595.34	1127.35	490.14	285.03	379.04	265.87	236.21	167.9
NARG2	242.88	470.14	429.54	555.41	551.56	249.73	226.54	325.29	241.19	73.54	139.07
NDFIP2	6607.01	1233.75	2018.8	1143.1	1950.0	483.38	269.6	441.64	414.87	309.83	620.67
NIN	237.86	339.14	395.18	532.74	115.16	88.88	48.18	148.09	43.94	20.41	42.41
NUP43	215.77	336.79	334.46	420.68	329.84	115.16	66.18	176.29	87.03	85.22	55.1
NUS1	318.57	571.05	563.18	536.45	339.14	316.37	163.28	429.54	309.83	191.67	277.2
PCYT1A	718.08	884.29	866.07	1286.18	1322.37	432.53	363.56	457.25	316.37	275.28	206.94
PGBD4	19.82	28.65	22.26	29.06	23.59	15.11	19.68	13.22	9.41	7.63	3.82
PGLYRP3	1212874.47	20.86	103.69	1304.15	287.01	0.0	0.0	0.0	0.0	0.0	0.85
PLCXD1	156.59	224.97	104.42	153.34	224.97	91.41	76.71	90.77	64.34	173.85	81.14
PLEKHA1	1066.48	493.56	1001.93	738.29	909.17	299.25	206.94	480.04	366.09	206.94	281.09
PLS3	3768.09	3124.78	6887.62	6294.04	3928.15	2319.15	2119.22	2240.11	1757.34	1697.45	1617.0
PMS2	100.83	163.28	242.88	249.73	301.33	76.17	55.89	100.13	30.34	52.45	28.45
POLR1A	76.71	212.78	500.46	124.37	92.7	63.45	56.68	70.01	39.79	51.71	38.95
PPP2R2C	13968.57	30.56	825.0	73.03	1143.1	5.41	0.0	5.19	2.73	5.63	0.0
PRKAA1	289.02	463.65	1001.93	967.76	616.37	450.94	194.36	595.34	480.04	224.97	435.55
PRR11	595.34	412.0	660.68	878.17	363.56	12.64	6.73	22.43	7.51	3.99	2.92
PSMD2	5219.6	6164.49	7382.04	5954.47	10440.2	2163.77	1639.59	2271.4	1417.35	2240.11	1331.57
PTK6	57448.23	616.37	525.39	642.59	764.36	64.34	2.36	19.53	73.54	61.68	297.17
PTPN4	177.53	229.72	201.25	269.6	397.93	129.69	100.13	146.03	74.58	32.82	141.02
RAB38	5711.87	1594.73	2520.38	1697.45	1883.54	43.32	5.32	35.5	24.28	7.4	17.38
RAD21	1844.76	1963.57	2796.65	2739.08	2384.37	708.18	373.81	995.0	674.59	392.44	708.18
RAET1E	309589.14	150.17	180.02	1081.39	723.08	2.51	1.73	4.28	2.2	0.0	1.28
RALB	3742.05	1651.0	1806.78	1950.0	3564.78	551.56	323.03	688.78	414.87	223.41	293.07
RBAK	78.34	113.56	215.77	159.9	149.12	59.55	44.89	90.14	50.27	12.36	25.91
RBM12B-AS1	7.51	23.42	38.12	51.35	5.92	2.94	2.56	2.61	0.0	0.0	1.33
RBM15	84.04	140.04	132.44	134.3	131.51	69.03	53.95	59.55	65.72	34.02	43.32
RCOR1	2090.03	454.09	819.3	616.37	400.71	135.24	148.09	166.73	118.43	72.52	58.71
RECQL	208.38	638.15	796.86	718.08	551.56	127.89	80.01	297.17	111.21	34.51	55.89
RIC8A	2193.99	1844.76	2255.7	934.76	2032.85	1073.91	941.27	1225.22	665.29	603.67	473.41
RICTOR	87.03	143.01	307.69	291.04	116.78	80.01	37.59	95.34	67.12	24.11	43.94
RPS6KA4	514.56	941.27	1583.71	759.08	1242.34	265.87	185.11	420.68	169.07	226.54	62.56
RRP1B	214.27	483.38	356.05	379.04	336.79	164.42	228.13	232.94	116.78	231.32	88.88
RYK	775.05	954.43	703.28	1286.18	1709.26	356.05	265.87	532.74	253.23	149.12	111.99
S100A2	3.15251512E7	37639.55	61571.56	88291.3	176583.6	5.19	15.11	32.82	12.18	4.39	9.7
SAR1A	1794.29	1819.35	2271.4	2104.58	1605.83	1044.52	1159.07	1151.06	785.88	753.83	819.3
SCAI	32.36	42.41	40.07	51.71	43.02	17.0	14.14	18.03	14.89	7.34	21.63
SCAMP1	497.0	334.46	660.68	373.81	825.0	141.02	162.14	275.28	119.26	73.54	255.0
SEC31B	28.04	122.64	71.5	104.42	46.18	42.71	53.57	85.22	43.32	25.72	31.9
SENP5	138.1	361.04	291.04	518.15	395.18	166.73	105.89	171.45	105.15	60.39	91.41
SLC22A23	1437.15	329.84	454.09	169.07	813.63	279.14	412.0	156.59	142.01	158.79	127.89
SLC25A24	460.44	595.34	563.18	693.58	575.03	49.21	14.45	138.1	44.89	17.77	7.06
SLC25A36	329.84	738.29	688.78	1037.29	1023.0	58.3	18.84	139.07	47.5	8.71	7.94
SLC35E1	1397.83	748.61	813.63	595.34	1059.11	327.56	353.59	417.77	299.25	348.71	202.66
SMG7	579.04	642.59	1159.07	981.29	583.07	414.87	384.34	403.5	299.25	246.28	150.17
SQLE	6037.61	1127.35	3491.39	1757.34	2367.9	307.69	361.04	275.28	1066.48	181.28	669.92
SRPK2	764.36	518.15	743.43	808.0	429.54	223.41	116.78	267.73	120.94	163.28	124.37
STARD4	293.07	638.15	1081.39	612.11	748.61	178.77	135.24	147.06	473.41	105.89	198.47
STK3	159.9	500.46	896.64	890.44	343.89	147.06	155.5	251.48	157.68	141.02	206.94
TAF2	161.02	301.33	518.15	426.57	400.71	105.89	48.52	190.34	94.01	46.18	41.52
TBP	161.02	348.71	228.13	289.02	432.53	156.59	101.54	204.07	129.69	92.05	38.95
TFRC	473.41	3742.05	2645.74	4671.57	1806.78	253.23	540.19	420.68	244.57	42.41	158.79
THAP6	152.28	206.94	289.02	128.79	206.94	126.12	81.14	136.19	111.99	40.64	82.29
TMED10	5633.22	5751.61	5711.87	8191.0	8778.97	5672.41	3955.48	4010.71	3515.68	4298.64	3716.2
TMED7	633.73	1127.35	1721.16	1143.1	1519.15	819.3	497.0	1081.39	718.08	665.29	902.89
TMEM184A	9344.14	417.77	450.94	503.95	1819.35	305.55	186.4	293.07	341.51	190.34	59.13
TMEM185B	287.01	460.44	518.15	400.71	743.43	161.02	102.25	198.47	156.59	105.15	66.65
TRAF7	1769.57	1757.34	2303.12	1697.45	2915.45	890.44	728.11	1066.48	514.56	819.3	363.56
TRAPPC13	224.97	277.2	249.73	234.57	435.55	205.5	181.28	289.02	149.12	84.63	111.99
TREM1	3.32	242.88	988.12	2976.74	612.11	52.82	25.91	94.01	135.24	31.0	100.83
TRMT10C	620.67	563.18	336.79	607.87	842.36	406.31	521.76	497.0	438.59	151.22	139.07
TTK	208.38	226.54	231.32	529.06	109.66	5.63	4.43	14.24	4.28	1.55	0.31
UBA2	693.58	1639.59	2119.22	1923.14	1936.53	638.15	444.72	785.88	563.18	293.07	457.25
UBE2Z	1259.69	1781.89	1721.16	1259.69	1605.83	669.92	529.06	934.76	503.95	463.65	307.69
