	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	GTEX.13OVI.1126.SM.5KLZF	TCGA.A3.3378.01A.02R.1325.07	TCGA.DV.5576.01A.01R.1541.07	TCGA.BP.4769.01A.01R.1289.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.AL.3467.01A.02R.1351.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.PX3G.0826.SM.48TZS	GTEX.ZF2S.3026.SM.4WWCH	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.EM.A1CU.01A.11R.A13Y.07	TCGA.EL.A4K0.01A.11R.A250.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.EL.A3D0.01A.12R.A206.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A3VE.01A.11R.A23N.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.11TT1.1126.SM.5P9GV
ADAM10	1519.15	1378.57	884.29	1936.53	1697.45	1359.57	988.12	3982.99	1832.01	1407.55	1561.89	947.83	1617.0	205.5	157.68	267.73	186.4	536.45	291.04	346.29	403.5	299.25	212.78	209.84	825.0	463.65	842.36	902.89	733.19	866.07	490.14	743.43	406.31	878.17	693.58	660.68	753.83	651.58	688.78	612.11	693.58	624.99	921.88	1304.15	733.19
APC	255.0	100.83	71.5	332.14	205.5	144.01	151.22	167.9	115.16	120.94	217.27	583.07	147.06	38.12	21.01	74.06	50.27	103.69	75.11	55.89	76.17	35.5	85.82	16.63	65.26	45.53	58.71	81.14	74.58	103.69	51.35	54.72	47.84	113.56	85.82	69.52	51.71	64.34	73.54	42.71	84.04	105.89	119.26	117.6	140.04
APP	31432.17	10808.41	8421.31	36610.26	13681.08	37901.36	23986.58	50709.61	28723.62	25005.23	28328.16	22072.07	26986.43	2664.15	4066.71	2777.33	2271.4	10296.45	7081.29	9215.48	2287.2	2720.15	2303.12	2384.37	8963.45	5913.33	10225.32	38164.99	9945.68	10733.74	8598.28	9025.81	9474.59	10808.41	7130.55	11664.82	9474.59	9215.48	10296.45	8963.45	10225.32	10154.69	15499.21	17197.56	12502.12
ARHGEF12	1437.15	974.5	450.94	1721.16	1781.89	1605.83	1233.75	2018.8	1277.29	1088.92	2104.58	1639.59	1594.73	620.67	438.59	500.46	599.49	1183.45	860.08	1151.06	414.87	555.41	536.45	567.1	1175.27	587.13	1044.52	1313.23	1066.48	1359.57	738.29	921.88	514.56	1378.57	954.43	1001.93	928.3	995.0	1001.93	759.08	995.0	647.07	954.43	909.17	915.51
ASXL2	301.33	102.25	87.65	540.19	339.14	177.53	149.12	447.82	145.02	109.66	307.69	376.41	277.2	26.1	23.25	36.27	50.27	116.78	87.65	65.26	27.05	47.84	29.7	12.36	116.78	77.79	124.37	151.22	105.15	165.57	77.79	105.89	57.89	186.4	148.09	96.01	92.7	101.54	111.21	80.57	145.02	120.1	197.09	166.73	119.26
BBX	902.89	215.77	327.56	1781.89	878.17	620.67	483.38	813.63	629.35	387.02	825.0	988.12	764.36	45.21	25.17	69.03	58.3	221.86	194.36	64.8	53.19	62.12	71.0	37.59	371.22	193.01	291.04	503.95	264.03	521.76	242.88	267.73	155.5	540.19	379.04	356.05	287.01	295.11	325.29	258.57	373.81	295.11	444.72	769.69	403.5
BTBD9	198.47	95.34	90.77	376.41	177.53	180.02	131.51	237.86	131.51	104.42	218.79	249.73	193.01	20.11	35.0	67.59	46.84	55.49	57.08	50.63	57.89	34.75	71.0	22.26	92.05	87.03	120.94	121.79	84.04	139.07	85.22	87.65	58.3	143.01	115.16	98.04	98.04	109.66	82.87	90.77	131.51	89.51	136.19	139.07	123.5
CAPZA2	2777.33	2335.28	1594.73	4836.35	4239.45	3303.0	2835.7	7382.04	2537.92	2935.74	3589.58	7485.11	3325.99	802.41	638.15	848.22	1225.22	1909.85	1745.2	1447.15	769.69	915.51	674.59	1051.79	2720.15	1685.71	2032.85	2255.7	1832.01	2240.11	1540.37	2193.99	1417.35	2739.08	2573.36	1870.53	1674.06	1844.76	2061.24	1963.57	2090.03	2104.58	2796.65	2384.37	2224.63
CCDC47	2032.85	11664.82	825.0	2193.99	1832.01	2004.85	1498.22	2335.28	1844.76	1295.13	2303.12	2609.3	1277.29	941.27	698.41	921.88	1111.82	1685.71	1794.29	1407.55	974.5	813.63	860.08	1023.0	1119.56	688.78	808.0	1286.18	1388.16	1111.82	909.17	1030.12	808.0	1159.07	921.88	1015.93	921.88	884.29	1175.27	738.29	921.88	1104.13	1697.45	1407.55	1487.87
CD2AP	669.92	543.96	587.13	1030.12	559.28	647.07	429.54	884.29	830.75	511.0	547.75	819.3	1111.82	140.04	55.1	182.55	120.94	255.0	187.71	158.79	231.32	141.02	122.64	144.01	454.09	218.79	358.54	309.83	353.59	466.88	260.38	271.48	195.72	441.64	426.57	232.94	283.05	339.14	334.46	289.02	329.84	281.09	295.11	368.65	275.28
CD46	4095.0	4095.0	2997.45	6516.03	3168.41	4388.98	3349.13	4210.15	3742.05	2720.15	4869.99	3820.7	1950.0	1175.27	921.88	974.5	1023.0	1857.6	1191.69	1733.13	1081.39	1073.91	1081.39	1216.75	2319.15	1651.0	2163.77	2451.44	2193.99	2133.97	2209.26	1806.78	1572.76	2178.83	1896.65	1757.34	1977.24	1457.23	2645.74	1745.2	2032.85	1806.78	1806.78	1923.14	1437.15
CDKL5	84.04	15.45	4.62	234.57	127.0	78.89	38.67	183.82	31.9	43.32	98.04	79.45	74.58	2.43	4.94	4.46	4.28	25.72	21.16	14.35	1.46	6.16	6.52	7.06	6.52	6.52	12.74	18.03	7.51	17.0	5.11	10.47	6.36	24.28	10.96	9.06	6.31	8.19	12.18	7.4	25.54	24.99	77.79	25.91	28.04
CEP104	454.09	397.93	363.56	336.79	392.44	332.14	353.59	470.14	591.22	332.14	432.53	612.11	529.06	189.02	171.45	148.09	105.89	199.85	260.38	141.02	115.16	220.32	199.85	141.02	246.28	223.41	264.03	228.13	244.57	253.23	180.02	178.77	236.21	376.41	353.59	232.94	229.72	193.01	289.02	223.41	244.57	397.93	287.01	289.02	417.77
CLU	110216.97	1472666.19	2729110.67	176583.6	506427.83	397335.0	677564.08	322736.12	1085552.95	894051.48	305326.92	405683.88	496005.67	220434.95	218912.29	450134.56	672883.8	1171559.48	1383603.33	1171559.48	550352.86	619179.28	383800.28	456418.21	558035.51	383800.28	524287.0	450134.56	672883.8	641014.63	462789.59	527933.71	370726.6	598087.73	654483.73	535303.41	499455.67	938500.81	524287.0	589853.66	736332.6	687022.54	736332.6	691801.16	1131651.83
CRIM1	2895.31	100.83	392.44	3982.99	1331.57	3372.43	1977.24	2090.03	1167.14	1950.0	1721.16	769.69	1233.75	51.71	105.15	503.95	62.56	111.21	84.63	351.14	229.72	387.02	483.38	158.79	583.07	371.22	1127.35	902.89	612.11	684.02	463.65	728.11	432.53	791.35	738.29	656.11	603.67	674.59	967.76	532.74	718.08	457.25	796.86	551.56	409.15
CSNK1G1	195.72	93.35	75.11	176.29	195.72	180.02	143.01	228.13	135.24	137.14	165.57	295.11	180.02	19.11	17.38	41.52	31.0	33.3	39.22	21.16	39.5	24.28	18.43	16.39	80.01	55.89	89.51	92.05	74.06	97.36	71.5	81.14	67.12	105.15	90.14	87.65	55.89	76.17	71.0	70.01	102.97	111.99	123.5	164.42	139.07
CYFIP1	2104.58	1277.29	1617.0	1519.15	1936.53	1369.04	1135.2	2004.85	1794.29	1143.1	1561.89	2163.77	1832.01	351.14	476.71	457.25	651.58	836.53	928.3	947.83	358.54	400.71	420.68	395.18	791.35	679.29	909.17	1208.34	819.3	860.08	738.29	802.41	723.08	1111.82	1378.57	708.18	718.08	842.36	860.08	830.75	1008.9	1001.93	1088.92	981.29	1008.9
DDX6	1561.89	1037.29	470.14	2956.17	947.83	902.89	703.28	738.29	567.1	395.18	1135.2	813.63	842.36	94.67	116.78	316.37	234.57	441.64	395.18	384.34	212.78	237.86	201.25	111.99	400.71	211.31	395.18	559.28	412.0	647.07	206.94	341.51	147.06	642.59	555.41	435.55	346.29	460.44	406.31	256.78	540.19	521.76	1030.12	688.78	660.68
ECT2	291.04	1001.93	177.53	95.34	256.78	127.0	105.15	271.48	297.17	177.53	248.0	305.55	336.79	9.27	7.34	13.93	16.63	36.53	57.08	27.25	19.53	15.34	9.06	11.04	86.43	61.25	92.05	67.12	70.51	63.89	52.45	60.82	44.57	93.35	115.97	64.8	68.07	66.65	83.45	67.12	73.54	120.1	39.79	61.68	88.88
EFCAB14	2047.0	1199.98	848.22	2997.45	1950.0	1781.89	1350.18	1417.35	878.17	1081.39	1685.71	1583.71	1322.37	325.29	316.37	358.54	368.65	854.13	780.44	684.02	293.07	343.89	305.55	403.5	954.43	642.59	954.43	1111.82	1051.79	1175.27	616.37	988.12	567.1	1135.2	878.17	872.1	769.69	902.89	928.3	656.11	1044.52	934.76	1143.1	1313.23	1044.52
ERLIN2	1286.18	1073.91	466.88	1769.57	1208.34	1487.87	775.05	1059.11	1250.98	785.88	1331.57	1008.9	738.29	336.79	387.02	351.14	397.93	1008.9	1277.29	638.15	518.15	497.0	279.14	334.46	674.59	397.93	616.37	941.27	647.07	785.88	595.34	595.34	379.04	836.53	447.82	409.15	507.46	620.67	595.34	470.14	808.0	836.53	1037.29	1119.56	947.83
