	TCGA.A7.A26E.01A.11R.A169.07	TCGA.A7.A26J.01A.11R.A169.07	TCGA.D8.A1Y0.01A.11R.A14M.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	GTEX.WYVS.1726.SM.3NMAY	TCGA.KN.8433.01A.11R.2315.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.WQUQ.1926.SM.4OOSA	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N
AC132872.2	11.04	14.24	13.52	22.75	20.26	25.17	0.99	0.0	1.41	0.0	1.06	0.0	0.0	1.08	1.31	4.7	12.18	9.56	3.72	7.34	10.47	19.25	5.63	5.68	6.26	2.25	2.25	1.35	2.73	9.85	1.41	3.08	3.06	4.9	2.61	5.82	9.06	0.43	0.72	7.75
ANKHD1	1870.53	2133.97	2255.7	2075.59	2133.97	2032.85	343.89	748.61	591.22	409.15	674.59	426.57	819.3	620.67	808.0	2004.85	1498.22	1757.34	974.5	1477.58	1806.78	1662.49	796.86	1295.13	1167.14	1674.06	1143.1	708.18	796.86	1066.48	1208.34	1540.37	1594.73	1259.69	1397.83	1467.37	2287.2	1143.1	934.76	1359.57
ANKIB1	629.35	718.08	514.56	703.28	665.29	607.87	69.03	84.63	70.01	57.49	63.45	57.89	95.34	53.57	191.67	414.87	251.48	348.71	154.42	287.01	327.56	309.83	166.73	218.79	176.29	343.89	279.14	187.71	177.53	305.55	195.72	256.78	262.2	208.38	249.73	251.48	285.03	206.94	158.79	242.88
ASB14	11.3	7.17	7.82	15.45	13.22	12.93	2.36	2.39	3.53	1.77	1.51	0.0	1.64	2.27	6.26	7.22	7.17	11.73	2.66	6.26	5.87	5.73	6.11	5.63	8.06	5.41	3.0	1.81	1.83	4.78	4.54	2.94	4.82	4.17	4.66	4.7	5.87	2.43	3.0	3.23
C5orf15	2555.58	2758.13	2255.7	1844.76	1977.24	1832.01	264.03	490.14	775.05	642.59	769.69	723.08	665.29	450.94	1127.35	1605.83	947.83	1508.65	808.0	1023.0	1277.29	1277.29	579.04	988.12	872.1	1259.69	1233.75	1477.58	1008.9	1651.0	854.13	1151.06	1175.27	941.27	1096.5	1322.37	934.76	1023.0	941.27	1388.16
CCDC66	480.04	426.57	460.44	420.68	642.59	607.87	61.25	59.13	51.71	53.19	35.5	9.48	46.18	57.89	113.56	211.31	283.05	363.56	121.79	208.38	209.84	208.38	149.12	234.57	269.6	249.73	165.57	191.67	101.54	202.66	88.26	175.07	182.55	236.21	151.22	146.03	316.37	146.03	110.43	170.25
CCP110	529.06	518.15	551.56	466.88	583.07	583.07	33.54	12.36	34.02	23.93	33.54	10.24	30.78	30.78	100.13	289.02	186.4	287.01	101.54	187.71	218.79	242.88	117.6	191.67	108.9	244.57	181.28	127.0	127.89	199.85	136.19	157.68	156.59	148.09	152.28	153.34	229.72	94.67	113.56	147.06
CDC23	688.78	842.36	836.53	723.08	813.63	909.17	189.02	229.72	231.32	241.19	193.01	208.38	228.13	228.13	356.05	543.96	473.41	647.07	309.83	493.56	579.04	518.15	353.59	417.77	376.41	532.74	470.14	463.65	361.04	511.0	363.56	480.04	483.38	547.75	426.57	521.76	529.06	417.77	358.54	356.05
CDK7	866.07	1388.16	1977.24	974.5	872.1	738.29	314.17	299.25	348.71	301.33	249.73	142.01	232.94	260.38	612.11	796.86	612.11	825.0	480.04	780.44	536.45	551.56	490.14	591.22	693.58	620.67	642.59	603.67	432.53	642.59	423.61	493.56	525.39	612.11	532.74	503.95	575.03	563.18	525.39	559.28
CEP120	293.07	409.15	329.84	454.09	470.14	486.75	44.89	46.5	47.5	31.45	78.34	28.45	92.05	43.94	152.28	251.48	171.45	186.4	129.69	172.65	206.94	156.59	100.13	189.02	137.14	244.57	171.45	199.85	205.5	231.32	170.25	169.07	223.41	177.53	201.25	177.53	155.5	130.6	102.25	185.11
CEP135	122.64	125.24	135.24	142.01	172.65	140.04	13.22	8.99	13.93	6.67	7.88	1.58	6.84	9.27	23.42	81.71	47.84	71.0	24.81	50.98	52.45	50.63	24.28	55.49	29.91	68.07	49.56	32.13	25.17	55.49	25.54	42.41	44.25	39.79	41.52	36.79	46.84	17.9	36.27	42.11
CSNK1G3	624.99	759.08	733.19	708.18	854.13	633.73	80.57	173.85	169.07	150.17	239.52	99.43	215.77	133.36	269.6	507.46	239.52	420.68	209.84	327.56	329.84	309.83	183.82	231.32	217.27	346.29	279.14	303.44	237.86	336.79	165.57	275.28	229.72	260.38	211.31	193.01	228.13	242.88	265.87	309.83
CTC-349C3.1	147.06	128.79	139.07	107.38	69.52	72.01	14.35	5.41	11.3	8.25	10.08	6.84	12.93	8.19	14.35	46.5	73.03	58.71	28.65	46.5	46.84	34.75	43.94	34.02	29.48	45.53	37.32	15.68	7.88	47.17	24.11	23.59	57.49	30.56	37.59	51.71	57.89	25.72	18.29	10.71
CWC22	432.53	400.71	426.57	500.46	703.28	674.59	58.71	94.67	105.15	87.03	181.28	40.36	140.04	111.99	232.94	387.02	348.71	376.41	194.36	279.14	283.05	295.11	199.85	283.05	212.78	397.93	305.55	269.6	215.77	327.56	275.28	285.03	305.55	314.17	279.14	269.6	371.22	228.13	212.78	241.19
DCTN4	1225.22	1397.83	1191.69	1304.15	1208.34	1498.22	176.29	267.73	307.69	287.01	226.54	208.38	277.2	212.78	733.19	1143.1	651.58	954.43	579.04	738.29	1001.93	848.22	511.0	587.13	642.59	796.86	848.22	830.75	629.35	802.41	624.99	785.88	629.35	665.29	743.43	688.78	780.44	599.49	497.0	1059.11
DDX46	1081.39	1498.22	1594.73	1208.34	961.07	1081.39	116.78	327.56	193.01	181.28	206.94	126.12	271.48	332.14	299.25	825.0	679.29	738.29	363.56	579.04	693.58	651.58	389.72	525.39	400.71	698.41	444.72	295.11	314.17	463.65	432.53	583.07	638.15	642.59	728.11	503.95	743.43	392.44	363.56	579.04
ETF1	2090.03	2004.85	2004.85	2148.82	2609.3	1745.2	507.46	587.13	651.58	559.28	733.19	381.68	551.56	708.18	866.07	1208.34	974.5	1001.93	890.44	934.76	1477.58	1572.76	954.43	1023.0	674.59	1233.75	974.5	961.07	961.07	1277.29	1066.48	1051.79	878.17	1030.12	1540.37	1127.35	1159.07	1037.29	665.29	1096.5
FAF2	1051.79	1051.79	1073.91	802.41	780.44	842.36	193.01	287.01	253.23	248.0	273.37	234.57	339.14	341.51	571.05	708.18	616.37	665.29	536.45	607.87	748.61	748.61	480.04	567.1	571.05	624.99	616.37	423.61	551.56	624.99	559.28	624.99	587.13	575.03	629.35	669.92	733.19	669.92	490.14	551.56
FAM179B	387.02	287.01	271.48	339.14	476.71	457.25	86.43	37.85	50.63	30.56	51.35	19.68	64.8	39.79	115.97	215.77	191.67	248.0	77.79	189.02	183.82	163.28	100.83	173.85	117.6	226.54	163.28	134.3	118.43	178.77	128.79	173.85	173.85	152.28	175.07	167.9	195.72	115.97	130.6	163.28
FBXW11	674.59	902.89	981.29	878.17	890.44	802.41	275.28	267.73	180.02	206.94	178.77	226.54	258.57	265.87	403.5	703.28	426.57	571.05	381.68	518.15	642.59	514.56	363.56	507.46	303.44	688.78	480.04	327.56	447.82	486.75	450.94	842.36	563.18	514.56	647.07	511.0	638.15	389.72	309.83	441.64
FKTN	511.0	463.65	295.11	356.05	291.04	281.09	44.89	48.87	37.05	33.78	22.26	17.38	59.55	37.32	100.83	251.48	145.02	215.77	69.03	157.68	187.71	154.42	95.34	115.16	80.01	153.34	132.44	96.68	74.06	140.04	87.65	114.36	100.13	107.38	129.69	103.69	204.07	68.55	87.65	115.16
G3BP1	2935.74	3716.2	2997.45	2335.28	2303.12	1781.89	316.37	723.08	785.88	620.67	599.49	583.07	819.3	713.11	954.43	1794.29	934.76	1651.0	688.78	1111.82	1304.15	1447.15	872.1	890.44	651.58	1268.46	1088.92	836.53	890.44	934.76	802.41	1199.98	915.51	802.41	1242.34	1044.52	961.07	915.51	536.45	718.08
GON4L	860.08	909.17	674.59	872.1	669.92	785.88	130.6	124.37	275.28	204.07	134.3	108.9	89.51	145.02	332.14	379.04	466.88	460.44	318.57	473.41	348.71	320.8	341.51	420.68	397.93	397.93	303.44	161.02	316.37	316.37	376.41	260.38	409.15	400.71	314.17	285.03	511.0	336.79	463.65	351.14
GPBP1	2061.24	2537.92	2591.27	2209.26	2537.92	2537.92	353.59	603.67	607.87	620.67	463.65	221.86	450.94	503.95	1008.9	1487.87	1477.58	1561.89	890.44	1388.16	1331.57	1286.18	1277.29	1175.27	1135.2	1369.04	1088.92	1216.75	1073.91	1350.18	1066.48	1088.92	1044.52	1250.98	1096.5	981.29	1477.58	1191.69	1286.18	1359.57
