	TCGA.G4.6302.01A.11R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.AA.3489.11A.01R.1839.07	GTEX.ZYVF.2826.SM.5GIDK	GTEX.14A5H.1626.SM.5SIAN	GTEX.13O1R.2426.SM.5KLZZ	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.BA.A6DJ.01A.11R.A30B.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7783.11A.01R.2118.07	TCGA.EJ.7123.11A.01R.1965.07	GTEX.12BJ1.1226.SM.5LUAE	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.WK11.2626.SM.4OOSK	GTEX.11EQ9.1726.SM.5HL6U	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3742.11A.01R.1660.07	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AG.3732.11A.01R.1660.07	GTEX.YFC4.2826.SM.5P9FR
AAMDC	1340.84	1639.59	1551.09	1508.65	995.0	1819.35	860.08	995.0	293.07	1757.34	3742.05	438.59	457.25	0.0	0.39	4328.55	2434.5	1781.89	3928.15	4736.79	4543.8	2520.38	4769.75	2075.59	2400.97	1639.59	1540.37	1963.57	2018.8
ABAT	66.65	195.72	133.36	72.52	48.18	69.03	24.81	64.34	52.08	66.65	126.12	13.83	46.84	0.0	0.41	105.89	444.72	409.15	273.37	353.59	483.38	169.07	131.51	409.15	229.72	136.19	159.9	177.53	63.0
AC011239.1	6.26	0.0	6.16	0.0	0.0	2.05	0.0	0.0	0.41	0.93	2.32	0.0	0.0	0.0	0.0	12.55	15.91	11.3	4.28	11.47	17.51	7.34	2.81	24.81	12.36	0.0	0.0	6.11	0.0
ACACA	647.07	346.29	698.41	327.56	532.74	500.46	466.88	775.05	624.99	1001.93	995.0	525.39	251.48	0.0	0.03	688.78	1583.71	738.29	769.69	1008.9	1286.18	995.0	723.08	848.22	830.75	339.14	473.41	500.46	295.11
ACADL	0.0	6.78	26.67	22.59	0.02	4.31	0.95	0.92	0.41	1.48	5.59	0.0	0.0	0.0	0.1	96.01	249.73	167.9	444.72	346.29	131.51	49.56	24.81	395.18	147.06	27.25	9.13	37.59	6.11
ADAM9	1963.57	1088.92	1259.69	1119.56	1397.83	759.08	703.28	1313.23	1119.56	842.36	884.29	1096.5	981.29	0.0	0.99	1059.11	1259.69	3168.41	995.0	2255.7	1709.26	2075.59	1498.22	2004.85	1733.13	1151.06	884.29	1242.34	297.17
ADHFE1	208.38	334.46	426.57	159.9	80.57	177.53	66.65	144.01	17.77	221.86	463.65	11.82	21.63	0.0	0.46	368.65	490.14	409.15	620.67	708.18	1259.69	289.02	500.46	525.39	503.95	336.79	206.94	334.46	187.71
AIDA	1977.24	1628.26	2502.97	1529.73	1407.55	854.13	884.29	1417.35	909.17	2627.46	2915.45	660.68	567.1	0.0	0.48	1794.29	1685.71	1313.23	2573.36	2895.31	1088.92	2032.85	2351.53	1208.34	1233.75	1883.54	1096.5	2502.97	947.83
AKT3	563.18	543.96	1096.5	358.54	356.05	246.28	164.42	529.06	65.26	1551.09	1519.15	38.4	61.25	0.0	0.59	791.35	1023.0	1487.87	909.17	1519.15	718.08	775.05	660.68	872.1	780.44	698.41	291.04	1111.82	187.71
AL163636.6	289.02	674.59	591.22	830.75	165.57	361.04	151.22	84.63	122.64	128.79	269.6	21.63	31.45	0.0	0.03	620.67	444.72	1529.73	1331.57	1242.34	1233.75	595.34	665.29	928.3	1208.34	909.17	733.19	473.41	0.0
ALDH6A1	198.47	329.84	283.05	186.4	80.57	101.54	74.06	57.49	47.5	204.07	376.41	59.13	62.12	120.94	314.17	309.83	813.63	961.07	896.64	1059.11	1015.93	507.46	444.72	723.08	665.29	287.01	234.57	381.68	122.64
ALDH9A1	921.88	1447.15	1096.5	1135.2	890.44	638.15	791.35	1225.22	909.17	1427.22	1313.23	693.58	1111.82	1191.69	299.25	1407.55	2104.58	2319.15	2119.22	1936.53	1977.24	1745.2	1794.29	2875.3	2047.0	1369.04	1225.22	1369.04	878.17
ARHGAP10	1159.07	921.88	2417.67	842.36	387.02	381.68	314.17	1199.98	228.13	2148.82	4066.71	180.02	209.84	0.0	0.55	1662.49	1769.57	684.02	2133.97	2047.0	1794.29	1051.79	1662.49	1066.48	1639.59	1051.79	802.41	1369.04	312.0
ARHGAP6	171.45	361.04	703.28	260.38	170.25	127.89	76.71	102.97	31.22	215.77	361.04	2.46	12.45	0.0	0.49	559.28	866.07	738.29	796.86	1191.69	854.13	366.09	575.03	780.44	521.76	387.02	287.01	583.07	151.22
ARL6IP5	2271.4	2915.45	2956.17	3168.41	1769.57	2224.63	1331.57	1250.98	1208.34	1745.2	2090.03	1015.93	1583.71	0.0	0.8	4095.0	3982.99	5517.27	5255.91	6079.61	5041.77	2417.67	6471.02	4607.24	3716.2	3901.01	2468.49	3103.19	1322.37
ARMCX3	848.22	802.41	1119.56	698.41	1081.39	599.49	348.71	493.56	343.89	665.29	1001.93	43.63	146.03	0.0	0.85	934.76	1250.98	1572.76	854.13	1242.34	1242.34	1096.5	1225.22	1088.92	1268.46	819.3	633.73	1111.82	251.48
ARNT2	102.97	123.5	249.73	98.04	86.43	102.25	87.65	45.85	11.82	97.36	119.26	7.82	27.44	0.0	0.21	180.02	297.17	226.54	214.27	138.1	223.41	232.94	178.77	182.55	234.57	113.56	105.15	185.11	162.14
ARSK	87.65	121.79	178.77	78.34	70.51	21.32	35.25	69.03	22.75	62.56	66.65	62.56	50.27	0.0	0.12	135.24	166.73	229.72	228.13	309.83	123.5	94.01	96.68	182.55	155.5	106.63	63.45	134.3	47.84
AS3MT	102.97	127.89	193.01	124.37	74.06	137.14	31.9	108.9	10.63	137.14	215.77	0.0	0.0	89.51	146.03	162.14	217.27	277.2	183.82	406.31	231.32	197.09	134.3	143.01	115.16	149.12	92.7	193.01	98.04
ASCC1	579.04	490.14	536.45	412.0	301.33	234.57	318.57	511.0	264.03	555.41	426.57	341.51	381.68	0.0	0.3	660.68	693.58	878.17	836.53	595.34	693.58	490.14	612.11	848.22	785.88	540.19	371.22	525.39	232.94
ATP6V0E2	802.41	890.44	1233.75	825.0	392.44	1143.1	363.56	312.0	111.99	307.69	808.0	43.94	176.29	0.0	0.47	808.0	1551.09	1477.58	1832.01	1950.0	1733.13	1417.35	1551.09	1487.87	1023.0	728.11	718.08	836.53	780.44
ATP6V1H	1088.92	1008.9	1044.52	961.07	718.08	808.0	860.08	1051.79	836.53	860.08	1044.52	961.07	896.64	1697.45	220.32	1167.14	1135.2	1388.16	1950.0	1991.0	1407.55	1143.1	1498.22	1794.29	1529.73	1216.75	909.17	1030.12	1322.37
BCL9	387.02	264.03	660.68	155.5	209.84	127.0	309.83	281.09	129.69	444.72	507.46	73.03	64.34	0.0	0.51	262.2	463.65	791.35	361.04	551.56	507.46	503.95	329.84	373.81	633.73	178.77	244.57	417.77	172.65
BEX4	988.12	1883.54	2335.28	1551.09	1407.55	1233.75	1561.89	559.28	285.03	769.69	1508.65	53.95	223.41	0.0	0.74	2796.65	2255.7	3589.58	4512.4	5672.41	4038.61	2367.9	3280.18	2835.7	3372.43	1870.53	1044.52	1923.14	733.19
C10orf35	277.2	215.77	283.05	291.04	122.64	173.85	87.03	201.25	194.36	224.97	299.25	57.49	70.51	0.0	0.02	414.87	303.44	348.71	406.31	423.61	507.46	397.93	279.14	334.46	444.72	205.5	140.04	190.34	82.29
C11orf63	61.25	49.91	75.11	54.72	40.93	21.32	24.81	85.82	32.13	123.5	181.28	52.82	42.11	0.0	0.27	92.05	120.1	170.25	83.45	281.09	35.76	40.64	76.71	132.44	19.11	58.71	48.18	80.57	167.9
C21orf62	0.71	5.36	2.97	1.5	0.0	1.23	0.0	1.46	0.0	5.87	21.94	0.0	0.45	0.0	0.0	603.67	988.12	12.0	82.29	214.27	339.14	224.97	102.25	14.89	624.99	1.13	1.6	4.28	10.63
CACNA2D1	379.04	417.77	1111.82	236.21	177.53	190.34	198.47	197.09	15.56	303.44	363.56	5.5	8.06	0.0	0.56	256.78	624.99	603.67	507.46	525.39	738.29	961.07	503.95	187.71	624.99	473.41	176.29	995.0	76.17
CACNA2D3	69.52	87.65	94.67	38.12	19.53	74.58	12.0	19.68	9.13	33.06	66.65	13.72	7.06	0.0	0.48	177.53	182.55	167.9	264.03	244.57	145.02	57.49	28.65	150.17	30.34	81.14	44.89	88.26	23.76
CBS	159.9	142.01	154.42	90.14	111.99	71.0	204.07	72.52	24.11	109.66	107.38	83.45	27.84	0.0	0.77	351.14	406.31	303.44	612.11	830.75	791.35	353.59	251.48	571.05	684.02	112.77	90.77	135.24	16.39
CLVS2	10.31	9.34	19.53	3.82	4.24	8.78	4.58	0.19	0.0	0.23	3.86	0.0	0.0	0.0	0.0	69.52	161.02	46.5	70.51	113.56	70.01	18.16	28.04	37.59	38.95	16.51	7.88	116.78	1.55
CNTN1	110.43	116.78	204.07	70.51	61.68	37.59	37.59	175.07	31.67	567.1	759.08	1.46	14.03	258.57	141.02	928.3	1781.89	1745.2	981.29	1769.57	1407.55	703.28	1216.75	246.28	1369.04	182.55	84.63	194.36	503.95
CPED1	309.83	854.13	1709.26	802.41	187.71	291.04	84.63	153.34	15.68	432.53	759.08	9.13	33.54	0.0	0.17	954.43	1277.29	1923.14	583.07	1183.45	808.0	1457.23	1208.34	708.18	563.18	1199.98	371.22	1685.71	356.05
CPNE4	14.45	32.13	24.11	12.64	19.11	3.08	4.58	1.3	1.19	1.43	5.36	3.2	0.0	0.0	0.12	135.24	559.28	180.02	518.15	466.88	297.17	251.48	147.06	426.57	346.29	8.78	18.84	41.81	13.12
CRYZ	1322.37	420.68	193.01	769.69	669.92	155.5	163.28	307.69	447.82	583.07	490.14	536.45	339.14	0.0	0.39	1844.76	1508.65	2271.4	1963.57	3280.18	3564.78	2209.26	921.88	2047.0	3081.75	780.44	447.82	896.64	1183.45
CSRP1	244588.0	311742.51	1645391.11	180294.02	34396.12	49666.0	28525.2	135693.24	3303.0	428815.23	938500.81	2485.67	3639.7	2047.0	291.04	138544.47	98646.85	85283.74	111755.56	129266.49	149521.18	133825.1	100719.65	113315.62	170568.48	174152.51	84109.6	220434.95	38430.46
CWC27	403.5	438.59	521.76	406.31	395.18	289.02	314.17	277.2	242.88	414.87	540.19	361.04	323.03	0.0	0.42	656.11	543.96	497.0	665.29	563.18	417.77	387.02	438.59	454.09	463.65	493.56	371.22	518.15	376.41
CYP2U1	183.82	167.9	217.27	135.24	105.15	62.56	110.43	135.24	17.51	212.78	253.23	14.89	14.56	0.0	0.12	178.77	346.29	514.56	387.02	389.72	267.73	265.87	334.46	511.0	256.78	173.85	105.15	241.19	130.6
DEFB132	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.32	14.35	28.04	0.0	28.45	44.25	32.82	14.35	44.57	16.63	0.0	0.95	0.42	0.0
DHRS7	1709.26	1781.89	1216.75	1757.34	2032.85	698.41	1216.75	575.03	500.46	460.44	738.29	2591.27	5255.91	0.0	0.79	2417.67	5831.91	6792.79	4736.79	9088.59	6887.62	3280.18	4298.64	12244.81	5711.87	1857.6	1806.78	1498.22	633.73
DOCK3	48.52	77.25	348.71	37.85	18.84	29.27	13.52	70.01	30.78	215.77	358.54	1.23	1.31	0.0	0.46	76.71	128.79	49.91	106.63	221.86	120.94	80.57	75.64	42.71	92.05	58.71	41.81	159.9	18.03
EEF2K	708.18	571.05	941.27	409.15	305.55	591.22	267.73	536.45	144.01	529.06	444.72	185.11	115.97	0.0	0.24	1088.92	1781.89	1519.15	1059.11	1216.75	1583.71	854.13	819.3	1073.91	1191.69	423.61	567.1	981.29	323.03
EGF	4.74	10.96	12.74	11.55	3.32	30.12	0.27	20.11	7.69	23.93	16.75	0.96	4.62	0.0	0.31	23.76	52.82	26.86	31.0	42.41	28.24	14.14	49.21	23.59	35.76	11.38	16.51	24.46	7.94
