	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.DD.A115.01A.11R.A131.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5771.01A.21R.1580.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.CH.5738.01A.11R.1580.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.BR.8682.01A.11R.2402.13	TCGA.FP.8210.01A.11R.2343.13	TCGA.VQ.A922.01A.11R.A414.31
AAAS	595.34	728.11	708.18	743.43	848.22	1059.11	941.27	693.58	490.14	555.41	447.82	480.04	466.88	638.15	583.07	497.0	521.76	684.02	332.14	486.75	480.04	603.67	1119.56	954.43	1242.34	934.76	825.0	967.76	836.53	878.17	1127.35	1111.82
ADCY6	135.24	234.57	202.66	212.78	551.56	303.44	329.84	221.86	88.26	232.94	63.89	48.52	112.77	170.25	114.36	122.64	120.94	128.79	63.45	66.65	29.7	155.5	928.3	679.29	825.0	830.75	1059.11	890.44	848.22	1073.91	514.56	1733.13
AL161915.1	8.32	20.26	18.43	13.32	46.84	26.28	29.27	13.83	5.63	24.28	1.71	0.0	3.92	15.45	2.56	3.44	4.43	13.83	0.99	5.15	4.28	11.82	29.7	38.67	27.44	20.56	32.59	35.5	50.63	50.27	49.21	56.28
AL357673.1	16.75	27.44	15.91	17.9	50.98	46.5	22.75	27.05	20.26	49.21	11.91	5.02	7.94	35.0	16.27	15.45	22.1	20.86	4.31	14.67	15.56	18.84	91.41	80.57	87.65	63.89	64.8	73.03	112.77	91.41	87.03	113.56
ANKRD52	59.13	68.55	132.44	70.51	155.5	214.27	162.14	112.77	48.18	125.24	33.54	17.77	43.02	87.65	38.95	67.59	61.68	65.26	54.72	32.13	12.64	69.03	432.53	417.77	373.81	305.55	403.5	389.72	571.05	633.73	543.96	1073.91
AP5B1	65.72	46.84	60.39	63.45	67.12	127.89	136.19	47.17	65.72	77.79	59.97	58.3	67.12	77.25	46.5	102.25	32.59	100.13	64.34	35.25	79.45	84.63	145.02	165.57	132.44	103.69	139.07	131.51	303.44	246.28	262.2	249.73
AREL1	158.79	218.79	182.55	153.34	239.52	242.88	193.01	199.85	132.44	209.84	82.87	71.0	119.26	220.32	111.21	185.11	155.5	209.84	152.28	136.19	78.89	166.73	373.81	400.71	389.72	381.68	429.54	473.41	540.19	660.68	507.46	802.41
ARHGEF11	149.12	193.01	279.14	209.84	329.84	281.09	303.44	206.94	152.28	237.86	92.7	69.03	118.43	232.94	122.64	178.77	127.0	194.36	75.64	85.82	42.41	211.31	503.95	384.34	483.38	358.54	460.44	435.55	791.35	679.29	555.41	890.44
ATG9A	638.15	500.46	733.19	651.58	1023.0	896.64	1044.52	713.11	759.08	785.88	543.96	392.44	599.49	967.76	708.18	642.59	473.41	995.0	579.04	441.64	599.49	825.0	1151.06	1111.82	928.3	909.17	1066.48	1104.13	1127.35	1407.55	981.29	1417.35
ATP13A2	110.43	162.14	178.77	176.29	318.57	303.44	348.71	175.07	112.77	176.29	77.25	47.17	70.51	232.94	108.14	127.0	162.14	142.01	82.29	54.33	35.5	170.25	884.29	1088.92	872.1	802.41	713.11	1066.48	1313.23	1313.23	1008.9	1407.55
BCL2L2	185.11	166.73	220.32	175.07	312.0	183.82	346.29	283.05	114.36	397.93	156.59	190.34	166.73	232.94	165.57	191.67	182.55	221.86	135.24	114.36	110.43	275.28	1250.98	1340.84	1583.71	1350.18	1540.37	1508.65	603.67	928.3	651.58	563.18
C17orf103	70.01	100.83	100.83	84.63	67.12	198.47	67.59	122.64	53.57	104.42	52.45	27.64	46.18	112.77	49.21	70.01	52.08	139.07	54.72	71.0	50.63	92.05	363.56	332.14	244.57	291.04	307.69	323.03	228.13	194.36	209.84	166.73
C17orf80	77.25	113.56	115.16	129.69	146.03	195.72	198.47	92.7	110.43	124.37	56.28	56.28	101.54	137.14	68.07	78.89	69.03	133.36	90.77	73.54	35.0	126.12	320.8	246.28	234.57	208.38	283.05	255.0	244.57	299.25	242.88	409.15
C22orf29	63.45	138.1	128.79	70.01	182.55	132.44	148.09	83.45	52.08	69.03	52.45	62.56	38.4	84.04	52.82	58.3	60.82	99.43	41.22	49.21	28.86	97.36	435.55	444.72	361.04	332.14	500.46	470.14	253.23	285.03	223.41	368.65
CAMK2G	180.02	190.34	201.25	279.14	389.72	381.68	426.57	366.09	167.9	195.72	100.13	140.04	163.28	212.78	194.36	146.03	134.3	177.53	239.52	87.65	94.01	190.34	674.59	708.18	579.04	483.38	878.17	603.67	620.67	1540.37	813.63	373.81
CAMKK2	400.71	358.54	547.75	325.29	713.11	490.14	587.13	486.75	348.71	555.41	264.03	271.48	303.44	529.06	307.69	316.37	339.14	486.75	185.11	305.55	373.81	376.41	2351.53	2609.3	1498.22	1757.34	2701.35	2090.03	896.64	587.13	836.53	796.86
