	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.WQUQ.1826.SM.4OOSD	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.XQ8I.1626.SM.4BOOI	GTEX.Y5LM.0426.SM.4VBRO	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	TCGA.38.4625.01A.01R.1206.07	TCGA.AG.3732.11A.01R.1660.07	GTEX.13CF2.2426.SM.5LZYL
ABCC5	493.56	954.43	563.18	314.17	669.92	703.28	1369.04	1023.0	41.52	74.58	37.59	0.0	447.82	2609.3
ADAMTS17	11.82	50.63	94.67	66.65	96.68	102.25	163.28	72.52	61.68	53.95	22.43	0.0	11.55	22.75
ANKRD13D	612.11	1208.34	1242.34	780.44	775.05	1167.14	1477.58	1277.29	74.06	88.26	136.19	397.93	480.04	412.0
ANKS3	423.61	358.54	480.04	409.15	480.04	638.15	743.43	647.07	37.59	64.8	53.19	0.0	406.31	187.71
ARRB1	1259.69	669.92	1191.69	1199.98	1378.57	2018.8	2485.67	1322.37	143.01	198.47	135.24	0.0	1066.48	167.9
C16orf13	1857.6	1883.54	1378.57	1519.15	1388.16	2573.36	3372.43	3257.52	1427.22	540.19	665.29	0.0	1467.37	1769.57
C1orf122	2148.82	1322.37	1340.84	1313.23	1628.26	2004.85	2520.38	2739.08	974.5	397.93	629.35	0.0	995.0	2351.53
C5orf58	0.0	20.41	21.94	18.29	27.64	53.57	46.84	40.36	0.0	11.21	6.21	0.0	6.52	0.19
CACTIN	414.87	409.15	426.57	470.14	470.14	579.04	703.28	587.13	131.51	126.12	148.09	0.0	303.44	239.52
CDAN1	201.25	170.25	229.72	161.02	206.94	384.34	444.72	332.14	71.5	65.72	72.52	0.0	186.4	154.42
CLK2	1008.9	1151.06	1233.75	642.59	1088.92	1508.65	2193.99	1437.15	195.72	232.94	258.57	0.0	769.69	264.03
CLK3	1359.57	1073.91	1216.75	1135.2	1437.15	1844.76	1936.53	1870.53	381.68	432.53	395.18	0.0	1119.56	884.29
CPSF7	1427.22	1551.09	1508.65	1407.55	1605.83	1674.06	2956.17	2133.97	275.28	642.59	432.53	0.0	1233.75	591.22
CTU1	47.84	84.04	84.63	72.52	63.0	102.25	237.86	197.09	26.67	8.06	6.16	0.0	34.26	30.56
DMWD	1037.29	1487.87	1963.57	2032.85	1583.71	1369.04	1639.59	1540.37	96.01	110.43	182.55	0.0	669.92	563.18
DPH1	718.08	842.36	981.29	808.0	1037.29	1286.18	1651.0	1340.84	320.8	301.33	371.22	0.0	532.74	432.53
DXO	297.17	392.44	400.71	351.14	511.0	647.07	902.89	723.08	163.28	150.17	167.9	0.0	293.07	176.29
E4F1	429.54	438.59	457.25	420.68	429.54	511.0	674.59	591.22	139.07	88.88	155.5	0.0	323.03	295.11
EDC4	698.41	808.0	1066.48	896.64	1143.1	1151.06	2061.24	1508.65	403.5	363.56	353.59	563.18	665.29	575.03
ELMOD3	339.14	351.14	406.31	332.14	376.41	713.11	860.08	638.15	121.79	116.78	159.9	0.0	376.41	162.14
ENTHD2	339.14	651.58	660.68	351.14	728.11	1073.91	1437.15	1286.18	99.43	83.45	129.69	0.0	307.69	122.64
FGF17	3.92	6.06	5.23	3.59	13.72	27.05	41.81	28.45	0.0	0.13	0.0	0.0	3.53	0.96
FGF22	13.62	0.0	12.45	15.8	17.9	21.16	33.06	14.35	0.0	1.68	0.0	0.0	11.13	1.85
GAS8	346.29	279.14	423.61	353.59	444.72	629.35	679.29	500.46	50.98	78.89	122.64	0.0	323.03	120.1
GBGT1	163.28	41.22	125.24	79.45	220.32	616.37	343.89	363.56	39.5	23.42	15.45	0.0	134.3	28.86
GGA3	693.58	819.3	902.89	669.92	796.86	813.63	1127.35	819.3	120.94	190.34	161.02	0.0	669.92	301.33
GIGYF1	583.07	476.71	633.73	473.41	624.99	802.41	1225.22	848.22	114.36	90.77	108.14	228.13	414.87	133.36
HOXC5	14.45	17.0	18.43	19.25	36.79	92.05	56.28	39.5	0.0	0.0	0.0	0.0	0.0	16.75
