	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A10T.11A.11R.A131.07	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.13FTW.1126.SM.5J2NV	GTEX.14753.1626.SM.5NQ9L	GTEX.S4Z8.0526.SM.4AD4T	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO	GTEX.ZTTD.2726.SM.57WFA	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.KS.A41J.11A.12R.A23N.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.H2.A3RI.11A.11R.A220.07	GTEX.ZAB5.0726.SM.5P9JG	GTEX.ZQG8.0926.SM.57WFF	GTEX.14AS3.0226.SM.5Q5B6	GTEX.11EQ8.0826.SM.5N9FG	GTEX.13NZ8.0226.SM.5J2OK	GTEX.13W46.0926.SM.5LU3T	GTEX.V1D1.0926.SM.4JBHQ
AC021860.1	1.57	1.38	6.78	0.0	1.01	0.0	1.97	1.1	1.53	0.08	0.0	29.27	5.02	11.47	11.47	22.26	11.38	24.46	32.82	13.22	29.91	75.11	94.01	67.12	43.94	87.03	38.95	127.89	82.29	32.59	92.05	63.45
AC135178.1	12.83	3.72	15.68	7.11	1.85	5.32	5.87	1.73	1.93	7.46	5.77	44.89	35.25	29.27	29.06	39.22	24.99	44.89	55.89	73.54	69.52	98.73	79.45	81.71	81.14	73.03	49.91	139.07	126.12	125.24	122.64	109.66
AFAP1L2	38.67	15.34	59.97	17.51	8.92	32.13	10.24	9.93	21.47	6.21	15.91	988.12	1286.18	1015.93	1104.13	1051.79	1561.89	1350.18	2720.15	1457.23	2451.44	4038.61	3820.7	3515.68	4239.45	3018.3	2255.7	3742.05	5954.47	4328.55	3491.39	4095.0
ALS2CR12	11.21	5.15	10.79	2.36	11.55	3.53	5.32	2.01	1.85	0.49	2.2	10.79	14.78	4.98	7.46	11.73	8.0	12.93	8.45	6.11	23.93	67.12	43.94	44.57	36.79	43.94	26.86	52.82	90.77	67.12	46.18	35.25
ANKS3	186.4	211.31	291.04	50.98	106.63	81.71	101.54	58.3	58.3	40.36	67.59	406.31	397.93	281.09	368.65	376.41	371.22	397.93	511.0	450.94	457.25	624.99	532.74	511.0	624.99	543.96	395.18	718.08	796.86	780.44	909.17	764.36
ANKS6	122.64	10.47	105.89	109.66	57.08	53.57	466.88	21.01	95.34	70.51	149.12	135.24	111.21	77.25	176.29	127.89	128.79	255.0	122.64	147.06	607.87	587.13	587.13	525.39	607.87	503.95	429.54	638.15	728.11	785.88	575.03	607.87
AP000322.54	6.73	5.77	9.63	0.0	4.58	5.92	7.06	8.45	2.2	0.75	10.88	49.91	19.82	18.7	15.45	21.01	14.24	19.25	36.27	30.78	34.51	68.55	58.3	73.03	66.65	91.41	42.71	67.59	105.89	68.55	105.89	76.71
ARHGEF7	277.2	260.38	334.46	197.09	231.32	264.03	255.0	205.5	204.07	133.36	211.31	454.09	318.57	441.64	325.29	438.59	351.14	376.41	454.09	603.67	518.15	733.19	616.37	738.29	595.34	723.08	591.22	1001.93	1143.1	860.08	830.75	748.61
ARIH2	591.22	476.71	693.58	366.09	525.39	647.07	426.57	521.76	860.08	403.5	759.08	1008.9	854.13	733.19	890.44	1023.0	842.36	1044.52	896.64	775.05	1119.56	1427.22	1359.57	1295.13	1151.06	1322.37	1216.75	1388.16	1369.04	1175.27	1268.46	1936.53
ATM	130.6	52.08	231.32	66.18	59.97	104.42	73.03	89.51	85.82	48.87	158.79	177.53	237.86	275.28	205.5	320.8	198.47	262.2	406.31	346.29	307.69	400.71	389.72	543.96	332.14	802.41	312.0	825.0	1242.34	748.61	579.04	414.87
ATP2C2	24.81	2.84	6.67	7.46	3.14	1.6	26.28	7.75	0.0	0.0	23.76	40.07	18.29	8.92	16.03	13.22	11.21	19.82	723.08	151.22	57.89	403.5	346.29	236.21	438.59	587.13	256.78	2133.97	420.68	921.88	1183.45	2119.22
ATXN1	125.24	85.22	166.73	59.55	125.24	127.89	90.77	78.89	65.26	141.02	98.04	279.14	100.13	206.94	101.54	214.27	146.03	169.07	190.34	77.25	226.54	281.09	255.0	316.37	265.87	395.18	236.21	376.41	387.02	353.59	346.29	341.51
BANK1	17.64	7.88	14.67	2.76	0.75	6.26	11.13	12.18	1.39	7.75	1.1	84.63	29.48	119.26	91.41	68.07	37.32	102.97	242.88	336.79	371.22	287.01	346.29	420.68	291.04	368.65	234.57	1023.0	450.94	277.2	217.27	373.81
BEND7	176.29	187.71	231.32	136.19	193.01	221.86	183.82	103.69	132.44	163.28	239.52	208.38	183.82	289.02	224.97	239.52	246.28	334.46	142.01	258.57	603.67	872.1	785.88	947.83	633.73	620.67	447.82	813.63	1662.49	1487.87	713.11	753.83
BRD1	202.66	119.26	353.59	161.02	226.54	275.28	211.31	148.09	115.97	102.97	165.57	417.77	371.22	368.65	348.71	420.68	412.0	348.71	392.44	420.68	403.5	529.06	493.56	490.14	518.15	514.56	450.94	633.73	642.59	738.29	579.04	660.68
BRD2	2148.82	3103.19	2303.12	988.12	2758.13	2875.3	1508.65	1733.13	1199.98	854.13	1733.13	3212.66	3716.2	3349.13	3395.89	3540.14	2915.45	3303.0	3690.52	2976.74	4210.15	5633.22	5913.33	4298.64	4736.79	4298.64	4268.94	4575.41	7180.15	6294.04	5041.77	5041.77
