	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.A7.A0CH.11A.32R.A089.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.S32W.2026.SM.4AD6E	GTEX.QVJO.1826.SM.447C9	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.12WSB.0626.SM.59HJO	GTEX.133LE.1726.SM.5K7VQ	TCGA.C5.A1MP.01A.11R.A14Y.07	TCGA.EK.A2GZ.01A.11R.A180.07	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.VS.A8EL.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.ZJ.AAXU.01A.11R.A42T.07	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.CV.A6K2.01A.11R.A31N.07	TCGA.CN.5364.01A.01R.1436.07	TCGA.CV.6936.01A.11R.1915.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.D6.6516.01A.11R.1873.07	TCGA.BA.4077.01B.01R.1436.07	TCGA.CV.6945.01A.11R.1915.07	GTEX.1399S.0526.SM.5IJG8	GTEX.1313W.0926.SM.5EQ56	TCGA.33.4589.01A.01R.1443.07
ABCC9	1.99	16.51	2.56	5.15	412.0	656.11	106.63	255.0	785.88	132.44	1143.1	872.1	591.22	493.56	842.36	373.81	559.28	665.29	579.04	769.69	995.0	915.51	559.28	759.08	1151.06	796.86	444.72	563.18	450.94	164.42	414.87	182.55	559.28	466.88	423.61	371.22	511.0	361.04	305.55	389.72	660.68	157.68	9.93	4.21	14.24	3.08	1.73	6.46	102.97	71.5	11.3	9.78	6.06	25.35	13.72	12.09	18.84	7.17	20.71	164.42	139.07	7.28
ADRA1A	0.0	0.0	0.0	0.0	33.54	125.24	53.95	125.24	180.02	34.26	563.18	197.09	151.22	99.43	101.54	53.57	255.0	138.1	201.25	139.07	332.14	220.32	197.09	190.34	275.28	320.8	166.73	60.39	269.6	31.45	131.51	43.94	89.51	139.07	155.5	239.52	136.19	102.97	41.52	23.08	44.25	33.06	0.0	0.0	0.0	0.0	0.0	0.0	41.22	34.75	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.53	0.0	52.45	7.22	0.69
AFAP1L1	30.34	182.55	58.3	68.55	447.82	595.34	224.97	493.56	525.39	358.54	738.29	473.41	728.11	567.1	397.93	679.29	753.83	555.41	624.99	518.15	679.29	660.68	728.11	647.07	1051.79	1059.11	587.13	551.56	518.15	363.56	638.15	299.25	567.1	392.44	587.13	587.13	656.11	318.57	563.18	299.25	525.39	212.78	21.16	134.3	51.35	111.99	312.0	163.28	265.87	287.01	320.8	115.97	72.52	59.97	205.5	159.9	125.24	111.99	426.57	178.77	417.77	101.54
AFF1	289.02	119.26	93.35	187.71	348.71	878.17	318.57	301.33	647.07	236.21	878.17	988.12	417.77	665.29	674.59	595.34	656.11	718.08	651.58	866.07	748.61	1096.5	656.11	1008.9	1066.48	607.87	1250.98	620.67	954.43	483.38	591.22	563.18	363.56	909.17	836.53	954.43	1844.76	616.37	638.15	915.51	1936.53	432.53	373.81	116.78	197.09	114.36	105.89	148.09	860.08	397.93	143.01	118.43	214.27	363.56	157.68	103.69	198.47	224.97	175.07	796.86	397.93	20.56
ALDH3A2	226.54	753.83	571.05	149.12	1896.65	2018.8	1781.89	1639.59	2935.74	1081.39	3235.01	2997.45	2739.08	2255.7	2997.45	1498.22	3280.18	2468.49	2682.69	2502.97	2271.4	2682.69	2367.9	2701.35	2224.63	2520.38	4239.45	4038.61	1757.34	1781.89	1030.12	1001.93	3103.19	2319.15	1674.06	1259.69	1529.73	3928.15	2537.92	1709.26	1242.34	1044.52	2240.11	872.1	1819.35	947.83	316.37	1617.0	995.0	1551.09	854.13	1529.73	909.17	866.07	733.19	1151.06	796.86	1529.73	1044.52	2032.85	3212.66	1745.2
ANKRD40	223.41	249.73	241.19	258.57	1127.35	1277.29	848.22	1111.82	1781.89	540.19	2384.37	1896.65	1757.34	1594.73	1857.6	1015.93	1781.89	1378.57	1487.87	1674.06	2119.22	1407.55	1709.26	1572.76	1340.84	1936.53	1457.23	2520.38	1477.58	1477.58	1216.75	1111.82	836.53	1769.57	2255.7	1950.0	1923.14	1286.18	1572.76	974.5	1183.45	703.28	332.14	341.51	248.0	229.72	242.88	255.0	529.06	591.22	232.94	255.0	255.0	397.93	387.02	204.07	236.21	336.79	299.25	571.05	563.18	100.83
ANO6	363.56	242.88	237.86	376.41	1572.76	2701.35	1119.56	1651.0	3614.55	819.3	3303.0	3303.0	2835.7	2351.53	2739.08	2209.26	2591.27	3103.19	3874.05	2609.3	3515.68	5441.3	2758.13	3039.3	4903.87	4010.71	2609.3	5872.48	3124.78	1508.65	1397.83	1529.73	2287.2	2240.11	2032.85	3982.99	2502.97	2915.45	2271.4	1794.29	1896.65	854.13	220.32	258.57	363.56	153.34	381.68	220.32	444.72	429.54	441.64	312.0	490.14	525.39	229.72	332.14	532.74	612.11	339.14	896.64	830.75	334.46
ANTXR2	58.3	358.54	140.04	325.29	2335.28	4010.71	1508.65	1896.65	3874.05	1111.82	4239.45	4181.07	3349.13	2319.15	4066.71	1963.57	3928.15	3794.3	2997.45	3280.18	3901.01	4869.99	3124.78	3742.05	4181.07	3372.43	2915.45	2682.69	2855.44	1781.89	507.46	718.08	2193.99	1870.53	2537.92	3614.55	3901.01	1447.15	1977.24	2468.49	1806.78	1551.09	209.84	420.68	281.09	137.14	316.37	80.01	1135.2	1331.57	417.77	231.32	392.44	111.99	248.0	476.71	473.41	547.75	239.52	1487.87	260.38	141.02
ARHGEF6	246.28	64.8	18.03	112.77	909.17	1457.23	1051.79	1081.39	2367.9	738.29	2915.45	2701.35	1208.34	1529.73	2758.13	878.17	2255.7	1447.15	1242.34	2090.03	2047.0	1963.57	1844.76	2018.8	1191.69	1674.06	2915.45	3874.05	1583.71	575.03	2335.28	848.22	921.88	2271.4	718.08	1096.5	4512.4	3190.46	1519.15	854.13	2148.82	1477.58	126.12	31.0	88.88	66.65	40.93	52.08	493.56	320.8	36.01	46.84	41.22	61.68	73.54	27.64	62.12	155.5	17.38	305.55	518.15	29.06
ATXN1L	128.79	111.99	90.14	142.01	305.55	497.0	299.25	301.33	529.06	177.53	603.67	536.45	483.38	503.95	587.13	460.44	587.13	480.04	507.46	579.04	599.49	500.46	490.14	551.56	540.19	595.34	536.45	669.92	426.57	432.53	392.44	397.93	265.87	473.41	642.59	629.35	540.19	341.51	397.93	547.75	470.14	438.59	159.9	119.26	158.79	132.44	108.14	173.85	358.54	265.87	176.29	115.16	171.45	291.04	217.27	131.51	381.68	170.25	197.09	450.94	325.29	63.89
