	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.AR.A0TP.01A.11R.A084.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A13D.01A.13R.A12P.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AC.A2BK.01A.11R.A21T.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.E9.A1N8.01A.11R.A144.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.AC.A62X.01A.11R.A29R.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.S341.1526.SM.4AD6K	GTEX.Y5LM.1726.SM.4VDSX	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.CR.6474.01A.11R.1873.07	TCGA.CX.7086.01A.11R.2081.07	TCGA.CV.6959.01A.11R.1915.07	TCGA.CV.5979.01A.11R.1686.07	TCGA.CR.7365.01A.11R.2016.07	TCGA.CV.6956.01A.21R.2016.07	TCGA.CV.7243.01A.11R.2016.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CN.4742.01A.02R.1514.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.38.4625.01A.01R.1206.07
ANKRA2	111.21	708.18	122.64	241.19	78.34	438.59	145.02	224.97	490.14	397.93	567.1	497.0	152.28	447.82	341.51	239.52	423.61	177.53	708.18	154.42	157.68	153.34	395.18	540.19	182.55	163.28	366.09	258.57	147.06	127.0	470.14	264.03	432.53	551.56	595.34	503.95	376.41	995.0	775.05	884.29	713.11	748.61	713.11	723.08	281.09	265.87	376.41	902.89	480.04	503.95	95.34	214.27	122.64	101.54	107.38	96.01	138.1	121.79	122.64	110.43	0.0
ARHGEF38	1.57	173.85	12.0	46.5	40.64	62.12	30.12	68.07	183.82	143.01	91.41	215.77	7.0	182.55	327.56	166.73	253.23	56.28	185.11	23.93	24.46	84.63	224.97	312.0	13.93	17.13	136.19	4.58	14.45	60.82	6.21	81.71	127.0	169.07	271.48	190.34	144.01	314.17	305.55	361.04	217.27	295.11	155.5	303.44	149.12	35.25	307.69	450.94	98.73	176.29	1.31	2.43	4.06	0.79	2.25	0.0	3.76	3.5	0.0	1.89	0.0
ASB8	297.17	660.68	285.03	603.67	327.56	669.92	334.46	555.41	796.86	371.22	647.07	769.69	228.13	638.15	591.22	503.95	674.59	291.04	616.37	287.01	348.71	507.46	718.08	536.45	473.41	361.04	466.88	400.71	283.05	470.14	332.14	476.71	764.36	595.34	708.18	723.08	463.65	884.29	591.22	954.43	934.76	753.83	397.93	525.39	303.44	251.48	647.07	395.18	769.69	791.35	287.01	314.17	444.72	299.25	303.44	409.15	366.09	208.38	351.14	176.29	275.28
ATP6AP1L	5.41	75.64	25.35	197.09	40.07	100.83	44.57	44.57	94.67	130.6	180.02	57.08	55.89	93.35	71.5	95.34	59.97	33.06	92.7	35.0	47.17	47.5	87.65	152.28	16.27	58.71	73.03	41.81	31.45	91.41	148.09	73.03	84.63	82.87	102.25	105.89	96.01	183.82	108.9	283.05	215.77	211.31	88.26	262.2	41.52	63.89	120.1	381.68	27.84	75.11	18.56	9.27	23.76	19.11	13.03	27.05	21.94	8.06	23.25	26.1	65.26
ATRIP	92.7	189.02	108.9	409.15	269.6	389.72	162.14	159.9	341.51	248.0	281.09	133.36	161.02	201.25	293.07	190.34	332.14	88.26	244.57	87.03	175.07	123.5	199.85	223.41	96.68	228.13	107.38	130.6	146.03	144.01	301.33	181.28	183.82	218.79	232.94	275.28	181.28	318.57	151.22	316.37	223.41	265.87	221.86	341.51	120.1	325.29	119.26	314.17	293.07	215.77	108.9	133.36	112.77	115.97	123.5	118.43	110.43	82.87	73.54	97.36	0.0
BRD8	232.94	1044.52	334.46	599.49	336.79	854.13	764.36	713.11	1044.52	902.89	1359.57	1151.06	267.73	909.17	688.78	753.83	1037.29	476.71	1001.93	438.59	497.0	301.33	743.43	988.12	728.11	339.14	642.59	878.17	571.05	309.83	1127.35	743.43	941.27	1277.29	1277.29	961.07	974.5	1340.84	1378.57	1437.15	890.44	1551.09	1081.39	1529.73	808.0	490.14	1304.15	1806.78	775.05	1104.13	244.57	457.25	351.14	199.85	231.32	256.78	236.21	363.56	193.01	194.36	0.0
C10orf32	180.02	616.37	239.52	802.41	198.47	450.94	303.44	511.0	884.29	633.73	836.53	559.28	127.89	791.35	947.83	397.93	521.76	149.12	1023.0	236.21	206.94	341.51	607.87	860.08	392.44	307.69	392.44	221.86	273.37	163.28	1111.82	651.58	896.64	679.29	521.76	753.83	866.07	1191.69	759.08	884.29	651.58	1073.91	1832.01	536.45	928.3	1540.37	1651.0	529.06	2240.11	878.17	193.01	172.65	100.13	171.45	251.48	165.57	164.42	256.78	232.94	253.23	329.84
C5orf63	37.59	231.32	45.53	66.18	102.25	152.28	37.85	63.89	172.65	246.28	169.07	249.73	41.22	316.37	18.43	136.19	301.33	52.82	114.36	94.67	57.89	65.72	107.38	148.09	40.36	20.86	128.79	19.25	46.84	12.36	303.44	90.77	130.6	124.37	72.52	86.43	166.73	351.14	132.44	297.17	63.89	500.46	84.63	432.53	29.06	146.03	25.72	265.87	104.42	111.99	37.05	9.78	47.5	36.01	22.1	60.82	45.21	50.27	37.59	32.59	0.0
CASD1	73.54	684.02	205.5	441.64	190.34	325.29	262.2	293.07	842.36	376.41	703.28	616.37	153.34	371.22	332.14	293.07	297.17	173.85	547.75	206.94	141.02	255.0	718.08	665.29	237.86	189.02	220.32	258.57	181.28	248.0	336.79	379.04	463.65	392.44	466.88	836.53	368.65	1674.06	902.89	1350.18	363.56	620.67	703.28	934.76	291.04	253.23	988.12	1233.75	161.02	961.07	70.51	81.14	88.26	92.7	76.17	63.89	95.34	91.41	79.45	70.51	0.0
CCDC125	44.89	351.14	80.01	186.4	82.87	381.68	120.1	242.88	486.75	532.74	417.77	563.18	72.52	493.56	406.31	291.04	493.56	99.43	295.11	110.43	71.5	129.69	262.2	339.14	145.02	70.51	165.57	106.63	143.01	127.0	698.41	153.34	156.59	246.28	297.17	314.17	269.6	947.83	616.37	802.41	470.14	426.57	289.02	642.59	105.15	145.02	392.44	551.56	195.72	426.57	24.81	42.11	41.81	32.82	25.17	20.11	3.47	36.01	25.72	24.28	0.0
CCDC170	1.27	269.6	6.84	271.48	8.06	134.3	17.13	176.29	447.82	127.89	256.78	237.86	2.29	307.69	146.03	20.86	198.47	6.16	275.28	28.65	4.28	8.58	163.28	204.07	10.47	31.67	36.53	4.17	9.85	1.11	493.56	150.17	80.01	127.0	371.22	303.44	256.78	1008.9	100.83	2796.65	242.88	376.41	57.49	995.0	75.11	61.25	373.81	1487.87	616.37	555.41	10.96	0.64	4.86	5.23	4.24	1.51	3.63	2.36	6.57	2.29	0.0
CCDC176	53.57	339.14	42.71	336.79	127.89	249.73	183.82	64.8	780.44	336.79	780.44	256.78	161.02	555.41	483.38	217.27	166.73	109.66	303.44	111.99	98.04	138.1	343.89	392.44	40.36	111.21	151.22	120.1	80.57	31.0	392.44	256.78	231.32	334.46	995.0	529.06	348.71	775.05	414.87	1143.1	447.82	638.15	334.46	373.81	318.57	143.01	775.05	1119.56	356.05	379.04	60.82	60.39	55.89	95.34	65.26	23.93	60.82	63.0	64.8	46.84	0.0
CEP120	38.12	183.82	92.7	161.02	81.71	226.54	115.16	80.57	215.77	223.41	177.53	244.57	53.95	181.28	135.24	138.1	128.79	96.01	293.07	118.43	69.52	96.01	198.47	255.0	106.63	84.04	205.5	100.13	77.79	25.54	204.07	256.78	265.87	267.73	269.6	237.86	193.01	486.75	285.03	423.61	320.8	334.46	500.46	277.2	130.6	138.1	348.71	305.55	153.34	483.38	80.57	92.05	90.77	49.56	66.18	53.19	50.27	39.22	61.68	23.93	0.0
CETN3	351.14	866.07	412.0	1111.82	289.02	819.3	397.93	301.33	961.07	796.86	536.45	1135.2	660.68	693.58	518.15	511.0	1135.2	289.02	1167.14	486.75	320.8	444.72	764.36	808.0	429.54	486.75	575.03	493.56	381.68	473.41	1135.2	775.05	860.08	796.86	842.36	1051.79	1030.12	1359.57	791.35	1159.07	842.36	708.18	1030.12	1001.93	417.77	1417.35	1437.15	1001.93	1199.98	1378.57	248.0	389.72	237.86	271.48	194.36	215.77	358.54	285.03	205.5	291.04	0.0
CRYZL1	314.17	651.58	299.25	703.28	403.5	684.02	426.57	420.68	679.29	629.35	603.67	848.22	764.36	759.08	500.46	521.76	674.59	373.81	872.1	336.79	312.0	441.64	896.64	769.69	348.71	341.51	603.67	264.03	403.5	267.73	713.11	693.58	1111.82	738.29	988.12	819.3	713.11	1259.69	1081.39	1059.11	1001.93	872.1	928.3	830.75	540.19	518.15	1127.35	981.29	896.64	808.0	258.57	189.02	177.53	176.29	175.07	120.94	229.72	332.14	309.83	221.86	0.0
CTDSPL	193.01	540.19	743.43	483.38	420.68	547.75	738.29	273.37	1199.98	429.54	583.07	819.3	186.4	679.29	483.38	567.1	447.82	356.05	1313.23	723.08	332.14	373.81	802.41	902.89	536.45	255.0	563.18	503.95	248.0	214.27	723.08	915.51	1175.27	1001.93	1199.98	1066.48	961.07	1008.9	1322.37	1242.34	813.63	1104.13	988.12	656.11	249.73	693.58	890.44	713.11	1447.15	791.35	389.72	371.22	476.71	295.11	460.44	785.88	376.41	314.17	500.46	327.56	339.14
CWC27	194.36	518.15	223.41	182.55	239.52	400.71	346.29	241.19	417.77	400.71	279.14	483.38	314.17	395.18	341.51	486.75	412.0	356.05	473.41	361.04	190.34	264.03	392.44	441.64	269.6	361.04	285.03	329.84	423.61	329.84	403.5	397.93	507.46	358.54	470.14	389.72	463.65	579.04	400.71	511.0	497.0	432.53	441.64	444.72	521.76	423.61	454.09	406.31	305.55	551.56	242.88	211.31	323.03	191.67	191.67	228.13	273.37	226.54	209.84	253.23	0.0
CYB5D1	170.25	432.53	144.01	265.87	273.37	371.22	237.86	255.0	728.11	249.73	1088.92	395.18	171.45	819.3	447.82	283.05	483.38	145.02	392.44	215.77	208.38	185.11	500.46	371.22	358.54	144.01	177.53	309.83	190.34	120.1	902.89	366.09	397.93	403.5	567.1	511.0	397.93	688.78	353.59	796.86	507.46	599.49	303.44	551.56	251.48	215.77	366.09	1331.57	262.2	463.65	146.03	146.03	158.79	145.02	175.07	181.28	99.43	264.03	85.82	194.36	0.0
DMXL1	110.43	223.41	164.42	265.87	151.22	490.14	221.86	187.71	341.51	409.15	346.29	470.14	120.1	373.81	316.37	262.2	529.06	214.27	521.76	182.55	92.7	166.73	460.44	480.04	201.25	181.28	351.14	133.36	131.51	86.43	341.51	400.71	409.15	470.14	591.22	414.87	361.04	872.1	753.83	759.08	860.08	438.59	693.58	612.11	368.65	291.04	684.02	703.28	379.04	915.51	111.99	139.07	114.36	100.13	122.64	92.05	100.83	124.37	130.6	65.26	0.0
