	TCGA.BH.A0BO.01A.23R.A12D.07	TCGA.C8.A12L.01A.11R.A115.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.A8.A084.01A.21R.A00Z.07	TCGA.BH.A8FZ.01A.11R.A352.07	TCGA.C8.A12Q.01A.11R.A115.07	TCGA.A8.A09G.01A.21R.A00Z.07	TCGA.E2.A1LE.01A.12R.A19W.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.EW.A6SD.01A.12R.A33J.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.A7.A0CG.01A.12R.A056.07	TCGA.BH.A1FC.11A.32R.A13Q.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.131YS.0626.SM.5EGKL	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13NYC.2626.SM.5K7VN
AC006132.1	8.38	46.18	10.79	27.05	40.64	1.89	10.31	14.89	5.82	27.64	8.51	13.32	8.58	4.7	43.02	8.71	14.78	11.04	4.82	0.93	2.16	2.94	4.28	12.09	0.93	1.89	7.69	5.92	4.94	16.39	3.56	13.62	8.58
AC093677.1	2.78	14.24	10.71	3.23	10.08	5.82	1.77	6.84	1.38	5.06	4.39	8.06	8.51	7.4	8.06	3.2	12.18	1.14	5.32	0.0	0.0	1.58	0.0	1.68	0.0	0.87	3.69	3.76	0.0	3.5	0.0	1.77	0.0
AIMP2	599.49	1143.1	753.83	559.28	743.43	896.64	674.59	928.3	483.38	698.41	642.59	420.68	1023.0	842.36	493.56	511.0	514.56	503.95	743.43	387.02	466.88	486.75	323.03	368.65	381.68	303.44	490.14	351.14	358.54	336.79	497.0	559.28	1551.09
AP1B1	1059.11	1594.73	3081.75	1304.15	1447.15	1923.14	1870.53	1359.57	995.0	2997.45	2537.92	1674.06	1963.57	1721.16	1119.56	1378.57	1304.15	915.51	1001.93	708.18	620.67	860.08	525.39	791.35	872.1	616.37	660.68	1111.82	363.56	1225.22	748.61	1059.11	1044.52
AP5Z1	305.55	651.58	629.35	503.95	603.67	802.41	420.68	902.89	351.14	780.44	718.08	441.64	1225.22	493.56	414.87	525.39	438.59	279.14	334.46	139.07	153.34	150.17	169.07	256.78	248.0	181.28	98.73	307.69	76.17	483.38	94.01	244.57	325.29
ARFGAP1	1023.0	1551.09	1508.65	1388.16	1477.58	1340.84	1286.18	1304.15	995.0	1447.15	1059.11	1819.35	3103.19	1832.01	1167.14	1096.5	1225.22	825.0	808.0	379.04	376.41	521.76	387.02	525.39	435.55	381.68	400.71	848.22	500.46	1250.98	591.22	656.11	633.73
ARRDC1	860.08	2287.2	5255.91	2400.97	2255.7	2915.45	1437.15	4268.94	1167.14	2133.97	3303.0	1417.35	2777.33	1572.76	1639.59	2451.44	1208.34	1119.56	1135.2	231.32	279.14	435.55	336.79	587.13	351.14	409.15	389.72	1023.0	301.33	1233.75	743.43	1096.5	406.31
ATG4D	303.44	1037.29	507.46	525.39	1143.1	830.75	327.56	878.17	417.77	633.73	529.06	507.46	808.0	384.34	733.19	941.27	339.14	368.65	392.44	175.07	181.28	236.21	314.17	246.28	173.85	295.11	199.85	351.14	173.85	389.72	135.24	759.08	785.88
BCL2L12	237.86	775.05	665.29	392.44	656.11	392.44	575.03	836.53	392.44	473.41	909.17	376.41	656.11	571.05	486.75	503.95	426.57	262.2	285.03	91.41	87.65	135.24	141.02	181.28	124.37	96.01	182.55	253.23	50.98	381.68	129.69	599.49	769.69
BRD4	961.07	1870.53	884.29	620.67	3639.7	928.3	753.83	764.36	599.49	674.59	791.35	848.22	703.28	470.14	791.35	624.99	961.07	540.19	599.49	441.64	486.75	629.35	543.96	583.07	536.45	503.95	616.37	753.83	320.8	775.05	540.19	363.56	1081.39
C12orf74	0.34	24.63	22.59	16.27	5.19	20.26	4.94	4.78	0.33	4.1	33.54	0.39	10.79	4.98	1.53	2.43	3.53	1.08	1.66	0.39	0.0	0.38	0.42	0.0	0.0	0.0	2.43	6.62	0.0	3.35	12.36	0.0	0.0
C19orf52	299.25	941.27	412.0	397.93	536.45	612.11	325.29	703.28	291.04	341.51	493.56	426.57	466.88	450.94	432.53	514.56	414.87	293.07	376.41	232.94	248.0	301.33	318.57	277.2	246.28	323.03	277.2	299.25	234.57	346.29	381.68	395.18	368.65
C4orf48	55.49	954.43	497.0	273.37	145.02	343.89	127.0	796.86	63.89	138.1	217.27	154.42	808.0	221.86	163.28	336.79	132.44	3.59	187.71	57.08	62.56	83.45	35.5	77.25	57.49	69.03	40.64	90.14	4.78	92.7	0.0	53.19	33.06
CARM1	540.19	2485.67	1008.9	679.29	1350.18	1397.83	587.13	1437.15	629.35	981.29	1096.5	1037.29	1008.9	624.99	890.44	909.17	802.41	591.22	551.56	387.02	447.82	497.0	470.14	514.56	420.68	454.09	371.22	575.03	438.59	854.13	221.86	353.59	1745.2
CELSR3	19.53	295.11	158.79	239.52	83.45	10.71	65.72	112.77	16.75	97.36	214.27	20.26	21.63	32.36	35.25	161.02	157.68	13.72	20.11	5.63	4.31	9.48	10.31	13.32	10.55	8.65	10.79	14.35	3.72	35.76	5.68	5.28	23.93
CHERP	607.87	743.43	791.35	599.49	1540.37	890.44	466.88	819.3	551.56	432.53	703.28	656.11	688.78	483.38	525.39	638.15	616.37	450.94	486.75	228.13	244.57	320.8	336.79	403.5	297.17	269.6	279.14	607.87	387.02	842.36	228.13	420.68	642.59
CLEC7A	343.89	764.36	197.09	91.41	713.11	486.75	283.05	189.02	125.24	547.75	234.57	351.14	316.37	138.1	191.67	22.92	258.57	134.3	182.55	44.57	46.18	223.41	35.0	138.1	103.69	31.22	221.86	100.13	94.01	111.21	175.07	371.22	18.56
CLPTM1	1697.45	2976.74	3768.09	1923.14	1857.6	1295.13	2701.35	4298.64	1806.78	1628.26	3564.78	2537.92	3146.52	1819.35	1407.55	2351.53	2739.08	2018.8	1883.54	1508.65	1561.89	1697.45	1651.0	1605.83	1286.18	2075.59	1191.69	1977.24	796.86	2090.03	785.88	1651.0	2271.4
DDA1	954.43	1745.2	1477.58	872.1	2664.15	2004.85	890.44	2555.58	764.36	1096.5	1745.2	1183.45	1437.15	2004.85	1199.98	1745.2	1119.56	708.18	928.3	507.46	591.22	629.35	540.19	656.11	567.1	579.04	457.25	638.15	291.04	633.73	466.88	866.07	974.5
DDX39A	1191.69	3665.02	1769.57	1286.18	3467.27	2434.5	1183.45	3847.29	775.05	2384.37	2075.59	2303.12	2032.85	2997.45	1923.14	1583.71	902.89	656.11	884.29	392.44	460.44	514.56	323.03	656.11	536.45	412.0	395.18	718.08	368.65	830.75	543.96	743.43	2090.03
DLGAP4	1407.55	2119.22	1277.29	1242.34	967.76	1909.85	1183.45	1447.15	819.3	1359.57	1819.35	1369.04	1909.85	1183.45	1286.18	1167.14	1340.84	1051.79	1183.45	1015.93	1369.04	1359.57	842.36	1143.1	1304.15	954.43	1023.0	981.29	1066.48	1340.84	974.5	536.45	2895.31
DNM2	1304.15	4095.0	3742.05	1540.37	2758.13	2319.15	1467.37	1757.34	1313.23	1561.89	1781.89	2400.97	1769.57	1268.46	1561.89	1417.35	1781.89	1340.84	1175.27	1044.52	1066.48	1340.84	961.07	1151.06	1191.69	1259.69	1143.1	1407.55	1135.2	2047.0	1088.92	1008.9	1883.54
DNMT1	785.88	2895.31	1059.11	1583.71	2701.35	1151.06	1104.13	1540.37	988.12	1769.57	1268.46	1066.48	1167.14	1583.71	1001.93	1605.83	921.88	1167.14	967.76	361.04	438.59	890.44	341.51	848.22	599.49	444.72	954.43	1015.93	525.39	1015.93	1037.29	878.17	961.07
ECE2	110.43	518.15	438.59	114.36	232.94	426.57	346.29	480.04	120.1	309.83	507.46	231.32	301.33	258.57	291.04	201.25	120.94	93.35	95.34	29.7	30.78	43.32	18.7	70.01	28.45	13.83	40.07	78.34	12.83	81.14	69.03	155.5	279.14
EIF4G1	5751.61	7966.99	7382.04	4607.24	5913.33	7331.05	6037.61	5995.9	3665.02	4010.71	7966.99	6250.56	4903.87	3901.01	4671.57	2682.69	5076.84	3639.7	2915.45	2520.38	2701.35	3146.52	2209.26	3081.75	2956.17	2895.31	2591.27	3540.14	1757.34	2997.45	2796.65	2682.69	8778.97
FAM83H	547.75	1963.57	928.3	638.15	447.82	890.44	521.76	808.0	521.76	457.25	995.0	866.07	981.29	387.02	603.67	791.35	366.09	264.03	285.03	30.56	5.5	141.02	44.89	169.07	74.58	29.27	158.79	435.55	77.79	329.84	170.25	299.25	579.04
FARSA	890.44	2240.11	1437.15	1397.83	3212.66	1639.59	896.64	1963.57	1191.69	1350.18	1477.58	1457.23	1477.58	1447.15	1259.69	1135.2	995.0	981.29	718.08	376.41	358.54	470.14	432.53	559.28	435.55	420.68	444.72	947.83	343.89	1015.93	551.56	896.64	2047.0
FBXL6	241.19	1175.27	656.11	493.56	389.72	381.68	525.39	819.3	256.78	314.17	713.11	406.31	967.76	493.56	457.25	379.04	256.78	187.71	214.27	54.72	101.54	122.64	137.14	163.28	88.26	118.43	81.71	199.85	54.33	256.78	115.97	316.37	231.32
FSD1	1.57	22.75	4.7	7.11	6.57	5.77	2.29	0.0	2.97	10.47	8.78	11.21	14.56	5.02	5.11	8.38	2.73	9.06	2.27	1.35	0.0	0.49	0.0	0.96	0.52	0.0	0.47	5.06	0.0	2.16	3.92	0.36	7.46
GATAD2A	1037.29	1277.29	1066.48	1051.79	921.88	1015.93	866.07	1286.18	703.28	679.29	1199.98	1088.92	934.76	988.12	954.43	775.05	1175.27	599.49	587.13	339.14	329.84	392.44	303.44	563.18	503.95	307.69	327.56	780.44	262.2	599.49	309.83	346.29	1111.82
GIPC1	1733.13	4836.35	3372.43	2682.69	3847.29	3768.09	1685.71	3982.99	1572.76	2520.38	3257.52	2367.9	3768.09	2520.38	2451.44	3716.2	2573.36	1183.45	1051.79	651.58	753.83	567.1	525.39	872.1	866.07	503.95	384.34	1135.2	253.23	1225.22	669.92	1397.83	2645.74
GTF2IRD1	438.59	1008.9	497.0	698.41	264.03	555.41	583.07	866.07	400.71	967.76	785.88	2400.97	830.75	511.0	688.78	836.53	336.79	503.95	397.93	236.21	153.34	204.07	226.54	229.72	209.84	156.59	293.07	403.5	166.73	426.57	137.14	295.11	733.19
GTPBP3	193.01	490.14	346.29	255.0	854.13	444.72	237.86	414.87	332.14	197.09	318.57	295.11	403.5	356.05	409.15	312.0	307.69	134.3	201.25	76.17	81.14	130.6	144.01	190.34	169.07	137.14	115.97	273.37	107.38	392.44	107.38	215.77	273.37
HCFC1	486.75	1175.27	633.73	713.11	679.29	769.69	738.29	679.29	559.28	733.19	693.58	575.03	830.75	638.15	486.75	454.09	638.15	563.18	620.67	339.14	368.65	435.55	376.41	454.09	339.14	368.65	358.54	559.28	379.04	529.06	239.52	473.41	483.38
HOMER3	651.58	4512.4	1991.0	703.28	698.41	3768.09	603.67	3103.19	629.35	2240.11	1572.76	1628.26	2796.65	1477.58	1175.27	1733.13	1508.65	638.15	647.07	450.94	336.79	450.94	249.73	497.0	486.75	273.37	334.46	616.37	607.87	733.19	466.88	599.49	454.09
ILF3	1936.53	4903.87	2193.99	2664.15	4239.45	2701.35	1870.53	3081.75	2271.4	1662.49	2537.92	2367.9	2591.27	2555.58	2739.08	2434.5	2367.9	2090.03	1721.16	1159.07	1286.18	1628.26	1519.15	1870.53	1594.73	1572.76	1427.22	2627.46	2148.82	2956.17	1721.16	1662.49	2287.2
ILVBL	651.58	2468.49	1583.71	995.0	5329.3	1651.0	947.83	2895.31	1023.0	1104.13	884.29	878.17	1457.23	463.65	780.44	1119.56	2178.83	769.69	693.58	540.19	559.28	392.44	961.07	665.29	616.37	1119.56	271.48	718.08	454.09	988.12	303.44	961.07	1216.75
KCTD15	341.51	688.78	836.53	493.56	490.14	381.68	642.59	454.09	194.36	406.31	1051.79	559.28	1023.0	490.14	444.72	336.79	688.78	466.88	426.57	107.38	85.22	217.27	91.41	206.94	162.14	150.17	171.45	409.15	234.57	229.72	92.05	201.25	1143.1
KRT3	0.35	5.77	1.43	0.64	0.35	2.94	0.0	1.31	0.0	1.62	0.34	1.55	2.03	0.87	0.78	0.62	0.41	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17	0.0	0.0	0.0
KXD1	1350.18	1757.34	2075.59	1233.75	3257.52	2319.15	1250.98	2502.97	1529.73	1819.35	1378.57	2061.24	1806.78	1781.89	2287.2	1674.06	1883.54	1447.15	1870.53	1427.22	1286.18	1199.98	1467.37	1551.09	1331.57	1286.18	1044.52	1651.0	842.36	1977.24	1151.06	1857.6	1883.54
KYNU	140.04	4239.45	6745.86	3060.45	152.28	3039.3	255.0	4607.24	166.73	2591.27	3491.39	1151.06	470.14	1561.89	351.14	1081.39	133.36	1127.35	476.71	82.87	120.1	223.41	69.03	103.69	114.36	26.67	493.56	226.54	60.39	171.45	2816.11	297.17	185.11
LRFN3	169.07	536.45	490.14	221.86	214.27	156.59	301.33	171.45	237.86	161.02	414.87	258.57	387.02	67.59	197.09	271.48	395.18	194.36	217.27	121.79	121.79	144.01	182.55	172.65	175.07	151.22	134.3	248.0	100.13	148.09	83.45	231.32	195.72
MCOLN2	24.63	131.51	52.08	37.59	124.37	48.87	85.82	115.16	41.52	73.03	69.52	105.89	102.97	54.33	16.75	13.42	42.41	40.93	27.05	7.06	21.01	27.44	15.45	10.16	20.56	13.12	82.87	31.45	37.05	40.36	44.57	0.67	11.3
MED26	164.42	180.02	215.77	146.03	500.46	246.28	107.38	234.57	165.57	112.77	236.21	161.02	172.65	120.1	186.4	224.97	164.42	104.42	115.97	70.01	92.05	92.05	123.5	99.43	89.51	87.03	112.77	162.14	84.63	180.02	75.64	92.7	131.51
MFSD12	872.1	2351.53	1447.15	988.12	1233.75	1096.5	1135.2	1388.16	688.78	1529.73	1096.5	813.63	2224.63	785.88	1081.39	1081.39	941.27	460.44	633.73	204.07	277.2	334.46	217.27	379.04	420.68	246.28	303.44	607.87	182.55	836.53	289.02	536.45	583.07
MMP1	56.68	3395.89	113.56	579.04	117.6	543.96	3.99	1806.78	9.63	2777.33	583.07	1628.26	1844.76	1159.07	432.53	105.89	19.39	61.25	12.83	3.03	1.14	5.82	0.0	31.0	0.0	0.82	0.71	6.26	1.87	5.87	0.0	5.59	217.27
MPP3	159.9	651.58	476.71	314.17	323.03	215.77	186.4	177.53	123.5	214.27	392.44	194.36	273.37	237.86	176.29	392.44	157.68	142.01	124.37	78.34	87.65	92.7	90.77	69.03	81.71	106.63	91.41	65.72	34.26	74.06	105.15	141.02	14.56
MPV17L2	295.11	336.79	583.07	358.54	1745.2	825.0	414.87	688.78	303.44	343.89	353.59	426.57	483.38	454.09	728.11	688.78	373.81	256.78	409.15	170.25	151.22	220.32	153.34	147.06	157.68	189.02	211.31	253.23	74.58	195.72	244.57	486.75	339.14
MST1R	199.85	759.08	318.57	273.37	88.26	420.68	211.31	150.17	279.14	387.02	514.56	633.73	258.57	142.01	209.84	392.44	215.77	127.89	98.73	36.27	17.9	67.12	26.47	74.06	26.86	28.65	74.58	90.77	46.18	293.07	148.09	176.29	28.65
MUCL1	506427.83	550352.86	2216726.5	636586.81	338781.54	520665.48	794671.01	386469.83	919186.72	828417.36	249727.34	1273174.62	524287.0	1255646.43	668235.84	985160.01	434801.29	554180.87	419990.32	15180.22	0.0	87075.75	10440.2	27174.14	1322.37	0.0	83528.61	253213.41	5751.61	887875.81	492579.5	1299926.74	9635979.21
NACC1	780.44	1950.0	1216.75	1159.07	1437.15	2240.11	909.17	1487.87	575.03	769.69	1008.9	1304.15	902.89	1059.11	830.75	1259.69	1001.93	629.35	438.59	231.32	162.14	376.41	182.55	366.09	195.72	221.86	269.6	432.53	108.9	351.14	299.25	444.72	336.79
NOTCH3	954.43	4268.94	1583.71	915.51	9215.48	1936.53	1457.23	1427.22	647.07	647.07	1119.56	2133.97	1437.15	651.58	1529.73	780.44	2032.85	995.0	1044.52	595.34	629.35	791.35	620.67	511.0	995.0	612.11	348.71	813.63	1286.18	860.08	607.87	392.44	3081.75
NSDHL	409.15	1508.65	2255.7	733.19	417.77	1397.83	698.41	620.67	503.95	1088.92	642.59	503.95	728.11	1242.34	511.0	813.63	423.61	480.04	483.38	543.96	423.61	371.22	490.14	507.46	454.09	567.1	366.09	457.25	373.81	381.68	346.29	395.18	753.83
