	TCGA.KN.8418.01A.11R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KN.8432.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KN.8434.01A.11R.2315.07	TCGA.KO.8417.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.N7MS.1626.SM.3LK5F	TCGA.B0.5117.01A.01R.1420.07	TCGA.A3.3328.01A.01R.0864.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.4A.A93X.01A.11R.A37K.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.2Z.A9JO.01A.11R.A42S.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.P4.AAVO.01A.11R.A42S.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AC003006.7	21.16	5.11	2.76	24.99	14.67	29.06	39.22	25.54	7.82	29.7	3.89	5.45	8.38	7.88	9.56	4.5	10.63	28.86	2.56	0.0	25.91	0.0	3.11	0.0	0.0	0.0	0.0	6.26	0.0	0.0	0.06
ACSS3	2591.27	2240.11	3060.45	2739.08	2400.97	1950.0	2739.08	2090.03	1551.09	1313.23	2468.49	395.18	2075.59	1350.18	4358.66	1572.76	483.38	253.23	1051.79	198.47	547.75	909.17	52.45	460.44	525.39	543.96	283.05	312.0	128.79	0.0	0.32
ADCK1	258.57	214.27	384.34	303.44	397.93	323.03	299.25	325.29	358.54	329.84	348.71	420.68	220.32	94.01	409.15	334.46	231.32	49.56	260.38	57.08	232.94	130.6	177.53	217.27	223.41	232.94	152.28	201.25	189.02	0.0	0.19
ADNP2	232.94	194.36	187.71	353.59	314.17	215.77	559.28	241.19	169.07	234.57	253.23	199.85	161.02	150.17	135.24	236.21	165.57	137.14	185.11	95.34	133.36	134.3	111.99	137.14	129.69	123.5	132.44	114.36	59.13	0.0	0.34
ANGPT1	1119.56	842.36	769.69	466.88	1175.27	703.28	902.89	629.35	358.54	669.92	647.07	339.14	229.72	84.04	379.04	258.57	45.53	336.79	457.25	29.48	46.84	624.99	2.48	5.82	1.6	14.56	0.34	3.0	26.86	0.0	0.27
AP5B1	197.09	195.72	170.25	271.48	186.4	195.72	217.27	208.38	128.79	120.94	224.97	246.28	162.14	86.43	115.16	141.02	157.68	43.02	145.02	65.72	177.53	21.63	90.14	150.17	80.57	111.21	63.89	66.65	108.9	0.0	0.09
AREL1	384.34	607.87	595.34	723.08	836.53	785.88	575.03	698.41	583.07	612.11	688.78	902.89	454.09	297.17	457.25	521.76	291.04	144.01	371.22	92.7	229.72	76.71	277.2	400.71	301.33	221.86	293.07	395.18	197.09	0.0	0.74
ARHGAP35	1175.27	1191.69	708.18	819.3	1088.92	1175.27	1066.48	941.27	1359.57	974.5	1008.9	1081.39	1073.91	1030.12	759.08	503.95	579.04	343.89	728.11	409.15	466.88	71.0	384.34	497.0	246.28	325.29	147.06	265.87	567.1	0.0	0.41
ASXL1	796.86	480.04	638.15	1191.69	733.19	872.1	791.35	775.05	866.07	698.41	748.61	1037.29	981.29	279.14	595.34	426.57	397.93	368.65	547.75	305.55	417.77	389.72	237.86	242.88	182.55	265.87	616.37	110.43	211.31	0.0	0.65
ATP9B	518.15	529.06	620.67	529.06	579.04	616.37	547.75	503.95	387.02	559.28	536.45	387.02	563.18	305.55	444.72	361.04	155.5	150.17	236.21	264.03	353.59	189.02	307.69	417.77	260.38	267.73	366.09	242.88	221.86	0.0	0.71
B3GNT8	397.93	295.11	612.11	656.11	381.68	656.11	693.58	860.08	493.56	890.44	521.76	551.56	571.05	14.89	412.0	28.86	56.68	307.69	384.34	22.92	30.78	186.4	11.64	7.57	28.24	19.97	37.85	6.41	94.67	0.0	0.12
