	TCGA.AC.A2QH.01A.11R.A18M.07	TCGA.A7.A26F.01A.21R.A169.07	TCGA.A7.A26I.01A.11R.A169.07.1	GTEX.ZYVF.2526.SM.5E45C	TCGA.KN.8437.11A.01R.2315.07	GTEX.ZVZP.0926.SM.5GIDB	GTEX.13OVI.1126.SM.5KLZF	GTEX.1399S.0526.SM.5IJG8	GTEX.147F4.2626.SM.5Q5CS	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.ZVP2.0626.SM.51MSO	GTEX.12WSI.0226.SM.5GCNA	GTEX.UTHO.2426.SM.4JBHD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.13N2G.0926.SM.5IFGJ	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	TCGA.44.3918.01A.01R.A278.07	TCGA.44.2665.01A.01R.A278.07	GTEX.ZYFG.0226.SM.5GIDT	GTEX.ZXG5.0826.SM.5GID6	GTEX.X585.1026.SM.46MW6	GTEX.O5YV.0526.SM.2I5GE	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.N7MT.0126.SM.2D7VT	GTEX.12696.1026.SM.5FQUV	GTEX.YEC3.0226.SM.5IFJO	GTEX.117YW.0526.SM.5H11C	GTEX.OXRP.0526.SM.2I3EW	GTEX.SN8G.0926.SM.4DM5I	GTEX.145MO.1326.SM.5Q5EF	GTEX.PLZ6.0426.SM.5IFK2	GTEX.QMR6.1926.SM.32PL9	GTEX.13QJ3.2726.SM.5SI6L	GTEX.REY6.0526.SM.2TF5M	GTEX.WEY5.0526.SM.3GIKZ	TCGA.BK.A0CC.01A.21R.A277.07	TCGA.BK.A26L.01A.11R.A277.07	TCGA.BK.A139.01A.11R.A277.07
ALG10	332.14	193.01	198.47	53.95	69.52	86.43	114.36	87.65	91.41	17.25	23.76	32.13	33.54	24.46	52.45	30.12	11.91	31.0	24.46	44.25	34.26	356.05	102.97	107.38	80.57	33.54	65.26	68.07	45.53	121.79	44.25	49.21	18.43	36.27	24.99	36.27	47.5	69.52	40.07	77.25	49.56	131.51	208.38	287.01
ARID2	1233.75	567.1	500.46	201.25	189.02	164.42	237.86	176.29	241.19	33.06	55.89	32.59	45.85	67.59	46.5	81.14	87.65	56.68	66.65	39.79	55.89	423.61	420.68	114.36	147.06	155.5	125.24	128.79	121.79	226.54	115.16	101.54	397.93	104.42	105.15	190.34	108.9	217.27	281.09	279.14	198.47	497.0	642.59	669.92
ATAD2B	567.1	450.94	551.56	206.94	94.01	74.58	102.97	84.63	144.01	12.64	47.17	14.89	35.76	71.0	31.67	53.57	48.52	47.5	52.82	50.98	55.1	435.55	242.88	82.87	126.12	124.37	107.38	59.55	72.01	119.26	126.12	72.52	205.5	92.05	72.01	129.69	45.85	287.01	224.97	180.02	133.36	314.17	429.54	547.75
ATRX	1119.56	967.76	1030.12	366.09	348.71	314.17	902.89	417.77	559.28	25.35	57.89	27.25	118.43	211.31	68.07	155.5	125.24	81.71	78.89	130.6	100.13	1104.13	674.59	236.21	361.04	325.29	289.02	283.05	239.52	490.14	258.57	231.32	607.87	251.48	159.9	361.04	159.9	473.41	463.65	483.38	255.0	1286.18	1651.0	1457.23
BIRC6	3257.52	3103.19	2915.45	769.69	651.58	540.19	753.83	764.36	669.92	204.07	217.27	212.78	287.01	336.79	318.57	450.94	395.18	329.84	514.56	248.0	309.83	2287.2	1151.06	571.05	406.31	480.04	525.39	567.1	470.14	785.88	551.56	483.38	638.15	397.93	228.13	532.74	295.11	325.29	417.77	743.43	872.1	2224.63	2119.22	3103.19
BRWD1	1674.06	947.83	1242.34	346.29	285.03	269.6	547.75	320.8	444.72	181.28	214.27	273.37	244.57	392.44	269.6	392.44	242.88	376.41	312.0	228.13	246.28	733.19	764.36	346.29	389.72	297.17	231.32	255.0	323.03	507.46	384.34	281.09	511.0	195.72	275.28	379.04	251.48	587.13	318.57	759.08	473.41	679.29	813.63	679.29
C10orf137	543.96	480.04	647.07	466.88	265.87	209.84	275.28	236.21	267.73	46.18	98.73	31.0	70.51	122.64	92.7	173.85	163.28	84.63	185.11	137.14	97.36	473.41	470.14	301.33	189.02	193.01	156.59	236.21	186.4	212.78	258.57	228.13	236.21	164.42	129.69	130.6	260.38	460.44	206.94	406.31	457.25	743.43	651.58	954.43
C21orf91	629.35	293.07	521.76	141.02	202.66	73.03	379.04	148.09	336.79	17.64	17.25	28.45	88.88	141.02	94.67	147.06	194.36	165.57	86.43	106.63	61.25	563.18	753.83	115.97	182.55	273.37	100.13	234.57	61.68	190.34	137.14	108.14	275.28	108.9	110.43	111.99	100.13	400.71	275.28	262.2	136.19	275.28	647.07	267.73
C7	575.03	8.19	2.61	46339.95	57448.23	82951.62	64632.75	54349.29	113315.62	872.1	22.26	1457.23	2816.11	38697.77	22535.88	185362.8	334117.42	26248.46	23330.64	45386.27	110.43	447.82	202.66	42641.37	117311.73	60304.42	68793.23	46662.28	30572.63	205673.01	65990.84	45701.96	59887.86	90773.53	35118.87	87681.42	35118.87	48307.85	45072.75	28723.62	57051.4	22.43	21.94	18.03
CCDC14	836.53	521.76	1313.23	775.05	291.04	242.88	389.72	251.48	547.75	21.01	146.03	48.52	114.36	162.14	151.22	251.48	239.52	128.79	237.86	202.66	144.01	1008.9	1167.14	679.29	312.0	400.71	376.41	346.29	441.64	346.29	246.28	500.46	629.35	332.14	246.28	158.79	423.61	599.49	400.71	785.88	563.18	1369.04	1023.0	1119.56
CCNT1	934.76	583.07	426.57	223.41	237.86	171.45	346.29	244.57	316.37	41.22	54.72	38.67	81.71	94.01	98.04	91.41	71.5	93.35	103.69	77.25	75.64	743.43	507.46	190.34	166.73	144.01	151.22	303.44	130.6	224.97	161.02	208.38	246.28	228.13	108.9	218.79	115.97	260.38	186.4	406.31	281.09	373.81	551.56	567.1
CTDSPL2	1023.0	660.68	708.18	273.37	332.14	215.77	612.11	312.0	616.37	24.46	52.45	37.59	69.52	101.54	50.27	143.01	109.66	81.71	120.94	90.14	69.03	860.08	981.29	172.65	429.54	316.37	201.25	157.68	171.45	507.46	366.09	220.32	395.18	242.88	172.65	417.77	124.37	567.1	486.75	514.56	305.55	684.02	808.0	665.29
DCAF17	262.2	397.93	358.54	309.83	153.34	183.82	242.88	171.45	339.14	40.36	43.94	29.27	48.52	83.45	44.89	85.82	98.04	72.52	105.89	85.22	59.55	327.56	395.18	129.69	195.72	159.9	189.02	91.41	59.55	175.07	154.42	93.35	139.07	166.73	126.12	82.87	87.03	246.28	260.38	289.02	236.21	271.48	463.65	503.95
DCP2	1639.59	884.29	819.3	164.42	158.79	191.67	305.55	234.57	236.21	74.06	79.45	46.18	74.06	164.42	85.82	98.73	88.88	60.39	90.14	111.99	57.49	1066.48	796.86	206.94	198.47	189.02	172.65	177.53	229.72	339.14	221.86	139.07	381.68	115.97	167.9	371.22	231.32	327.56	285.03	285.03	231.32	466.88	1001.93	759.08
DDHD1	291.04	269.6	205.5	152.28	64.34	67.59	120.1	92.7	80.57	31.9	19.68	14.35	19.68	39.22	24.99	35.25	24.11	25.35	16.63	34.51	25.17	343.89	236.21	85.22	113.56	153.34	122.64	92.05	93.35	232.94	201.25	123.5	106.63	120.1	49.21	295.11	44.57	226.54	111.99	120.1	166.73	124.37	303.44	269.6
