	TCGA.BT.A2LA.01A.11R.A18C.07	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	GTEX.144GM.1326.SM.5LU5E	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	GTEX.13OW6.2526.SM.5IJEC	GTEX.13PVQ.2126.SM.5L3FW	GTEX.QXCU.1926.SM.48FE4	GTEX.117YW.2226.SM.5N9DB	GTEX.11GSP.2126.SM.5HL5E	GTEX.12BJ1.1726.SM.5HL9B	TCGA.EO.A3KU.01A.11R.A22K.07	TCGA.A5.A1OH.01A.21R.A22K.07	TCGA.BK.A6W4.01A.12R.A34R.07	TCGA.PG.A7D5.01A.11R.A34R.07	TCGA.N5.A4RO.01A.11R.A28V.07
BOD1	2061.24	1295.13	1331.57	1369.04	921.88	981.29	633.73	947.83	651.58	476.71	743.43	0.0	0.91	507.46	312.0	759.08	728.11	486.75	329.84	603.67	1073.91	555.41	603.67	1417.35	1857.6	1487.87	1628.26	3768.09
C14orf79	429.54	236.21	403.5	303.44	291.04	271.48	121.79	194.36	220.32	178.77	150.17	0.0	0.0	125.24	209.84	163.28	187.71	64.8	30.12	100.83	39.22	48.18	97.36	444.72	567.1	518.15	669.92	438.59
C2orf44	190.34	46.84	95.34	60.82	97.36	84.04	69.03	113.56	92.05	73.03	19.25	0.0	0.0	40.93	43.32	74.06	96.01	22.43	14.56	29.48	26.1	21.16	47.84	155.5	220.32	128.79	149.12	241.19
CCDC77	363.56	226.54	178.77	166.73	157.68	61.25	139.07	111.21	98.73	137.14	23.08	0.0	0.13	78.89	108.14	88.88	66.65	32.59	59.55	64.34	26.86	23.76	111.99	450.94	507.46	198.47	305.55	450.94
CCT7	8078.22	4210.15	3467.27	5555.65	4704.07	4066.71	6792.79	5751.61	4869.99	2720.15	3257.52	0.0	0.61	4010.71	2555.58	2935.74	4419.52	1674.06	2555.58	2148.82	2240.11	2351.53	3018.3	7180.15	7130.55	4903.87	8840.04	11424.74
CDC23	555.41	473.41	403.5	457.25	414.87	336.79	406.31	381.68	397.93	289.02	181.28	0.0	0.46	239.52	400.71	327.56	351.14	149.12	244.57	255.0	96.68	195.72	258.57	656.11	507.46	497.0	674.59	921.88
CEP89	1417.35	138.1	293.07	228.13	255.0	166.73	145.02	170.25	275.28	211.31	34.26	0.0	0.39	182.55	82.87	181.28	12.64	73.03	102.25	122.64	81.14	73.54	166.73	511.0	638.15	336.79	1127.35	928.3
CHCHD6	1268.46	329.84	497.0	796.86	563.18	231.32	332.14	228.13	258.57	237.86	143.01	0.0	0.41	132.44	217.27	463.65	348.71	202.66	149.12	265.87	120.94	208.38	249.73	381.68	591.22	536.45	1175.27	1008.9
CHID1	3515.68	1583.71	2224.63	1662.49	1794.29	785.88	2367.9	1242.34	1104.13	1199.98	1628.26	0.0	0.53	2090.03	1923.14	1832.01	1313.23	1175.27	1088.92	1127.35	1159.07	1617.0	1295.13	2758.13	1963.57	2271.4	4268.94	2682.69
CRNKL1	928.3	543.96	486.75	612.11	457.25	327.56	373.81	420.68	457.25	450.94	384.34	0.0	0.25	193.01	423.61	363.56	483.38	147.06	271.48	156.59	107.38	88.26	267.73	1073.91	1508.65	518.15	974.5	1001.93
