	TCGA.A2.A4RY.01A.31R.A266.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A18Q.11A.34R.A12D.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.13OVI.1126.SM.5KLZF	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.ED.A4XI.01A.11R.A266.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07	GTEX.13QJC.0826.SM.5RQKC
ABHD13	127.0	299.25	258.57	226.54	423.61	249.73	44.25	73.54	83.45	63.45	70.51	100.83	92.7	172.65
AKAP11	262.2	599.49	529.06	473.41	1183.45	656.11	30.12	76.17	34.26	50.27	38.67	256.78	136.19	327.56
ANKRD13C	226.54	368.65	371.22	314.17	665.29	463.65	53.95	88.26	87.03	67.59	48.18	231.32	156.59	267.73
AP4E1	80.01	134.3	143.01	118.43	234.57	99.43	31.45	42.41	44.25	28.45	15.56	82.29	37.85	115.16
ATAD1	595.34	1104.13	1059.11	988.12	2417.67	1183.45	239.52	400.71	115.97	303.44	297.17	775.05	435.55	579.04
ATL3	476.71	896.64	1175.27	669.92	1605.83	684.02	256.78	244.57	389.72	291.04	126.12	454.09	381.68	435.55
BACH1	293.07	521.76	529.06	521.76	703.28	785.88	82.87	305.55	460.44	72.01	69.52	134.3	148.09	265.87
BMP2K	346.29	587.13	698.41	674.59	1350.18	460.44	63.0	78.89	42.71	121.79	53.57	389.72	454.09	291.04
BNIP3L	1216.75	2976.74	3235.01	2240.11	2451.44	3168.41	148.09	470.14	182.55	285.03	299.25	547.75	336.79	1259.69
C6orf120	244.57	547.75	575.03	476.71	713.11	642.59	152.28	368.65	255.0	182.55	187.71	256.78	199.85	341.51
CAMK2D	450.94	825.0	884.29	693.58	3372.43	753.83	164.42	371.22	249.73	141.02	236.21	480.04	575.03	441.64
CAND1	1023.0	1870.53	1651.0	1721.16	3190.46	1909.85	293.07	497.0	376.41	395.18	265.87	1191.69	521.76	1051.79
CBL	127.89	220.32	249.73	205.5	346.29	226.54	9.63	41.81	14.78	22.92	10.96	115.16	90.77	156.59
CDC14A	133.36	177.53	208.38	490.14	285.03	193.01	9.85	19.82	14.35	11.73	8.25	54.33	50.63	167.9
CDK15	17.0	33.06	46.18	27.44	43.94	24.11	0.0	0.0	0.0	0.97	0.0	5.82	4.94	1.97
CEPT1	679.29	941.27	1044.52	825.0	1757.34	1175.27	206.94	483.38	293.07	339.14	480.04	497.0	341.51	693.58
CNOT2	909.17	1388.16	1250.98	1268.46	1870.53	1159.07	295.11	551.56	395.18	361.04	260.38	759.08	463.65	1183.45
CPA3	511.0	753.83	1023.0	190.34	1119.56	559.28	3.59	5.68	0.0	16.27	39.79	39.22	102.97	4.06
CTTNBP2NL	271.48	379.04	473.41	358.54	490.14	728.11	11.55	58.3	18.29	40.64	15.34	198.47	157.68	255.0
CYLD	341.51	713.11	620.67	638.15	902.89	698.41	166.73	285.03	127.0	251.48	118.43	525.39	316.37	836.53
DDX3X	2075.59	5183.54	4972.34	4123.49	6294.04	4419.52	660.68	836.53	486.75	647.07	647.07	2119.22	1088.92	3742.05
DISC1	35.76	61.25	74.06	54.33	103.69	57.89	3.44	19.68	4.62	14.89	5.15	58.3	42.71	68.55
DOK6	30.12	27.05	31.67	14.89	84.04	38.95	0.57	4.46	0.54	3.69	3.38	7.46	17.51	30.56
DRAM2	1268.46	2032.85	2468.49	1572.76	3018.3	2573.36	532.74	1199.98	708.18	830.75	633.73	1119.56	1437.15	1388.16
DYNC1I2	1896.65	2351.53	2255.7	2004.85	5913.33	1857.6	387.02	642.59	429.54	543.96	387.02	878.17	866.07	1191.69
EDIL3	169.07	305.55	603.67	258.57	2367.9	454.09	12.83	37.85	6.84	16.63	2.51	135.24	45.21	36.53
EFR3A	460.44	934.76	1023.0	708.18	1639.59	1015.93	220.32	332.14	299.25	361.04	220.32	392.44	403.5	684.02
EIF4E	860.08	1225.22	1340.84	1111.82	2061.24	1457.23	157.68	463.65	275.28	466.88	289.02	1096.5	764.36	713.11
ESD	2224.63	4123.49	4095.0	3665.02	12764.83	3419.52	1832.01	2915.45	961.07	3212.66	2816.11	3639.7	3018.3	2384.37
EXOC5	320.8	961.07	995.0	665.29	2303.12	921.88	105.15	182.55	116.78	102.25	51.35	543.96	229.72	267.73
FAM21A	490.14	733.19	813.63	1104.13	921.88	1191.69	239.52	587.13	193.01	403.5	144.01	703.28	223.41	647.07
FAM26E	27.05	53.19	104.42	35.76	135.24	25.17	1.48	10.24	3.35	9.06	3.63	28.04	17.64	19.11
FBXL5	1277.29	2351.53	3515.68	2335.28	4836.35	2664.15	559.28	961.07	813.63	599.49	728.11	1477.58	1104.13	1216.75
FBXO3	620.67	1051.79	941.27	981.29	1857.6	1467.37	269.6	480.04	384.34	387.02	397.93	647.07	483.38	669.92
FCHSD2	353.59	607.87	563.18	476.71	1030.12	981.29	81.14	223.41	96.01	161.02	90.77	299.25	241.19	511.0
FEM1B	497.0	947.83	934.76	967.76	1540.37	738.29	265.87	267.73	215.77	154.42	101.54	373.81	198.47	363.56
FRS2	358.54	647.07	575.03	532.74	1001.93	454.09	43.94	118.43	111.21	49.21	56.28	135.24	69.03	218.79
FUT11	281.09	460.44	595.34	412.0	518.15	397.93	97.36	183.82	72.01	149.12	81.14	277.2	156.59	339.14
GALC	334.46	525.39	603.67	463.65	909.17	941.27	100.13	162.14	161.02	87.03	132.44	249.73	167.9	599.49
GNAQ	532.74	1051.79	1242.34	915.51	2816.11	1015.93	71.5	249.73	155.5	172.65	100.83	283.05	265.87	457.25
GNB4	169.07	511.0	591.22	314.17	1015.93	583.07	1.55	37.59	1.77	15.11	7.4	68.55	54.72	176.29
GNG12	909.17	2224.63	2701.35	1639.59	7180.15	1697.45	189.02	500.46	356.05	316.37	327.56	642.59	595.34	780.44
GNPTAB	551.56	733.19	791.35	708.18	860.08	896.64	217.27	187.71	211.31	234.57	74.06	633.73	543.96	563.18
GTDC1	201.25	525.39	599.49	368.65	967.76	420.68	95.34	131.51	96.01	106.63	89.51	161.02	115.97	271.48
GTF2H1	693.58	915.51	1066.48	848.22	1806.78	728.11	346.29	470.14	612.11	258.57	113.56	587.13	387.02	633.73
HDGFRP3	607.87	759.08	660.68	860.08	1733.13	872.1	10.0	67.59	10.0	57.08	9.7	848.22	490.14	624.99
HIVEP2	108.14	301.33	293.07	279.14	339.14	348.71	14.24	40.07	31.67	39.5	18.29	190.34	77.25	204.07
HPGDS	72.52	251.48	395.18	63.89	309.83	68.55	1.87	6.21	0.8	4.98	10.16	28.04	81.71	12.36
KCTD9	463.65	934.76	928.3	836.53	1023.0	1001.93	50.63	120.94	68.55	80.57	61.68	234.57	301.33	379.04
KPNA3	297.17	551.56	728.11	409.15	1167.14	371.22	94.67	242.88	150.17	197.09	108.14	316.37	246.28	318.57
LRRC40	180.02	341.51	275.28	239.52	603.67	336.79	68.07	153.34	84.04	76.71	60.82	164.42	123.5	154.42
LUZP1	228.13	441.64	540.19	409.15	376.41	457.25	27.44	68.07	29.06	47.17	20.11	279.14	191.67	134.3
MDFIC	392.44	791.35	1175.27	902.89	1088.92	995.0	60.82	98.04	52.08	162.14	48.18	275.28	267.73	379.04
MIER1	353.59	688.78	656.11	587.13	1286.18	688.78	84.04	209.84	162.14	147.06	81.71	218.79	195.72	412.0
MORF4L1	5112.16	7911.95	7966.99	6840.04	18560.17	8305.36	1870.53	3467.27	2573.36	2701.35	2075.59	6079.61	3564.78	4419.52
MS4A2	38.4	90.14	128.79	21.63	312.0	69.03	0.0	2.18	0.0	0.0	1.14	1.64	10.08	0.0
NAB1	642.59	896.64	988.12	988.12	2119.22	802.41	115.97	279.14	169.07	189.02	108.9	373.81	260.38	866.07
NCKAP1	1104.13	2163.77	2255.7	1819.35	3928.15	2485.67	205.5	567.1	466.88	466.88	303.44	1331.57	890.44	1242.34
NEDD1	224.97	486.75	400.71	429.54	536.45	348.71	29.91	68.55	40.64	45.85	17.9	159.9	98.04	172.65
NFKB1	633.73	753.83	642.59	769.69	819.3	651.58	139.07	325.29	299.25	329.84	162.14	376.41	329.84	361.04
NRP1	934.76	1268.46	2384.37	1417.35	2855.44	5831.91	90.14	743.43	206.94	555.41	195.72	1583.71	1104.13	607.87
PAFAH1B2	808.0	1151.06	1143.1	1073.91	1498.22	1331.57	381.68	486.75	426.57	392.44	265.87	571.05	532.74	674.59
PHACTR2	132.44	642.59	638.15	346.29	387.02	435.55	9.48	64.34	4.28	47.84	20.56	229.72	107.38	336.79
PIP4K2A	303.44	426.57	470.14	368.65	878.17	775.05	123.5	295.11	125.24	159.9	144.01	547.75	273.37	743.43
