	GTEX.YF7O.0626.SM.4W21R	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.12584.1426.SM.5EGJ9	GTEX.TMMY.0926.SM.4TT1Z	GTEX.13OVH.1026.SM.5J2NP	GTEX.11P7K.0326.SM.59871	GTEX.147F4.0926.SM.5Q5EO	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.14E7W.1326.SM.5RQIV	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.11NV4.1126.SM.5HL6J	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.QESD.0626.SM.2I5G4	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.145MF.0726.SM.5Q5BT	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.11WQK.1226.SM.5GU5Z	GTEX.XQ8I.1126.SM.4BOO2	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.ZVT3.0926.SM.5GICK
A4GALT	212.78	2537.92	2935.74	214.27	4239.45	221.86	4152.18	171.45	2240.11	842.36	688.78	173.85	164.42	2271.4	145.02	379.04	995.0	128.79	1639.59	122.64	780.44	921.88	450.94	500.46	291.04	392.44	351.14	297.17	358.54	1340.84	172.65	329.84	164.42	158.79	1313.23
ABL1	620.67	1519.15	1745.2	733.19	3639.7	1088.92	1594.73	348.71	1551.09	1073.91	902.89	563.18	511.0	1551.09	603.67	1331.57	1088.92	607.87	1417.35	591.22	607.87	1313.23	1191.69	764.36	1225.22	860.08	620.67	738.29	503.95	1457.23	536.45	536.45	591.22	656.11	1111.82
ABL2	67.12	165.57	356.05	94.67	603.67	135.24	283.05	59.55	351.14	346.29	199.85	65.72	69.03	237.86	84.63	100.13	228.13	154.42	163.28	76.71	133.36	109.66	198.47	103.69	223.41	211.31	85.22	89.51	92.7	182.55	119.26	70.51	162.14	80.01	165.57
ADAMTS9	244.57	457.25	1127.35	106.63	2047.0	169.07	1508.65	100.13	1151.06	1073.91	514.56	154.42	164.42	764.36	291.04	194.36	555.41	237.86	665.29	318.57	135.24	406.31	1023.0	236.21	540.19	323.03	197.09	149.12	136.19	2104.58	72.01	89.51	128.79	186.4	583.07
ARFGAP1	414.87	1662.49	1135.2	521.76	928.3	500.46	2434.5	775.05	1447.15	1540.37	3491.39	536.45	679.29	1417.35	728.11	785.88	1081.39	759.08	1322.37	435.55	1407.55	1977.24	1407.55	813.63	1001.93	1044.52	836.53	825.0	490.14	5403.7	934.76	967.76	848.22	941.27	1331.57
ARID5A	575.03	1733.13	3742.05	1378.57	3901.01	1208.34	2255.7	624.99	3614.55	1369.04	2255.7	371.22	450.94	3847.29	679.29	603.67	5751.61	1340.84	1977.24	486.75	1073.91	1697.45	1639.59	620.67	1397.83	1388.16	587.13	780.44	723.08	2645.74	1081.39	540.19	1023.0	1044.52	2224.63
BCL3	1295.13	2855.44	7180.15	1508.65	9151.82	2816.11	6745.86	890.44	7081.29	5633.22	4972.34	656.11	728.11	10512.82	555.41	1250.98	6516.03	3303.0	3639.7	507.46	1977.24	4512.4	5183.54	579.04	3372.43	3847.29	753.83	1561.89	1250.98	4038.61	2855.44	665.29	2520.38	1508.65	5517.27
BRD4	334.46	954.43	1096.5	836.53	1388.16	567.1	1111.82	295.11	1757.34	1066.48	872.1	348.71	514.56	1268.46	521.76	567.1	1030.12	796.86	1023.0	356.05	854.13	981.29	1143.1	503.95	1037.29	764.36	429.54	656.11	599.49	1216.75	638.15	497.0	660.68	612.11	1001.93
C11orf96	1721.16	5006.93	7695.57	3060.45	22850.48	5006.93	18052.61	1407.55	9606.86	4736.79	3168.41	571.05	563.18	10014.87	426.57	1721.16	8247.98	3665.02	10368.08	579.04	2193.99	4123.49	4575.41	406.31	4038.61	4268.94	684.02	2664.15	954.43	5517.27	3901.01	620.67	1529.73	921.88	6079.61
C19orf26	9.78	23.42	32.36	3.56	45.21	7.28	50.98	3.86	39.79	38.4	22.92	3.11	0.66	40.64	2.39	13.12	92.7	5.28	10.88	4.39	16.75	19.39	15.11	1.75	21.47	10.63	0.82	18.29	0.47	17.9	2.03	2.36	15.91	0.77	33.78
C2CD4B	129.69	312.0	587.13	35.0	1617.0	183.82	616.37	127.89	796.86	339.14	193.01	36.01	38.4	1794.29	17.38	162.14	2335.28	122.64	305.55	23.59	97.36	400.71	1175.27	8.13	145.02	180.02	11.21	90.77	19.53	1709.26	21.01	19.53	67.59	15.34	1037.29
C9orf47	1.06	2.89	17.13	2.34	37.32	3.82	7.11	1.19	16.75	6.52	14.35	1.62	3.35	8.13	0.83	6.16	24.63	3.35	5.92	2.84	3.26	4.74	11.73	0.82	2.34	3.47	1.35	4.74	0.37	27.84	3.72	0.82	3.32	2.32	7.82
C9orf89	688.78	1407.55	2777.33	612.11	2133.97	642.59	1832.01	718.08	1883.54	1127.35	2351.53	470.14	403.5	1175.27	497.0	551.56	2835.7	890.44	1225.22	503.95	961.07	1359.57	579.04	708.18	1044.52	1008.9	669.92	830.75	791.35	1685.71	866.07	486.75	638.15	656.11	1806.78
CD200	204.07	392.44	753.83	92.7	1540.37	217.27	759.08	72.52	1167.14	775.05	759.08	114.36	104.42	1551.09	106.63	176.29	1159.07	190.34	162.14	150.17	194.36	591.22	928.3	63.89	327.56	414.87	137.14	126.12	43.32	947.83	59.97	55.1	244.57	53.19	967.76
CD40	587.13	902.89	5791.62	1001.93	5076.84	961.07	7642.41	723.08	2855.44	5366.37	21320.18	616.37	836.53	3443.31	647.07	854.13	6381.92	1088.92	1519.15	532.74	769.69	1457.23	1991.0	521.76	3124.78	848.22	988.12	802.41	679.29	16157.44	902.89	563.18	764.36	848.22	2627.46
CD44	4869.99	14765.09	42641.37	4869.99	62865.33	7911.95	33688.23	3103.19	41475.31	29531.18	16727.26	6381.92	3124.78	18052.61	3874.05	4671.57	39237.98	11424.74	15285.81	4419.52	10296.45	18052.61	16157.44	3982.99	16269.83	14262.1	3874.05	4358.66	4972.34	39785.74	3443.31	3349.13	8134.41	3564.78	18950.18
CDC37	2956.17	6037.61	8840.04	2555.58	9279.58	3742.05	9409.14	4419.52	9808.75	6250.56	12076.21	2255.7	2855.44	10733.74	3039.3	3124.78	17078.76	3901.01	4937.99	1963.57	3794.3	5913.33	7081.29	3639.7	5995.9	4903.87	3039.3	3515.68	3039.3	9673.69	3665.02	2855.44	3467.27	3081.75	6337.83
CFLAR	890.44	2682.69	10659.59	2976.74	11664.82	2816.11	6840.04	2133.97	11189.6	5555.65	7130.55	2609.3	2502.97	9606.86	2520.38	1457.23	10659.59	4298.64	9088.59	3901.01	3349.13	4388.98	3018.3	2609.3	6079.61	4575.41	1651.0	2148.82	1936.53	11909.94	3235.01	2255.7	1733.13	2796.65	5219.6
CHMP4B	3614.55	7331.05	6840.04	2591.27	8598.28	3665.02	7966.99	3639.7	6699.25	9344.14	6607.01	2956.17	2004.85	8305.36	2133.97	2384.37	11504.21	4607.24	6745.86	2075.59	4239.45	7803.01	6250.56	2875.3	7911.95	5517.27	2303.12	3443.31	4671.57	8191.0	3280.18	2591.27	1909.85	2209.26	7749.1
CRP	0.0	1.1	5.68	0.97	3.17	0.0	13.42	0.0	8.51	9.78	9.7	0.08	0.07	12.09	1.6	3.38	5.11	2.89	3.79	0.0	2.27	7.28	9.63	1.77	2.56	2.46	0.0	2.29	3.17	36.27	0.68	0.28	1.23	0.24	5.73
CSNK1G2	633.73	1487.87	3349.13	733.19	1977.24	703.28	2367.9	769.69	1923.14	1447.15	1977.24	463.65	616.37	1870.53	759.08	656.11	2701.35	1051.79	1487.87	363.56	1159.07	1794.29	954.43	866.07	1397.83	1359.57	743.43	902.89	825.0	1378.57	1104.13	684.02	607.87	967.76	1594.73
CSTF3	289.02	460.44	684.02	201.25	559.28	215.77	551.56	397.93	361.04	599.49	934.76	406.31	307.69	567.1	353.59	226.54	620.67	348.71	432.53	389.72	466.88	518.15	441.64	316.37	454.09	780.44	273.37	332.14	293.07	620.67	327.56	251.48	312.0	279.14	684.02
DARC	193.01	3716.2	41475.31	2104.58	43236.64	1844.76	64632.75	275.28	11345.82	48643.87	43236.64	353.59	1369.04	13586.57	656.11	1447.15	6561.36	1594.73	2835.7	221.86	718.08	4903.87	40341.14	2104.58	9540.5	3928.15	854.13	1572.76	813.63	29736.59	366.09	981.29	624.99	529.06	16727.26
DAZAP1	1322.37	1745.2	1639.59	1059.11	1896.65	1225.22	2351.53	1277.29	1794.29	2627.46	2502.97	967.76	1059.11	1594.73	1183.45	1208.34	1733.13	1304.15	1857.6	1001.93	1745.2	2384.37	1936.53	1143.1	1572.76	1857.6	1457.23	1697.45	1167.14	3690.52	1617.0	1519.15	1340.84	1378.57	1685.71
EIF1B	1551.09	2335.28	3982.99	1167.14	8247.98	2335.28	5076.84	1437.15	4937.99	2956.17	3349.13	1583.71	1477.58	2485.67	1757.34	1359.57	3540.14	1709.26	3665.02	1662.49	1769.57	2451.44	1909.85	1697.45	1844.76	2119.22	1359.57	1572.76	1268.46	10440.2	1870.53	1340.84	1135.2	1498.22	3018.3
ETHE1	1277.29	2627.46	2193.99	647.07	7537.18	890.44	5183.54	638.15	1745.2	3716.2	6121.9	718.08	921.88	1769.57	848.22	1015.93	4639.29	571.05	2720.15	532.74	1059.11	2835.7	1697.45	1008.9	1757.34	1457.23	878.17	1096.5	1119.56	4639.29	1023.0	1073.91	1685.71	890.44	3847.29
ETS2	2627.46	4038.61	20881.4	4388.98	24153.43	6426.31	9409.14	1757.34	13681.08	8778.97	12160.22	1662.49	1794.29	14461.21	1519.15	2240.11	14065.74	4836.35	6887.62	1963.57	2997.45	8022.41	7433.4	2319.15	8022.41	5041.77	1757.34	2148.82	3349.13	27938.14	4736.79	2061.24	3212.66	2591.27	8479.89
