	GTEX.S3XE.1226.SM.4AD4L	TCGA.E2.A1AZ.01A.11R.A12P.07	TCGA.VS.A94X.01A.11R.A38B.07	TCGA.A6.3809.01A.01R.A278.07	TCGA.KN.8425.11A.01R.2315.07	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	TCGA.KN.8424.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	TCGA.B0.5691.11A.01R.1541.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.B0.5711.11A.01R.1672.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5986.11A.01R.1672.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CZ.5458.11A.01R.1503.07	TCGA.CZ.5987.11A.01R.1672.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.GL.A59R.11A.11R.A26U.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BQ.5887.11A.01R.1965.07	TCGA.55.7726.01A.11R.2170.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.2656.01A.02R.A278.07	TCGA.55.7725.01A.11R.2170.07
C19orf70	1447.15	896.64	603.67	813.63	3540.14	3146.52	3018.3	3982.99	4736.79	2976.74	2796.65	2758.13	1745.2	3018.3	1340.84	2555.58	2351.53	1572.76	2047.0	2384.37	2178.83	2701.35	1923.14	1909.85	1369.04	3928.15	1936.53	3303.0	2997.45	3372.43	2609.3	633.73	0.0	0.47	521.76	638.15
CCDC106	229.72	144.01	426.57	23.42	1175.27	718.08	866.07	954.43	1350.18	563.18	1051.79	775.05	503.95	954.43	543.96	466.88	629.35	444.72	723.08	563.18	409.15	764.36	583.07	555.41	289.02	954.43	493.56	961.07	665.29	884.29	743.43	76.17	0.0	0.43	49.91	96.68
CRTC1	182.55	101.54	57.89	27.84	373.81	348.71	289.02	279.14	379.04	384.34	607.87	341.51	295.11	343.89	173.85	229.72	248.0	122.64	381.68	193.01	204.07	314.17	242.88	271.48	126.12	291.04	106.63	438.59	387.02	476.71	470.14	62.56	0.0	0.6	23.93	52.82
DGCR6L	791.35	376.41	420.68	265.87	4152.18	1844.76	2520.38	3103.19	4038.61	1572.76	3212.66	1923.14	1685.71	3124.78	1242.34	1417.35	1819.35	1322.37	1896.65	1572.76	1427.22	2163.77	1551.09	1605.83	836.53	2758.13	1594.73	2502.97	2271.4	2701.35	1977.24	708.18	0.0	0.51	198.47	202.66
ECI1	1199.98	555.41	1143.1	376.41	5366.37	4038.61	4802.93	5831.91	8247.98	4123.49	4419.52	4869.99	2193.99	3665.02	2148.82	2835.7	2976.74	2032.85	2816.11	3235.01	2739.08	3768.09	2627.46	3190.46	1519.15	4210.15	2664.15	4769.75	3874.05	4481.23	4010.71	476.71	0.0	0.83	258.57	327.56
EPOR	128.79	50.98	37.85	49.91	414.87	265.87	291.04	351.14	301.33	205.5	281.09	208.38	186.4	406.31	110.43	169.07	145.02	73.54	248.0	178.77	167.9	279.14	171.45	142.01	77.79	178.77	135.24	660.68	457.25	180.02	164.42	42.71	0.0	0.72	60.39	120.94
FAM195A	312.0	271.48	454.09	116.78	2591.27	1583.71	1733.13	2384.37	2664.15	1208.34	2537.92	1819.35	941.27	1697.45	769.69	1437.15	1159.07	656.11	1030.12	961.07	1001.93	1378.57	728.11	842.36	361.04	2061.24	769.69	2468.49	1757.34	1628.26	1313.23	141.02	0.0	0.52	113.56	126.12
FBXO44	327.56	514.56	327.56	143.01	1733.13	1233.75	1073.91	1498.22	1923.14	579.04	2537.92	1030.12	748.61	1651.0	514.56	921.88	921.88	612.11	909.17	723.08	638.15	1096.5	890.44	1119.56	435.55	1167.14	733.19	1697.45	1119.56	1216.75	1135.2	172.65	309.83	368.65	155.5	260.38
FDX1L	334.46	255.0	316.37	129.69	1073.91	915.51	947.83	995.0	1457.23	860.08	988.12	866.07	457.25	1073.91	559.28	684.02	616.37	665.29	629.35	708.18	426.57	743.43	684.02	656.11	447.82	1143.1	624.99	1135.2	775.05	995.0	890.44	320.8	0.0	0.21	215.77	143.01
GPR137	567.1	320.8	518.15	110.43	1225.22	1096.5	878.17	947.83	1225.22	941.27	1417.35	1208.34	915.51	836.53	624.99	1008.9	791.35	543.96	854.13	629.35	651.58	836.53	791.35	738.29	575.03	1001.93	642.59	1295.13	981.29	1183.45	1135.2	444.72	0.0	0.62	110.43	224.97
