	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.BP.5178.01A.01R.1426.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.CJ.4899.01A.01R.1334.07	TCGA.B2.A4SR.01A.11R.A266.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.B4.5378.01A.01R.1503.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.A3.A8OW.01A.11R.A37O.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B0.4703.01A.01R.1277.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.BP.5196.01A.01R.1426.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07.1
NFYA	334.46	146.03	193.01	218.79	366.09	395.18	217.27	177.53	348.71	110.43	490.14	141.02	218.79	234.57	113.56	226.54	204.07	193.01	231.32	327.56	220.32	231.32	248.0	234.57	343.89	215.77	110.43	277.2	285.03	285.03	100.83	181.28	409.15	127.89	120.94	104.42	108.14	43.63	0.39
NIN	237.86	136.19	147.06	189.02	366.09	384.34	236.21	299.25	389.72	126.12	241.19	138.1	172.65	309.83	158.79	244.57	165.57	120.94	205.5	400.71	202.66	147.06	307.69	170.25	400.71	258.57	69.52	255.0	206.94	236.21	142.01	162.14	275.28	68.07	53.19	20.41	43.94	42.41	0.58
PBX2	579.04	708.18	497.0	1191.69	1651.0	1572.76	1781.89	995.0	1757.34	718.08	1487.87	624.99	866.07	1583.71	703.28	2018.8	629.35	1340.84	802.41	1757.34	1127.35	1143.1	1639.59	1359.57	1685.71	1487.87	583.07	915.51	1651.0	1651.0	551.56	1781.89	1721.16	323.03	371.22	346.29	423.61	301.33	713.11
PPARD	3491.39	406.31	236.21	563.18	1617.0	1199.98	503.95	647.07	1199.98	507.46	775.05	301.33	514.56	579.04	454.09	791.35	341.51	575.03	708.18	896.64	536.45	470.14	674.59	490.14	1008.9	470.14	387.02	603.67	753.83	536.45	173.85	450.94	642.59	426.57	323.03	186.4	204.07	255.0	0.33
PPIL4	212.78	260.38	277.2	366.09	642.59	483.38	511.0	426.57	392.44	248.0	656.11	175.07	389.72	426.57	190.34	447.82	341.51	237.86	346.29	368.65	363.56	346.29	450.94	412.0	493.56	332.14	211.31	334.46	426.57	318.57	241.19	341.51	514.56	128.79	130.6	43.32	228.13	211.31	0.49
PRPF4B	389.72	246.28	289.02	414.87	764.36	890.44	633.73	511.0	633.73	332.14	764.36	237.86	318.57	660.68	327.56	988.12	234.57	441.64	275.28	651.58	325.29	457.25	563.18	387.02	656.11	341.51	237.86	376.41	698.41	432.53	249.73	438.59	521.76	180.02	189.02	85.22	208.38	137.14	0.88
RASAL2	417.77	73.03	88.26	157.68	518.15	271.48	182.55	176.29	211.31	52.45	318.57	85.22	141.02	269.6	73.03	256.78	89.51	133.36	120.94	285.03	111.99	84.04	242.88	135.24	358.54	134.3	29.06	101.54	129.69	137.14	111.21	108.14	186.4	26.67	15.91	12.74	22.59	14.89	0.48
REP15	43.94	13.42	25.72	59.55	78.89	75.64	98.73	43.63	49.21	57.49	31.67	26.28	60.39	130.6	28.24	35.0	21.01	198.47	73.03	82.87	69.52	30.34	40.36	63.89	47.5	68.07	23.08	51.71	131.51	32.82	11.91	70.01	56.28	15.0	14.35	0.0	18.97	2.46	0.06
RGPD6	36.53	147.06	72.52	147.06	293.07	198.47	167.9	106.63	175.07	96.68	232.94	78.34	69.03	102.25	208.38	167.9	94.67	102.97	98.73	244.57	99.43	158.79	287.01	145.02	189.02	186.4	46.18	66.18	177.53	162.14	58.3	878.17	185.11	81.71	59.55	6.06	61.25	43.63	34.26
RIF1	55.49	74.06	95.34	120.1	205.5	199.85	134.3	189.02	158.79	83.45	224.97	87.03	95.34	140.04	93.35	180.02	88.26	133.36	107.38	223.41	105.89	92.05	164.42	143.01	187.71	96.68	88.88	111.21	182.55	162.14	78.89	135.24	137.14	33.78	38.95	14.03	45.53	21.16	0.62
