	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.DD.AACH.01A.11R.A41C.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.BC.4073.01B.02R.A131.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.DD.AAVW.01A.11R.A41C.07	TCGA.FV.A3I0.11A.11R.A22L.07	GTEX.RTLS.1326.SM.46MUN	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.X4XY.1026.SM.46MVX	TCGA.BJ.A4O8.01A.11R.A250.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.CE.A485.01A.11R.A23W.07	TCGA.E8.A432.01A.11R.A23N.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.DJ.A3UV.01A.11R.A22L.07	TCGA.CE.A481.01A.21R.A23W.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.FY.A3R7.01A.11R.A220.07	GTEX.12WSB.0726.SM.5N9GD
ABLIM2	67.12	67.12	52.45	52.45	39.79	281.09	42.41	108.9	52.82	72.52	89.51	83.45	33.78	26.86	105.15	46.5	69.03	33.54	47.5	21.78	27.25	36.53	24.63	2.56	76.71	19.39	25.72	64.34	3.63	13.12	51.71	2.1	14.89	22.92	34.51	20.11	76.71	55.1	12.93	33.3	38.12	8.51	62.56	24.63	8.51	1.91	24.99	46.18	24.11	379.04	163.28	279.14	312.0	397.93	209.84	279.14	181.28	332.14	348.71	187.71	332.14	329.84
ADCY3	854.13	854.13	1498.22	1498.22	334.46	429.54	295.11	343.89	305.55	295.11	190.34	353.59	89.51	48.18	454.09	84.04	33.78	115.16	133.36	87.65	59.13	414.87	220.32	35.5	67.59	111.99	86.43	81.14	67.12	137.14	57.08	144.01	75.64	31.67	175.07	140.04	151.22	48.87	301.33	110.43	72.52	242.88	127.89	180.02	62.56	92.05	323.03	132.44	28.24	2609.3	1225.22	848.22	1175.27	651.58	1397.83	1001.93	1322.37	540.19	718.08	1322.37	503.95	988.12
ALDH3B1	153.34	153.34	120.94	120.94	190.34	234.57	246.28	423.61	303.44	309.83	172.65	301.33	62.12	46.18	267.73	64.8	64.34	33.06	87.03	58.71	105.89	98.04	68.55	50.27	59.13	41.81	44.25	87.03	15.45	102.97	38.95	62.56	60.82	178.77	43.02	180.02	277.2	78.89	172.65	88.26	63.89	42.41	105.15	44.25	31.9	31.9	29.7	64.8	114.36	3168.41	426.57	432.53	387.02	447.82	444.72	387.02	358.54	208.38	323.03	320.8	305.55	320.8
ARHGAP27	450.94	450.94	185.11	185.11	224.97	295.11	423.61	438.59	291.04	256.78	348.71	403.5	48.18	22.26	486.75	144.01	32.13	65.72	26.1	39.79	119.26	77.25	159.9	55.49	35.76	88.26	28.65	96.68	35.0	51.35	118.43	106.63	54.72	264.03	141.02	115.16	325.29	202.66	173.85	150.17	71.5	97.36	78.34	81.71	21.94	55.89	83.45	55.1	41.52	1662.49	947.83	616.37	995.0	813.63	796.86	718.08	738.29	555.41	890.44	679.29	493.56	693.58
BTN2A1	323.03	323.03	460.44	460.44	205.5	273.37	361.04	507.46	236.21	346.29	435.55	299.25	112.77	103.69	387.02	151.22	190.34	143.01	146.03	183.82	191.67	287.01	204.07	96.68	120.1	162.14	88.88	178.77	112.77	127.89	262.2	110.43	157.68	218.79	198.47	183.82	214.27	167.9	163.28	251.48	143.01	105.89	231.32	194.36	70.01	54.72	57.08	144.01	106.63	743.43	454.09	518.15	567.1	679.29	595.34	500.46	483.38	483.38	511.0	384.34	438.59	603.67
CACNB3	529.06	529.06	318.57	318.57	53.19	285.03	38.67	102.25	103.69	87.03	137.14	119.26	7.88	17.25	106.63	39.22	49.56	45.85	12.36	31.9	16.75	58.71	81.14	18.97	57.08	38.95	29.48	16.63	9.06	42.41	57.08	27.44	18.16	27.64	39.22	15.11	22.59	27.64	21.01	17.25	22.43	12.18	34.02	50.63	6.94	12.36	33.54	15.34	37.05	547.75	825.0	571.05	490.14	438.59	351.14	780.44	642.59	703.28	332.14	532.74	356.05	536.45
CALHM2	1066.48	1066.48	571.05	571.05	128.79	132.44	234.57	450.94	190.34	114.36	164.42	381.68	39.79	37.05	476.71	137.14	77.79	62.12	41.81	79.45	60.39	212.78	127.89	81.14	61.68	74.58	46.84	77.25	39.79	76.17	106.63	42.71	40.93	141.02	87.65	115.16	155.5	63.89	128.79	80.57	77.25	30.78	111.99	88.26	27.44	29.48	77.79	95.34	30.56	1977.24	642.59	693.58	1059.11	842.36	981.29	616.37	1143.1	497.0	665.29	808.0	583.07	854.13
CGRRF1	329.84	329.84	320.8	320.8	277.2	224.97	143.01	460.44	297.17	312.0	267.73	262.2	131.51	98.73	147.06	325.29	161.02	105.15	96.01	112.77	141.02	191.67	273.37	228.13	157.68	162.14	105.89	209.84	113.56	132.44	113.56	199.85	118.43	117.6	202.66	152.28	128.79	176.29	110.43	159.9	96.01	149.12	148.09	214.27	59.97	145.02	102.25	209.84	206.94	441.64	356.05	341.51	368.65	457.25	353.59	384.34	332.14	336.79	438.59	403.5	371.22	305.55
CHD3	1697.45	1697.45	1427.22	1427.22	866.07	748.61	466.88	603.67	607.87	423.61	684.02	540.19	47.84	34.51	532.74	199.85	130.6	563.18	37.05	320.8	112.77	229.72	234.57	115.97	253.23	154.42	69.52	143.01	137.14	93.35	159.9	110.43	171.45	191.67	221.86	117.6	231.32	223.41	126.12	130.6	170.25	155.5	293.07	191.67	16.27	39.79	105.15	152.28	35.5	2537.92	1417.35	1498.22	1397.83	1896.65	1639.59	1437.15	1685.71	1427.22	1350.18	1963.57	1605.83	2434.5
CHTOP	1806.78	1806.78	1023.0	1023.0	1662.49	3060.45	1388.16	2434.5	1685.71	1175.27	1819.35	1498.22	616.37	753.83	1191.69	780.44	909.17	532.74	1096.5	651.58	842.36	967.76	1143.1	656.11	848.22	796.86	651.58	802.41	693.58	624.99	967.76	529.06	738.29	813.63	1023.0	571.05	941.27	961.07	684.02	476.71	802.41	915.51	743.43	1037.29	540.19	511.0	909.17	995.0	497.0	1697.45	1561.89	1674.06	1757.34	2061.24	1721.16	1639.59	1617.0	1757.34	1819.35	1870.53	1909.85	1359.57
