	TCGA.D8.A13Y.01A.11R.A115.07	TCGA.RC.A6M6.01A.11R.A32O.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.BC.A10Y.01A.11R.A131.07	TCGA.5C.A9VG.01A.11R.A37K.07	TCGA.DD.A11A.01A.11R.A131.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.BC.4072.01B.11R.A155.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.UB.A7ME.01A.11R.A33J.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.CC.5258.01A.01R.A131.07	TCGA.CC.5263.01A.01R.A131.07	TCGA.EP.A12J.01A.11R.A131.07	TCGA.G3.A5SJ.01A.11R.A27V.07	TCGA.DD.A1EF.01A.11R.A131.07	TCGA.DD.A73F.01A.11R.A32O.07	TCGA.FV.A4ZQ.01A.11R.A266.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QEG4.1826.SM.4R1JN	GTEX.131YS.1626.SM.5HL6C	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.50.5931.01A.11R.1755.07	TCGA.43.7658.01A.11R.2125.07	TCGA.NK.A5D1.01A.11R.A26W.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.A5.A1OH.01A.21R.A22K.07	TCGA.N8.A4PN.01A.11R.A28V.07
AC127496.1	13.42	14.56	5.41	9.85	33.06	8.13	12.18	9.56	40.07	16.39	26.28	4.43	23.93	15.11	17.9	6.31	29.7	10.47	11.47	10.63	19.82	22.1	11.04	0.95	0.0	0.21	2.39	0.0	4.98	6.89	8.0	0.54	2.76	0.45	3.11	2.01	2.23	5.59	0.44	3.86	3.99	2.34	0.0	5.63	2.58	3.0	2.58	1.51	2.18	2.07	0.0	0.66	0.0	1.66	2.76	22.1	45.21	11.55	36.01	14.14	39.5
ACBD6	981.29	441.64	1304.15	785.88	1208.34	361.04	698.41	460.44	1437.15	563.18	1127.35	651.58	1096.5	688.78	507.46	660.68	591.22	529.06	457.25	480.04	808.0	518.15	500.46	237.86	256.78	215.77	363.56	289.02	476.71	199.85	150.17	346.29	327.56	356.05	312.0	191.67	414.87	318.57	358.54	392.44	432.53	392.44	291.04	356.05	267.73	444.72	384.34	470.14	447.82	195.72	334.46	145.02	281.09	441.64	275.28	1583.71	2178.83	1030.12	595.34	1151.06	1487.87
ALB	32.59	834179.46	472513.8	696613.03	397335.0	1221310.69	33455.53	1093103.58	1422501.74	1336472.68	428815.23	1514068.5	649962.87	1055868.42	978355.0	1055868.42	2425749.94	887875.81	1116072.03	1246973.04	1063212.58	3478417.29	881742.8	3049200.37	2097151.0	1.450452687E7	2.094351026E7	5.228884881E7	3.286389077E7	7.343680617E7	3.286389077E7	1.138002091E7	9243449.07	2.372656541E7	8330662.65	7353500.77	8805660.77	1.460541384E7	2.8412057E7	1.748967224E7	1.940600651E7	6226542.15	6140819.49	9770492.48	2.669377385E7	2.596383117E7	1.24530853E7	7612821.45	2.8412057E7	1.228163998E7	1.076615575E7	932018.1	6140819.49	7456151.83	1.069178847E7	104.42	166.73	2.71	2.48	6.89	7.57
ANLN	559.28	205.5	239.52	181.28	212.78	124.37	529.06	309.83	132.44	49.21	111.21	110.43	223.41	36.53	122.64	120.1	267.73	802.41	50.63	141.02	83.45	125.24	277.2	3.14	0.95	18.43	4.21	5.92	0.62	10.71	19.82	4.17	2.12	4.35	23.25	1.01	3.26	12.36	6.57	3.23	18.56	3.86	0.64	2.66	57.49	38.67	5.63	2.03	9.85	11.3	0.67	1.06	6.06	5.68	7.0	1119.56	301.33	511.0	896.64	480.04	432.53
ASPM	651.58	159.9	181.28	348.71	264.03	77.79	334.46	135.24	314.17	99.43	197.09	122.64	287.01	48.87	329.84	159.9	438.59	395.18	60.82	56.28	157.68	246.28	275.28	1.13	1.48	4.31	3.86	4.03	8.06	7.46	12.64	4.9	6.31	10.88	22.92	5.15	12.09	7.51	10.24	4.98	13.83	13.72	2.89	5.36	72.52	15.8	4.86	4.03	10.47	12.0	1.46	1.68	1.19	11.82	6.31	275.28	255.0	332.14	400.71	297.17	175.07
BUB1	514.56	258.57	249.73	129.69	119.26	80.01	463.65	211.31	161.02	48.87	61.25	85.22	113.56	26.1	182.55	100.83	267.73	26.1	54.33	102.25	88.88	117.6	186.4	0.55	5.11	1.38	4.17	5.45	1.04	10.63	6.41	3.63	1.01	6.26	19.82	0.0	6.94	16.88	3.79	3.17	12.0	16.39	1.06	5.19	49.91	18.29	4.66	2.41	6.78	3.26	0.0	1.43	4.7	5.73	4.06	320.8	642.59	733.19	780.44	603.67	429.54
BUB1B	743.43	242.88	150.17	140.04	202.66	34.51	389.72	162.14	143.01	71.0	63.0	33.78	120.94	23.93	144.01	106.63	205.5	470.14	45.53	87.03	115.97	110.43	255.0	6.62	4.43	7.06	4.7	10.31	0.89	11.38	7.34	0.89	3.79	2.03	22.75	0.79	8.13	6.31	7.28	8.06	17.0	17.13	0.46	9.48	24.11	36.79	3.86	5.92	3.23	10.0	2.86	0.41	1.99	8.65	21.94	579.04	947.83	954.43	759.08	669.92	368.65
C1orf220	27.64	26.86	11.73	27.64	9.63	6.16	20.71	14.78	52.08	17.0	18.97	15.34	44.25	6.06	29.7	8.51	16.75	8.92	5.59	0.0	33.3	18.16	15.22	2.01	3.89	14.24	7.94	2.68	16.88	13.83	16.03	4.06	9.41	7.17	0.0	5.23	26.67	2.48	10.63	9.27	3.41	2.76	1.97	12.64	8.06	3.47	2.78	3.29	8.78	8.45	0.0	1.85	0.97	11.73	12.83	24.81	67.12	30.78	63.89	8.92	248.0
C22orf46	165.57	80.57	195.72	214.27	118.43	131.51	205.5	128.79	204.07	129.69	185.11	199.85	307.69	177.53	214.27	167.9	279.14	94.01	267.73	124.37	189.02	202.66	113.56	36.53	38.95	98.73	119.26	69.03	70.01	142.01	142.01	48.18	80.01	85.82	132.44	118.43	158.79	164.42	55.89	145.02	65.26	144.01	90.14	128.79	115.97	75.11	58.71	60.39	131.51	94.01	43.02	15.45	35.76	94.67	66.18	366.09	202.66	164.42	131.51	156.59	325.29
C5orf54	287.01	90.77	82.29	88.26	25.35	19.11	60.82	35.76	120.1	30.78	105.89	22.26	90.14	93.35	70.01	35.76	41.22	109.66	34.02	55.49	54.72	40.07	69.52	6.26	2.34	25.17	20.11	23.08	19.25	16.63	21.94	15.11	17.25	19.68	12.18	25.72	47.17	13.32	8.0	23.93	10.96	16.39	8.32	27.64	14.89	12.74	11.82	5.41	34.26	20.41	2.78	2.61	4.17	15.0	38.67	135.24	146.03	204.07	146.03	130.6	236.21
C6orf62	3847.29	1225.22	1561.89	1551.09	1233.75	1583.71	1757.34	1498.22	3372.43	2537.92	1572.76	1447.15	2303.12	1059.11	2004.85	1286.18	1883.54	1697.45	1769.57	1059.11	2075.59	1437.15	2163.77	764.36	493.56	1001.93	830.75	1605.83	629.35	1304.15	1331.57	708.18	813.63	802.41	1199.98	1159.07	1870.53	693.58	785.88	733.19	438.59	1151.06	785.88	1467.37	1104.13	947.83	656.11	624.99	1286.18	723.08	314.17	373.81	409.15	830.75	1081.39	2075.59	1417.35	1088.92	1709.26	1208.34	1467.37
CANT1	909.17	878.17	1277.29	872.1	497.0	713.11	769.69	733.19	1519.15	514.56	728.11	490.14	909.17	444.72	587.13	884.29	941.27	1936.53	429.54	1044.52	698.41	638.15	543.96	277.2	211.31	248.0	206.94	249.73	201.25	466.88	269.6	269.6	199.85	198.47	543.96	231.32	253.23	486.75	262.2	234.57	231.32	209.84	316.37	260.38	447.82	343.89	218.79	198.47	281.09	181.28	211.31	258.57	198.47	301.33	206.94	808.0	1037.29	896.64	1001.93	775.05	1561.89
