	TCGA.FJ.A871.01A.11R.A352.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.A7.A0CH.11A.32R.A089.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.S32W.2026.SM.4AD6E	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	TCGA.AD.6901.01A.11R.1928.07	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	TCGA.49.AAR0.01A.21R.A39D.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.EL.A3ZP.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.EM.A22M.01A.11R.A32Y.07
ACOT8	728.11	287.01	325.29	438.59	575.03	307.69	563.18	275.28	285.03	323.03	293.07	368.65	348.71	258.57	348.71	301.33	301.33	314.17	279.14	258.57	301.33	244.57	253.23	371.22	242.88	500.46	368.65	476.71	316.37	205.5	197.09	295.11	186.4	493.56	224.97	231.32	813.63	642.59	583.07	1208.34	698.41	748.61	796.86	733.19	796.86	896.64
ADAMTS7	217.27	28.45	38.4	81.14	62.12	48.87	57.49	29.48	46.84	50.27	53.19	51.35	116.78	38.67	52.45	43.63	142.01	105.15	33.3	39.5	59.97	8.78	40.07	89.51	45.21	90.14	229.72	156.59	58.3	8.85	69.52	48.87	32.82	111.99	112.77	36.27	197.09	102.25	72.52	120.94	73.03	183.82	175.07	116.78	120.1	70.01
ADCK5	191.67	27.05	51.35	108.14	108.9	59.13	173.85	26.86	34.51	61.25	65.26	94.67	94.01	31.0	68.07	90.77	87.03	63.0	63.45	84.63	99.43	21.78	57.08	108.14	58.3	134.3	123.5	153.34	88.88	26.47	43.32	46.18	28.04	102.25	98.73	57.08	612.11	185.11	198.47	521.76	258.57	303.44	253.23	287.01	256.78	223.41
ANKRD39	915.51	275.28	212.78	285.03	381.68	224.97	395.18	151.22	141.02	241.19	239.52	197.09	217.27	169.07	185.11	220.32	186.4	187.71	158.79	165.57	208.38	134.3	226.54	136.19	111.99	287.01	150.17	152.28	193.01	96.01	234.57	145.02	105.89	356.05	126.12	211.31	500.46	197.09	246.28	808.0	353.59	409.15	366.09	356.05	249.73	373.81
AP5Z1	884.29	127.0	236.21	503.95	500.46	241.19	728.11	139.07	153.34	320.8	301.33	299.25	420.68	150.17	287.01	221.86	395.18	334.46	169.07	181.28	258.57	98.73	220.32	297.17	175.07	559.28	830.75	334.46	417.77	94.01	336.79	189.02	242.88	351.14	305.55	412.0	1378.57	563.18	579.04	1467.37	575.03	698.41	638.15	813.63	764.36	791.35
ARFRP1	1119.56	144.01	457.25	884.29	1313.23	521.76	1066.48	275.28	307.69	693.58	684.02	703.28	624.99	220.32	555.41	551.56	620.67	575.03	363.56	327.56	583.07	173.85	341.51	400.71	356.05	836.53	988.12	642.59	329.84	189.02	532.74	423.61	255.0	1015.93	603.67	371.22	1313.23	638.15	934.76	1639.59	947.83	884.29	1037.29	988.12	1322.37	1104.13
ARL6IP4	7485.11	532.74	2855.44	5219.6	6745.86	3665.02	6337.83	1286.18	1259.69	4671.57	4210.15	4836.35	4123.49	848.22	2976.74	3665.02	3901.01	3955.48	2148.82	1794.29	3928.15	493.56	3303.0	2335.28	2664.15	5517.27	3639.7	2855.44	3614.55	1073.91	2591.27	3018.3	1467.37	4152.18	3742.05	3146.52	5555.65	4010.71	4512.4	6037.61	7433.4	7433.4	7130.55	6745.86	8421.31	7130.55
ATAD3B	1242.34	26.28	51.71	129.69	85.22	92.7	253.23	28.24	40.36	121.79	102.25	138.1	125.24	56.28	82.87	92.7	146.03	79.45	51.71	43.94	75.11	43.63	47.17	87.03	9.41	147.06	155.5	142.01	72.52	43.02	223.41	31.67	36.01	130.6	170.25	89.51	748.61	152.28	351.14	1073.91	400.71	559.28	457.25	486.75	490.14	384.34
B3GAT3	2133.97	312.0	339.14	656.11	642.59	305.55	967.76	156.59	211.31	373.81	353.59	500.46	447.82	220.32	277.2	361.04	447.82	289.02	231.32	215.77	323.03	164.42	414.87	356.05	309.83	748.61	769.69	860.08	265.87	285.03	289.02	318.57	113.56	872.1	688.78	409.15	967.76	607.87	896.64	2193.99	1259.69	1487.87	1467.37	1259.69	1457.23	1175.27
C17orf62	1883.54	493.56	921.88	1508.65	1191.69	728.11	1721.16	785.88	748.61	785.88	1051.79	1447.15	1081.39	830.75	1037.29	1059.11	1111.82	1037.29	878.17	791.35	1044.52	679.29	842.36	1295.13	896.64	1127.35	1487.87	1950.0	1088.92	830.75	1225.22	830.75	1051.79	1769.57	1023.0	599.49	1477.58	1583.71	1397.83	2520.38	1685.71	1844.76	1781.89	2178.83	1447.15	2664.15
