	GTEX.13O61.1226.SM.5KM21	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07.1	GTEX.R55G.0826.SM.2TC5U	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.VQ.AA6I.01A.11R.A414.31	TCGA.BR.8485.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.4466.01A.01R.1157.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.BR.4369.01A.01R.1157.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.CG.4460.01A.01R.1157.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
AASDHPPT	242.88	329.84	316.37	281.09	271.48	297.17	351.14	356.05	287.01	363.56	295.11	0.36	591.22	486.75	441.64	629.35	460.44	470.14	559.28	329.84	295.11	872.1	341.51	426.57	343.89	493.56	486.75	343.89	291.04	199.85	283.05	457.25	307.69	381.68	271.48	229.72	323.03
ABCE1	373.81	346.29	262.2	277.2	154.42	291.04	323.03	336.79	295.11	295.11	154.42	0.27	571.05	334.46	941.27	1242.34	825.0	1015.93	1477.58	785.88	941.27	1208.34	743.43	915.51	780.44	1044.52	1111.82	981.29	500.46	318.57	403.5	480.04	341.51	525.39	329.84	403.5	559.28
AC104472.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.79	2.05	1.87	2.92	0.79	6.21	1.81	0.43	1.51	2.78	4.24	1.28	5.32	0.84	0.0	0.0	0.0	2.01	0.55	0.0	0.0	0.56	0.0	0.0
ACOT9	941.27	181.28	218.79	153.34	218.79	275.28	191.67	201.25	242.88	170.25	193.01	295.11	665.29	684.02	802.41	866.07	890.44	567.1	703.28	791.35	791.35	660.68	791.35	1051.79	1685.71	599.49	529.06	836.53	599.49	547.75	454.09	441.64	454.09	555.41	341.51	480.04	575.03
AGFG1	743.43	277.2	246.28	249.73	371.22	441.64	329.84	392.44	332.14	287.01	346.29	0.55	1572.76	1286.18	1896.65	1709.26	1023.0	1119.56	1159.07	1594.73	2090.03	2895.31	1304.15	2075.59	1015.93	1870.53	1044.52	988.12	1216.75	1286.18	1135.2	1037.29	1191.69	872.1	698.41	723.08	1111.82
ANKEF1	25.72	34.26	28.24	28.65	27.25	39.22	37.85	39.79	48.87	35.0	36.27	0.0	121.79	97.36	115.16	283.05	99.43	157.68	275.28	115.16	83.45	183.82	124.37	73.54	218.79	199.85	91.41	251.48	122.64	90.14	108.14	173.85	70.51	94.01	86.43	69.52	73.54
ANKIB1	193.01	93.35	87.65	63.45	57.89	82.87	102.97	95.34	128.79	105.15	42.41	941.27	291.04	281.09	1369.04	463.65	454.09	395.18	473.41	248.0	397.93	629.35	463.65	1001.93	234.57	693.58	607.87	423.61	269.6	175.07	241.19	341.51	260.38	246.28	186.4	185.11	226.54
ANKRD18A	6.67	4.7	2.14	3.44	1.3	3.72	2.81	1.39	5.06	0.0	3.82	0.35	27.44	6.26	163.28	37.85	47.17	51.71	271.48	50.27	48.52	16.27	7.75	95.34	29.7	117.6	53.57	19.25	26.47	56.28	6.01	45.53	11.91	14.45	12.27	14.24	7.4
ARFGEF1	463.65	258.57	327.56	253.23	129.69	283.05	224.97	212.78	249.73	173.85	220.32	0.79	483.38	559.28	941.27	1023.0	825.0	848.22	753.83	555.41	854.13	1059.11	620.67	1088.92	441.64	1051.79	1111.82	872.1	575.03	438.59	607.87	624.99	536.45	358.54	432.53	379.04	480.04
ATAD5	10.79	4.39	4.66	1.51	0.0	2.92	3.35	2.27	3.53	6.73	1.91	0.46	31.67	9.93	128.79	92.7	82.29	62.56	119.26	31.67	50.63	100.13	48.52	46.5	34.51	138.1	84.04	57.89	19.97	13.12	14.78	17.0	9.34	22.1	14.78	21.47	25.17
ATP1B3	1769.57	195.72	279.14	124.37	183.82	497.0	162.14	194.36	195.72	118.43	1896.65	1.0	2434.5	1322.37	2997.45	2739.08	1127.35	3212.66	3168.41	1295.13	4010.71	7180.15	2609.3	7081.29	2537.92	2400.97	6079.61	2537.92	543.96	1963.57	346.29	583.07	2303.12	988.12	555.41	866.07	1322.37
