	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.U3ZH.1326.SM.4DXSF	GTEX.PLZ5.1126.SM.3P613	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q2AI.0926.SM.48U1F	GTEX.14E6E.1526.SM.5RQIG	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WYVS.1126.SM.4SOJX	GTEX.XUJ4.2026.SM.4BOOW	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZAB5.1426.SM.5HL9D	GTEX.WHWD.1526.SM.4OORV	GTEX.WHPG.1626.SM.4M1ZL	GTEX.SNMC.1126.SM.4DM5M	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.13111.1926.SM.5GCOL	GTEX.R55D.1826.SM.48FEF	GTEX.Y8E4.2426.SM.4WWDN	GTEX.131XG.1826.SM.5LZV4	GTEX.XPVG.1826.SM.4B64X	GTEX.XUZC.1326.SM.4BRV2	GTEX.11P81.1126.SM.5GU5G	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.T5JW.1126.SM.4DM5V	GTEX.ZGAY.2126.SM.4YCFB	GTEX.PX3G.1426.SM.48U1J	GTEX.ZT9W.1826.SM.51MQX	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ANKS1A	312.0	260.38	409.15	248.0	190.34	733.19	260.38	309.83	232.94	307.69	229.72	607.87	258.57	808.0	204.07	234.57	264.03	258.57	642.59	679.29	679.29	536.45	264.03	441.64	603.67	285.03	435.55	301.33	221.86	260.38	679.29	283.05	363.56	205.5	194.36	470.14	426.57	215.77	0.0	0.27
ARRB1	536.45	1167.14	1427.22	819.3	718.08	1242.34	785.88	934.76	866.07	1208.34	947.83	1529.73	1127.35	1896.65	723.08	620.67	748.61	909.17	1819.35	1508.65	1477.58	1096.5	860.08	1277.29	1295.13	1457.23	961.07	1359.57	543.96	902.89	1331.57	698.41	1286.18	866.07	698.41	1167.14	1066.48	860.08	0.0	0.52
ASH2L	432.53	521.76	656.11	412.0	358.54	836.53	476.71	483.38	518.15	514.56	559.28	713.11	460.44	921.88	476.71	463.65	423.61	376.41	743.43	703.28	819.3	684.02	429.54	830.75	723.08	559.28	660.68	529.06	417.77	476.71	1073.91	473.41	551.56	303.44	285.03	603.67	629.35	356.05	0.0	0.34
BAZ2B	241.19	226.54	309.83	148.09	62.56	555.41	212.78	161.02	141.02	172.65	105.89	438.59	87.65	728.11	120.94	155.5	105.89	155.5	638.15	486.75	555.41	336.79	185.11	376.41	547.75	195.72	373.81	152.28	148.09	185.11	688.78	155.5	237.86	90.14	85.82	371.22	351.14	127.0	0.0	0.49
C22orf46	132.44	159.9	191.67	130.6	66.65	201.25	156.59	136.19	128.79	127.89	132.44	151.22	140.04	195.72	88.88	122.64	102.25	100.13	172.65	239.52	256.78	136.19	100.83	173.85	236.21	127.89	204.07	156.59	90.14	108.9	255.0	117.6	163.28	96.68	50.27	180.02	135.24	77.25	0.0	0.17
CAMK2G	819.3	624.99	1059.11	591.22	536.45	2090.03	728.11	934.76	743.43	842.36	708.18	1844.76	738.29	2351.53	571.05	674.59	764.36	620.67	2075.59	1896.65	2104.58	1794.29	665.29	1295.13	2224.63	884.29	1059.11	860.08	785.88	703.28	1977.24	860.08	1088.92	387.02	470.14	1540.37	1551.09	607.87	0.0	0.55
CASZ1	769.69	450.94	450.94	332.14	291.04	890.44	432.53	500.46	373.81	376.41	503.95	624.99	387.02	995.0	387.02	420.68	392.44	371.22	1143.1	1208.34	1175.27	934.76	281.09	540.19	928.3	525.39	412.0	441.64	395.18	536.45	848.22	403.5	647.07	269.6	438.59	647.07	642.59	371.22	0.0	0.58
CPEB2	214.27	153.34	202.66	106.63	68.07	346.29	102.97	145.02	131.51	131.51	159.9	229.72	142.01	334.46	86.43	133.36	111.99	136.19	256.78	318.57	384.34	251.48	136.19	214.27	291.04	150.17	293.07	140.04	131.51	145.02	353.59	143.01	177.53	84.04	98.73	205.5	208.38	107.38	0.0	0.51
CTB-50L17.14	0.0	0.0	4.7	0.28	0.0	6.41	1.48	2.1	1.46	3.92	0.0	5.92	1.43	3.11	1.0	0.95	1.43	0.21	12.74	10.16	4.78	3.92	2.94	2.46	7.69	10.16	4.78	2.56	2.14	3.23	14.03	3.5	1.3	2.14	3.53	4.9	5.45	1.1	0.0	0.47
CTDSP2	2367.9	3639.7	3982.99	2520.38	1340.84	4268.94	1977.24	2061.24	2485.67	2178.83	2018.8	4066.71	1991.0	4210.15	1322.37	1639.59	1594.73	1674.06	5366.37	4972.34	4268.94	2739.08	1883.54	2895.31	4038.61	2434.5	2591.27	2573.36	1477.58	1806.78	4210.15	1896.65	3303.0	1662.49	1088.92	3190.46	3349.13	1628.26	1757.34	674.59
DDX58	223.41	220.32	120.1	76.71	45.53	371.22	172.65	209.84	264.03	52.45	269.6	255.0	85.22	305.55	34.51	177.53	171.45	77.25	426.57	358.54	327.56	395.18	110.43	140.04	341.51	285.03	189.02	63.0	104.42	221.86	426.57	191.67	248.0	147.06	116.78	169.07	217.27	125.24	0.0	0.4
DHFRL1	96.01	74.58	115.16	72.52	50.27	120.1	63.45	64.8	66.65	74.06	127.0	115.16	60.39	154.42	45.85	86.43	53.57	53.95	103.69	115.97	182.55	98.73	74.58	118.43	181.28	73.54	106.63	71.0	60.82	56.28	194.36	65.72	95.34	47.84	35.0	81.14	115.16	41.22	0.0	0.0
EXOC7	1167.14	1023.0	909.17	802.41	934.76	1781.89	954.43	915.51	660.68	941.27	665.29	1208.34	775.05	1685.71	836.53	921.88	796.86	748.61	1662.49	1340.84	1350.18	1059.11	872.1	1059.11	1350.18	1037.29	1250.98	830.75	854.13	825.0	1617.0	703.28	1467.37	638.15	624.99	1081.39	1437.15	629.35	0.0	0.8
FAM122C	57.89	47.17	31.0	38.95	20.41	95.34	22.43	32.59	38.95	27.05	26.1	49.91	27.64	84.04	29.7	49.56	40.07	33.78	50.98	57.89	84.04	53.19	31.67	52.45	66.18	34.75	78.34	21.47	38.95	40.64	89.51	24.99	51.35	23.93	17.25	49.91	41.22	35.76	0.0	0.27
FBXO8	343.89	521.76	507.46	417.77	256.78	660.68	366.09	384.34	318.57	387.02	414.87	599.49	336.79	753.83	291.04	392.44	368.65	271.48	753.83	660.68	775.05	521.76	297.17	486.75	723.08	332.14	476.71	295.11	260.38	329.84	651.58	334.46	316.37	384.34	312.0	441.64	389.72	251.48	0.0	0.14
FGFR2	293.07	796.86	633.73	353.59	149.12	1561.89	363.56	255.0	718.08	595.34	563.18	1617.0	381.68	2417.67	279.14	423.61	356.05	199.85	2875.3	2178.83	2720.15	1350.18	361.04	796.86	3372.43	620.67	500.46	212.78	267.73	473.41	2816.11	555.41	896.64	262.2	165.57	1304.15	1059.11	332.14	0.0	0.08
GLTSCR1L	134.3	154.42	217.27	128.79	68.07	279.14	130.6	139.07	150.17	129.69	130.6	264.03	137.14	279.14	84.04	126.12	92.7	97.36	271.48	269.6	332.14	186.4	133.36	242.88	323.03	138.1	185.11	150.17	131.51	129.69	320.8	144.01	164.42	89.51	89.51	209.84	205.5	90.77	63.0	57.08
GPER1	65.26	175.07	178.77	82.29	60.82	460.44	94.01	181.28	64.8	52.45	153.34	255.0	260.38	361.04	60.82	159.9	121.79	38.95	656.11	435.55	473.41	447.82	113.56	260.38	384.34	116.78	115.16	108.14	191.67	133.36	295.11	198.47	241.19	11.47	70.01	248.0	327.56	26.1	0.0	0.0
IFT52	332.14	460.44	334.46	305.55	371.22	511.0	285.03	361.04	397.93	287.01	441.64	480.04	329.84	483.38	201.25	348.71	536.45	293.07	473.41	555.41	764.36	587.13	277.2	583.07	775.05	221.86	438.59	327.56	237.86	329.84	599.49	406.31	389.72	277.2	271.48	563.18	432.53	351.14	0.0	0.39
KAT2B	217.27	201.25	262.2	127.89	68.55	559.28	134.3	173.85	158.79	164.42	218.79	389.72	123.5	579.04	87.03	127.0	189.02	111.99	540.19	525.39	518.15	312.0	154.42	269.6	432.53	190.34	248.0	143.01	104.42	195.72	620.67	146.03	267.73	155.5	79.45	318.57	232.94	102.25	0.0	0.38
KCNA4	0.0	0.0	0.0	0.0	0.0	5.02	0.36	0.62	0.0	0.64	0.0	0.65	0.37	1.14	0.61	0.0	0.0	0.35	1.14	3.56	1.66	1.25	0.0	0.65	2.41	2.73	0.38	0.0	0.37	0.0	1.13	1.23	0.64	0.0	0.34	0.93	0.38	0.0	0.0	0.0
KCNA6	1.97	3.96	4.13	5.45	2.43	30.78	5.87	4.74	4.31	2.76	5.54	11.38	5.73	18.84	3.0	7.75	6.01	4.98	26.47	26.1	29.06	16.51	5.06	5.73	22.59	5.54	16.03	0.46	6.89	3.03	31.0	4.54	18.43	2.63	2.92	19.53	16.15	3.14	0.0	0.0
KCNB2	0.22	1.2	1.06	0.0	0.0	4.54	0.58	0.58	1.45	1.0	0.0	3.08	0.59	4.98	0.57	0.0	0.57	0.57	3.0	3.99	1.85	2.86	1.38	2.27	6.89	0.58	1.06	0.0	1.45	0.0	4.1	1.51	0.59	0.96	0.0	1.46	3.17	0.62	0.0	0.08
KDM5A	251.48	182.55	285.03	159.9	105.89	275.28	171.45	170.25	231.32	171.45	262.2	262.2	182.55	376.41	148.09	241.19	117.6	211.31	267.73	368.65	223.41	173.85	201.25	275.28	511.0	193.01	341.51	228.13	155.5	177.53	387.02	175.07	269.6	119.26	150.17	417.77	297.17	150.17	0.0	0.58
KIAA0513	246.28	435.55	647.07	269.6	180.02	336.79	201.25	171.45	253.23	260.38	232.94	723.08	212.78	320.8	143.01	178.77	256.78	246.28	295.11	356.05	361.04	221.86	141.02	444.72	358.54	291.04	297.17	318.57	129.69	190.34	226.54	142.01	351.14	256.78	85.22	320.8	197.09	190.34	53.95	149.12
KIDINS220	332.14	279.14	457.25	271.48	110.43	703.28	279.14	309.83	256.78	309.83	267.73	532.74	226.54	802.41	195.72	242.88	189.02	287.01	669.92	651.58	642.59	429.54	267.73	493.56	708.18	287.01	466.88	312.0	248.0	312.0	802.41	275.28	371.22	182.55	162.14	567.1	497.0	191.67	205.5	113.56
KIF1B	232.94	260.38	309.83	153.34	141.02	423.61	197.09	232.94	183.82	226.54	155.5	366.09	181.28	511.0	182.55	186.4	185.11	217.27	500.46	423.61	450.94	373.81	217.27	351.14	473.41	279.14	400.71	246.28	144.01	191.67	432.53	189.02	228.13	135.24	143.01	389.72	339.14	167.9	115.16	114.36
KMT2A	181.28	191.67	221.86	100.83	53.19	341.51	162.14	162.14	121.79	127.89	64.34	381.68	102.25	423.61	94.67	123.5	92.7	101.54	379.04	334.46	332.14	197.09	115.97	215.77	373.81	167.9	231.32	142.01	121.79	138.1	466.88	153.34	197.09	96.01	81.71	239.52	314.17	71.0	0.0	0.25
KSR1	381.68	215.77	316.37	221.86	42.71	830.75	159.9	176.29	193.01	234.57	220.32	679.29	121.79	599.49	117.6	205.5	202.66	195.72	775.05	438.59	480.04	295.11	107.38	307.69	363.56	339.14	493.56	301.33	171.45	327.56	764.36	149.12	500.46	161.02	69.52	332.14	379.04	169.07	0.0	0.96
LPP	307.69	316.37	518.15	221.86	152.28	1135.2	265.87	438.59	269.6	314.17	226.54	1175.27	237.86	1322.37	206.94	215.77	269.6	256.78	1498.22	1295.13	1304.15	1199.98	269.6	603.67	1216.75	320.8	813.63	281.09	218.79	248.0	1051.79	291.04	423.61	212.78	205.5	941.27	629.35	208.38	180.02	74.06
MAP4K5	334.46	275.28	305.55	183.82	147.06	476.71	226.54	237.86	204.07	218.79	223.41	473.41	229.72	555.41	183.82	212.78	214.27	229.72	518.15	514.56	551.56	325.29	255.0	403.5	587.13	260.38	363.56	248.0	221.86	267.73	651.58	236.21	312.0	209.84	214.27	429.54	361.04	211.31	0.0	0.58
MID1	153.34	212.78	242.88	141.02	85.82	417.77	129.69	189.02	147.06	155.5	171.45	293.07	162.14	616.37	123.5	158.79	120.94	141.02	381.68	486.75	389.72	285.03	182.55	220.32	373.81	211.31	287.01	180.02	170.25	157.68	371.22	186.4	212.78	134.3	115.16	291.04	295.11	139.07	0.0	0.54
MKNK1	728.11	775.05	830.75	728.11	429.54	1487.87	532.74	830.75	785.88	785.88	738.29	921.88	651.58	1313.23	563.18	651.58	848.22	660.68	890.44	981.29	884.29	860.08	780.44	854.13	974.5	866.07	928.3	733.19	884.29	748.61	902.89	775.05	1023.0	483.38	547.75	902.89	947.83	713.11	603.67	1350.18
MPL	2.05	0.64	1.55	0.0	1.6	4.58	1.13	1.43	0.83	0.8	0.0	2.71	0.83	8.19	1.1	0.82	0.78	1.69	5.68	2.25	5.5	0.87	0.79	3.03	5.68	1.13	3.41	1.35	0.83	1.71	3.14	0.0	2.97	0.78	0.77	3.06	1.51	0.0	0.0	0.01
