	GTEX.117YW.1826.SM.5PNY5	GTEX.13O3O.0726.SM.5J1N7	GTEX.12584.1426.SM.5EGJ9	GTEX.13OVH.1026.SM.5J2NP	GTEX.147F4.0926.SM.5Q5EO	GTEX.11O72.1326.SM.5BC5A	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.144GO.0226.SM.5LUB1	GTEX.131XH.0426.SM.5DUWU	GTEX.13OW6.2526.SM.5IJEC	GTEX.11NUK.2426.SM.5BC4U	GTEX.13PVQ.2126.SM.5L3FW	GTEX.13S7M.1826.SM.5RQK6	GTEX.11GSP.2126.SM.5HL5E	GTEX.ZYY3.1726.SM.5EGH3	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.EL.A3T6.11A.11R.A220.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EL.A3N3.11A.11R.A20F.07	TCGA.ET.A2N5.11B.11R.A18C.07	TCGA.EL.A3H7.11A.11R.A21D.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.T6MN.0626.SM.32PM9	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.13OW8.0126.SM.5IJE5	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.117XS.0526.SM.5987Q	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.WVLH.0626.SM.3MJG7	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.139UW.0126.SM.5KM1B	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PX3G.2626.SM.2I3EG	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.QXCU.0326.SM.2TC63	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.11O72.2326.SM.5BC7H	GTEX.WYBS.1926.SM.3NM8N	GTEX.13PVQ.0726.SM.5L3GI	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L	GTEX.111FC.1026.SM.5GZX1	GTEX.ZUA1.0926.SM.4YCDX
ABHD14A	232.94	195.72	363.56	236.21	229.72	503.95	500.46	529.06	189.02	346.29	397.93	221.86	334.46	395.18	603.67	373.81	1896.65	2004.85	2400.97	1685.71	2451.44	1059.11	1745.2	1397.83	759.08	1639.59	896.64	1651.0	2997.45	2645.74	1191.69	954.43	2163.77	1111.82	1781.89	1059.11	2193.99	1628.26	1066.48	2468.49	1143.1	1369.04	723.08	2240.11	1844.76	2047.0	738.29	1216.75	796.86	1617.0	2209.26	954.43	1030.12	1167.14	1066.48	1216.75	1378.57	2796.65	1540.37	825.0	1832.01	1519.15	2061.24	2032.85	1950.0	1674.06	2855.44	1199.98	1628.26	1286.18	2133.97	1963.57	708.18	1340.84	1733.13	2119.22	1119.56	1369.04	2240.11	1088.92	2090.03	1551.09	1030.12	1870.53	1870.53	1286.18	1733.13	802.41	1639.59	819.3	1617.0	1066.48	1605.83	1199.98	1304.15	1757.34	1487.87	1498.22	1135.2	878.17	1322.37	2287.2	2417.67	1304.15	1359.57	2303.12	2520.38
ALG1	409.15	182.55	141.02	237.86	154.42	132.44	214.27	172.65	142.01	181.28	371.22	191.67	429.54	323.03	444.72	368.65	587.13	759.08	1111.82	638.15	836.53	438.59	647.07	603.67	400.71	647.07	450.94	753.83	624.99	591.22	221.86	583.07	629.35	599.49	521.76	642.59	412.0	389.72	579.04	591.22	429.54	587.13	547.75	511.0	320.8	476.71	224.97	490.14	457.25	341.51	521.76	555.41	583.07	629.35	647.07	205.5	764.36	567.1	723.08	579.04	547.75	587.13	620.67	567.1	620.67	309.83	529.06	432.53	620.67	769.69	647.07	669.92	511.0	669.92	624.99	297.17	395.18	595.34	503.95	567.1	555.41	660.68	529.06	679.29	521.76	764.36	466.88	457.25	476.71	559.28	753.83	540.19	808.0	444.72	656.11	547.75	258.57	486.75	417.77	307.69	435.55	583.07	540.19	713.11	665.29	599.49	629.35
ALKBH4	32.13	70.01	51.71	71.5	66.65	73.03	68.55	66.18	76.17	69.52	75.64	28.86	69.52	66.18	73.54	48.87	463.65	511.0	819.3	450.94	403.5	164.42	447.82	486.75	195.72	325.29	143.01	414.87	371.22	426.57	162.14	395.18	463.65	389.72	277.2	332.14	175.07	265.87	403.5	297.17	295.11	368.65	194.36	273.37	242.88	251.48	176.29	325.29	351.14	181.28	279.14	323.03	381.68	417.77	429.54	176.29	343.89	397.93	476.71	379.04	211.31	480.04	480.04	395.18	361.04	229.72	229.72	239.52	441.64	503.95	387.02	358.54	295.11	429.54	343.89	325.29	307.69	379.04	329.84	525.39	303.44	466.88	275.28	591.22	279.14	334.46	287.01	376.41	303.44	271.48	591.22	423.61	450.94	346.29	497.0	283.05	121.79	325.29	215.77	175.07	234.57	521.76	356.05	371.22	389.72	361.04	361.04
ALKBH5	743.43	723.08	866.07	902.89	921.88	2178.83	848.22	995.0	1104.13	981.29	769.69	567.1	928.3	941.27	884.29	559.28	1529.73	1617.0	2271.4	1721.16	1561.89	1073.91	1674.06	1832.01	1350.18	1242.34	1225.22	1757.34	1662.49	1870.53	1143.1	1628.26	1769.57	1508.65	1437.15	1605.83	1295.13	1529.73	1617.0	1417.35	1175.27	1447.15	1066.48	1594.73	1250.98	1529.73	1832.01	1378.57	1350.18	1407.55	1350.18	1159.07	1572.76	1639.59	1407.55	3257.52	1397.83	1745.2	1605.83	1427.22	1519.15	1359.57	1844.76	1350.18	1508.65	1104.13	1331.57	1191.69	1844.76	1674.06	1487.87	2032.85	1388.16	1594.73	1331.57	1437.15	1427.22	1216.75	1487.87	1561.89	1277.29	1561.89	1104.13	1963.57	1313.23	1407.55	1295.13	1467.37	1487.87	1427.22	1857.6	1378.57	1844.76	1151.06	1519.15	1447.15	2209.26	1467.37	1304.15	1519.15	1498.22	1757.34	1674.06	1628.26	1407.55	1844.76	1561.89
AP2M1	3614.55	1617.0	2075.59	3665.02	3212.66	2555.58	4671.57	5183.54	1733.13	2915.45	4010.71	4328.55	4388.98	4802.93	3589.58	4450.27	6381.92	5913.33	5479.15	5913.33	6294.04	4802.93	6516.03	5403.7	4736.79	5517.27	4481.23	5441.3	5633.22	6337.83	6699.25	4671.57	6983.79	5711.87	5672.41	4869.99	5147.73	4802.93	5751.61	5872.48	3589.58	5292.48	4704.07	5403.7	4607.24	5791.62	4066.71	5791.62	4639.29	5517.27	5255.91	5403.7	5255.91	4802.93	6699.25	5076.84	6381.92	7032.37	5672.41	5183.54	4704.07	5006.93	5594.3	5672.41	5517.27	5292.48	5913.33	5711.87	6079.61	5479.15	5831.91	5366.37	4671.57	5403.7	4769.75	4671.57	4123.49	5183.54	5594.3	4972.34	6381.92	5517.27	5329.3	5147.73	6207.38	6607.01	4450.27	5292.48	6207.38	4298.64	5555.65	4450.27	6337.83	3146.52	6037.61	5076.84	5112.16	4869.99	3768.09	4575.41	4639.29	5555.65	6037.61	5366.37	5872.48	5995.9	5329.3
APEH	2018.8	616.37	669.92	1015.93	567.1	813.63	830.75	1191.69	759.08	486.75	1437.15	1015.93	1540.37	1037.29	1183.45	1639.59	2485.67	3146.52	2997.45	2796.65	2796.65	1832.01	2193.99	2627.46	1870.53	2133.97	2224.63	3124.78	2485.67	2319.15	2417.67	2468.49	2627.46	3039.3	2303.12	2935.74	2367.9	2224.63	2591.27	2255.7	1936.53	2351.53	2468.49	2485.67	2384.37	2193.99	1477.58	2319.15	2271.4	2004.85	2119.22	2682.69	2335.28	2417.67	3081.75	1605.83	3303.0	2133.97	2976.74	2875.3	1991.0	2875.3	2240.11	2384.37	2367.9	2240.11	2351.53	2148.82	2645.74	2997.45	2537.92	1963.57	2591.27	2956.17	2163.77	2133.97	2351.53	3124.78	2400.97	3103.19	2133.97	2777.33	1977.24	2555.58	2178.83	2915.45	2335.28	2664.15	2303.12	2816.11	2855.44	2875.3	2502.97	1883.54	3168.41	2047.0	1583.71	3060.45	1561.89	2018.8	1733.13	2434.5	2417.67	2796.65	2645.74	2367.9	2119.22
ARMC7	229.72	204.07	271.48	320.8	253.23	221.86	251.48	444.72	490.14	223.41	202.66	172.65	262.2	283.05	181.28	180.02	339.14	316.37	483.38	371.22	283.05	262.2	414.87	406.31	237.86	473.41	165.57	363.56	547.75	339.14	189.02	343.89	490.14	312.0	314.17	336.79	246.28	301.33	295.11	376.41	356.05	318.57	409.15	301.33	167.9	320.8	211.31	223.41	255.0	314.17	432.53	291.04	353.59	343.89	312.0	136.19	279.14	417.77	373.81	229.72	273.37	334.46	403.5	460.44	348.71	221.86	368.65	177.53	518.15	323.03	376.41	371.22	253.23	277.2	329.84	273.37	176.29	336.79	500.46	241.19	441.64	381.68	356.05	309.83	269.6	366.09	271.48	228.13	232.94	291.04	291.04	273.37	387.02	137.14	249.73	281.09	173.85	395.18	149.12	303.44	426.57	441.64	441.64	323.03	346.29	441.64	376.41
B3GALT6	33.3	90.77	83.45	135.24	70.01	119.26	125.24	94.67	95.34	94.01	131.51	22.92	53.19	74.06	109.66	68.55	371.22	341.51	435.55	343.89	381.68	260.38	325.29	379.04	170.25	264.03	208.38	387.02	316.37	275.28	98.73	241.19	423.61	323.03	212.78	327.56	253.23	187.71	299.25	251.48	190.34	297.17	234.57	212.78	161.02	191.67	181.28	264.03	175.07	186.4	264.03	223.41	336.79	412.0	323.03	140.04	332.14	283.05	371.22	305.55	220.32	327.56	318.57	320.8	339.14	176.29	256.78	115.16	346.29	358.54	267.73	339.14	320.8	336.79	285.03	223.41	169.07	341.51	287.01	303.44	241.19	312.0	237.86	414.87	194.36	368.65	231.32	249.73	182.55	339.14	381.68	303.44	403.5	163.28	334.46	244.57	165.57	239.52	193.01	137.14	277.2	353.59	303.44	395.18	343.89	368.65	309.83
BCDIN3D	15.8	58.71	32.36	38.67	37.59	63.45	37.32	54.72	67.12	58.71	93.35	38.12	33.3	51.71	83.45	71.5	142.01	132.44	275.28	132.44	138.1	75.64	155.5	173.85	106.63	189.02	78.89	234.57	217.27	195.72	55.49	175.07	201.25	190.34	120.94	181.28	96.01	95.34	199.85	126.12	110.43	191.67	202.66	141.02	48.87	100.13	84.63	137.14	124.37	80.01	185.11	123.5	205.5	201.25	204.07	50.63	165.57	172.65	178.77	156.59	89.51	202.66	281.09	150.17	211.31	95.34	125.24	102.25	256.78	285.03	152.28	283.05	172.65	176.29	182.55	123.5	90.14	150.17	163.28	171.45	146.03	299.25	178.77	229.72	150.17	209.84	119.26	162.14	106.63	183.82	170.25	215.77	258.57	54.72	182.55	161.02	69.52	105.89	63.89	117.6	153.34	150.17	127.89	209.84	195.72	191.67	221.86
BLOC1S3	34.26	88.88	30.56	169.07	75.64	75.64	135.24	68.55	191.67	87.03	171.45	55.1	63.45	107.38	193.01	123.5	167.9	198.47	157.68	143.01	156.59	120.94	209.84	214.27	92.7	189.02	74.58	156.59	172.65	128.79	100.83	165.57	182.55	151.22	111.21	175.07	63.89	108.14	217.27	132.44	88.26	172.65	155.5	82.29	108.9	113.56	108.14	139.07	131.51	76.17	115.16	149.12	148.09	151.22	137.14	81.71	156.59	134.3	163.28	127.0	92.7	144.01	193.01	172.65	182.55	111.21	84.63	132.44	246.28	145.02	127.89	201.25	141.02	155.5	118.43	121.79	136.19	140.04	157.68	112.77	158.79	191.67	155.5	187.71	109.66	164.42	137.14	146.03	106.63	170.25	177.53	204.07	220.32	84.63	154.42	144.01	64.8	134.3	90.14	115.97	127.0	147.06	87.03	156.59	147.06	152.28	150.17
