	TCGA.LL.A441.01A.11R.A24H.07	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.R6.A6KZ.01A.11R.A31P.31	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.VUSG.0126.SM.4KL1X	TCGA.L9.A5IP.01A.21R.A39D.07	TCGA.43.A56U.01A.11R.A26W.07	TCGA.O2.A52Q.01A.11R.A26W.07	TCGA.66.2773.01A.01R.1201.07	TCGA.22.1000.01A.01R.A32Z.07	TCGA.21.A5DI.01A.31R.A26W.07	TCGA.77.8136.01A.11R.2247.07
AC008443.1	159.9	915.51	497.0	1008.9	0.18	1.13	0.0	0.0	0.05	0.01	1.19	0.0	1.35	0.0	0.0	1.57	0.0	63.0	125.24	145.02	121.79	45.53	118.43	0.0
ADAT2	157.68	351.14	397.93	351.14	22.75	60.39	22.92	22.43	30.34	103.69	20.86	18.56	43.02	35.5	27.84	36.53	4.58	139.07	400.71	236.21	129.69	138.1	193.01	108.9
AGAP6	366.09	802.41	669.92	759.08	88.26	84.04	59.55	50.98	128.79	148.09	82.29	51.71	66.18	57.08	19.82	56.28	76.71	224.97	514.56	256.78	293.07	195.72	483.38	197.09
AIFM3	41.22	107.38	185.11	94.67	22.26	53.19	16.88	0.99	1.5	7.06	8.92	8.71	21.63	9.27	6.84	55.49	14.56	21.78	37.32	180.02	307.69	59.97	164.42	32.36
AKAP10	239.52	346.29	346.29	239.52	99.43	96.68	78.89	75.11	59.97	124.37	206.94	92.7	265.87	60.82	55.89	72.01	75.64	224.97	231.32	175.07	312.0	228.13	323.03	224.97
ANKRD13D	1498.22	4903.87	1359.57	1487.87	182.55	239.52	57.89	73.03	145.02	70.01	105.15	81.71	157.68	71.5	47.17	269.6	189.02	967.76	2032.85	1119.56	1096.5	995.0	1651.0	1001.93
ARPC4-TTLL3	363.56	291.04	339.14	363.56	48.87	82.87	70.51	42.71	64.8	41.22	11.91	52.08	73.03	36.79	45.53	35.25	25.91	144.01	356.05	199.85	212.78	348.71	253.23	97.36
ASB14	10.39	18.56	16.63	15.8	2.12	1.6	0.97	1.14	4.7	3.66	0.71	1.39	4.46	1.03	0.12	3.41	1.75	5.02	12.45	5.96	2.97	5.45	6.36	3.44
BGLAP	105.89	145.02	28.24	77.25	5.28	7.0	1.81	2.41	1.1	2.41	9.48	0.35	7.28	1.31	5.68	0.33	6.84	36.01	33.78	34.02	46.18	14.89	65.26	30.12
C11orf42	4.43	3.72	6.41	3.76	0.0	0.99	0.0	2.27	0.0	1.31	2.94	1.71	0.65	0.75	0.19	1.31	0.35	0.79	0.99	0.0	0.75	0.0	2.1	3.38
