	TCGA.BH.A0AZ.11A.22R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.YFC4.1426.SM.5IFJG	TCGA.ZH.A8Y5.01A.11R.A41I.07	TCGA.W5.AA2T.01A.12R.A41I.07	TCGA.WD.A7RX.01A.12R.A41I.07	TCGA.W5.AA33.01A.11R.A41I.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.ED.A8O5.01A.11R.A36F.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.DD.A1EJ.01A.11R.A155.07	TCGA.ED.A5KG.01A.11R.A27V.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.DD.A1EK.01A.11R.A213.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.LG.A6GG.01A.11R.A311.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.AAVZ.01A.11R.A41C.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13113.1326.SM.5GCOI	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH
AC005003.1	24.63	15.68	42.41	11.47	10.63	15.45	22.1	16.75	4.9	8.32	23.08	11.55	21.94	12.18	9.41	3.29	16.03	4.06	13.72	8.32	11.91	7.69	2.53	1.69	3.63	4.9	1.51	1.19	5.06	2.23	3.08	1.58	5.92	0.16	9.27	6.41	8.0	0.21	2.41
AC139100.2	144.01	112.77	220.32	63.89	59.55	82.29	72.01	426.57	44.89	195.72	275.28	181.28	29.7	101.54	155.5	79.45	117.6	60.82	38.12	69.03	111.21	279.14	10.0	28.45	9.41	13.72	13.22	202.66	11.82	21.16	7.75	12.64	41.81	14.67	18.97	13.42	14.56	28.45	40.07
ADNP	1119.56	1286.18	1407.55	896.64	638.15	579.04	1111.82	738.29	429.54	389.72	1225.22	406.31	718.08	848.22	633.73	346.29	444.72	353.59	802.41	536.45	323.03	486.75	163.28	239.52	181.28	361.04	157.68	241.19	185.11	166.73	132.44	202.66	206.94	231.32	223.41	232.94	229.72	116.78	244.57
AGT	48.18	11.3	37.59	80125.95	31870.96	46019.85	19082.0	55491.3	148488.36	90146.51	23986.58	89523.81	36106.23	45386.27	161367.56	72715.74	100023.92	101420.22	120609.84	80683.28	94628.34	84109.6	56657.31	55877.28	231394.29	241220.67	303217.87	150561.19	154794.07	108699.57	104271.56	109455.64	94628.34	114103.8	76861.91	116501.39	126606.21	76861.91	104271.56
ARID2	327.56	356.05	246.28	169.07	202.66	221.86	231.32	187.71	69.03	195.72	193.01	96.01	198.47	186.4	124.37	83.45	85.22	72.01	101.54	198.47	64.8	82.29	32.59	52.45	50.27	38.12	31.0	63.0	62.56	44.57	44.25	47.5	35.76	56.68	35.25	42.71	45.21	37.05	62.56
BBS5	224.97	409.15	229.72	147.06	148.09	91.41	130.6	122.64	25.54	46.18	65.26	63.45	49.56	76.17	58.71	26.67	60.39	21.01	59.97	59.97	6.11	38.12	29.91	35.5	17.51	139.07	36.79	54.33	8.32	34.75	20.26	80.57	28.65	45.21	38.4	35.25	77.25	6.21	32.36
BEND7	426.57	575.03	251.48	273.37	363.56	291.04	241.19	583.07	305.55	358.54	371.22	181.28	239.52	693.58	327.56	85.82	299.25	218.79	384.34	191.67	155.5	285.03	136.19	193.01	167.9	146.03	103.69	356.05	139.07	146.03	93.35	79.45	151.22	371.22	204.07	289.02	136.19	163.28	361.04
C15orf38	381.68	397.93	463.65	295.11	244.57	159.9	361.04	525.39	53.95	228.13	318.57	185.11	248.0	376.41	141.02	155.5	135.24	66.18	115.97	178.77	98.04	161.02	93.35	46.5	158.79	108.14	99.43	46.18	68.07	87.03	31.22	68.55	126.12	142.01	117.6	87.65	146.03	69.52	80.57
CCDC148	104.42	77.79	128.79	16.15	32.13	62.12	70.01	16.15	8.71	5.92	7.69	8.45	25.72	14.67	2.48	2.53	6.62	8.38	12.83	15.8	1.57	5.77	0.67	3.38	1.38	0.77	6.16	0.64	2.14	1.19	0.99	0.57	2.92	5.02	1.25	8.32	5.23	1.68	1.77
CHKB-CPT1B	281.09	190.34	555.41	447.82	438.59	260.38	228.13	199.85	61.25	197.09	115.97	130.6	312.0	169.07	57.08	19.39	111.99	22.75	10.88	368.65	89.51	82.87	13.62	7.57	3.03	95.34	29.48	54.72	37.32	133.36	7.11	53.19	19.11	44.25	63.0	17.25	40.36	4.78	75.11
