	TCGA.CA.5256.01A.01R.1410.07	TCGA.A6.2677.01A.01R.A278.07	TCGA.AA.3685.01A.02R.A32Z.07	TCGA.JY.A6FA.01A.11R.A336.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.VR.A8EP.01A.31R.A406.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.BA.4075.01A.01R.1436.07	TCGA.50.5045.01A.01R.1628.07	TCGA.35.4123.01A.01R.1107.07	TCGA.38.4625.01A.01R.1206.07	TCGA.50.5055.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.50.5049.01A.01R.1628.07	TCGA.49.4506.01A.01R.1206.07	TCGA.38.4632.01A.01R.1755.07	TCGA.50.5068.01A.01R.1628.07	TCGA.DC.5337.01A.01R.1660.07	TCGA.DC.5869.01A.01R.1660.07	TCGA.DC.4745.01A.01R.A32Z.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.111FC.2926.SM.5GZY7	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.1117F.3026.SM.5GZYU	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ANKRD35	4.7	5.87	16.27	95.34	403.5	802.41	271.48	429.54	693.58	218.79	651.58	493.56	802.41	470.14	400.71	860.08	1.97	48.52	18.97	0.0	64.34	0.38	45.21	38.12	14.03	18.16	6.94	11.04	15.34	2485.67	281.09	23986.58	68.55	1540.37	341.51	5555.65	1697.45	5672.41
AP1B1	470.14	500.46	529.06	1088.92	1175.27	2303.12	1639.59	1467.37	1397.83	934.76	1295.13	1322.37	2664.15	1757.34	1073.91	2573.36	457.25	1135.2	748.61	0.0	1313.23	0.54	1359.57	551.56	808.0	409.15	616.37	536.45	521.76	2816.11	1605.83	4268.94	1733.13	2537.92	1781.89	3690.52	3212.66	3018.3
ARHGEF5	150.17	62.56	447.82	242.88	361.04	1313.23	532.74	1551.09	1088.92	1268.46	423.61	486.75	813.63	830.75	713.11	620.67	211.31	131.51	237.86	0.0	162.14	0.41	318.57	202.66	197.09	126.12	111.21	204.07	414.87	638.15	854.13	1340.84	819.3	1066.48	616.37	1242.34	860.08	1508.65
BICD2	176.29	366.09	76.71	1617.0	1208.34	1709.26	780.44	1259.69	1923.14	1183.45	1844.76	1487.87	1870.53	1250.98	967.76	1295.13	182.55	187.71	120.1	0.0	206.94	0.84	237.86	138.1	150.17	134.3	117.6	150.17	253.23	1844.76	713.11	3372.43	3874.05	1551.09	988.12	2835.7	2645.74	3690.52
BLMH	540.19	507.46	403.5	1250.98	607.87	813.63	629.35	947.83	612.11	417.77	583.07	595.34	802.41	660.68	497.0	785.88	182.55	460.44	262.2	0.0	540.19	0.95	397.93	143.01	253.23	267.73	567.1	521.76	414.87	1208.34	759.08	3372.43	1498.22	1175.27	995.0	1159.07	842.36	2682.69
BOC	71.0	52.82	77.25	125.24	165.57	808.0	351.14	1233.75	463.65	157.68	884.29	961.07	743.43	241.19	281.09	1081.39	63.45	111.99	81.14	0.0	212.78	0.48	194.36	67.12	84.63	74.58	28.86	108.14	74.06	234.57	414.87	1183.45	107.38	688.78	1175.27	759.08	244.57	444.72
C17orf103	22.1	10.88	47.17	148.09	77.79	146.03	111.21	81.71	96.68	23.08	78.34	92.05	183.82	109.66	67.59	133.36	26.47	75.11	27.05	0.0	100.13	0.3	78.34	19.82	20.71	40.93	42.41	52.08	57.08	97.36	75.11	41.52	83.45	137.14	152.28	126.12	142.01	119.26
C22orf23	8.32	24.99	9.34	46.84	34.51	61.25	30.12	35.0	66.65	14.45	78.89	96.01	62.56	52.82	29.06	130.6	55.89	31.67	15.11	0.0	66.65	0.2	31.0	18.56	32.59	29.06	8.19	19.97	11.55	70.51	113.56	162.14	58.3	137.14	189.02	156.59	94.67	156.59
CELSR2	47.17	27.84	38.95	514.56	884.29	1167.14	591.22	1023.0	1322.37	368.65	1447.15	1561.89	1216.75	981.29	511.0	1457.23	46.84	32.13	47.5	0.0	41.52	0.57	44.25	21.47	56.28	19.82	87.03	88.26	38.95	941.27	591.22	3665.02	3146.52	1225.22	878.17	1936.53	1417.35	1340.84
COBLL1	145.02	92.05	145.02	376.41	429.54	551.56	273.37	764.36	529.06	212.78	579.04	423.61	642.59	450.94	389.72	748.61	178.77	102.97	84.04	0.0	182.55	0.46	172.65	35.76	172.65	167.9	120.94	187.71	171.45	921.88	660.68	1583.71	738.29	878.17	669.92	2609.3	1286.18	878.17
CRNN	0.0	0.0	0.0	469249.9	509950.32	2171106.91	343510.77	381149.17	581732.96	307450.64	1221310.69	767601.56	2805836.45	951601.81	348306.01	4107985.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3336720.86	431797.89	4851500.88	894051.48	834179.46	309589.14	6183532.28	4558095.38	5534416.31
DGCR2	532.74	866.07	529.06	981.29	808.0	1286.18	1159.07	915.51	1030.12	842.36	1135.2	1225.22	1135.2	1167.14	1030.12	1295.13	579.04	536.45	620.67	0.0	878.17	0.62	974.5	397.93	587.13	447.82	575.03	674.59	616.37	884.29	1015.93	2061.24	603.67	1304.15	1023.0	2133.97	1883.54	995.0
DIP2B	76.71	220.32	89.51	332.14	392.44	470.14	291.04	884.29	759.08	808.0	748.61	444.72	693.58	417.77	351.14	775.05	76.71	117.6	109.66	0.0	133.36	0.71	137.14	151.22	94.01	55.49	85.22	122.64	94.67	769.69	273.37	1225.22	825.0	698.41	279.14	1096.5	595.34	921.88
DLG1	490.14	624.99	406.31	1819.35	1066.48	1651.0	1059.11	753.83	1331.57	769.69	1819.35	1594.73	2502.97	1233.75	1183.45	1674.06	728.11	289.02	293.07	0.0	318.57	0.91	624.99	295.11	260.38	281.09	353.59	571.05	595.34	1350.18	1159.07	4095.0	1233.75	1963.57	708.18	1757.34	1923.14	1143.1
DUOX1	10.0	28.86	18.56	616.37	3124.78	6652.97	860.08	2537.92	6164.49	902.89	2758.13	3124.78	8363.13	5751.61	2417.67	5831.91	110.43	119.26	19.97	0.0	146.03	0.27	40.64	25.91	92.05	27.64	27.44	17.13	23.08	4419.52	1295.13	16611.71	6294.04	6935.54	2796.65	10512.82	7485.11	8305.36
EML2	363.56	480.04	551.56	1023.0	1685.71	2367.9	909.17	1096.5	1151.06	1295.13	2502.97	934.76	2367.9	1883.54	988.12	2915.45	733.19	409.15	563.18	0.0	616.37	0.87	547.75	1151.06	521.76	384.34	301.33	241.19	305.55	660.68	860.08	2163.77	2178.83	2133.97	1870.53	2004.85	1331.57	1295.13
EPN2	139.07	231.32	183.82	1199.98	836.53	1397.83	813.63	848.22	1143.1	836.53	1111.82	1015.93	1540.37	1111.82	813.63	1685.71	447.82	293.07	339.14	0.0	264.03	0.56	441.64	275.28	244.57	226.54	255.0	373.81	262.2	1001.93	447.82	2047.0	1457.23	1059.11	638.15	1437.15	921.88	1081.39
FAM110C	4.28	108.14	72.01	1277.29	698.41	551.56	134.3	301.33	457.25	698.41	909.17	808.0	941.27	348.71	571.05	669.92	262.2	42.71	7.0	0.0	80.01	0.57	65.72	171.45	13.72	15.22	11.3	1.0	201.25	915.51	279.14	1331.57	8901.53	928.3	387.02	2468.49	1467.37	2796.65
FAM219B	332.14	567.1	435.55	1059.11	1143.1	1359.57	909.17	1447.15	909.17	624.99	1216.75	1143.1	1697.45	1073.91	988.12	2032.85	466.88	497.0	575.03	0.0	447.82	0.84	400.71	830.75	497.0	775.05	366.09	343.89	323.03	647.07	842.36	995.0	483.38	860.08	679.29	785.88	802.41	728.11
