	TCGA.LD.A7W5.01A.22R.A352.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.A2.A4RY.01A.31R.A266.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.11OF3.2326.SM.5GU73	GTEX.S4P3.0426.SM.4AD56	GTEX.PSDG.1326.SM.48TD2	GTEX.S7SF.0926.SM.4AD4M	GTEX.T2IS.0826.SM.4DM6L	GTEX.PLZ5.0926.SM.3TW8L	GTEX.11DXX.1126.SM.5GZZK	TCGA.CV.7183.11A.01R.2016.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.HC.7079.01A.11R.1965.07	GTEX.UTHO.2726.SM.4JBH9	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.13NZ9.1126.SM.5MR37	GTEX.13VXT.1626.SM.5IJES
ABHD16A	1936.53	1605.83	1457.23	532.74	1331.57	1119.56	1030.12	1250.98	2104.58	1001.93	1709.26	961.07	1519.15	1119.56	848.22	703.28	1709.26	1477.58	1529.73	579.04	1233.75	1216.75	967.76	954.43	808.0	802.41	2224.63	2351.53
ACP6	397.93	470.14	486.75	144.01	301.33	309.83	170.25	246.28	447.82	106.63	579.04	273.37	532.74	262.2	120.94	279.14	490.14	497.0	607.87	97.36	75.64	54.33	180.02	109.66	88.88	202.66	320.8	423.61
ACTR1B	1832.01	1519.15	1487.87	624.99	1167.14	866.07	733.19	1073.91	2224.63	669.92	1561.89	1322.37	1331.57	1151.06	791.35	1151.06	1551.09	1340.84	1561.89	769.69	595.34	679.29	915.51	633.73	753.83	423.61	1844.76	1896.65
ANKS3	656.11	954.43	656.11	183.82	334.46	323.03	228.13	293.07	1143.1	204.07	444.72	318.57	518.15	353.59	228.13	55.1	674.59	384.34	660.68	40.36	77.79	115.97	83.45	111.21	54.33	50.63	775.05	743.43
ARFGAP1	3060.45	1628.26	1977.24	373.81	1015.93	967.76	813.63	796.86	2224.63	764.36	1208.34	934.76	1286.18	941.27	878.17	281.09	1674.06	1709.26	1259.69	246.28	366.09	470.14	444.72	336.79	392.44	279.14	1651.0	2367.9
ARRDC2	693.58	796.86	934.76	150.17	579.04	316.37	244.57	358.54	587.13	381.68	638.15	293.07	624.99	483.38	267.73	145.02	2701.35	941.27	1051.79	221.86	231.32	291.04	480.04	159.9	253.23	202.66	693.58	559.28
ATHL1	928.3	1225.22	7130.55	83.45	995.0	1037.29	457.25	384.34	1143.1	193.01	1883.54	684.02	693.58	713.11	223.41	28.04	3372.43	1397.83	1295.13	8.71	31.45	204.07	112.77	47.5	23.08	30.12	2163.77	1304.15
ATXN2L	3103.19	2935.74	2400.97	1477.58	2417.67	2796.65	2224.63	2148.82	3540.14	2209.26	2997.45	2075.59	3018.3	2468.49	1936.53	599.49	2240.11	2434.5	2061.24	595.34	1286.18	1519.15	1806.78	1151.06	1008.9	1127.35	2520.38	2148.82
B3GAT3	1073.91	1417.35	1457.23	406.31	490.14	603.67	473.41	435.55	1008.9	232.94	529.06	409.15	647.07	563.18	332.14	226.54	1359.57	1096.5	1233.75	281.09	182.55	264.03	381.68	228.13	223.41	193.01	1175.27	1233.75
BRAT1	1250.98	1467.37	954.43	514.56	607.87	607.87	381.68	473.41	1268.46	264.03	743.43	571.05	733.19	587.13	376.41	181.28	1119.56	878.17	1096.5	198.47	234.57	314.17	309.83	264.03	267.73	231.32	928.3	1674.06
BZRAP1	3982.99	1088.92	1051.79	74.58	215.77	191.67	128.79	197.09	2090.03	135.24	420.68	299.25	642.59	387.02	100.13	29.27	1519.15	854.13	928.3	2.39	25.72	58.3	87.65	31.45	30.56	18.16	1268.46	3443.31
C16orf58	1639.59	2915.45	1909.85	503.95	1066.48	878.17	860.08	915.51	2004.85	896.64	1359.57	1369.04	1685.71	1111.82	693.58	703.28	2032.85	1819.35	2018.8	532.74	620.67	547.75	813.63	532.74	638.15	423.61	2520.38	2875.3
C19orf44	220.32	312.0	193.01	43.02	86.43	52.08	52.08	85.82	212.78	55.49	105.15	63.45	102.25	97.36	67.12	19.82	224.97	129.69	170.25	27.84	23.76	45.85	45.21	34.26	50.27	18.7	176.29	470.14
C19orf60	1477.58	1477.58	1135.2	555.41	1008.9	902.89	728.11	995.0	1857.6	728.11	1051.79	974.5	1651.0	1015.93	595.34	521.76	1508.65	1340.84	1697.45	674.59	460.44	693.58	587.13	503.95	595.34	607.87	1617.0	2047.0
C20orf96	813.63	698.41	529.06	62.56	114.36	206.94	111.21	94.67	525.39	36.01	115.97	124.37	242.88	139.07	44.57	35.25	269.6	197.09	341.51	12.83	31.22	42.41	67.12	40.93	34.75	9.13	633.73	981.29
C22orf26	9.2	5.77	11.3	2.51	8.65	8.25	7.17	4.43	13.32	3.89	10.39	5.28	7.11	8.71	2.41	2.25	10.63	12.36	8.38	2.73	1.04	3.5	2.46	2.14	5.73	2.1	9.06	11.73
C9orf37	249.73	366.09	297.17	110.43	204.07	166.73	151.22	167.9	819.3	110.43	262.2	202.66	332.14	180.02	139.07	80.01	507.46	327.56	450.94	78.34	48.18	125.24	141.02	77.25	90.77	40.93	595.34	624.99
CBFA2T3	575.03	180.02	194.36	8.85	80.57	87.65	82.87	121.79	612.11	36.53	113.56	83.45	71.5	70.51	31.45	27.84	339.14	346.29	307.69	5.59	13.03	44.89	23.76	16.88	30.56	16.88	289.02	98.04
CRTC2	1277.29	1745.2	1340.84	748.61	1127.35	1208.34	860.08	808.0	1709.26	674.59	1015.93	759.08	928.3	819.3	642.59	379.04	1191.69	1191.69	1151.06	241.19	429.54	476.71	638.15	547.75	420.68	490.14	1561.89	1437.15
CTBP1	3564.78	4512.4	3018.3	884.29	2935.74	2335.28	2047.0	2502.97	4419.52	1639.59	2855.44	2319.15	2956.17	2855.44	2193.99	1037.29	3690.52	2855.44	4210.15	1427.22	2319.15	1388.16	2645.74	1628.26	2104.58	1322.37	3639.7	5594.3
CTD-2368P22.1	124.37	122.64	162.14	21.47	52.08	38.95	50.98	57.89	178.77	31.45	52.08	115.97	102.25	101.54	35.25	5.96	150.17	100.13	124.37	0.16	4.39	3.38	23.59	54.72	4.28	5.73	183.82	108.14
CUL9	1487.87	1127.35	961.07	802.41	791.35	738.29	921.88	808.0	1733.13	476.71	1685.71	921.88	1369.04	1111.82	432.53	186.4	1051.79	1096.5	974.5	100.83	981.29	231.32	555.41	587.13	466.88	395.18	1286.18	1183.45
DMAP1	1167.14	1167.14	1135.2	366.09	591.22	555.41	547.75	579.04	1175.27	403.5	988.12	733.19	884.29	884.29	493.56	346.29	1378.57	1030.12	1081.39	249.73	392.44	291.04	514.56	406.31	463.65	341.51	1304.15	1242.34
DPF2	1159.07	1127.35	954.43	417.77	974.5	1295.13	896.64	884.29	1340.84	500.46	703.28	693.58	769.69	764.36	642.59	406.31	1304.15	1030.12	1111.82	275.28	285.03	423.61	718.08	571.05	583.07	379.04	1037.29	2485.67
ENDOV	395.18	718.08	567.1	140.04	287.01	332.14	279.14	346.29	624.99	241.19	387.02	316.37	521.76	358.54	206.94	297.17	575.03	414.87	599.49	163.28	211.31	68.55	256.78	186.4	157.68	122.64	567.1	780.44
FIZ1	316.37	368.65	356.05	111.99	241.19	244.57	158.79	221.86	403.5	194.36	287.01	215.77	307.69	289.02	178.77	65.26	316.37	236.21	269.6	111.21	109.66	94.01	214.27	153.34	204.07	134.3	435.55	536.45
GGA2	842.36	1340.84	1322.37	473.41	791.35	759.08	514.56	780.44	1397.83	447.82	1498.22	1051.79	1457.23	1295.13	642.59	409.15	1857.6	2075.59	2133.97	201.25	316.37	441.64	514.56	363.56	435.55	129.69	3419.52	1427.22
GHDC	400.71	1015.93	759.08	159.9	293.07	180.02	117.6	158.79	947.83	144.01	346.29	316.37	341.51	309.83	208.38	135.24	785.88	728.11	1594.73	185.11	99.43	156.59	273.37	140.04	232.94	110.43	2451.44	1111.82
GIGYF1	738.29	1508.65	1030.12	209.84	500.46	547.75	444.72	441.64	836.53	211.31	669.92	540.19	642.59	638.15	226.54	68.55	981.29	718.08	647.07	43.02	133.36	68.55	185.11	126.12	124.37	86.43	866.07	1088.92
GNPTG	2367.9	3325.99	2148.82	791.35	1044.52	1081.39	759.08	1225.22	2573.36	733.19	1304.15	1051.79	1447.15	1208.34	819.3	890.44	2018.8	1697.45	2104.58	759.08	559.28	674.59	1066.48	679.29	896.64	633.73	2148.82	2796.65
GRIPAP1	743.43	819.3	866.07	450.94	738.29	693.58	665.29	708.18	1008.9	480.04	902.89	785.88	733.19	764.36	507.46	190.34	1066.48	884.29	934.76	127.89	507.46	583.07	493.56	473.41	316.37	275.28	1044.52	1286.18
