	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.BC.A112.01A.11R.A131.07	TCGA.BC.A8YO.01A.11R.A37K.07	TCGA.UB.A7MD.01A.12R.A352.07	GTEX.13N11.0926.SM.5IJG2	TCGA.38.4625.01A.01R.1206.07	TCGA.49.AARR.01A.11R.A41B.07	TCGA.97.8552.01A.11R.2403.07	TCGA.NJ.A55A.01A.11R.A262.07	TCGA.91.6835.11A.01R.1858.07	TCGA.55.6986.11A.01R.1949.07	TCGA.50.6595.11A.01R.1858.07	GTEX.P44H.1126.SM.48TBU	GTEX.145MH.0626.SM.5NQAK	GTEX.12696.1026.SM.5FQUV	GTEX.PWOO.0726.SM.2I3EB	GTEX.UPK5.1126.SM.3GAEJ	GTEX.13QBU.1626.SM.5LU4S
ABCD2	15.8	28.45	7.4	0.71	3.99	1.01	1.16	0.0	18.03	13.03	27.84	31.0	24.28	11.82	4.1	27.64	17.13	5.15	11.47	25.72
ACSBG1	25.17	33.78	1.31	0.99	1.91	10.79	3.92	0.0	260.38	101.54	198.47	218.79	190.34	24.81	25.54	218.79	50.63	26.1	105.15	9.78
AK7	866.07	3690.52	39.5	52.08	50.98	23.08	14.03	0.0	872.1	287.01	603.67	599.49	583.07	103.69	104.42	1151.06	180.02	177.53	463.65	26.86
ALS2CR12	89.51	61.25	1.71	5.28	15.11	9.78	3.53	0.0	379.04	195.72	309.83	201.25	182.55	37.85	21.01	651.58	50.98	8.92	88.26	2.2
ANKK1	143.01	127.0	7.28	0.77	0.75	2.14	1.11	0.0	154.42	58.3	137.14	54.72	78.34	7.51	13.42	262.2	19.25	31.22	77.79	12.0
ANKRD66	6037.61	107203.06	0.0	0.0	0.0	0.0	0.0	0.0	785.88	353.59	808.0	567.1	679.29	81.71	104.42	1159.07	279.14	76.17	476.71	0.0
ANKUB1	224.97	3081.75	2.53	0.42	0.0	3.89	0.0	0.0	403.5	131.51	339.14	141.02	275.28	22.1	101.54	450.94	75.64	25.72	80.57	9.48
APOBEC4	1977.24	660.68	0.0	0.0	0.0	0.0	0.0	0.0	409.15	120.1	457.25	269.6	346.29	29.06	22.26	808.0	61.25	14.78	204.07	0.0
ARHGAP39	299.25	511.0	39.22	28.45	36.79	20.41	8.13	0.0	543.96	307.69	420.68	291.04	341.51	50.98	102.97	555.41	89.51	71.5	115.97	65.26
ARMC3	49666.0	220434.95	9.13	0.0	6.73	0.0	0.97	0.0	1111.82	599.49	1191.69	902.89	860.08	76.17	191.67	1583.71	212.78	119.26	684.02	74.58
ARMC4	1135.2	4239.45	11.64	13.52	2.66	0.36	13.12	0.0	785.88	255.0	915.51	624.99	624.99	79.45	108.9	1378.57	206.94	83.45	450.94	150.17
ASB14	7.06	12.0	5.5	5.63	6.73	1.2	1.83	0.0	46.84	21.94	45.21	24.46	31.22	11.13	16.63	68.55	12.36	2.34	13.03	6.21
C10orf107	567.1	1540.37	16.15	7.69	0.0	2.07	5.82	0.0	583.07	234.57	543.96	587.13	444.72	100.13	90.14	1909.85	334.46	32.36	255.0	1015.93
C10orf95	339.14	791.35	5.5	2.94	6.31	5.59	1.99	0.0	493.56	293.07	376.41	514.56	525.39	77.25	103.69	1242.34	140.04	85.22	111.99	21.94
C11orf16	5112.16	29531.18	0.0	12.83	0.73	0.39	0.0	0.0	1437.15	660.68	967.76	759.08	669.92	64.34	165.57	1407.55	260.38	135.24	397.93	0.0
C15orf26	301.33	981.29	3.32	0.0	17.13	2.63	0.0	0.0	353.59	150.17	269.6	343.89	305.55	45.21	46.5	381.68	41.22	38.4	153.34	0.0
C16orf46	41.81	153.34	25.54	22.1	12.64	52.08	23.25	0.0	191.67	97.36	118.43	124.37	113.56	23.25	24.81	163.28	42.11	37.05	75.11	12.93
C16orf71	373.81	1977.24	16.51	13.03	43.32	9.48	5.82	0.0	872.1	346.29	785.88	733.19	521.76	47.17	60.39	638.15	167.9	80.01	215.77	40.64
C17orf72	7130.55	36610.26	52.45	500.46	18.16	26.47	15.11	0.0	1991.0	954.43	1477.58	1008.9	1059.11	205.5	351.14	4937.99	476.71	262.2	669.92	23.42
C1orf173	1259.69	6607.01	0.43	9.2	3.63	3.69	4.24	0.0	1104.13	371.22	1023.0	633.73	854.13	73.03	167.9	1233.75	264.03	71.0	299.25	7.51
C1orf192	53601.03	506427.83	33.78	76.17	80.57	26.47	28.04	0.0	3168.41	1572.76	3257.52	3443.31	2520.38	260.38	381.68	4066.71	878.17	473.41	2032.85	29.06
C1orf222	2400.97	6935.54	3.38	7.69	12.74	13.52	7.69	0.0	1651.0	603.67	995.0	947.83	775.05	96.68	115.97	1437.15	251.48	208.38	432.53	3.5
C1orf87	1883.54	5594.3	0.0	0.0	0.0	1.08	3.99	0.0	860.08	423.61	902.89	854.13	688.78	90.77	171.45	1709.26	197.09	193.01	620.67	0.0
C20orf26	98.04	1096.5	9.06	0.49	3.66	22.75	0.0	0.0	466.88	190.34	426.57	368.65	379.04	35.25	58.71	525.39	102.25	72.01	299.25	75.11
C20orf96	802.41	1167.14	167.9	169.07	120.1	48.87	113.56	129.69	1639.59	1015.93	1167.14	1159.07	1208.34	258.57	470.14	2224.63	507.46	341.51	656.11	267.73
C21orf58	206.94	1322.37	20.86	32.13	201.25	40.64	65.72	66.18	1745.2	684.02	1104.13	921.88	723.08	108.9	164.42	921.88	199.85	236.21	205.5	82.87
C22orf15	309.83	780.44	2.97	0.0	0.0	7.46	8.92	0.0	1605.83	791.35	1583.71	669.92	713.11	31.9	158.79	1857.6	271.48	237.86	599.49	37.05
C22orf23	66.65	118.43	48.18	27.84	23.42	19.68	25.17	0.0	368.65	206.94	299.25	417.77	320.8	104.42	66.65	1096.5	183.82	81.71	228.13	264.03
C2orf81	575.03	1909.85	99.43	13.83	19.68	7.69	44.25	0.0	1295.13	500.46	836.53	785.88	728.11	103.69	125.24	1183.45	265.87	212.78	314.17	273.37
C4orf47	909.17	1628.26	9.48	30.34	33.06	18.56	2.41	0.0	967.76	525.39	1242.34	759.08	738.29	90.14	91.41	848.22	126.12	85.82	358.54	43.94
C5orf49	19618.49	139508.13	73.54	12.18	24.99	0.0	0.0	0.0	2047.0	1111.82	2004.85	2178.83	1870.53	175.07	395.18	7331.05	753.83	332.14	1487.87	2720.15
C6ORF165	1870.53	5219.6	17.77	19.68	0.0	2.78	4.28	0.0	743.43	339.14	723.08	470.14	633.73	57.89	86.43	836.53	118.43	87.03	493.56	30.34
C6orf118	12502.12	138544.47	0.0	0.0	0.0	0.0	0.0	0.0	1437.15	493.56	1407.55	878.17	842.36	108.9	102.25	1594.73	224.97	135.24	607.87	28.04
C7orf63	395.18	271.48	26.47	13.93	26.47	38.4	23.59	0.0	543.96	312.0	612.11	441.64	392.44	79.45	143.01	253.23	71.0	90.77	129.69	141.02
C9orf116	6935.54	33455.53	152.28	170.25	84.04	67.12	150.17	0.0	3820.7	1674.06	3639.7	3257.52	2796.65	242.88	454.09	4181.07	769.69	444.72	1167.14	358.54
C9orf171	20170.07	336441.4	1.66	0.0	0.0	0.0	0.0	0.0	1322.37	358.54	669.92	1104.13	878.17	75.64	70.51	1175.27	191.67	125.24	432.53	16.39
C9orf24	85283.74	687022.54	151.22	60.82	42.11	63.45	71.0	0.0	6037.61	3820.7	6745.86	6471.02	5672.41	486.75	1104.13	16045.82	2591.27	1487.87	2701.35	94.01
C9orf9	470.14	764.36	125.24	120.94	96.68	112.77	144.01	0.0	2075.59	684.02	1350.18	1295.13	902.89	175.07	295.11	1794.29	339.14	316.37	780.44	543.96
CAPSL	119776.72	677564.08	0.83	1.71	1.33	0.0	3.38	0.0	2895.31	1088.92	3564.78	2104.58	2032.85	136.19	480.04	4671.57	529.06	271.48	2061.24	0.0
CCDC108	6337.83	38697.77	0.87	3.99	2.73	5.82	3.23	0.0	1697.45	642.59	1081.39	988.12	830.75	98.04	137.14	1369.04	220.32	135.24	470.14	10.79
CCDC11	669.92	5076.84	13.42	39.5	10.39	14.24	5.68	0.0	961.07	454.09	1457.23	934.76	1104.13	83.45	57.89	1119.56	185.11	125.24	406.31	22.1
CCDC113	579.04	2816.11	31.45	40.36	12.09	68.55	107.38	0.0	1277.29	403.5	884.29	802.41	819.3	77.79	106.63	769.69	136.19	120.94	381.68	171.45
CCDC114	6516.03	20030.74	2.16	15.0	3.89	3.53	0.39	0.0	2287.2	1322.37	1936.53	1769.57	1073.91	108.14	224.97	1259.69	289.02	223.41	575.03	57.08
CCDC135	2520.38	15392.14	11.21	10.63	8.32	21.16	2.94	0.0	1066.48	323.03	743.43	579.04	503.95	53.95	74.58	988.12	185.11	107.38	275.28	0.0
CCDC147	47.17	339.14	3.79	1.79	0.89	0.48	0.87	0.0	356.05	108.9	293.07	279.14	262.2	32.59	51.71	470.14	82.87	32.36	101.54	27.64
CCDC153	575.03	1806.78	28.04	73.03	10.96	8.65	17.9	0.0	1037.29	559.28	866.07	961.07	660.68	100.13	244.57	2193.99	287.01	271.48	289.02	163.28
CCDC157	417.77	1066.48	46.18	43.63	21.78	23.42	21.47	0.0	633.73	423.61	563.18	392.44	339.14	70.51	120.94	656.11	166.73	103.69	172.65	27.25
CCDC170	591.22	3847.29	19.39	26.86	22.92	170.25	27.84	0.0	802.41	283.05	651.58	599.49	647.07	84.63	104.42	1870.53	212.78	56.68	237.86	40.07
CCDC173	521.76	3395.89	0.43	2.23	4.46	3.76	4.24	0.0	356.05	120.94	353.59	473.41	480.04	46.84	54.72	1111.82	108.14	56.68	197.09	1.89
CCDC180	205.5	511.0	21.47	23.93	112.77	20.86	21.78	0.0	1030.12	400.71	669.92	679.29	500.46	98.73	307.69	1417.35	251.48	161.02	384.34	182.55
CCDC19	4038.61	45386.27	10.08	5.92	12.64	11.91	6.94	0.0	2319.15	872.1	2271.4	2303.12	1583.71	165.57	412.0	1950.0	384.34	237.86	633.73	147.06
CCDC30	236.21	878.17	29.7	21.32	22.43	15.22	9.93	0.0	379.04	301.33	417.77	363.56	327.56	94.67	152.28	738.29	128.79	64.34	186.4	61.25
CCDC33	3794.3	12502.12	0.0	0.0	0.0	2.01	1.36	0.0	1199.98	441.64	941.27	429.54	638.15	28.65	85.22	921.88	78.89	54.33	236.21	15.0
CCDC37	2664.15	13681.08	0.0	2.05	1.97	2.01	2.12	0.0	3928.15	1096.5	1963.57	1340.84	1081.39	47.5	137.14	1208.34	202.66	220.32	406.31	92.05
