	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A22L.01A.11R.A180.07	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.ET.A25O.01A.11R.A16R.07	TCGA.ET.A3DS.01A.11R.A19O.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.FY.A3W9.01A.11R.A22L.07	TCGA.ET.A39I.01A.11R.A19O.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.FY.A3WA.01A.11R.A22L.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.EM.A2CJ.01A.11R.A180.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.1313W.0726.SM.5EGK1	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.145MG.0826.SM.5Q5C2	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
ABCA9	0.0	0.28	10.0	12.93	11.47	3.82	9.93	4.13	5.68	5.19	23.59	3.99	21.94	4.66	10.0	0.0	123.5	132.44	149.12	48.18	52.82	159.9	0.74	131.51	26.67	134.3	37.59	223.41	228.13	182.55	58.3	218.79	115.97	109.66	100.83	183.82	49.21	65.72	62.12	35.25	26.28	78.34	14.03	8.99	38.95	96.01	45.21	94.01	94.67
ADAM23	0.0	0.53	1.08	6.46	1.51	1.04	4.58	0.0	1.03	3.2	3.29	2.41	3.82	1.53	1.55	3.79	34.26	35.25	18.29	5.96	14.24	15.68	0.26	10.47	12.0	50.27	31.0	31.22	14.24	18.84	25.35	19.97	9.56	16.03	40.07	40.36	6.31	42.71	4.9	1.77	4.17	27.25	1.01	13.12	8.06	8.32	37.05	5.41	11.55
ANKRD29	0.0	0.44	24.46	13.72	1.97	10.08	21.94	4.31	9.13	14.45	16.75	8.65	47.5	4.13	12.83	5.19	83.45	76.71	71.5	28.45	28.45	58.3	13.62	103.69	35.25	136.19	45.53	120.94	88.88	107.38	63.0	153.34	62.56	53.57	80.57	85.22	29.7	144.01	20.71	19.53	27.64	17.9	5.87	18.29	25.54	60.39	31.45	42.41	47.84
ANKRD35	0.0	0.38	4.9	2.39	4.24	2.2	2.84	5.02	1.2	3.72	6.73	2.29	10.79	1.77	6.41	3.06	28.24	21.16	40.93	23.59	20.71	25.72	0.32	22.75	24.81	35.76	23.42	32.13	38.12	29.48	6.78	29.7	28.86	17.64	49.56	34.75	45.53	23.25	24.28	15.91	21.63	9.56	4.5	12.83	8.65	32.82	29.7	6.06	31.22
ASCC2	1350.18	947.83	738.29	1175.27	884.29	769.69	563.18	764.36	813.63	1407.55	830.75	713.11	1023.0	796.86	679.29	698.41	1457.23	872.1	1427.22	1277.29	1143.1	961.07	665.29	1388.16	1519.15	1359.57	1457.23	1447.15	1340.84	1159.07	1477.58	1519.15	1477.58	1233.75	1073.91	1457.23	1037.29	1191.69	1295.13	1295.13	1447.15	1030.12	902.89	1135.2	1359.57	1304.15	1233.75	1304.15	1721.16
ATP6V1E2	0.0	0.29	100.13	198.47	94.67	76.71	82.87	149.12	76.71	167.9	130.6	68.07	113.56	82.29	112.77	131.51	165.57	145.02	116.78	113.56	100.83	148.09	84.63	181.28	117.6	212.78	211.31	182.55	147.06	209.84	104.42	166.73	189.02	181.28	234.57	154.42	139.07	156.59	126.12	85.82	111.99	114.36	112.77	66.18	111.99	173.85	102.97	120.94	185.11
BCHE	0.0	0.19	11.3	19.39	45.21	7.82	2.03	11.47	4.24	29.7	33.06	12.64	9.56	20.11	24.28	1.48	40.64	25.91	26.47	11.04	12.45	38.95	2.2	84.04	20.71	69.52	23.59	8.19	115.97	246.28	10.96	141.02	36.01	36.27	115.97	130.6	57.08	133.36	15.68	3.35	53.95	4.78	12.83	18.84	5.28	82.29	4.82	17.9	72.01
BRINP3	0.0	0.13	3.08	7.94	0.0	2.86	8.0	1.81	0.0	17.77	11.82	0.0	7.34	1.3	1.33	0.0	63.89	59.55	61.68	22.75	22.92	73.54	1.1	36.27	35.76	159.9	35.5	84.04	87.65	90.77	14.89	129.69	36.53	58.3	193.01	84.63	83.45	92.7	19.25	4.9	9.41	26.1	13.32	8.58	8.38	24.63	41.22	35.0	48.18
C15orf38	0.0	0.33	226.54	346.29	244.57	476.71	255.0	231.32	358.54	314.17	358.54	183.82	289.02	309.83	285.03	194.36	318.57	450.94	414.87	312.0	283.05	323.03	190.34	295.11	309.83	325.29	447.82	363.56	303.44	325.29	327.56	412.0	403.5	297.17	547.75	371.22	353.59	320.8	414.87	198.47	277.2	295.11	224.97	182.55	256.78	371.22	241.19	299.25	339.14
C19orf60	0.0	0.73	759.08	507.46	860.08	785.88	684.02	1242.34	1175.27	559.28	848.22	332.14	713.11	642.59	486.75	934.76	2004.85	890.44	1313.23	796.86	1151.06	1407.55	406.31	1769.57	1023.0	1508.65	1073.91	1674.06	1628.26	1551.09	1359.57	1561.89	988.12	718.08	967.76	1059.11	1199.98	1806.78	796.86	1268.46	1199.98	583.07	642.59	1304.15	708.18	1519.15	780.44	830.75	1350.18
C1QTNF7	0.0	0.0	6.62	7.94	0.38	4.35	4.7	5.63	2.68	13.72	19.53	1.81	29.06	5.02	2.61	1.62	239.52	206.94	343.89	55.49	39.5	120.94	8.13	212.78	15.56	356.05	78.34	343.89	198.47	249.73	72.52	287.01	125.24	87.03	327.56	314.17	41.81	226.54	50.27	14.35	20.56	36.01	10.39	22.1	48.87	98.04	11.13	40.07	183.82
C22orf46	0.0	0.17	140.04	189.02	106.63	88.88	88.26	127.0	143.01	190.34	142.01	75.64	176.29	87.03	154.42	59.13	366.09	348.71	316.37	220.32	229.72	301.33	130.6	303.44	180.02	406.31	343.89	412.0	395.18	387.02	180.02	363.56	309.83	403.5	309.83	323.03	189.02	368.65	229.72	158.79	265.87	181.28	208.38	152.28	209.84	209.84	283.05	232.94	279.14
C6	0.0	0.0	1.04	1.57	17.38	0.0	7.06	0.0	0.0	5.06	1.51	0.0	4.9	0.0	3.47	0.0	36.53	31.22	3.82	13.83	64.34	68.55	1.55	51.71	37.59	18.03	92.05	83.45	89.51	75.64	56.68	38.4	23.93	94.67	38.12	65.72	48.87	5.36	54.72	35.5	6.84	27.84	4.03	29.91	8.51	72.52	38.67	21.47	41.22
C8orf82	0.0	0.47	163.28	170.25	249.73	186.4	314.17	269.6	258.57	242.88	297.17	154.42	265.87	237.86	191.67	220.32	497.0	389.72	490.14	387.02	346.29	409.15	341.51	397.93	336.79	336.79	470.14	511.0	587.13	444.72	603.67	403.5	395.18	392.44	305.55	341.51	426.57	483.38	389.72	493.56	309.83	403.5	305.55	473.41	395.18	420.68	363.56	423.61	503.95
CACNA2D4	0.0	0.51	44.57	49.56	38.95	19.82	35.25	48.87	15.91	46.84	36.01	10.0	44.25	35.25	22.43	20.71	117.6	33.78	56.68	92.7	94.67	57.49	30.78	143.01	46.84	69.52	48.87	96.01	102.25	55.89	47.5	119.26	65.26	60.82	82.87	56.68	38.95	120.1	52.08	37.32	38.67	55.49	18.56	11.91	30.78	100.83	43.63	31.67	81.71
