	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	GTEX.13OVI.1126.SM.5KLZF	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.BP.4962.01A.01R.1334.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.5691.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.B0.5711.11A.01R.1672.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.CZ.5465.11A.01R.1503.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.B0.5705.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.DW.7834.01A.11R.2139.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.KV.A74V.01A.11R.A33Z.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.A4.A7UZ.01A.12R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.REY6.1226.SM.48FDR	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.11TTK.0826.SM.5N9EG	GTEX.VJYA.0426.SM.3GIJK	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW
AASDH	77.79	75.11	150.17	140.04	114.36	102.97	121.79	111.21	96.68	104.42	119.26	132.44	197.09	181.28	187.71	113.56	72.01	70.51	87.65	108.9	162.14	55.89	109.66	149.12	148.09	166.73	190.34	167.9	136.19	175.07	134.3	142.01	181.28	147.06	150.17	176.29	122.64	193.01	231.32	146.03	172.65	166.73	161.02	163.28	137.14	214.27	177.53	139.07	126.12	145.02	165.57	215.77	159.9	31.67	62.12	83.45	96.01	37.59	63.0	72.01	51.71	94.01	43.63	72.01	76.17	99.43	85.82	84.04	70.51	70.51	46.84	130.6	141.02	136.19	129.69	109.66	167.9	123.5	135.24	118.43	125.24	157.68	130.6	120.94	125.24	119.26	63.89	68.07	68.55	77.25	124.37	262.2	165.57	187.71	208.38	144.01	283.05	155.5	231.32	157.68
ALG10B	10.88	18.7	69.03	58.71	69.03	48.87	59.55	63.89	36.27	60.82	42.41	76.71	164.42	187.71	74.06	66.18	21.32	29.7	41.22	21.01	28.86	17.38	48.52	55.1	52.08	88.26	92.05	45.21	66.65	105.89	57.49	61.25	60.39	50.63	54.72	66.65	53.57	70.51	111.99	41.81	63.89	57.89	57.89	59.55	86.43	110.43	84.63	71.0	43.02	64.34	63.89	96.68	70.51	28.45	36.53	36.27	17.9	28.24	35.0	38.67	35.0	21.47	21.47	10.63	52.08	35.76	54.33	18.7	24.81	30.56	26.1	39.5	49.91	33.06	35.5	66.18	62.56	45.53	73.03	51.35	51.71	62.56	54.33	42.41	45.21	45.53	13.22	11.82	4.46	13.93	50.98	54.33	52.82	85.22	59.13	25.54	100.83	72.01	78.34	92.7
ALG11	47.84	55.89	178.77	138.1	127.89	139.07	129.69	144.01	86.43	105.15	115.97	156.59	256.78	423.61	229.72	208.38	44.25	62.12	55.1	81.71	241.19	20.41	158.79	186.4	229.72	191.67	275.28	154.42	189.02	291.04	201.25	155.5	249.73	175.07	149.12	217.27	161.02	251.48	309.83	211.31	217.27	226.54	220.32	199.85	180.02	279.14	206.94	187.71	147.06	209.84	190.34	223.41	223.41	38.4	104.42	55.49	52.45	29.48	38.12	50.27	69.52	60.82	28.04	72.52	116.78	73.03	46.18	62.56	29.7	27.84	39.5	54.72	176.29	135.24	131.51	136.19	154.42	171.45	156.59	143.01	125.24	191.67	159.9	191.67	129.69	151.22	38.67	40.07	25.91	48.52	81.14	169.07	150.17	154.42	98.04	72.01	351.14	155.5	265.87	189.02
API5	429.54	819.3	1304.15	1175.27	1044.52	1135.2	1175.27	1135.2	1794.29	769.69	713.11	1030.12	1233.75	1519.15	1651.0	1340.84	536.45	738.29	660.68	775.05	954.43	718.08	1135.2	1437.15	1397.83	1359.57	1487.87	1286.18	1331.57	1508.65	1388.16	1175.27	1498.22	1304.15	1233.75	1467.37	1225.22	1551.09	1709.26	1295.13	1427.22	1388.16	1250.98	1259.69	1242.34	1378.57	1286.18	1519.15	1250.98	1259.69	1477.58	1447.15	1277.29	583.07	651.58	703.28	521.76	395.18	612.11	575.03	693.58	476.71	262.2	514.56	718.08	1096.5	656.11	651.58	521.76	567.1	808.0	921.88	1023.0	1111.82	1096.5	1030.12	1167.14	1008.9	974.5	1030.12	1066.48	1199.98	1030.12	1191.69	1037.29	1135.2	612.11	567.1	612.11	563.18	967.76	1066.48	1059.11	1066.48	896.64	638.15	1769.57	974.5	1295.13	1096.5
APPL1	107.38	165.57	432.53	336.79	206.94	332.14	334.46	279.14	329.84	199.85	312.0	353.59	323.03	703.28	563.18	423.61	154.42	228.13	156.59	255.0	258.57	104.42	339.14	493.56	483.38	423.61	532.74	412.0	470.14	599.49	466.88	373.81	529.06	381.68	379.04	503.95	320.8	532.74	642.59	480.04	483.38	470.14	444.72	412.0	332.14	555.41	463.65	483.38	403.5	400.71	457.25	497.0	460.44	224.97	267.73	279.14	237.86	151.22	183.82	152.28	241.19	214.27	58.3	156.59	136.19	214.27	246.28	289.02	127.89	145.02	271.48	285.03	312.0	373.81	318.57	318.57	397.93	323.03	329.84	316.37	336.79	361.04	327.56	423.61	305.55	348.71	130.6	101.54	166.73	127.0	432.53	435.55	536.45	348.71	457.25	273.37	384.34	341.51	412.0	389.72
ARHGAP5	307.69	248.0	909.17	738.29	423.61	775.05	693.58	480.04	921.88	339.14	688.78	866.07	708.18	1487.87	1225.22	651.58	329.84	361.04	197.09	376.41	291.04	218.79	775.05	1233.75	1233.75	1051.79	1322.37	1008.9	1199.98	1340.84	1191.69	808.0	1331.57	967.76	954.43	1242.34	743.43	1304.15	1388.16	1143.1	1250.98	1199.98	1304.15	954.43	738.29	1322.37	1183.45	1151.06	995.0	878.17	1242.34	1540.37	1088.92	400.71	249.73	454.09	249.73	312.0	253.23	157.68	607.87	363.56	98.73	236.21	171.45	376.41	371.22	417.77	147.06	221.86	403.5	571.05	684.02	819.3	748.61	723.08	934.76	819.3	866.07	718.08	848.22	819.3	656.11	974.5	738.29	825.0	202.66	267.73	234.57	255.0	890.44	759.08	981.29	842.36	1066.48	825.0	1350.18	633.73	1037.29	934.76
ATRX	94.67	143.01	327.56	262.2	140.04	293.07	260.38	161.02	248.0	176.29	271.48	312.0	273.37	902.89	412.0	325.29	119.26	195.72	148.09	173.85	353.59	152.28	264.03	412.0	463.65	417.77	567.1	318.57	395.18	483.38	397.93	320.8	493.56	336.79	299.25	483.38	279.14	438.59	511.0	392.44	395.18	444.72	447.82	368.65	242.88	563.18	381.68	297.17	366.09	387.02	381.68	406.31	450.94	176.29	127.89	154.42	127.0	114.36	69.52	54.33	164.42	141.02	25.35	96.01	33.3	153.34	105.89	146.03	50.63	100.13	90.77	185.11	264.03	376.41	279.14	305.55	316.37	366.09	309.83	269.6	279.14	348.71	241.19	309.83	289.02	316.37	72.01	121.79	60.82	116.78	507.46	412.0	339.14	297.17	454.09	269.6	381.68	381.68	470.14	332.14
CAMSAP2	132.44	224.97	281.09	217.27	127.89	256.78	224.97	156.59	191.67	120.1	249.73	234.57	251.48	373.81	297.17	256.78	105.89	169.07	147.06	178.77	202.66	178.77	237.86	323.03	420.68	341.51	406.31	303.44	361.04	353.59	395.18	218.79	341.51	301.33	260.38	368.65	205.5	339.14	476.71	275.28	291.04	376.41	373.81	291.04	180.02	356.05	277.2	277.2	295.11	384.34	353.59	371.22	318.57	139.07	83.45	204.07	104.42	103.69	103.69	86.43	253.23	118.43	47.17	61.25	103.69	163.28	128.79	187.71	74.58	92.7	165.57	137.14	220.32	248.0	202.66	202.66	208.38	299.25	229.72	214.27	209.84	231.32	215.77	281.09	208.38	223.41	88.26	81.14	84.04	60.82	379.04	264.03	351.14	305.55	397.93	273.37	403.5	312.0	438.59	299.25
CCNG2	417.77	435.55	1561.89	1313.23	1447.15	1143.1	1008.9	830.75	2682.69	511.0	1457.23	884.29	2148.82	2502.97	1508.65	543.96	432.53	1081.39	733.19	348.71	1175.27	323.03	1519.15	2004.85	1594.73	1030.12	1498.22	1561.89	1617.0	1963.57	1183.45	1529.73	1685.71	1487.87	1498.22	1639.59	1540.37	1977.24	1909.85	1832.01	1388.16	1870.53	1191.69	1617.0	1721.16	2004.85	1936.53	1594.73	1350.18	1073.91	1551.09	1977.24	1359.57	409.15	624.99	325.29	232.94	249.73	366.09	320.8	115.16	190.34	323.03	162.14	507.46	417.77	435.55	226.54	325.29	246.28	392.44	1457.23	1059.11	1277.29	1191.69	1159.07	1250.98	848.22	1119.56	1167.14	1066.48	1529.73	921.88	995.0	1259.69	1277.29	55.49	45.21	62.56	205.5	934.76	967.76	890.44	1037.29	1015.93	753.83	698.41	599.49	1001.93	483.38
CDC40	153.34	153.34	384.34	332.14	267.73	301.33	325.29	289.02	529.06	256.78	195.72	316.37	368.65	454.09	379.04	341.51	171.45	153.34	241.19	239.52	305.55	114.36	327.56	409.15	392.44	318.57	423.61	381.68	376.41	389.72	384.34	327.56	432.53	366.09	327.56	403.5	341.51	457.25	429.54	376.41	392.44	353.59	353.59	379.04	341.51	403.5	379.04	397.93	361.04	323.03	406.31	373.81	387.02	205.5	187.71	231.32	173.85	153.34	148.09	177.53	176.29	170.25	104.42	178.77	186.4	204.07	187.71	201.25	124.37	162.14	234.57	279.14	281.09	348.71	320.8	248.0	327.56	244.57	289.02	295.11	351.14	346.29	283.05	346.29	309.83	320.8	137.14	136.19	157.68	172.65	305.55	351.14	384.34	356.05	343.89	267.73	483.38	295.11	389.72	332.14
