	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.5507.01A.01R.1580.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
AASDHPPT	743.43	753.83	941.27	802.41	1936.53	1073.91	248.0	412.0	559.28	547.75	376.41	616.37	438.59	656.11	332.14	368.65	587.13	218.79	343.89	356.05	283.05	366.09	363.56	358.54	571.05	187.71	208.38	599.49	244.57	607.87	148.09	312.0	291.04	312.0	397.93	540.19	567.1	473.41	285.03	281.09	679.29	547.75	275.28	343.89	620.67	248.0	387.02	414.87	265.87	241.19	463.65	379.04	381.68
AKIRIN2	785.88	808.0	1127.35	1127.35	447.82	1059.11	223.41	414.87	547.75	603.67	273.37	540.19	348.71	476.71	283.05	486.75	579.04	224.97	392.44	429.54	312.0	454.09	500.46	466.88	540.19	183.82	379.04	507.46	267.73	591.22	205.5	389.72	312.0	293.07	476.71	483.38	567.1	389.72	173.85	343.89	575.03	435.55	214.27	314.17	559.28	426.57	346.29	260.38	397.93	244.57	429.54	389.72	429.54
APPL1	872.1	791.35	1073.91	808.0	1950.0	780.44	138.1	279.14	567.1	638.15	221.86	642.59	258.57	629.35	251.48	307.69	603.67	214.27	260.38	273.37	204.07	241.19	291.04	260.38	409.15	154.42	142.01	563.18	218.79	571.05	191.67	239.52	275.28	246.28	248.0	493.56	417.77	403.5	226.54	201.25	698.41	466.88	129.69	244.57	693.58	341.51	231.32	291.04	164.42	244.57	397.93	301.33	277.2
ARHGAP5	1794.29	1594.73	2148.82	1781.89	2090.03	2875.3	198.47	473.41	1242.34	1286.18	341.51	1477.58	521.76	1359.57	473.41	457.25	1286.18	327.56	503.95	507.46	371.22	438.59	438.59	400.71	785.88	137.14	211.31	1066.48	295.11	1216.75	318.57	339.14	400.71	387.02	470.14	915.51	612.11	633.73	325.29	339.14	1216.75	954.43	248.0	426.57	1044.52	543.96	295.11	616.37	293.07	389.72	684.02	507.46	480.04
ASF1A	460.44	486.75	540.19	438.59	518.15	403.5	118.43	234.57	303.44	426.57	212.78	336.79	236.21	363.56	180.02	255.0	339.14	100.13	214.27	223.41	202.66	273.37	119.26	262.2	346.29	87.03	206.94	387.02	214.27	420.68	126.12	191.67	135.24	142.01	236.21	368.65	341.51	271.48	173.85	212.78	356.05	339.14	141.02	256.78	346.29	246.28	208.38	249.73	236.21	146.03	307.69	181.28	265.87
ATXN7L3B	1697.45	1233.75	2255.7	1561.89	2004.85	1781.89	921.88	1437.15	1991.0	1662.49	1437.15	1757.34	1487.87	1508.65	1191.69	1268.46	1883.54	1066.48	1662.49	1508.65	1104.13	1467.37	1199.98	1304.15	1388.16	995.0	775.05	1709.26	884.29	1745.2	1037.29	1427.22	1233.75	1721.16	1427.22	1819.35	1407.55	1551.09	1159.07	1216.75	1832.01	1832.01	854.13	1572.76	1733.13	1487.87	1191.69	1199.98	1208.34	1295.13	1781.89	1250.98	1407.55
BBS9	258.57	218.79	323.03	275.28	525.39	295.11	107.38	139.07	193.01	155.5	102.25	190.34	132.44	170.25	108.14	119.26	189.02	127.0	97.36	132.44	111.21	94.67	119.26	112.77	140.04	75.64	116.78	208.38	94.67	169.07	101.54	115.16	151.22	138.1	137.14	155.5	147.06	92.7	100.13	92.7	172.65	161.02	93.35	126.12	161.02	121.79	98.73	165.57	83.45	144.01	133.36	171.45	111.99
BET1	785.88	728.11	947.83	967.76	1199.98	1135.2	444.72	599.49	713.11	693.58	536.45	633.73	785.88	896.64	476.71	351.14	723.08	476.71	547.75	660.68	567.1	603.67	616.37	551.56	733.19	480.04	450.94	1030.12	555.41	708.18	830.75	463.65	529.06	559.28	669.92	633.73	703.28	624.99	395.18	500.46	896.64	896.64	547.75	543.96	647.07	514.56	813.63	748.61	476.71	514.56	796.86	684.02	780.44
BRD7	1651.0	1331.57	2061.24	2018.8	3257.52	1639.59	896.64	1304.15	1467.37	1350.18	848.22	1167.14	842.36	1427.22	878.17	988.12	1369.04	921.88	974.5	1044.52	915.51	1119.56	890.44	902.89	1119.56	1081.39	775.05	1617.0	1233.75	1359.57	1208.34	981.29	743.43	536.45	872.1	1304.15	780.44	1073.91	954.43	909.17	1378.57	1073.91	848.22	1151.06	1233.75	1096.5	1015.93	921.88	848.22	860.08	1143.1	1135.2	775.05
BTBD1	1088.92	1167.14	1096.5	1498.22	1757.34	1457.23	423.61	669.92	866.07	1104.13	511.0	1081.39	480.04	961.07	500.46	656.11	915.51	420.68	529.06	607.87	463.65	587.13	612.11	551.56	830.75	395.18	417.77	825.0	480.04	974.5	480.04	503.95	693.58	583.07	599.49	775.05	785.88	764.36	463.65	470.14	947.83	961.07	435.55	559.28	884.29	748.61	583.07	679.29	473.41	417.77	785.88	674.59	633.73
