	TCGA.AC.A3QQ.01B.06R.A22O.07	TCGA.A7.A26I.01B.06R.A22O.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A4OM.11A.11R.A260.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.K7.A6G5.01A.11R.A311.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.14753.1626.SM.5NQ9L	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.AB1V.01A.21R.A414.31	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.FP.A9TM.01A.11R.A39E.31
ANKRD17	1583.71	1407.55	579.04	669.92	536.45	633.73	638.15	669.92	629.35	759.08	511.0	679.29	591.22	189.02	325.29	361.04	114.36	223.41	366.09	457.25	547.75	392.44	563.18	305.55	884.29	866.07	808.0
ATAD2B	429.54	624.99	161.02	115.16	176.29	339.14	202.66	208.38	191.67	348.71	165.57	209.84	198.47	38.4	31.22	35.0	32.36	56.68	113.56	91.41	115.97	70.01	78.34	74.58	262.2	305.55	277.2
BRWD3	909.17	423.61	100.13	48.87	114.36	173.85	128.79	143.01	172.65	277.2	134.3	197.09	148.09	30.34	22.59	22.1	11.82	61.25	137.14	81.14	65.26	106.63	116.78	88.88	244.57	199.85	221.86
C9orf131	164.42	397.93	1.43	0.99	4.39	9.93	4.9	2.56	1.81	6.73	8.78	5.87	2.61	0.0	0.26	1.22	0.0	0.0	1.57	1.53	0.61	3.23	1.66	0.96	7.82	23.93	14.67
CBFA2T2	507.46	463.65	236.21	166.73	279.14	348.71	309.83	339.14	258.57	412.0	285.03	251.48	236.21	56.28	21.01	19.82	27.84	47.17	228.13	82.29	101.54	223.41	94.01	86.43	358.54	444.72	379.04
CCDC66	785.88	718.08	95.34	182.55	141.02	332.14	197.09	218.79	144.01	249.73	182.55	293.07	147.06	53.19	21.16	35.25	12.55	30.78	46.84	63.0	74.58	42.11	44.25	36.01	327.56	473.41	368.65
CCNT2	848.22	723.08	149.12	251.48	297.17	420.68	395.18	376.41	307.69	651.58	291.04	543.96	297.17	87.03	42.41	47.84	53.95	76.71	115.97	109.66	129.69	114.36	98.04	63.0	563.18	848.22	693.58
CRAMP1L	559.28	559.28	150.17	147.06	303.44	368.65	346.29	438.59	314.17	583.07	318.57	371.22	299.25	58.71	14.89	12.93	11.91	36.01	161.02	152.28	166.73	142.01	120.1	92.7	381.68	457.25	343.89
DCAF17	483.38	283.05	87.65	118.43	177.53	249.73	239.52	201.25	155.5	406.31	158.79	195.72	142.01	31.9	25.72	27.44	32.82	80.57	95.34	72.01	119.26	73.54	90.14	61.68	234.57	346.29	376.41
DMTF1	2720.15	4450.27	271.48	587.13	928.3	1936.53	1427.22	1119.56	1008.9	3257.52	819.3	1733.13	748.61	121.79	42.11	79.45	49.56	56.28	189.02	193.01	211.31	140.04	115.97	128.79	1191.69	2224.63	1896.65
DOPEY1	518.15	307.69	138.1	159.9	269.6	332.14	289.02	211.31	236.21	332.14	214.27	356.05	262.2	25.54	24.81	36.53	22.1	59.13	98.73	92.7	130.6	83.45	104.42	43.94	400.71	486.75	460.44
EIF4ENIF1	995.0	780.44	204.07	356.05	559.28	460.44	447.82	507.46	476.71	612.11	432.53	521.76	432.53	140.04	92.7	82.87	39.22	145.02	379.04	231.32	351.14	514.56	414.87	199.85	466.88	559.28	441.64
