	TCGA.AZ.6605.11A.01R.1839.07	GTEX.1399U.1926.SM.5IFH7	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.ZPIC.2226.SM.57WDX	GTEX.ZT9W.1826.SM.51MQX	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.OXRL.0726.SM.3NM9A	GTEX.12WSJ.0726.SM.5GCN6	GTEX.1122O.1626.SM.5N9CX	GTEX.13OVG.0926.SM.5J2OJ	GTEX.RM2N.0626.SM.48FD6	GTEX.131XF.0926.SM.5BC69	GTEX.TKQ2.1226.SM.4DXSV	GTEX.WRHK.0426.SM.4MVOG	GTEX.PLZ6.0626.SM.3P61B	GTEX.YF7O.0826.SM.4W21F	GTEX.11EQ9.0826.SM.5986Y	GTEX.ZPCL.1226.SM.4WWFF	GTEX.XBEW.1426.SM.4AT4J	GTEX.13111.0926.SM.5DUVQ	GTEX.PWCY.0826.SM.48TCR	TCGA.BC.A110.11A.11R.A131.07	GTEX.14C38.1526.SM.5RQJ7	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.S4Z8.1226.SM.4AD6W	GTEX.146FR.2026.SM.5NQAI	GTEX.T5JC.1926.SM.4DM6Q	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.13O61.1126.SM.5L3FI	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.TKQ2.0926.SM.4DXU5	GTEX.11EQ9.1226.SM.5987E	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.OIZH.1526.SM.3NB1J	GTEX.TKQ1.0526.SM.4DXTG	GTEX.XPVG.1526.SM.4B66C
BBS9	194.36	47.84	59.55	46.84	51.71	38.12	185.11	88.88	116.78	105.89	102.97	161.02	124.37	157.68	150.17	114.36	112.77	169.07	123.5	125.24	88.88	108.14	61.25	57.08	0.0	0.09	166.73	166.73	260.38	159.9	145.02	146.03	122.64	236.21	379.04	115.16	121.79	156.59	176.29	128.79	149.12	177.53	156.59	139.07	139.07	127.89	198.47	164.42	102.25
C3orf70	738.29	35.5	37.85	76.71	56.28	41.22	961.07	309.83	283.05	287.01	185.11	281.09	273.37	361.04	490.14	318.57	241.19	251.48	281.09	269.6	332.14	234.57	2.29	4.54	0.0	0.21	988.12	559.28	587.13	547.75	616.37	412.0	273.37	587.13	536.45	1104.13	371.22	309.83	896.64	642.59	660.68	454.09	197.09	708.18	616.37	470.14	656.11	575.03	532.74
CASP12	30.12	0.72	3.53	4.1	4.13	2.07	14.14	4.9	6.01	25.54	17.0	18.43	21.16	15.45	12.45	11.3	19.82	26.28	19.25	14.67	7.4	16.27	1.14	0.0	0.0	0.08	20.11	34.02	37.32	22.43	27.64	26.1	44.25	68.07	38.95	39.22	13.22	64.34	15.68	4.06	16.75	38.67	18.7	31.9	25.54	20.26	21.47	29.48	10.88
CDH6	72.52	3.47	6.21	7.22	4.74	3.38	59.97	30.78	21.94	16.75	11.64	27.44	17.64	45.53	22.75	21.94	14.35	37.05	19.39	13.42	27.84	23.76	11.64	10.79	0.0	0.4	57.49	86.43	38.95	40.07	35.25	147.06	46.84	23.25	49.56	15.22	63.0	13.62	34.75	14.56	33.78	55.1	9.56	14.24	21.94	12.93	20.71	21.94	4.62
CERCAM	808.0	64.8	117.6	142.01	70.51	53.95	587.13	417.77	361.04	206.94	265.87	500.46	297.17	796.86	381.68	301.33	269.6	262.2	316.37	518.15	406.31	312.0	38.4	122.64	0.0	0.52	536.45	1617.0	599.49	738.29	521.76	679.29	909.17	2178.83	2335.28	764.36	825.0	660.68	1001.93	854.13	1437.15	1594.73	511.0	679.29	785.88	563.18	878.17	543.96	674.59
CHERP	665.29	379.04	543.96	473.41	543.96	381.68	620.67	587.13	473.41	543.96	563.18	518.15	507.46	708.18	444.72	713.11	536.45	599.49	476.71	476.71	633.73	638.15	303.44	343.89	511.0	214.27	665.29	674.59	728.11	764.36	836.53	642.59	559.28	684.02	638.15	536.45	575.03	547.75	620.67	665.29	579.04	1023.0	928.3	536.45	915.51	808.0	620.67	684.02	583.07
CLVS1	11.3	1.75	2.2	1.77	1.01	0.65	4.62	5.28	3.96	0.0	2.92	2.94	3.06	1.04	3.11	0.6	1.97	3.96	6.01	3.82	8.78	6.73	1.77	1.58	0.0	0.03	15.91	5.82	3.96	10.88	5.06	8.19	6.62	3.99	11.73	7.4	3.96	9.41	7.11	0.87	2.05	6.89	11.73	20.11	14.24	2.01	4.35	4.5	5.77
CPNE1	3443.31	1769.57	2209.26	1605.83	1685.71	2032.85	2796.65	1662.49	1832.01	1844.76	2335.28	2956.17	2240.11	2875.3	2004.85	2075.59	1733.13	3257.52	1991.0	3540.14	2417.67	3190.46	1331.57	414.87	0.0	1.28	2163.77	3874.05	2537.92	2645.74	2451.44	4543.8	2537.92	5366.37	4575.41	2303.12	2777.33	3467.27	1745.2	2935.74	2573.36	4358.66	3280.18	2816.11	4152.18	2417.67	3690.52	2682.69	3614.55
CTC-487M23.8	19.39	0.0	0.0	0.0	13.03	10.71	53.19	29.7	47.5	17.38	41.81	35.5	43.63	19.25	0.0	47.84	39.79	19.11	66.18	35.25	40.93	35.5	6.57	30.12	0.0	0.0	63.45	63.89	15.22	45.53	16.63	68.55	133.36	150.17	126.12	120.1	118.43	130.6	0.0	116.78	167.9	135.24	178.77	165.57	99.43	178.77	126.12	249.73	198.47
CWC27	521.76	205.5	241.19	242.88	258.57	223.41	540.19	384.34	420.68	343.89	334.46	414.87	454.09	454.09	323.03	353.59	397.93	379.04	435.55	361.04	320.8	281.09	111.21	251.48	0.0	0.42	470.14	551.56	591.22	551.56	525.39	486.75	403.5	503.95	500.46	412.0	325.29	536.45	361.04	486.75	435.55	426.57	323.03	521.76	397.93	373.81	438.59	363.56	389.72
CYTL1	83.45	45.53	7.34	28.86	35.0	23.76	84.63	41.22	100.83	18.56	107.38	70.01	24.63	24.11	88.88	33.78	59.13	53.19	92.05	47.5	40.93	27.44	0.0	1.14	0.0	0.0	51.71	97.36	175.07	65.26	63.0	189.02	232.94	215.77	674.59	127.89	53.19	366.09	48.52	60.82	170.25	301.33	146.03	64.34	42.71	141.02	91.41	76.71	59.97
DACT3	6935.54	34.51	29.7	100.83	23.08	27.25	7280.4	624.99	753.83	708.18	842.36	656.11	679.29	1397.83	896.64	713.11	909.17	915.51	988.12	836.53	921.88	656.11	10.71	9.13	0.0	0.32	1369.04	2178.83	2061.24	2271.4	2520.38	1950.0	2075.59	2468.49	2451.44	3257.52	2047.0	1857.6	4038.61	3665.02	1857.6	2468.49	1437.15	2018.8	2758.13	1111.82	2287.2	2209.26	2163.77
DCHS1	1081.39	28.24	37.59	48.87	26.47	26.47	674.59	122.64	277.2	255.0	312.0	423.61	262.2	571.05	348.71	343.89	119.26	327.56	262.2	295.11	361.04	351.14	14.14	20.86	0.0	0.54	674.59	429.54	536.45	607.87	412.0	595.34	587.13	595.34	466.88	595.34	463.65	450.94	713.11	500.46	450.94	860.08	384.34	346.29	825.0	470.14	884.29	656.11	379.04
DHH	16.63	0.0	0.0	4.43	2.1	1.57	24.46	5.96	4.78	4.9	2.41	9.7	2.18	7.94	5.73	3.23	2.07	7.75	10.55	4.62	10.16	5.96	1.73	3.2	0.0	0.0	15.0	28.24	22.43	13.03	14.24	93.35	16.15	8.32	13.22	13.83	22.92	3.14	15.22	6.26	28.04	12.55	9.41	5.54	11.64	7.57	18.56	4.21	4.17
DZIP1	848.22	24.28	47.5	39.22	20.26	22.92	660.68	281.09	297.17	161.02	204.07	271.48	226.54	376.41	214.27	239.52	171.45	293.07	291.04	275.28	253.23	194.36	11.3	32.82	0.0	0.64	521.76	368.65	532.74	674.59	575.03	316.37	426.57	780.44	507.46	435.55	346.29	323.03	490.14	406.31	373.81	503.95	320.8	353.59	420.68	346.29	620.67	423.61	490.14
