	TCGA.AZ.6605.11A.01R.1839.07	GTEX.1399U.1926.SM.5IFH7	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.ZPIC.2226.SM.57WDX	GTEX.ZT9W.1826.SM.51MQX	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.OXRL.0726.SM.3NM9A	GTEX.12WSJ.0726.SM.5GCN6	GTEX.1122O.1626.SM.5N9CX	GTEX.13OVG.0926.SM.5J2OJ	GTEX.RM2N.0626.SM.48FD6	GTEX.131XF.0926.SM.5BC69	GTEX.TKQ2.1226.SM.4DXSV	GTEX.WRHK.0426.SM.4MVOG	GTEX.PLZ6.0626.SM.3P61B	GTEX.YF7O.0826.SM.4W21F	GTEX.11EQ9.0826.SM.5986Y	GTEX.ZPCL.1226.SM.4WWFF	GTEX.XBEW.1426.SM.4AT4J	GTEX.13111.0926.SM.5DUVQ	GTEX.PWCY.0826.SM.48TCR	TCGA.BC.A110.11A.11R.A131.07	GTEX.14C38.1526.SM.5RQJ7	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.S4Z8.1226.SM.4AD6W	GTEX.146FR.2026.SM.5NQAI	GTEX.T5JC.1926.SM.4DM6Q	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.13O61.1126.SM.5L3FI	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.TKQ2.0926.SM.4DXU5	GTEX.11EQ9.1226.SM.5987E	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.OIZH.1526.SM.3NB1J	GTEX.TKQ1.0526.SM.4DXTG	GTEX.XPVG.1526.SM.4B66C
LRRC3DN	395.18	24.46	40.07	42.71	35.76	26.47	94.67	51.35	60.39	58.71	97.36	38.95	57.49	120.1	50.63	62.12	75.11	30.78	56.68	59.97	50.98	74.06	80.01	100.13	0.0	0.27	90.77	97.36	244.57	285.03	161.02	33.78	251.48	373.81	473.41	283.05	287.01	314.17	536.45	497.0	409.15	336.79	348.71	295.11	265.87	579.04	373.81	392.44	660.68
LRSAM1	878.17	198.47	217.27	226.54	208.38	241.19	387.02	438.59	348.71	318.57	283.05	392.44	255.0	493.56	251.48	356.05	309.83	277.2	309.83	521.76	409.15	334.46	381.68	336.79	0.0	0.53	450.94	575.03	490.14	603.67	543.96	878.17	470.14	896.64	493.56	253.23	336.79	423.61	579.04	629.35	571.05	651.58	293.07	332.14	511.0	532.74	497.0	466.88	536.45
LYRM4	674.59	312.0	269.6	264.03	285.03	237.86	507.46	723.08	447.82	450.94	476.71	551.56	392.44	490.14	412.0	351.14	454.09	381.68	660.68	532.74	454.09	397.93	277.2	493.56	703.28	115.16	555.41	713.11	647.07	575.03	507.46	463.65	624.99	679.29	947.83	426.57	417.77	638.15	638.15	603.67	616.37	616.37	460.44	571.05	532.74	486.75	500.46	363.56	536.45
LZTS2	4575.41	412.0	429.54	490.14	400.71	373.81	3794.3	1745.2	1457.23	1639.59	2104.58	1909.85	1651.0	2956.17	1745.2	1936.53	1832.01	2047.0	2047.0	2133.97	1977.24	2047.0	145.02	215.77	647.07	1950.0	2468.49	3124.78	2645.74	2591.27	2816.11	2816.11	2255.7	2335.28	3280.18	2061.24	2351.53	2627.46	2796.65	1857.6	1963.57	2609.3	2367.9	1896.65	4298.64	2018.8	2701.35	2351.53	2119.22
MEF2C	454.09	113.56	170.25	105.89	130.6	47.84	403.5	231.32	256.78	248.0	152.28	318.57	226.54	397.93	226.54	295.11	149.12	237.86	144.01	181.28	363.56	209.84	52.45	55.49	116.78	209.84	830.75	934.76	703.28	603.67	660.68	802.41	669.92	819.3	1104.13	620.67	656.11	518.15	688.78	575.03	665.29	743.43	291.04	579.04	723.08	551.56	507.46	397.93	400.71
MLLT11	429.54	21.47	43.32	29.06	29.27	11.64	158.79	106.63	81.71	63.0	69.03	99.43	43.94	112.77	28.04	131.51	21.01	87.03	75.64	102.25	72.52	164.42	13.12	59.55	0.0	0.95	384.34	356.05	438.59	607.87	339.14	124.37	167.9	246.28	239.52	698.41	231.32	185.11	723.08	444.72	466.88	279.14	323.03	341.51	281.09	366.09	287.01	358.54	457.25
MMP16	74.06	1.1	2.89	1.38	0.58	0.56	18.7	14.03	11.38	9.7	7.0	11.64	14.24	17.38	11.91	9.56	6.94	8.78	5.96	10.63	12.64	12.74	0.89	1.08	0.0	0.02	36.53	33.3	80.01	43.94	60.39	10.08	34.26	39.79	68.55	57.89	18.97	18.03	33.54	25.35	37.32	45.53	22.26	17.9	29.27	20.26	29.06	18.7	18.97
MN1	226.54	7.0	7.94	10.47	7.34	5.77	536.45	291.04	212.78	116.78	84.63	297.17	164.42	248.0	150.17	127.0	126.12	376.41	312.0	228.13	283.05	262.2	3.17	13.62	0.0	0.54	490.14	540.19	409.15	348.71	518.15	85.82	470.14	476.71	854.13	642.59	403.5	361.04	500.46	363.56	583.07	713.11	178.77	287.01	518.15	417.77	490.14	339.14	327.56
MPV17	1794.29	647.07	934.76	830.75	878.17	723.08	1529.73	1769.57	1844.76	1340.84	1477.58	1733.13	1457.23	1551.09	1572.76	1540.37	1674.06	1498.22	1286.18	1651.0	1662.49	1487.87	483.38	1304.15	0.0	0.39	2520.38	2520.38	1806.78	1806.78	1628.26	2645.74	2104.58	2682.69	2777.33	1950.0	2075.59	1909.85	1936.53	2351.53	2271.4	2468.49	1617.0	1963.57	2240.11	2240.11	1781.89	2178.83	2351.53
MRGPRD	117.6	0.0	0.73	0.0	0.0	0.0	19.82	2.29	4.28	13.32	5.77	12.83	10.79	13.62	10.08	10.24	4.5	6.21	7.88	6.01	3.32	1.62	0.0	0.0	0.0	0.06	36.53	56.28	16.39	18.7	17.38	9.41	26.47	4.31	1.99	41.22	6.06	8.38	17.38	9.41	12.18	18.16	4.35	15.91	17.25	9.41	18.03	16.75	19.68
MRGPRF	14867.79	85.82	82.87	244.57	54.33	61.25	21768.19	2104.58	1757.34	3039.3	1870.53	1769.57	3018.3	3564.78	3395.89	2537.92	2148.82	2075.59	2400.97	2061.24	3060.45	2434.5	45.53	16.15	0.0	0.6	4038.61	5555.65	5041.77	5954.47	5913.33	2367.9	3564.78	3103.19	6164.49	5366.37	3794.3	3847.29	6607.01	3280.18	4210.15	5872.48	2367.9	5555.65	10659.59	3564.78	4575.41	3372.43	3515.68
MRPS6	2609.3	1199.98	1066.48	1044.52	1183.45	1051.79	1159.07	603.67	620.67	1250.98	825.0	1191.69	934.76	1561.89	591.22	759.08	723.08	1242.34	1721.16	854.13	813.63	995.0	713.11	559.28	0.0	0.57	1685.71	2303.12	3847.29	2855.44	2976.74	1477.58	2384.37	2178.83	2591.27	1561.89	1331.57	2468.49	2255.7	2384.37	1857.6	2758.13	2061.24	3168.41	2163.77	1437.15	3589.58	1551.09	1950.0
MYH10	432.53	21.01	53.19	28.86	28.04	27.64	358.54	251.48	285.03	205.5	195.72	228.13	307.69	426.57	186.4	248.0	108.9	332.14	269.6	289.02	358.54	281.09	165.57	76.17	228.13	497.0	361.04	454.09	480.04	460.44	454.09	262.2	928.3	438.59	708.18	591.22	759.08	559.28	808.0	387.02	669.92	928.3	525.39	483.38	651.58	791.35	567.1	463.65	312.0
MYH11	925580.18	909.17	1359.57	7695.57	802.41	988.12	839981.65	204252.32	273275.14	249727.34	280957.98	198667.0	277089.94	286861.53	280957.98	299043.36	225066.78	280957.98	236256.4	165904.25	237899.7	180294.02	39.5	28.86	0.0	0.79	425853.18	198667.0	411347.03	336441.4	417089.23	517068.97	397335.0	414208.18	527933.71	721179.07	513497.31	456418.21	606436.73	857631.47	462789.59	561916.97	520665.48	682276.92	577714.63	527933.71	405683.88	565825.41	696613.03
MYPOP	167.9	108.14	130.6	128.79	147.06	125.24	169.07	206.94	172.65	137.14	185.11	211.31	169.07	229.72	127.0	151.22	197.09	161.02	244.57	162.14	166.73	171.45	44.25	159.9	0.0	0.46	136.19	297.17	231.32	193.01	202.66	329.84	218.79	511.0	363.56	61.25	260.38	185.11	260.38	198.47	162.14	346.29	146.03	217.27	301.33	118.43	312.0	258.57	211.31
NAT14	921.88	92.05	76.17	96.68	70.51	80.01	368.65	341.51	271.48	187.71	205.5	180.02	232.94	483.38	218.79	224.97	283.05	198.47	373.81	429.54	244.57	223.41	55.49	116.78	0.0	0.33	297.17	633.73	336.79	438.59	400.71	295.11	323.03	540.19	764.36	199.85	420.68	397.93	825.0	366.09	420.68	500.46	135.24	343.89	1015.93	339.14	518.15	387.02	460.44
NDN	1769.57	149.12	214.27	239.52	202.66	96.68	1199.98	848.22	830.75	507.46	738.29	890.44	703.28	1167.14	1135.2	915.51	551.56	921.88	791.35	563.18	961.07	819.3	63.0	157.68	0.0	0.61	1151.06	1685.71	1529.73	1674.06	1551.09	954.43	1909.85	1757.34	2240.11	2537.92	2163.77	1605.83	1572.76	1605.83	2119.22	2664.15	1233.75	1757.34	1963.57	1697.45	2047.0	1268.46	1551.09
NFIX	5555.65	279.14	323.03	414.87	381.68	241.19	2319.15	1407.55	1583.71	1175.27	1340.84	1674.06	1304.15	2915.45	1286.18	1806.78	819.3	1857.6	1950.0	1119.56	1819.35	1857.6	208.38	269.6	447.82	332.14	2645.74	3491.39	3372.43	3325.99	3349.13	3018.3	4704.07	3716.2	4239.45	3168.41	3716.2	1883.54	4903.87	2915.45	3690.52	7589.61	1745.2	3589.58	2875.3	2591.27	4152.18	3847.29	2855.44
NINL	262.2	20.86	34.51	36.01	24.11	13.83	80.01	132.44	76.71	88.88	114.36	149.12	75.64	183.82	85.82	106.63	108.14	117.6	84.63	158.79	139.07	106.63	53.57	39.79	0.0	0.57	214.27	264.03	237.86	412.0	384.34	55.89	299.25	848.22	236.21	289.02	92.7	269.6	363.56	470.14	148.09	728.11	54.33	187.71	713.11	198.47	154.42	309.83	291.04
NRSN2	1191.69	137.14	119.26	132.44	99.43	103.69	819.3	928.3	733.19	703.28	624.99	674.59	587.13	860.08	647.07	647.07	759.08	511.0	723.08	629.35	896.64	583.07	52.82	152.28	0.0	0.73	738.29	1073.91	713.11	842.36	802.41	647.07	738.29	1119.56	656.11	1088.92	1388.16	1023.0	890.44	1081.39	860.08	934.76	463.65	1008.9	866.07	842.36	1044.52	1051.79	1001.93
NT5E	514.56	27.05	409.15	414.87	480.04	279.14	334.46	271.48	217.27	115.16	119.26	320.8	128.79	307.69	154.42	186.4	135.24	281.09	186.4	137.14	194.36	202.66	332.14	81.71	0.0	0.45	543.96	490.14	575.03	733.19	651.58	629.35	718.08	1167.14	1628.26	1331.57	854.13	559.28	1015.93	438.59	718.08	1781.89	575.03	728.11	1096.5	961.07	825.0	511.0	514.56
NUDT11	197.09	6.36	7.06	7.46	7.69	4.31	48.87	25.91	36.01	34.75	23.59	38.12	37.59	28.45	17.77	25.17	13.72	29.7	81.14	18.7	34.02	29.06	1.01	8.85	0.0	0.38	96.68	68.55	152.28	99.43	87.65	48.18	76.17	63.89	86.43	182.55	56.68	61.68	85.22	72.01	63.89	85.22	85.22	105.89	205.5	39.22	59.13	88.26	88.26
NUMBL	1044.52	113.56	142.01	115.16	88.88	80.01	1359.57	708.18	473.41	660.68	579.04	575.03	490.14	764.36	435.55	753.83	591.22	624.99	454.09	733.19	656.11	884.29	124.37	53.19	176.29	1721.16	785.88	1313.23	928.3	1001.93	941.27	902.89	872.1	878.17	974.5	1059.11	836.53	808.0	819.3	703.28	848.22	808.0	1250.98	591.22	753.83	718.08	830.75	842.36	679.29
OGN	1757.34	20.41	78.89	70.51	42.41	11.04	1242.34	961.07	406.31	246.28	395.18	368.65	503.95	1175.27	525.39	642.59	320.8	346.29	197.09	409.15	532.74	866.07	18.56	1.22	0.0	0.09	2417.67	2627.46	2591.27	2956.17	2148.82	665.29	3540.14	6426.31	9740.98	12076.21	3124.78	5006.93	4038.61	1781.89	4450.27	8598.28	684.02	1745.2	3540.14	1950.0	5441.3	1268.46	1151.06
PCDHB6	55.89	1.55	1.41	1.81	1.5	1.17	22.75	13.42	12.27	16.63	13.93	9.78	10.71	18.56	17.38	15.45	9.56	16.88	17.77	7.69	20.56	13.93	1.87	6.62	0.0	0.35	22.92	25.54	16.39	33.3	29.06	17.77	37.32	20.86	50.27	69.03	47.5	26.67	22.92	20.56	26.47	58.3	14.56	16.63	24.11	40.64	25.54	15.91	16.88
PEG3	366.09	5.36	30.56	13.03	4.98	4.24	242.88	79.45	98.73	55.49	58.3	87.03	85.22	111.21	67.12	81.14	42.11	94.01	81.71	78.34	81.14	104.42	35.0	6.36	0.0	0.26	205.5	128.79	417.77	412.0	392.44	98.73	204.07	242.88	223.41	466.88	201.25	426.57	486.75	251.48	231.32	825.0	140.04	143.01	299.25	273.37	218.79	258.57	211.31
PIAS4	713.11	246.28	348.71	318.57	281.09	267.73	379.04	387.02	325.29	329.84	376.41	329.84	329.84	470.14	293.07	336.79	269.6	444.72	525.39	426.57	325.29	387.02	239.52	323.03	466.88	361.04	473.41	656.11	555.41	555.41	571.05	480.04	486.75	486.75	473.41	493.56	595.34	529.06	878.17	457.25	429.54	1023.0	866.07	684.02	802.41	872.1	769.69	595.34	633.73
PKNOX2	108.9	5.96	12.74	14.24	8.85	5.87	74.06	50.63	48.87	37.05	43.32	42.71	50.63	102.97	57.08	41.22	42.41	43.32	53.57	55.1	70.51	50.63	1.68	5.28	0.0	0.37	105.89	102.25	149.12	194.36	153.34	81.71	123.5	312.0	176.29	100.83	120.94	208.38	190.34	142.01	94.67	376.41	85.22	54.33	187.71	116.78	144.01	111.21	101.54
PLOD1	3039.3	432.53	529.06	555.41	497.0	493.56	1819.35	1540.37	2193.99	1259.69	1242.34	1519.15	1183.45	2178.83	1674.06	1498.22	1242.34	1104.13	1721.16	1540.37	1191.69	1233.75	1519.15	1030.12	0.0	0.61	1950.0	2319.15	1551.09	1844.76	1551.09	1487.87	1583.71	2148.82	1991.0	1540.37	1378.57	1175.27	2451.44	2271.4	2178.83	2178.83	1111.82	1561.89	1594.73	1447.15	2032.85	1697.45	1628.26
POLR3G	41.81	20.26	21.63	19.68	15.68	15.68	35.0	29.7	37.05	20.56	14.24	12.83	19.97	43.32	11.38	16.27	35.0	25.91	22.26	19.68	17.51	18.16	19.11	56.68	0.0	0.31	33.3	76.71	43.32	50.27	36.27	53.95	19.82	73.03	88.26	71.5	57.08	13.93	23.25	41.52	76.71	78.34	34.75	42.11	23.76	32.59	57.89	24.99	38.12
PRAF2	1427.22	117.6	135.24	169.07	139.07	120.94	1340.84	1111.82	1073.91	836.53	860.08	1073.91	819.3	872.1	961.07	974.5	1175.27	902.89	1073.91	1037.29	1044.52	1023.0	239.52	698.41	0.0	0.83	1369.04	1769.57	1674.06	1674.06	1617.0	1359.57	1477.58	1721.16	1540.37	1467.37	1757.34	1757.34	1639.59	1883.54	1359.57	1487.87	1519.15	1794.29	1331.57	1467.37	1819.35	1674.06	1709.26
RAB12	1662.49	334.46	307.69	303.44	287.01	244.57	1167.14	941.27	915.51	860.08	928.3	830.75	1216.75	1073.91	1081.39	866.07	866.07	1143.1	1059.11	842.36	1044.52	703.28	579.04	397.93	603.67	6983.79	1359.57	1583.71	1628.26	1721.16	1583.71	1467.37	974.5	1259.69	1350.18	1697.45	1008.9	1277.29	1225.22	1313.23	1331.57	1183.45	1073.91	1250.98	1359.57	974.5	1277.29	961.07	1066.48
RAB2B	417.77	182.55	205.5	255.0	191.67	169.07	480.04	336.79	314.17	384.34	429.54	339.14	480.04	414.87	381.68	379.04	403.5	412.0	353.59	395.18	403.5	387.02	198.47	128.79	262.2	141.02	551.56	575.03	708.18	769.69	738.29	493.56	406.31	669.92	536.45	567.1	371.22	303.44	444.72	441.64	483.38	490.14	392.44	480.04	473.41	353.59	392.44	435.55	361.04
RARA	723.08	775.05	684.02	529.06	463.65	642.59	1277.29	693.58	830.75	493.56	642.59	599.49	738.29	1008.9	417.77	417.77	595.34	878.17	1001.93	529.06	808.0	633.73	555.41	769.69	0.0	0.64	1030.12	1709.26	1417.35	1427.22	1467.37	1199.98	1167.14	866.07	1111.82	1561.89	1950.0	1427.22	1167.14	909.17	988.12	1794.29	3081.75	1757.34	775.05	961.07	1662.49	2287.2	1378.57
RHOJ	866.07	32.36	42.41	45.21	30.78	29.48	791.35	255.0	239.52	265.87	163.28	361.04	244.57	612.11	291.04	275.28	212.78	271.48	220.32	256.78	457.25	193.01	39.79	103.69	54.72	228.13	1008.9	1159.07	1896.65	2047.0	1697.45	583.07	785.88	1104.13	1378.57	921.88	532.74	579.04	1073.91	1059.11	651.58	1508.65	395.18	669.92	1487.87	559.28	1023.0	825.0	718.08
RNF150	1870.53	6.21	11.55	24.81	7.69	4.31	854.13	299.25	387.02	237.86	229.72	267.73	384.34	607.87	323.03	392.44	223.41	327.56	316.37	244.57	441.64	295.11	5.92	6.11	0.0	0.26	660.68	559.28	825.0	947.83	974.5	551.56	665.29	563.18	764.36	651.58	435.55	603.67	848.22	703.28	595.34	1001.93	414.87	480.04	753.83	575.03	921.88	679.29	579.04
ROBO1	629.35	20.56	46.5	30.34	29.48	20.26	178.77	55.49	182.55	171.45	78.89	117.6	182.55	199.85	180.02	209.84	55.49	189.02	94.01	77.25	226.54	71.5	38.67	44.25	426.57	117.6	2032.85	435.55	395.18	438.59	490.14	297.17	457.25	293.07	423.61	830.75	363.56	400.71	521.76	775.05	571.05	713.11	264.03	500.46	884.29	392.44	343.89	713.11	435.55
SALL2	854.13	15.56	30.34	37.05	15.22	15.11	277.2	253.23	191.67	155.5	269.6	249.73	198.47	376.41	223.41	232.94	189.02	271.48	172.65	175.07	305.55	191.67	5.06	11.82	0.0	0.31	312.0	503.95	796.86	780.44	1183.45	529.06	651.58	688.78	802.41	432.53	728.11	571.05	587.13	995.0	703.28	1199.98	148.09	607.87	1733.13	447.82	988.12	540.19	813.63
SART1	1151.06	872.1	769.69	450.94	791.35	915.51	934.76	860.08	915.51	848.22	988.12	819.3	733.19	836.53	633.73	1081.39	988.12	921.88	1023.0	1008.9	947.83	769.69	902.89	830.75	0.0	0.83	738.29	1175.27	1044.52	1044.52	1051.79	1583.71	1277.29	1183.45	1583.71	1167.14	1073.91	842.36	1175.27	1199.98	1340.84	860.08	1733.13	1081.39	1286.18	1359.57	1617.0	753.83	1477.58
SCARF2	234.57	21.78	31.45	18.97	10.55	24.81	514.56	205.5	212.78	255.0	432.53	159.9	242.88	320.8	277.2	218.79	244.57	314.17	318.57	267.73	320.8	287.01	23.59	70.01	0.0	0.84	395.18	785.88	283.05	409.15	297.17	285.03	563.18	909.17	392.44	651.58	595.34	665.29	493.56	334.46	417.77	493.56	476.71	356.05	353.59	339.14	511.0	480.04	432.53
SDC3	10585.95	175.07	264.03	293.07	129.69	133.36	4328.55	1242.34	1437.15	642.59	698.41	928.3	688.78	1331.57	819.3	1059.11	444.72	1001.93	1081.39	934.76	1313.23	854.13	145.02	176.29	518.15	660.68	6250.56	6840.04	4903.87	4010.71	4836.35	1909.85	1896.65	2537.92	2537.92	3349.13	2148.82	2319.15	3124.78	2915.45	2976.74	3515.68	2209.26	1963.57	2835.7	2835.7	2758.13	2956.17	2591.27
SESN3	90.14	77.25	90.14	67.59	113.56	42.71	165.57	92.7	84.04	140.04	77.25	164.42	111.99	127.0	99.43	120.1	92.7	50.63	48.52	50.98	45.53	98.73	23.25	10.31	241.19	46.84	255.0	189.02	246.28	229.72	231.32	189.02	518.15	389.72	343.89	239.52	237.86	173.85	620.67	358.54	239.52	500.46	129.69	197.09	209.84	368.65	269.6	185.11	147.06
SGCE	2895.31	140.04	145.02	149.12	101.54	48.52	2119.22	688.78	733.19	866.07	866.07	915.51	718.08	1199.98	813.63	665.29	693.58	808.0	802.41	684.02	802.41	723.08	379.04	99.43	0.0	0.62	1583.71	1745.2	1950.0	2335.28	2047.0	1023.0	1674.06	2032.85	2451.44	2384.37	1605.83	1991.0	2163.77	1662.49	1651.0	2682.69	1015.93	1794.29	1857.6	1277.29	1963.57	1769.57	1617.0
SH3PXD2A	718.08	244.57	293.07	277.2	234.57	214.27	718.08	260.38	457.25	242.88	325.29	426.57	420.68	579.04	281.09	273.37	202.66	420.68	490.14	423.61	301.33	406.31	110.43	43.32	0.0	0.71	647.07	543.96	536.45	532.74	642.59	866.07	813.63	775.05	1015.93	438.59	583.07	497.0	1073.91	518.15	854.13	915.51	674.59	540.19	540.19	743.43	1037.29	698.41	493.56
SIAH3	0.46	0.74	0.42	0.0	0.0	0.0	0.31	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.48	0.49	0.0	0.55	0.0	0.0	0.0	0.0	0.0	4.86	2.71	4.24	6.41	2.71	1.45	1.41	0.0	4.46	2.18	3.79	1.31	1.36	2.94	0.71	6.16	3.0	2.81	1.39	0.69	1.31	12.64	3.66
SLITRK5	36.53	0.0	0.3	0.28	0.68	0.3	26.47	10.63	7.11	9.63	4.9	7.88	8.58	26.47	22.92	6.89	4.46	13.03	13.62	7.28	11.21	8.99	0.89	1.31	0.0	0.01	76.71	101.54	57.89	164.42	122.64	11.73	39.79	114.36	139.07	81.71	49.21	34.02	273.37	24.28	34.51	115.97	13.32	46.84	98.04	21.63	102.97	54.72	15.34
SNRK	441.64	336.79	265.87	234.57	205.5	420.68	536.45	334.46	406.31	387.02	323.03	518.15	417.77	540.19	417.77	309.83	323.03	466.88	327.56	368.65	368.65	379.04	334.46	392.44	0.0	0.15	536.45	460.44	607.87	540.19	551.56	669.92	525.39	796.86	842.36	624.99	547.75	400.71	791.35	651.58	612.11	693.58	368.65	470.14	872.1	532.74	514.56	620.67	633.73
SRPK3	743.43	10.63	9.85	23.08	9.27	8.0	113.56	43.63	21.16	31.9	62.56	70.01	68.55	157.68	20.56	55.1	38.67	56.68	48.52	77.79	132.44	54.72	2.34	17.77	0.0	0.64	241.19	242.88	167.9	163.28	115.97	309.83	130.6	423.61	764.36	85.22	81.14	112.77	141.02	217.27	525.39	119.26	146.03	41.22	587.13	195.72	90.77	25.17	46.18
SSC5D	2119.22	23.76	20.11	55.49	27.25	9.93	1572.76	384.34	314.17	277.2	444.72	559.28	193.01	1467.37	241.19	490.14	181.28	521.76	295.11	265.87	555.41	371.22	17.13	18.43	0.0	0.27	1745.2	1295.13	1605.83	2133.97	1745.2	343.89	961.07	3018.3	2645.74	1977.24	860.08	902.89	1950.0	2193.99	1457.23	3928.15	1088.92	612.11	3443.31	1508.65	718.08	1059.11	1605.83
ST6GALNAC5	301.33	2.25	8.78	10.63	3.86	1.23	121.79	17.13	25.17	20.41	43.02	27.44	15.91	60.82	17.13	17.25	14.24	39.5	32.13	23.25	28.65	49.91	0.0	0.0	0.0	0.16	438.59	503.95	473.41	507.46	426.57	153.34	149.12	325.29	460.44	368.65	195.72	177.53	473.41	368.65	246.28	412.0	244.57	281.09	376.41	305.55	409.15	281.09	255.0
SYNGR1	1467.37	57.49	57.08	79.45	27.25	32.13	1096.5	612.11	400.71	239.52	409.15	457.25	183.82	1030.12	642.59	348.71	412.0	674.59	624.99	612.11	764.36	379.04	120.94	32.82	0.0	0.67	769.69	909.17	995.0	1111.82	890.44	1199.98	2133.97	3280.18	3372.43	2148.82	1651.0	2645.74	2573.36	2163.77	1662.49	4903.87	961.07	2240.11	1923.14	974.5	2148.82	1561.89	1030.12
TLE4	470.14	295.11	392.44	264.03	170.25	241.19	339.14	229.72	514.56	511.0	301.33	314.17	579.04	563.18	536.45	409.15	234.57	514.56	400.71	220.32	511.0	283.05	78.34	39.5	0.0	0.68	624.99	660.68	791.35	1066.48	961.07	387.02	941.27	1030.12	896.64	1977.24	638.15	684.02	1508.65	1119.56	825.0	1437.15	1066.48	575.03	1896.65	1268.46	860.08	764.36	1477.58
TMEM117	167.9	90.77	115.97	87.65	75.64	111.99	167.9	99.43	82.29	81.14	72.52	118.43	133.36	142.01	172.65	71.5	90.14	117.6	112.77	95.34	118.43	117.6	49.56	11.38	0.0	0.56	172.65	156.59	208.38	218.79	214.27	228.13	256.78	423.61	356.05	332.14	157.68	356.05	293.07	314.17	273.37	432.53	156.59	343.89	447.82	173.85	297.17	301.33	392.44
TMEM178B	32.36	0.0	0.28	0.0	0.34	0.0	16.39	13.62	3.99	3.32	4.31	12.45	2.01	10.31	2.92	4.24	6.26	14.03	7.22	4.74	9.13	4.78	0.0	3.99	0.0	0.15	39.22	18.97	33.54	23.59	18.84	15.0	21.16	42.71	161.02	43.02	40.07	11.73	34.75	16.88	28.45	73.03	16.03	16.88	22.43	22.92	19.11	24.81	40.07
TSHZ1	1175.27	175.07	186.4	202.66	275.28	130.6	395.18	285.03	316.37	305.55	248.0	312.0	323.03	536.45	295.11	285.03	287.01	293.07	318.57	204.07	332.14	293.07	115.97	52.82	104.42	78.34	796.86	651.58	1111.82	1051.79	1073.91	426.57	995.0	775.05	974.5	947.83	769.69	981.29	961.07	947.83	878.17	1322.37	426.57	830.75	1008.9	796.86	1088.92	890.44	954.43
TXNDC15	1259.69	656.11	718.08	665.29	713.11	603.67	1119.56	1233.75	1159.07	947.83	1030.12	1135.2	1216.75	1175.27	1001.93	1135.2	941.27	1135.2	1051.79	842.36	1225.22	896.64	780.44	1159.07	0.0	0.6	1572.76	1617.0	1529.73	1561.89	1397.83	836.53	1529.73	1936.53	1709.26	1286.18	1183.45	1594.73	1127.35	1628.26	1757.34	1359.57	679.29	1208.34	921.88	1030.12	1250.98	1008.9	1519.15
VGLL4	684.02	435.55	486.75	493.56	629.35	334.46	743.43	579.04	753.83	866.07	785.88	698.41	607.87	1008.9	1088.92	921.88	624.99	759.08	813.63	514.56	995.0	796.86	151.22	358.54	0.0	0.55	878.17	1331.57	1030.12	1151.06	890.44	1250.98	1369.04	1697.45	1844.76	1508.65	1135.2	1088.92	1183.45	616.37	1175.27	1806.78	1073.91	1277.29	1498.22	1467.37	1037.29	878.17	915.51
VSTM4	460.44	22.43	22.43	44.89	15.11	24.63	289.02	144.01	143.01	108.14	157.68	149.12	143.01	269.6	110.43	146.03	88.26	137.14	165.57	155.5	138.1	146.03	29.27	9.48	32.13	61.68	400.71	301.33	450.94	432.53	417.77	429.54	400.71	351.14	400.71	334.46	297.17	320.8	368.65	476.71	381.68	514.56	234.57	289.02	291.04	323.03	412.0	368.65	353.59
ZNF853	587.13	16.15	22.59	25.54	14.24	13.62	366.09	248.0	166.73	127.89	209.84	197.09	171.45	343.89	167.9	157.68	147.06	241.19	348.71	273.37	206.94	131.51	3.79	11.64	0.0	0.42	379.04	366.09	447.82	480.04	432.53	660.68	341.51	503.95	486.75	567.1	368.65	450.94	532.74	518.15	305.55	629.35	358.54	555.41	575.03	301.33	995.0	607.87	525.39
