	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.P3.A6T4.01A.11R.A34R.07	TCGA.CV.7424.01A.11R.2081.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.WQUQ.1926.SM.4OOSA	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.21.5782.01A.01R.1635.07	TCGA.NC.A5HQ.01A.11R.A26W.07	TCGA.98.A53J.01A.11R.A26W.07	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO
ABCC5	2193.99	1096.5	3955.48	1628.26	131.51	167.9	97.36	34.02	56.28	100.13	0.0	1.0	2468.49	11189.6	8840.04	486.75	616.37	429.54	559.28	567.1	511.0	536.45	656.11
ACAD9	842.36	1037.29	1378.57	1378.57	860.08	674.59	551.56	753.83	583.07	638.15	0.0	0.56	1081.39	1447.15	1233.75	780.44	612.11	921.88	743.43	669.92	759.08	743.43	872.1
ATG3	1498.22	1143.1	1870.53	2032.85	703.28	780.44	540.19	305.55	679.29	753.83	1225.22	309.83	1191.69	1467.37	1617.0	780.44	775.05	813.63	866.07	796.86	753.83	884.29	743.43
ATP11B	961.07	2520.38	1457.23	2835.7	100.83	82.29	93.35	59.97	131.51	140.04	0.0	0.85	902.89	1508.65	1447.15	291.04	271.48	285.03	291.04	334.46	371.22	395.18	500.46
ATR	1378.57	902.89	954.43	563.18	346.29	540.19	429.54	84.63	301.33	291.04	503.95	92.7	669.92	1286.18	1111.82	314.17	432.53	363.56	400.71	441.64	400.71	500.46	417.77
BTBD11	466.88	264.03	202.66	356.05	5.19	10.31	6.31	15.11	10.31	4.74	0.0	0.37	177.53	87.65	220.32	27.84	25.35	49.21	18.56	49.91	35.0	52.45	55.49
C3orf33	61.25	197.09	143.01	54.33	26.86	55.1	56.28	21.63	52.08	56.28	0.0	0.06	88.88	158.79	65.26	98.73	108.9	116.78	102.97	99.43	125.24	116.78	183.82
C3orf52	89.51	267.73	291.04	616.37	0.0	2.68	0.0	1.17	2.94	0.0	0.0	0.12	150.17	353.59	229.72	144.01	74.06	152.28	211.31	115.16	185.11	175.07	229.72
C6orf25	28.04	27.64	5.92	21.78	0.54	0.97	0.0	7.46	1.87	1.31	0.0	0.27	24.99	9.2	37.85	8.25	8.92	7.69	9.13	5.82	5.59	8.65	9.63
CD47	2451.44	3716.2	2335.28	7911.95	486.75	1350.18	1407.55	679.29	988.12	947.83	2591.27	1322.37	1936.53	4607.24	2163.77	1199.98	1023.0	1250.98	1977.24	1427.22	1350.18	1844.76	2591.27
