	TCGA.AZ.4323.01A.21R.1839.07	GTEX.Y111.1826.SM.4SOIR	GTEX.11DYG.1326.SM.5N9DO	GTEX.X585.1226.SM.46MW7	GTEX.P78B.1026.SM.3NMC4	GTEX.Y111.1726.SM.4SOIQ	GTEX.RNOR.1326.SM.48FDE	GTEX.YECK.1726.SM.5IFI3	GTEX.T2IS.0926.SM.4DM5B	TCGA.BP.4988.01A.01R.1334.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.X4EO.1126.SM.4QARQ	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.OOBJ.0826.SM.3NB2K	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.XBEC.1526.SM.4AT68	GTEX.13QJC.0726.SM.5RQJK	GTEX.X3Y1.2726.SM.4PQZH	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.145MO.2326.SM.5NQ9K	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.ZVT4.0626.SM.5E45T	GTEX.11ZVC.0726.SM.5FQT9	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.R53T.0326.SM.48FEC	TCGA.78.7161.01A.11R.2039.07	TCGA.55.7573.01A.11R.2039.07	TCGA.MP.A5C7.01A.11R.A262.07	TCGA.MP.A4TH.01A.31R.A262.07	TCGA.38.4625.01A.01R.1206.07	TCGA.MP.A4T6.01A.32R.A262.07	TCGA.44.A4SU.01A.11R.A24X.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.91.8497.01A.11R.2403.07	TCGA.55.8097.01A.11R.2241.07	TCGA.55.8087.01A.11R.2241.07	TCGA.85.A4PA.01A.11R.A24Z.07
AGAP10	318.57	248.0	341.51	571.05	358.54	395.18	246.28	486.75	334.46	543.96	130.6	33.3	16.03	100.83	13.62	61.68	73.54	152.28	255.0	303.44	118.43	91.41	72.01	47.84	147.06	74.06	42.41	6.62	166.73	98.73	81.14	78.34	19.97	42.11	83.45	149.12	159.9	100.83	187.71	82.87	29.91	41.52	44.25	62.12	50.98	131.51	105.15	49.91	85.22	4.31	69.03	305.55	67.12	33.54	119.26	14.45	27.44	134.3	43.94	33.54	155.5	145.02	283.05	249.73	0.0	189.02	171.45	0.58	92.7	114.36	115.97	255.0
AGAP6	660.68	1066.48	842.36	723.08	579.04	1313.23	1051.79	738.29	486.75	825.0	148.09	82.87	15.0	115.16	38.12	162.14	105.89	105.15	346.29	208.38	121.79	215.77	132.44	108.9	127.0	229.72	103.69	90.14	202.66	115.16	109.66	70.51	42.71	140.04	112.77	102.25	125.24	208.38	291.04	155.5	82.29	85.22	139.07	157.68	141.02	226.54	122.64	42.71	90.77	215.77	81.71	142.01	198.47	204.07	113.56	19.82	187.71	170.25	100.13	39.79	351.14	275.28	463.65	511.0	0.0	358.54	412.0	1.19	351.14	395.18	301.33	819.3
AKAP8	595.34	414.87	511.0	540.19	567.1	397.93	389.72	454.09	454.09	1159.07	258.57	277.2	126.12	131.51	144.01	191.67	194.36	194.36	221.86	183.82	173.85	169.07	148.09	201.25	223.41	323.03	172.65	175.07	181.28	132.44	218.79	141.02	123.5	209.84	156.59	157.68	214.27	214.27	262.2	258.57	208.38	177.53	237.86	176.29	163.28	161.02	127.0	128.79	199.85	289.02	109.66	186.4	201.25	195.72	214.27	100.13	182.55	190.34	162.14	121.79	281.09	379.04	536.45	392.44	0.0	466.88	395.18	0.78	532.74	507.46	500.46	607.87
ANKLE2	1369.04	802.41	1487.87	1286.18	1350.18	830.75	890.44	974.5	620.67	1923.14	295.11	269.6	323.03	281.09	180.02	309.83	260.38	384.34	318.57	346.29	255.0	323.03	229.72	802.41	406.31	285.03	223.41	269.6	285.03	158.79	358.54	220.32	202.66	285.03	275.28	228.13	346.29	395.18	514.56	175.07	218.79	392.44	281.09	253.23	387.02	246.28	228.13	162.14	353.59	346.29	202.66	802.41	314.17	423.61	406.31	134.3	698.41	277.2	239.52	244.57	941.27	928.3	872.1	1199.98	0.0	830.75	928.3	0.8	836.53	1104.13	521.76	1519.15
ANKRD23	118.43	189.02	67.12	110.43	151.22	229.72	178.77	186.4	144.01	109.66	22.26	22.43	2.81	12.74	6.67	34.02	4.98	15.45	43.63	27.25	20.26	26.47	12.64	11.21	23.42	26.1	14.45	15.68	12.83	7.88	25.91	22.1	8.99	17.38	16.27	22.43	22.59	29.27	47.5	16.63	11.38	23.08	29.27	12.83	11.82	24.63	10.55	13.12	29.06	43.32	20.26	6.67	25.17	20.71	36.01	8.51	1.22	14.24	11.47	22.1	136.19	66.65	195.72	78.89	0.0	189.02	121.79	0.74	84.04	70.51	44.25	166.73
ANKS3	620.67	921.88	830.75	764.36	540.19	1175.27	974.5	708.18	866.07	860.08	127.89	100.13	22.26	112.77	37.59	189.02	151.22	167.9	358.54	242.88	153.34	244.57	120.1	128.79	229.72	249.73	155.5	128.79	229.72	134.3	231.32	89.51	59.97	136.19	111.21	161.02	176.29	251.48	312.0	143.01	98.73	139.07	185.11	183.82	187.71	271.48	117.6	88.26	167.9	269.6	95.34	153.34	177.53	165.57	204.07	40.36	104.42	199.85	97.36	80.01	351.14	450.94	366.09	483.38	0.0	1104.13	854.13	0.78	612.11	583.07	441.64	480.04
ATG16L2	988.12	1030.12	1191.69	2855.44	1977.24	1183.45	1081.39	1023.0	1001.93	2682.69	175.07	189.02	128.79	316.37	59.55	332.14	265.87	269.6	406.31	285.03	303.44	447.82	242.88	260.38	607.87	518.15	202.66	305.55	518.15	175.07	332.14	191.67	244.57	269.6	293.07	309.83	305.55	373.81	521.76	152.28	199.85	209.84	185.11	384.34	299.25	363.56	156.59	285.03	420.68	371.22	209.84	234.57	242.88	305.55	384.34	151.22	102.25	441.64	279.14	241.19	497.0	723.08	595.34	1135.2	0.0	1331.57	1487.87	1.16	1199.98	967.76	612.11	2739.08
C3orf62	205.5	409.15	242.88	303.44	232.94	540.19	403.5	323.03	320.8	281.09	63.0	33.3	27.64	102.25	24.63	90.14	27.84	86.43	102.97	37.85	47.5	136.19	64.8	46.5	55.49	42.41	31.67	51.71	39.22	35.0	52.82	35.25	26.1	102.25	30.34	74.58	92.7	50.98	96.68	66.65	35.5	89.51	50.27	122.64	54.72	114.36	42.41	45.21	83.45	55.1	62.56	73.54	109.66	50.27	53.19	12.18	67.12	68.55	62.12	29.48	103.69	142.01	193.01	197.09	0.0	137.14	136.19	0.44	165.57	193.01	220.32	248.0
CAPN10	890.44	988.12	947.83	1151.06	836.53	1259.69	1023.0	981.29	753.83	866.07	154.42	187.71	76.17	131.51	76.17	220.32	162.14	143.01	346.29	217.27	139.07	175.07	172.65	157.68	249.73	236.21	83.45	162.14	189.02	105.15	231.32	145.02	92.7	255.0	170.25	135.24	209.84	175.07	395.18	255.0	128.79	136.19	127.0	251.48	163.28	258.57	190.34	100.83	133.36	312.0	121.79	142.01	201.25	86.43	193.01	79.45	77.79	211.31	108.14	89.51	642.59	555.41	728.11	928.3	0.0	819.3	819.3	1.03	848.22	748.61	563.18	1286.18
CCDC24	429.54	329.84	291.04	316.37	307.69	343.89	444.72	454.09	381.68	329.84	80.01	78.89	40.64	173.85	18.03	185.11	68.55	170.25	169.07	130.6	89.51	209.84	105.15	104.42	186.4	83.45	38.67	77.79	162.14	162.14	128.79	92.05	75.11	108.14	52.82	132.44	320.8	71.5	269.6	72.52	65.26	142.01	346.29	197.09	202.66	128.79	88.88	123.5	182.55	249.73	147.06	77.25	127.89	110.43	152.28	70.51	111.21	88.88	165.57	70.51	332.14	406.31	647.07	325.29	0.0	1745.2	555.41	0.16	460.44	348.71	368.65	209.84
