	TCGA.MU.A8JM.01A.11R.A36F.07	TCGA.Q1.A73O.01A.11R.A32P.07	TCGA.CV.7097.01A.11R.2016.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.BA.5151.01A.01R.1436.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CV.6933.01A.11R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.X5EB.0426.SM.46MVY	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X4XX.1026.SM.4QARO	GTEX.13O3P.1026.SM.5N9E7	GTEX.X3Y1.0626.SM.3P5YS	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.1497J.0326.SM.5Q5CN	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.145MF.0726.SM.5Q5BT	GTEX.S341.0326.SM.2XCAU	GTEX.11ZTT.0626.SM.5EQLM	GTEX.X4EP.0526.SM.3P5YW	TCGA.56.5897.01A.11R.1635.07
AADAT	34.75	9.56	5.82	5.77	3.32	15.91	24.81	0.0	0.4	102.25	43.63	193.01	46.84	98.04	194.36	108.14	117.6	43.32	53.95	64.8	106.63	110.43	226.54	155.5	171.45	269.6	228.13	91.41	228.13	132.44	43.02	58.71
BTC	10.16	12.0	24.99	6.36	1.66	1.31	1.25	0.0	0.16	74.58	142.01	583.07	137.14	358.54	417.77	312.0	79.45	55.89	144.01	29.48	167.9	262.2	559.28	346.29	285.03	599.49	988.12	713.11	587.13	703.28	23.59	31.22
C16orf89	1.16	28.65	7.06	3.92	0.51	2.84	7.0	0.0	0.24	2032.85	19082.0	4038.61	878.17	24321.43	5403.7	12160.22	11584.24	1437.15	974.5	56.68	20593.91	10014.87	43236.64	3564.78	39237.98	40621.74	9606.86	38966.94	26800.01	20881.4	57.49	55.1
CCDC175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	9.48	8.78	4.82	1.22	8.78	7.69	1.89	5.36	1.71	2.78	2.1	4.13	6.57	5.19	4.82	10.16	14.24	12.93	0.92	9.34	1.19	0.0
CDHR3	14.56	6.06	17.38	4.31	9.34	7.69	84.63	0.0	0.0	890.44	1963.57	7081.29	1685.71	2915.45	3081.75	1001.93	909.17	2335.28	1135.2	1073.91	2303.12	3060.45	2591.27	2591.27	1561.89	3716.2	4419.52	4575.41	4181.07	3372.43	205.5	60.82
CGN	100.83	83.45	129.69	177.53	102.25	88.26	119.26	0.0	0.56	343.89	1073.91	2645.74	1467.37	1023.0	4736.79	1477.58	2875.3	1167.14	718.08	603.67	1001.93	2351.53	2976.74	1313.23	1233.75	3212.66	3419.52	2796.65	1617.0	2384.37	180.02	120.1
DCDC2B	0.4	0.74	0.49	0.0	0.51	0.0	0.87	0.0	0.0	99.43	429.54	1540.37	384.34	708.18	620.67	403.5	127.89	536.45	285.03	117.6	595.34	490.14	529.06	417.77	466.88	1572.76	1030.12	954.43	1088.92	860.08	45.53	12.45
EFCAB4A	63.89	98.04	87.03	26.86	28.04	47.84	74.06	0.0	0.85	3665.02	1963.57	6381.92	392.44	3928.15	8134.41	3665.02	392.44	1135.2	1037.29	603.67	7382.04	4181.07	2148.82	1487.87	1697.45	6935.54	13681.08	2434.5	4639.29	4419.52	86.43	150.17
ENO4	2.39	2.78	4.46	1.55	1.41	0.61	4.82	0.0	0.22	11.04	56.68	142.01	64.34	155.5	98.73	49.21	96.68	60.39	35.0	28.45	54.33	113.56	111.21	53.57	83.45	177.53	158.79	244.57	180.02	193.01	8.51	4.78
FAM166B	7.11	7.57	8.38	6.57	3.82	5.32	5.68	0.0	0.0	273.37	954.43	3103.19	884.29	1551.09	1498.22	967.76	679.29	1066.48	759.08	329.84	1233.75	775.05	988.12	1104.13	1088.92	2573.36	2061.24	1498.22	2319.15	1857.6	87.03	28.86
FN3K	22.1	67.59	46.84	17.38	33.54	20.11	75.64	0.0	0.41	406.31	642.59	1015.93	123.5	708.18	1044.52	738.29	148.09	205.5	150.17	108.9	529.06	995.0	1001.93	616.37	379.04	796.86	1111.82	395.18	669.92	656.11	163.28	106.63
GRK4	63.45	44.57	44.57	38.12	37.32	43.63	52.08	0.0	0.24	95.34	113.56	161.02	47.84	132.44	123.5	136.19	46.84	66.65	92.7	68.07	94.01	109.66	74.06	111.21	67.59	92.7	137.14	40.07	74.06	64.34	30.12	55.89
KCNRG	4.54	2.86	13.22	9.2	14.24	10.16	7.28	0.0	0.0	57.08	361.04	954.43	206.94	480.04	307.69	149.12	162.14	277.2	117.6	68.55	325.29	283.05	371.22	287.01	348.71	575.03	769.69	665.29	599.49	595.34	34.26	15.8
KIAA1407	68.07	51.71	16.15	19.82	39.22	52.82	25.17	0.0	0.29	128.79	214.27	769.69	242.88	293.07	429.54	182.55	100.13	265.87	117.6	81.71	297.17	318.57	291.04	231.32	251.48	441.64	647.07	444.72	339.14	389.72	58.3	79.45
KIAA1683	6.41	5.23	2.27	4.39	3.56	1.53	5.77	0.0	0.0	66.65	130.6	373.81	50.98	241.19	249.73	351.14	120.1	69.52	78.34	36.53	507.46	198.47	536.45	109.66	102.97	748.61	346.29	74.58	444.72	412.0	57.08	6.73
LCA5L	13.42	12.93	9.41	18.16	5.54	4.9	11.47	0.0	0.0	57.89	122.64	490.14	98.04	224.97	173.85	132.44	68.07	113.56	101.54	54.33	187.71	115.16	199.85	197.09	191.67	387.02	429.54	358.54	320.8	246.28	27.25	17.0
LL22NC03-75H12.2	1.83	1.87	0.0	1.14	0.64	1.07	1.41	0.0	0.0	57.89	42.71	74.58	8.51	60.82	107.38	41.52	39.5	90.14	5.11	11.91	122.64	60.82	48.52	16.51	34.02	66.65	127.0	82.29	59.13	73.54	3.96	7.17
LYRM9	45.21	23.76	50.63	49.56	43.63	16.63	80.01	0.0	0.16	120.94	642.59	1359.57	185.11	688.78	796.86	567.1	92.05	417.77	191.67	218.79	825.0	470.14	902.89	521.76	551.56	733.19	1159.07	567.1	1096.5	669.92	353.59	152.28
MAP6	6.94	13.62	13.62	3.82	8.19	1.91	4.86	0.0	0.21	248.0	1088.92	4972.34	476.71	2520.38	1199.98	921.88	490.14	743.43	629.35	264.03	988.12	633.73	1467.37	1008.9	1295.13	3589.58	2956.17	4123.49	3690.52	1857.6	63.45	53.57
MIPOL1	47.17	71.5	63.0	55.89	21.47	24.63	29.48	0.0	0.39	99.43	75.64	426.57	120.1	102.25	264.03	93.35	61.68	85.22	67.59	78.89	59.13	273.37	93.35	231.32	111.99	226.54	295.11	154.42	131.51	114.36	91.41	50.98
P4HTM	208.38	164.42	128.79	77.25	70.01	46.84	115.97	0.0	0.72	928.3	1487.87	5711.87	941.27	2997.45	2555.58	1721.16	684.02	1639.59	1175.27	981.29	2468.49	1617.0	2018.8	1417.35	1407.55	4937.99	5076.84	2555.58	3018.3	2061.24	642.59	190.34
PCSK1N	10.79	2.1	31.22	0.0	10.71	13.62	6.06	0.0	0.39	59.97	145.02	376.41	165.57	221.86	1111.82	642.59	1183.45	107.38	120.94	87.03	147.06	379.04	212.78	368.65	197.09	58.71	1277.29	1277.29	108.9	1745.2	7.22	4.1
PEX11G	19.25	55.49	36.79	38.4	58.71	63.0	54.72	0.0	0.0	71.5	262.2	379.04	99.43	281.09	197.09	325.29	90.77	142.01	81.14	88.26	277.2	154.42	239.52	190.34	223.41	414.87	336.79	265.87	368.65	329.84	93.35	57.89
PEX14	414.87	381.68	450.94	395.18	332.14	435.55	314.17	303.44	295.11	395.18	842.36	785.88	441.64	674.59	490.14	514.56	441.64	476.71	409.15	332.14	521.76	473.41	547.75	420.68	633.73	540.19	921.88	638.15	490.14	543.96	412.0	323.03
POLR2I	1674.06	1340.84	1561.89	1008.9	1088.92	1030.12	928.3	0.0	0.68	1991.0	2555.58	7081.29	1051.79	2520.38	2335.28	2796.65	2193.99	2193.99	1437.15	1781.89	1709.26	1806.78	3060.45	2271.4	2148.82	3235.01	4543.8	2956.17	3564.78	2537.92	1685.71	1216.75
PPOX	125.24	191.67	150.17	88.26	130.6	79.45	239.52	0.0	0.39	518.15	738.29	2255.7	358.54	1605.83	1467.37	813.63	187.71	764.36	500.46	486.75	1268.46	961.07	884.29	713.11	642.59	1487.87	2104.58	915.51	1001.93	1059.11	287.01	224.97
RP11-162A12.2	0.85	1.58	1.2	1.36	1.6	0.88	3.69	0.0	0.04	5.02	10.55	23.08	3.06	30.34	19.53	15.56	5.92	3.08	6.67	5.96	15.11	9.27	42.41	10.39	6.73	7.34	18.43	12.55	9.34	15.8	10.63	3.17
SCGB1A1	1.77	0.0	50.98	55.89	10.63	1.83	120.1	0.0	0.0	1273174.62	3336720.86	845824.19	2581895.97	2141216.62	3178687.03	2343119.96	2068278.89	1739208.14	834179.46	303217.87	3156730.23	2691538.19	3178687.03	1556634.79	3091765.64	3968052.37	3134925.09	2825352.59	2691538.19	3070409.25	41763.8	4298.64
SGSM1	6.31	0.73	2.46	0.61	1.75	0.0	0.93	0.0	0.15	58.3	30.12	376.41	44.57	50.98	199.85	90.77	24.81	30.56	58.71	15.8	55.1	197.09	37.85	81.71	63.89	138.1	262.2	16.15	89.51	112.77	16.27	2.41
SHC4	1.77	4.82	4.82	1.53	2.58	0.6	2.51	0.0	0.02	6.78	1.93	32.13	8.25	13.93	10.39	14.67	3.26	2.58	4.5	2.68	11.21	14.35	14.35	17.51	13.22	38.95	27.84	8.32	30.34	23.76	0.24	3.96
SPATA7	37.85	50.98	50.63	70.51	54.33	68.55	31.22	0.0	0.29	307.69	191.67	476.71	82.29	327.56	447.82	206.94	82.87	262.2	157.68	140.04	277.2	295.11	223.41	301.33	241.19	255.0	525.39	256.78	215.77	392.44	102.97	57.08
SPEF2	12.64	21.16	15.34	4.03	3.66	6.67	7.88	0.0	0.18	195.72	265.87	1519.15	327.56	470.14	463.65	336.79	134.3	406.31	323.03	172.65	457.25	381.68	412.0	429.54	323.03	796.86	1167.14	656.11	703.28	571.05	39.5	29.06
TCTN1	409.15	241.19	323.03	151.22	275.28	187.71	131.51	0.0	0.39	813.63	1233.75	4010.71	1175.27	2193.99	1909.85	1268.46	708.18	1208.34	791.35	587.13	1745.2	1331.57	1498.22	1286.18	1572.76	3060.45	2417.67	2255.7	2335.28	2104.58	334.46	358.54
TPPP3	825.0	108.9	92.7	1427.22	791.35	3564.78	718.08	0.0	0.0	9279.58	29736.59	102836.01	11345.82	30361.44	45072.75	24832.5	12943.04	25005.23	16727.26	8022.41	29327.18	44145.15	30785.28	26986.43	24490.61	48643.87	55107.99	75280.1	38164.99	37121.34	2061.24	387.02
TTC21B	65.72	88.88	96.68	51.71	61.25	46.5	93.35	0.0	0.33	137.14	271.48	460.44	180.02	466.88	403.5	271.48	197.09	361.04	164.42	129.69	339.14	376.41	381.68	325.29	353.59	587.13	669.92	417.77	426.57	351.14	103.69	103.69
ZMAT1	40.36	13.83	4.98	3.59	8.32	4.74	6.26	0.0	0.65	40.64	72.01	638.15	84.63	327.56	414.87	253.23	23.25	73.54	63.45	53.57	579.04	633.73	651.58	156.59	176.29	503.95	713.11	234.57	376.41	283.05	39.79	16.15
