	TCGA.AC.A3YI.01A.21R.A239.07	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.AC.A3W7.01A.11R.A22K.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.S3.A6ZG.01A.22R.A32P.07	TCGA.A7.A13H.01A.11R.A22K.07	TCGA.A7.A425.01A.11R.A24H.07	TCGA.LD.A7W6.01A.81R.A352.07	TCGA.B6.A0X5.01A.21R.A109.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.E2.A1IG.11A.22R.A144.07	TCGA.A7.A0DB.11A.33R.A089.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.11P81.1926.SM.5BC53	GTEX.11ZTT.2326.SM.5EQLG	GTEX.WRHU.0326.SM.3MJFY	GTEX.S32W.2026.SM.4AD6E	GTEX.QVJO.1826.SM.447C9	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.SE5C.2126.SM.4BRUJ	GTEX.YB5K.1626.SM.5IFIN	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13D11.1026.SM.5IJFB	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XUW1.2326.SM.4BOO5	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.UJHI.1426.SM.3DB9C	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.12WSB.0626.SM.59HJO	GTEX.133LE.1726.SM.5K7VQ	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	GTEX.1399S.0526.SM.5IJG8
ABHD11	1259.69	1088.92	2271.4	1745.2	1991.0	1709.26	1781.89	2104.58	967.76	629.35	267.73	329.84	674.59	287.01	218.79	813.63	214.27	173.85	307.69	447.82	713.11	251.48	199.85	255.0	373.81	470.14	309.83	198.47	674.59	206.94	395.18	273.37	283.05	180.02	389.72	423.61	348.71	231.32	854.13	764.36	281.09	693.58	363.56	414.87	246.28	241.19	703.28	438.59	1127.35	698.41	281.09	356.05	140.04	785.88	293.07	780.44	368.65	563.18	244.57	684.02	780.44	753.83	579.04
AL020996.1	5.87	21.16	28.04	21.47	17.64	13.12	14.89	18.84	18.56	7.46	2.36	3.17	10.79	3.44	3.23	5.36	3.86	2.14	4.21	6.67	10.71	2.12	2.16	4.17	8.65	10.55	7.34	5.96	10.79	6.52	5.77	3.86	6.73	4.7	3.03	10.16	4.03	3.53	11.13	18.03	7.94	11.82	7.94	14.03	3.76	5.23	6.06	8.65	10.71	13.32	4.24	6.21	1.85	13.83	4.58	20.56	9.41	8.65	6.89	11.3	11.91	12.83	13.83
ANKS3	525.39	591.22	591.22	638.15	1030.12	713.11	836.53	866.07	567.1	186.4	151.22	147.06	273.37	173.85	112.77	387.02	76.17	127.0	169.07	189.02	204.07	144.01	110.43	171.45	145.02	181.28	223.41	137.14	273.37	124.37	214.27	169.07	111.21	114.36	244.57	110.43	220.32	102.97	214.27	212.78	71.0	255.0	234.57	301.33	167.9	146.03	264.03	73.54	384.34	332.14	115.97	73.03	150.17	303.44	165.57	312.0	373.81	185.11	163.28	264.03	155.5	158.79	316.37
AP1G2	1781.89	2384.37	3190.46	2520.38	3742.05	3081.75	2816.11	2271.4	3515.68	1685.71	295.11	387.02	1044.52	277.2	146.03	1313.23	201.25	348.71	237.86	480.04	884.29	414.87	316.37	389.72	371.22	819.3	426.57	217.27	1044.52	279.14	669.92	450.94	256.78	206.94	242.88	420.68	791.35	420.68	988.12	1208.34	289.02	1167.14	444.72	915.51	490.14	406.31	915.51	536.45	1844.76	1427.22	307.69	260.38	325.29	1519.15	514.56	1295.13	825.0	961.07	665.29	1199.98	1268.46	902.89	802.41
ARHGAP39	182.55	166.73	332.14	309.83	381.68	248.0	241.19	199.85	264.03	134.3	11.73	18.29	107.38	25.17	14.67	50.98	10.0	7.0	13.93	36.27	57.89	12.09	15.22	15.91	18.43	46.18	16.39	18.03	107.38	15.11	26.1	16.27	7.57	18.03	15.56	25.35	35.5	10.71	71.5	57.49	21.63	80.01	25.91	27.64	20.71	16.15	45.85	44.57	57.89	54.72	32.82	9.93	25.54	52.82	23.08	44.25	40.93	44.25	46.5	106.63	50.63	42.71	43.63
CAPN1	2502.97	3257.52	4358.66	3168.41	3325.99	1388.16	3901.01	3349.13	2758.13	2555.58	1467.37	1388.16	2178.83	1628.26	988.12	2591.27	1216.75	1175.27	1030.12	1745.2	2090.03	1769.57	1250.98	1685.71	1437.15	1909.85	1832.01	1378.57	2178.83	1199.98	1594.73	1594.73	1143.1	1477.58	921.88	1369.04	1508.65	902.89	2351.53	2104.58	1059.11	2319.15	1540.37	2075.59	1427.22	1447.15	2609.3	1277.29	2004.85	3103.19	981.29	896.64	1030.12	2855.44	1498.22	2367.9	2018.8	1896.65	1769.57	2240.11	2855.44	2163.77	2956.17
CCDC120	251.48	273.37	417.77	325.29	303.44	209.84	316.37	187.71	264.03	105.89	29.91	66.18	108.9	53.57	37.59	107.38	29.48	28.24	23.59	72.01	161.02	33.78	26.1	48.52	51.71	130.6	39.5	29.27	108.9	59.55	76.17	56.28	37.59	44.89	24.11	86.43	137.14	55.1	132.44	182.55	41.81	156.59	76.71	115.97	84.04	63.45	139.07	78.89	155.5	167.9	54.33	44.57	57.08	191.67	77.79	166.73	102.25	130.6	90.77	177.53	91.41	57.89	105.15
CCDC64B	624.99	688.78	1487.87	1151.06	2178.83	830.75	1313.23	1572.76	743.43	56.68	0.55	20.86	241.19	0.0	6.46	197.09	6.06	0.0	0.0	120.1	295.11	1.33	4.03	3.23	27.25	121.79	0.0	0.62	241.19	18.29	85.22	40.93	0.27	7.28	2.16	73.54	95.34	13.42	111.99	195.72	5.28	182.55	8.92	48.52	4.7	44.57	140.04	88.88	202.66	190.34	6.01	7.88	13.22	176.29	19.82	189.02	136.19	131.51	5.19	224.97	454.09	105.89	41.52
CCDC85C	612.11	356.05	599.49	540.19	211.31	320.8	429.54	293.07	234.57	269.6	100.13	80.01	232.94	92.05	52.82	152.28	56.68	29.48	38.4	96.68	185.11	72.01	38.12	95.34	76.71	221.86	46.84	95.34	232.94	98.73	107.38	119.26	64.8	75.64	66.65	144.01	275.28	74.06	220.32	193.01	47.17	185.11	122.64	154.42	122.64	105.89	285.03	167.9	159.9	299.25	62.56	82.29	67.59	341.51	191.67	343.89	144.01	194.36	94.01	341.51	147.06	63.89	111.21
CDK5RAP1	629.35	638.15	693.58	616.37	802.41	669.92	723.08	1331.57	723.08	656.11	514.56	480.04	708.18	536.45	536.45	764.36	381.68	397.93	587.13	480.04	571.05	480.04	624.99	521.76	532.74	473.41	395.18	457.25	708.18	435.55	555.41	432.53	403.5	555.41	444.72	460.44	379.04	351.14	674.59	791.35	460.44	802.41	629.35	633.73	454.09	400.71	595.34	457.25	708.18	529.06	525.39	229.72	808.0	540.19	417.77	669.92	384.34	563.18	423.61	860.08	368.65	500.46	607.87
