	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.13QIC.2326.SM.5LU5N	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.XBEC.1526.SM.4AT68	GTEX.13SLX.1226.SM.5S2Q6	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.SIU8.0926.SM.5SI87	GTEX.13OW8.1726.SM.5L3GO	GTEX.11ZTS.1226.SM.5EQMQ
ABCE1	902.89	1023.0	2061.24	1437.15	1870.53	1242.34	954.43	277.2	154.42	237.86	241.19	303.44	651.58	400.71	441.64	325.29	429.54	314.17	651.58	264.03	229.72	441.64
ACPL2	343.89	363.56	384.34	323.03	476.71	329.84	248.0	49.91	48.87	36.27	72.01	48.52	64.8	486.75	56.68	62.12	120.1	104.42	167.9	38.67	169.07	123.5
ACTR2	3901.01	4010.71	2701.35	3515.68	3820.7	4123.49	3303.0	665.29	559.28	559.28	848.22	2502.97	4123.49	1467.37	1096.5	995.0	3491.39	2148.82	3847.29	2417.67	2090.03	3639.7
ADAMTS5	176.29	173.85	607.87	579.04	293.07	796.86	395.18	4.13	4.98	18.84	19.11	6.62	2.23	35.25	5.41	12.09	8.65	8.71	6.67	8.51	11.64	90.77
APC	389.72	269.6	348.71	267.73	679.29	414.87	327.56	38.12	21.01	77.25	76.17	92.05	88.88	185.11	94.67	69.03	62.56	134.3	118.43	115.16	98.04	248.0
APPL1	988.12	785.88	1073.91	808.0	1950.0	878.17	785.88	108.9	44.25	80.57	83.45	406.31	466.88	297.17	295.11	163.28	297.17	412.0	529.06	406.31	348.71	379.04
ATL3	872.1	796.86	679.29	1037.29	1605.83	813.63	591.22	149.12	126.12	212.78	127.89	490.14	708.18	361.04	299.25	92.05	555.41	503.95	395.18	483.38	291.04	500.46
BCAS2	1498.22	1001.93	1397.83	1651.0	1936.53	1651.0	1508.65	660.68	379.04	444.72	743.43	780.44	791.35	743.43	540.19	511.0	607.87	579.04	669.92	395.18	769.69	438.59
BRAP	435.55	339.14	366.09	325.29	476.71	384.34	366.09	144.01	113.56	148.09	116.78	373.81	223.41	258.57	119.26	158.79	221.86	248.0	246.28	223.41	260.38	141.02
BRWD3	209.84	137.14	165.57	108.14	101.54	195.72	138.1	21.16	9.27	24.28	15.56	124.37	66.65	65.72	89.51	50.27	117.6	193.01	85.22	177.53	85.82	106.63
C3orf38	511.0	392.44	395.18	414.87	759.08	483.38	406.31	110.43	82.29	117.6	134.3	287.01	287.01	323.03	142.01	195.72	231.32	305.55	283.05	363.56	217.27	209.84
C4orf27	642.59	603.67	780.44	934.76	1950.0	713.11	738.29	273.37	118.43	173.85	271.48	426.57	476.71	406.31	148.09	95.34	169.07	414.87	384.34	256.78	273.37	209.84
C9orf72	341.51	206.94	426.57	381.68	275.28	351.14	293.07	214.27	64.34	109.66	111.99	507.46	480.04	275.28	723.08	480.04	1001.93	708.18	808.0	703.28	1397.83	884.29
CCNI	5555.65	7331.05	11267.44	10440.2	18950.18	8479.89	7382.04	1437.15	1388.16	848.22	1417.35	4210.15	4937.99	4038.61	4575.41	3820.7	4869.99	3614.55	4268.94	4268.94	5441.3	4972.34
CCNT1	536.45	329.84	595.34	414.87	555.41	426.57	363.56	80.01	38.67	65.72	73.54	211.31	251.48	244.57	231.32	273.37	429.54	277.2	279.14	281.09	262.2	244.57
CCT8	2875.3	3103.19	4937.99	3280.18	5913.33	2104.58	3820.7	1304.15	1529.73	967.76	1561.89	2104.58	2777.33	2018.8	2104.58	2004.85	1685.71	2075.59	2855.44	2178.83	1819.35	2287.2
CD74	75803.72	144427.91	27363.16	34158.52	50011.46	154794.07	129266.49	4903.87	17804.06	26986.43	184082.4	726195.27	1196176.45	757033.75	1019901.63	932018.1	1503610.06	1229805.58	649962.87	741454.2	1877002.62	1196176.45
CDKN2AIP	432.53	450.94	708.18	753.83	954.43	447.82	447.82	180.02	65.72	169.07	186.4	215.77	454.09	403.5	236.21	273.37	205.5	236.21	226.54	198.47	175.07	148.09
CEP97	191.67	151.22	147.06	94.01	135.24	100.83	125.24	9.63	3.66	9.41	12.93	58.71	32.82	164.42	55.49	14.78	27.84	53.95	122.64	52.08	30.78	39.22
CLASP2	718.08	511.0	791.35	703.28	1030.12	947.83	813.63	63.0	65.72	101.54	107.38	414.87	236.21	435.55	327.56	224.97	486.75	551.56	353.59	470.14	684.02	525.39
CLOCK	295.11	281.09	348.71	301.33	595.34	312.0	151.22	59.97	14.67	60.82	53.19	86.43	183.82	140.04	159.9	92.7	156.59	143.01	199.85	113.56	57.89	186.4
COPS4	860.08	1081.39	1340.84	1519.15	2468.49	1175.27	1286.18	351.14	348.71	281.09	281.09	656.11	503.95	633.73	318.57	244.57	463.65	587.13	665.29	429.54	559.28	447.82
CSDE1	11189.6	7803.01	11189.6	11827.67	18819.27	12076.21	10368.08	2075.59	1551.09	1359.57	2119.22	3982.99	4972.34	4607.24	5219.6	4836.35	5006.93	5147.73	6471.02	5672.41	5954.47	6792.79
CSNK1A1	5183.54	3874.05	5219.6	5954.47	3467.27	4512.4	5366.37	698.41	420.68	521.76	780.44	2976.74	1519.15	1806.78	1857.6	1709.26	3349.13	2796.65	3395.89	1508.65	2224.63	2796.65
DDX18	1066.48	1259.69	1909.85	1561.89	2485.67	1304.15	1487.87	334.46	214.27	248.0	256.78	603.67	624.99	620.67	343.89	256.78	603.67	575.03	665.29	353.59	497.0	567.1
DTWD1	1059.11	995.0	1561.89	1331.57	3443.31	1259.69	1143.1	191.67	105.15	211.31	211.31	819.3	638.15	633.73	361.04	226.54	457.25	476.71	470.14	351.14	307.69	368.65
DTWD2	228.13	226.54	163.28	176.29	122.64	124.37	303.44	29.06	40.07	35.25	54.72	60.82	72.01	63.45	18.43	18.7	30.56	84.63	80.57	40.07	36.27	24.28
DYNC1LI1	1051.79	723.08	842.36	890.44	1322.37	684.02	551.56	183.82	132.44	208.38	221.86	500.46	500.46	567.1	389.72	264.03	403.5	470.14	579.04	392.44	392.44	463.65
