	TCGA.K4.A4AC.01A.21R.A26T.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.FD.A3N6.01A.11R.A21D.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.C4.A0F1.01A.11R.A034.07	TCGA.E2.A1LK.01A.21R.A14D.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A8QA.01A.11R.A37O.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EX.A3L1.01A.11R.A32Y.07	TCGA.EK.A2RE.01A.11R.A18M.07	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.CV.5976.01A.11R.1686.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.UF.A718.01A.22R.A34R.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.BB.A5HU.01A.11R.A28V.07	TCGA.HD.8634.01A.11R.2403.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.HD.A4C1.01A.11R.A24H.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7421.01A.11R.2081.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.F7.A620.01A.11R.A28V.07	TCGA.CV.7438.01A.21R.2132.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CV.7238.01A.11R.2016.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7430.01A.11R.2132.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.43.6771.01A.11R.1820.07	GTEX.11WQK.2926.SM.5EQKT
ADCK5	457.25	72.52	312.0	486.75	371.22	251.48	1350.18	190.34	139.07	395.18	108.9	223.41	432.53	420.68	175.07	366.09	327.56	299.25	414.87	297.17	211.31	169.07	693.58	119.26	153.34	175.07	343.89	231.32	232.94	698.41	165.57	307.69	334.46	293.07	283.05	100.83	309.83	348.71	314.17	236.21	132.44	141.02	231.32	204.07	583.07	775.05	164.42	161.02	171.45	265.87	120.94	403.5	133.36	336.79	397.93	133.36	211.31	583.07	414.87	193.01	312.0	165.57	185.11	37.59
ARMC1	518.15	361.04	295.11	769.69	318.57	620.67	1870.53	236.21	264.03	500.46	214.27	476.71	638.15	563.18	379.04	693.58	743.43	629.35	647.07	684.02	417.77	454.09	511.0	447.82	297.17	547.75	808.0	253.23	358.54	587.13	532.74	529.06	358.54	400.71	802.41	406.31	457.25	571.05	423.61	536.45	376.41	426.57	426.57	336.79	769.69	583.07	389.72	397.93	629.35	587.13	470.14	571.05	299.25	536.45	748.61	470.14	406.31	651.58	579.04	414.87	514.56	373.81	223.41	249.73
ATP6V1C1	1794.29	775.05	514.56	1081.39	825.0	1350.18	3491.39	303.44	293.07	902.89	414.87	607.87	688.78	1369.04	423.61	1225.22	674.59	796.86	1583.71	780.44	647.07	884.29	629.35	848.22	384.34	612.11	909.17	289.02	356.05	679.29	819.3	703.28	525.39	713.11	1487.87	620.67	708.18	571.05	738.29	543.96	633.73	708.18	723.08	403.5	1359.57	896.64	473.41	547.75	941.27	941.27	587.13	981.29	381.68	769.69	1037.29	371.22	497.0	1104.13	1151.06	612.11	414.87	397.93	460.44	395.18
BOP1	3467.27	860.08	1674.06	2520.38	2915.45	2193.99	7803.01	551.56	351.14	2255.7	629.35	785.88	2367.9	3325.99	1437.15	1819.35	1498.22	1651.0	2609.3	2163.77	2018.8	1529.73	3847.29	1540.37	836.53	1407.55	1427.22	555.41	842.36	2520.38	688.78	1794.29	1388.16	1685.71	4836.35	890.44	1674.06	1733.13	2434.5	1001.93	802.41	1191.69	1674.06	1111.82	4210.15	3168.41	1487.87	1427.22	2240.11	2090.03	791.35	1199.98	860.08	2018.8	2434.5	1030.12	1519.15	2664.15	1896.65	1143.1	1674.06	1073.91	890.44	866.07
C8orf33	878.17	514.56	500.46	954.43	1427.22	693.58	3901.01	143.01	414.87	836.53	318.57	511.0	1119.56	961.07	409.15	836.53	738.29	872.1	1044.52	896.64	728.11	543.96	954.43	540.19	447.82	529.06	921.88	267.73	356.05	860.08	532.74	872.1	669.92	595.34	1498.22	420.68	551.56	563.18	595.34	529.06	450.94	660.68	769.69	447.82	2855.44	988.12	579.04	656.11	684.02	1015.93	397.93	813.63	299.25	1001.93	890.44	466.88	460.44	928.3	915.51	603.67	733.19	624.99	392.44	392.44
C8orf59	2739.08	2895.31	3081.75	5219.6	5954.47	4066.71	17197.56	3212.66	1572.76	5594.3	1350.18	3768.09	6840.04	3280.18	2645.74	6337.83	3639.7	3874.05	3395.89	2875.3	3257.52	1769.57	5995.9	1950.0	1674.06	2468.49	3716.2	1225.22	2133.97	4802.93	2047.0	2796.65	2796.65	3257.52	4903.87	1417.35	2956.17	4575.41	6426.31	2555.58	1216.75	1896.65	1685.71	2119.22	4239.45	9025.81	1697.45	2835.7	3564.78	8247.98	3716.2	4543.8	1508.65	5183.54	3690.52	1651.0	2976.74	4937.99	3540.14	1806.78	2502.97	2915.45	1397.83	1819.35
C8orf76	974.5	414.87	463.65	866.07	954.43	684.02	2485.67	500.46	269.6	1037.29	279.14	400.71	780.44	753.83	426.57	718.08	791.35	647.07	718.08	748.61	660.68	473.41	974.5	334.46	336.79	563.18	988.12	312.0	500.46	579.04	547.75	444.72	743.43	656.11	1250.98	341.51	575.03	620.67	595.34	406.31	441.64	409.15	616.37	525.39	854.13	909.17	497.0	466.88	753.83	1457.23	353.59	708.18	339.14	909.17	974.5	343.89	454.09	981.29	511.0	493.56	547.75	536.45	220.32	1183.45
C8orf82	551.56	107.38	162.14	476.71	476.71	567.1	1733.13	163.28	167.9	409.15	157.68	158.79	1250.98	669.92	127.89	353.59	271.48	199.85	327.56	389.72	220.32	147.06	559.28	146.03	158.79	277.2	289.02	100.13	128.79	358.54	199.85	239.52	170.25	218.79	616.37	108.14	175.07	271.48	320.8	153.34	154.42	163.28	217.27	208.38	339.14	497.0	166.73	305.55	220.32	507.46	94.01	334.46	111.99	242.88	571.05	159.9	183.82	595.34	279.14	208.38	183.82	186.4	144.01	55.49
CHRAC1	974.5	503.95	642.59	1059.11	769.69	1167.14	2119.22	438.59	703.28	759.08	363.56	633.73	1487.87	1242.34	536.45	693.58	629.35	490.14	1519.15	830.75	753.83	775.05	1191.69	713.11	395.18	521.76	723.08	232.94	536.45	1044.52	718.08	536.45	525.39	679.29	1457.23	463.65	1023.0	551.56	567.1	525.39	441.64	624.99	791.35	392.44	2319.15	961.07	563.18	591.22	703.28	872.1	441.64	780.44	348.71	759.08	1359.57	525.39	718.08	1001.93	638.15	723.08	432.53	454.09	351.14	366.09
COMMD5	1175.27	389.72	376.41	860.08	825.0	785.88	5112.16	305.55	289.02	775.05	346.29	463.65	878.17	1073.91	423.61	902.89	698.41	656.11	842.36	796.86	825.0	579.04	1304.15	748.61	361.04	571.05	995.0	414.87	444.72	1044.52	669.92	703.28	656.11	860.08	1896.65	500.46	497.0	713.11	928.3	547.75	536.45	463.65	638.15	511.0	1697.45	836.53	555.41	529.06	860.08	1540.37	384.34	775.05	361.04	1143.1	1259.69	555.41	642.59	1250.98	785.88	571.05	759.08	629.35	412.0	612.11
