	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.E2.A1BD.01A.11R.A12P.07	TCGA.C8.A26X.01A.31R.A16F.07	TCGA.E2.A1LE.01A.12R.A19W.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.AR.A24Z.01A.11R.A169.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.131YS.0626.SM.5EGKL	GTEX.11EMC.2026.SM.5A5JV	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.BA.5558.01A.01R.1514.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.13NYC.2626.SM.5K7VN
AC124890.1	1.19	7.4	1.33	3.53	1.43	3.38	3.26	0.37	9.27	13.52	11.73	10.63	15.34	10.63	2.48	0.0	0.0	0.3	0.0	1.01
ACAD10	248.0	358.54	195.72	361.04	287.01	366.09	447.82	205.5	353.59	665.29	518.15	497.0	543.96	743.43	220.32	134.3	0.0	0.17	120.94	248.0
AGAP9	25.17	87.65	10.08	26.67	6.89	29.7	33.78	11.91	104.42	172.65	36.27	89.51	74.58	108.14	53.19	3.29	0.0	0.77	9.34	0.0
AHSA2	325.29	395.18	180.02	423.61	165.57	403.5	808.0	348.71	967.76	1583.71	1662.49	1225.22	915.51	1447.15	603.67	123.5	0.0	1.58	4.94	143.01
AL162407.1	68.55	215.77	57.49	193.01	57.49	131.51	135.24	48.18	180.02	387.02	244.57	201.25	197.09	152.28	70.51	18.43	0.0	0.55	21.16	63.89
AMDHD1	21.32	29.06	18.56	4.54	4.13	21.63	16.88	12.64	26.67	60.39	21.01	82.87	44.25	78.34	16.27	3.29	0.0	0.27	10.63	2.84
AP3B2	33.3	32.13	4.06	42.11	3.0	43.63	16.03	30.78	67.59	161.02	113.56	139.07	435.55	463.65	97.36	1.87	0.0	0.51	1.31	7.63
BBS1	412.0	684.02	244.57	334.46	312.0	518.15	651.58	291.04	896.64	1143.1	1104.13	1151.06	1216.75	1397.83	651.58	215.77	0.0	0.57	78.89	305.55
C3orf18	73.03	275.28	47.84	49.91	49.21	116.78	258.57	25.72	253.23	444.72	595.34	476.71	318.57	329.84	303.44	8.92	0.0	0.18	33.54	84.63
C8orf37	41.22	72.52	38.67	34.26	43.63	73.54	44.89	53.57	53.57	118.43	99.43	130.6	57.89	62.12	43.94	15.34	0.0	0.05	29.48	37.05
CCDC14	307.69	723.08	175.07	435.55	176.29	563.18	607.87	299.25	836.53	1208.34	1191.69	1023.0	1104.13	1051.79	420.68	291.04	0.0	1.07	30.56	180.02
DDX59	291.04	723.08	480.04	293.07	409.15	457.25	603.67	656.11	435.55	785.88	575.03	603.67	713.11	463.65	507.46	201.25	0.0	0.21	236.21	348.71
EFHC1	206.94	299.25	74.06	148.09	102.25	351.14	341.51	161.02	444.72	525.39	612.11	343.89	571.05	921.88	293.07	38.4	0.0	0.22	18.29	63.0
ENOSF1	753.83	703.28	389.72	356.05	507.46	1259.69	1191.69	780.44	1008.9	1529.73	947.83	1359.57	1447.15	1467.37	591.22	106.63	0.0	0.65	157.68	246.28
EXOC7	934.76	1467.37	1023.0	1769.57	1407.55	1870.53	1259.69	974.5	1923.14	2875.3	3491.39	1950.0	2148.82	2720.15	1127.35	915.51	0.0	0.8	567.1	854.13
FAM86B1	162.14	221.86	38.12	85.22	19.39	47.84	95.34	100.13	170.25	429.54	540.19	376.41	353.59	575.03	182.55	17.51	0.0	0.3	18.7	59.13
FBXO48	17.25	41.81	16.51	32.13	23.59	29.48	17.9	20.86	46.18	61.25	73.03	42.71	30.78	32.36	21.94	12.93	0.0	0.03	18.16	16.03
FN3KRP	412.0	988.12	323.03	1111.82	780.44	988.12	764.36	1096.5	890.44	1437.15	1651.0	1605.83	1104.13	1407.55	884.29	796.86	0.0	0.48	476.71	444.72
GLS2	23.25	66.18	14.14	33.54	16.27	47.5	41.52	46.84	97.36	150.17	162.14	150.17	181.28	137.14	52.82	13.32	0.0	0.33	27.64	28.65
GOLGA8B	159.9	176.29	109.66	285.03	96.68	226.54	743.43	127.89	915.51	2004.85	2047.0	1397.83	1709.26	2351.53	435.55	90.14	0.0	1.41	2.58	72.52
GPR45	1.46	0.32	0.4	1.35	0.0	0.32	1.55	0.58	2.97	4.74	4.86	3.32	3.69	4.1	0.0	0.41	0.0	0.03	0.18	0.21
GRPR	2.78	146.03	1.57	2.89	2.53	242.88	281.09	5.5	287.01	612.11	438.59	1044.52	171.45	500.46	104.42	1.45	0.0	0.02	3.17	0.0
GTF2IRD2B	457.25	620.67	441.64	753.83	540.19	486.75	624.99	323.03	909.17	1175.27	1159.07	1628.26	1529.73	1143.1	688.78	69.52	215.77	211.31	155.5	312.0
HINFP	293.07	426.57	202.66	457.25	199.85	583.07	392.44	191.67	403.5	599.49	463.65	616.37	400.71	579.04	312.0	381.68	0.0	0.56	103.69	176.29
KANSL3	287.01	684.02	312.0	353.59	285.03	525.39	612.11	348.71	896.64	1233.75	1104.13	1044.52	909.17	1233.75	493.56	312.0	343.89	228.13	137.14	332.14
KIAA1407	53.57	246.28	30.12	69.03	37.32	183.82	170.25	30.34	189.02	307.69	325.29	223.41	237.86	406.31	86.43	12.36	0.0	0.29	5.41	24.46
MAATS1	14.78	67.12	6.67	25.54	6.89	34.02	24.11	11.3	85.82	309.83	85.22	214.27	209.84	253.23	30.34	1.55	0.0	0.32	1.43	9.56
MAGED4	68.55	204.07	15.22	64.34	76.71	279.14	165.57	21.32	173.85	470.14	759.08	204.07	214.27	400.71	131.51	28.45	0.0	0.05	12.27	20.56
MAGED4B	153.34	656.11	114.36	155.5	80.01	571.05	205.5	60.82	309.83	733.19	896.64	743.43	403.5	703.28	102.25	117.6	0.0	0.45	62.56	23.42
MAGEE1	36.79	87.65	20.56	48.52	10.96	54.33	46.84	29.06	108.14	208.38	186.4	154.42	98.73	92.7	72.01	6.16	0.0	0.15	14.35	10.79
