	TCGA.C5.A1ML.01A.11R.A14Y.07	TCGA.DQ.7593.01A.11R.2232.07	TCGA.CZ.5470.01A.01R.1503.07	TCGA.BP.5173.01A.01R.1426.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.38.4625.01A.01R.1206.07	TCGA.73.7499.01A.11R.2187.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.11P81.0226.SM.5HL5M	GTEX.13G51.0426.SM.5K7Z5	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ
ACTR10	1936.53	1923.14	1073.91	961.07	1225.22	1073.91	2303.12	239.52	1044.52	1963.57	1151.06	1059.11	743.43	612.11	733.19	915.51	1199.98	1183.45	967.76	866.07	802.41	748.61
AL591479.1	105.15	64.8	34.26	42.71	58.3	0.0	89.51	0.01	36.79	11.73	84.63	13.93	3.92	7.22	23.42	60.39	21.78	71.0	6.31	20.71	9.63	22.75
ANKRD32	262.2	146.03	91.41	79.45	116.78	0.0	117.6	0.35	45.53	17.25	145.02	28.04	54.33	28.04	37.05	48.52	61.68	100.83	39.79	52.45	20.71	41.52
AP3B1	1233.75	1175.27	928.3	1081.39	1143.1	0.0	684.02	0.42	647.07	567.1	514.56	503.95	323.03	325.29	447.82	633.73	633.73	1030.12	379.04	587.13	457.25	514.56
AP3S1	2976.74	1794.29	1685.71	1844.76	1870.53	0.0	1674.06	0.8	819.3	1651.0	1208.34	684.02	848.22	384.34	1073.91	723.08	1111.82	1457.23	1135.2	1151.06	759.08	1225.22
ARSK	253.23	98.73	110.43	201.25	149.12	0.0	107.38	0.12	59.13	39.79	125.24	29.91	57.08	28.04	70.01	61.68	34.02	86.43	62.56	166.73	53.95	85.82
ARV1	819.3	703.28	769.69	896.64	525.39	0.0	947.83	0.0	395.18	470.14	507.46	157.68	148.09	58.3	151.22	303.44	228.13	698.41	241.19	305.55	226.54	185.11
ATP6V1G1	5594.3	4239.45	5183.54	3690.52	3540.14	2758.13	9474.59	1583.71	3146.52	5076.84	2609.3	2417.67	1857.6	1883.54	2682.69	2335.28	2573.36	3349.13	3212.66	3257.52	2701.35	2701.35
BNIP1	497.0	325.29	473.41	384.34	327.56	0.0	941.27	0.41	269.6	348.71	187.71	271.48	178.77	244.57	151.22	135.24	190.34	293.07	275.28	201.25	297.17	113.56
BOD1	1583.71	775.05	1001.93	1498.22	954.43	0.0	1936.53	0.91	785.88	1350.18	500.46	769.69	358.54	693.58	466.88	511.0	518.15	647.07	559.28	358.54	748.61	647.07
BPHL	543.96	414.87	620.67	684.02	1397.83	0.0	1605.83	0.28	363.56	291.04	447.82	86.43	162.14	81.71	145.02	514.56	258.57	412.0	204.07	214.27	106.63	285.03
C12orf10	1277.29	1081.39	2758.13	2664.15	1662.49	0.0	1447.15	0.64	1104.13	785.88	1295.13	376.41	486.75	647.07	438.59	1030.12	802.41	981.29	400.71	753.83	595.34	583.07
C21orf59	1369.04	995.0	1313.23	1709.26	890.44	0.0	2209.26	0.46	1487.87	679.29	1551.09	395.18	1127.35	275.28	441.64	638.15	414.87	1066.48	743.43	543.96	638.15	444.72
C6orf203	620.67	607.87	718.08	703.28	334.46	0.0	463.65	0.0	236.21	189.02	454.09	144.01	113.56	80.01	170.25	228.13	166.73	518.15	102.25	163.28	169.07	112.77
C6orf57	303.44	209.84	450.94	232.94	154.42	0.0	314.17	0.14	209.84	234.57	303.44	99.43	55.1	19.53	46.84	175.07	113.56	291.04	84.63	145.02	67.12	68.55
C9orf69	1073.91	764.36	571.05	543.96	432.53	0.0	728.11	0.02	307.69	265.87	450.94	152.28	159.9	139.07	177.53	303.44	256.78	507.46	149.12	204.07	277.2	187.71
CD74	16496.96	119776.72	215898.44	466008.55	397335.0	0.0	167058.21	1.08	726195.27	1196176.45	757033.75	358098.26	1019901.63	932018.1	1503610.06	1229805.58	741454.2	236256.4	593956.43	1877002.62	636586.81	1196176.45
CDC23	830.75	703.28	497.0	579.04	483.38	0.0	460.44	0.46	318.57	262.2	429.54	316.37	212.78	135.24	228.13	361.04	234.57	457.25	226.54	334.46	260.38	197.09
