	TCGA.B8.5164.01A.01R.1420.07	TCGA.B8.4621.01A.01R.1503.07	TCGA.BP.4807.01A.01R.1305.07	TCGA.HE.7128.01A.11R.1965.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.B3.8121.01A.21R.2404.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.B9.5156.01A.01R.1592.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.BJ.A0ZA.01A.11R.A10U.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.IM.A420.01A.11R.A23N.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.DJ.A3UQ.01A.11R.A22L.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.FE.A23A.01A.11R.A16R.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A28X.01A.11R.A22L.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.J8.A3YE.01A.12R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EM.A22I.01A.11R.A180.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.ET.A3BO.01A.11R.A19O.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EM.A2CQ.01A.11R.A180.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.E8.A419.01A.11R.A23N.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3T1.01A.11R.A22L.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.ET.A3DU.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.FY.A40L.01A.11R.A23N.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.Y5V6.0526.SM.4VBRV	GTEX.WHSE.0626.SM.4RGNF	GTEX.S4Z8.0326.SM.3K2AU	GTEX.1399R.0126.SM.5IFEV	GTEX.WY7C.0226.SM.3NB37	GTEX.139YR.1226.SM.5IFEU	GTEX.V955.0426.SM.3GAEL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.13CF3.0926.SM.5LZZC	GTEX.ZTPG.0826.SM.5DUVC	GTEX.11TT1.1126.SM.5P9GV
ACADM	2319.15	1844.76	2591.27	1870.53	2224.63	1583.71	1832.01	1617.0	1685.71	825.0	414.87	1508.65	486.75	748.61	616.37	387.02	669.92	698.41	684.02	435.55	400.71	334.46	1295.13	1030.12	587.13	373.81	559.28	1529.73	624.99	323.03	743.43	406.31	470.14	954.43	633.73	500.46	511.0	698.41	1259.69	764.36	759.08	728.11	656.11	454.09	426.57	759.08	599.49	616.37	540.19	466.88	1119.56	309.83	529.06	450.94	595.34	599.49	490.14	825.0	616.37	441.64	571.05	842.36	764.36	525.39	616.37	647.07	351.14	791.35	1030.12	476.71	819.3	500.46	395.18	660.68	529.06	490.14	412.0	579.04	571.05	417.77	656.11	555.41	466.88	620.67	473.41	587.13	457.25	703.28	718.08	476.71	476.71	518.15	1015.93	1388.16	629.35	1397.83	1685.71	1250.98	1605.83	1250.98	1015.93	723.08	1051.79	1030.12
ADAM10	2148.82	2287.2	1540.37	1832.01	1870.53	2335.28	674.59	2367.9	947.83	486.75	536.45	423.61	665.29	612.11	638.15	518.15	718.08	624.99	599.49	518.15	507.46	366.09	348.71	429.54	595.34	473.41	733.19	406.31	753.83	473.41	420.68	688.78	583.07	551.56	607.87	497.0	616.37	1044.52	480.04	500.46	500.46	435.55	563.18	698.41	463.65	703.28	567.1	638.15	379.04	511.0	521.76	450.94	493.56	647.07	738.29	503.95	733.19	842.36	463.65	518.15	718.08	848.22	379.04	521.76	674.59	780.44	460.44	629.35	423.61	490.14	791.35	591.22	536.45	503.95	718.08	599.49	693.58	708.18	543.96	493.56	629.35	660.68	420.68	698.41	723.08	802.41	518.15	532.74	507.46	571.05	441.64	518.15	884.29	830.75	1051.79	909.17	819.3	825.0	1295.13	902.89	915.51	884.29	941.27	733.19
AL136218.1	251.48	103.69	156.59	123.5	195.72	267.73	155.5	69.52	438.59	33.06	29.27	24.99	47.5	57.08	12.27	11.55	10.31	7.28	4.21	0.21	23.59	3.26	15.91	10.55	31.9	40.93	20.26	57.49	26.1	15.11	0.78	21.63	21.94	10.47	0.0	0.0	15.34	40.07	36.01	59.55	72.52	0.0	19.97	24.99	0.0	23.59	13.42	0.0	48.87	0.0	51.35	0.0	7.75	2.07	30.78	0.0	79.45	46.18	0.0	0.0	3.53	83.45	37.05	7.69	6.06	13.42	6.31	48.18	15.11	0.0	25.17	3.23	0.0	10.71	0.0	12.55	18.16	17.51	21.47	0.0	25.91	91.41	12.55	31.9	120.1	29.06	0.0	32.82	25.91	5.96	21.47	6.57	89.51	0.0	212.78	112.77	98.04	27.05	110.43	0.0	129.69	27.25	253.23	85.82
ALG11	314.17	176.29	197.09	159.9	197.09	224.97	108.14	154.42	186.4	98.73	49.56	115.16	52.08	130.6	81.14	44.57	83.45	66.18	49.21	43.02	42.11	28.86	112.77	67.59	80.01	32.13	80.01	96.68	112.77	53.57	60.82	88.88	61.25	65.72	65.26	26.86	84.04	134.3	98.04	87.03	71.5	40.36	64.34	81.71	36.53	98.73	74.06	94.01	63.89	36.01	69.03	36.01	38.12	83.45	97.36	53.57	91.41	119.26	43.32	33.06	75.11	139.07	72.52	49.56	77.79	98.73	33.78	90.14	116.78	56.68	138.1	39.5	34.26	38.4	69.52	87.65	46.5	64.34	57.08	57.08	81.14	98.04	38.4	96.01	78.34	127.89	43.02	66.18	57.08	47.5	61.25	69.03	145.02	148.09	82.29	146.03	205.5	189.02	228.13	162.14	208.38	162.14	150.17	121.79
AP1G1	1467.37	1498.22	1111.82	1242.34	1304.15	1417.35	1030.12	1477.58	1369.04	684.02	511.0	775.05	514.56	854.13	629.35	381.68	579.04	563.18	486.75	476.71	353.59	301.33	441.64	532.74	616.37	387.02	703.28	587.13	708.18	547.75	521.76	813.63	583.07	854.13	780.44	389.72	785.88	1015.93	624.99	559.28	507.46	457.25	599.49	825.0	314.17	988.12	684.02	796.86	476.71	368.65	633.73	332.14	454.09	780.44	669.92	567.1	674.59	836.53	358.54	486.75	620.67	836.53	473.41	518.15	599.49	656.11	316.37	624.99	830.75	599.49	928.3	543.96	343.89	444.72	497.0	866.07	497.0	656.11	607.87	507.46	587.13	764.36	371.22	743.43	540.19	753.83	450.94	563.18	473.41	525.39	603.67	599.49	703.28	848.22	591.22	713.11	591.22	780.44	713.11	830.75	728.11	995.0	633.73	616.37
APC	271.48	161.02	182.55	228.13	165.57	161.02	85.82	122.64	583.07	91.41	63.89	165.57	73.54	100.13	77.25	43.32	96.01	72.52	53.19	48.87	40.07	29.27	136.19	61.68	81.71	33.78	87.65	80.01	82.87	52.45	69.03	100.83	73.54	102.25	100.13	32.82	84.04	127.0	108.14	71.5	66.65	46.18	57.08	107.38	32.36	96.68	90.14	98.73	52.45	49.21	69.52	36.53	57.89	87.65	98.04	63.45	101.54	119.26	47.84	51.71	73.54	118.43	112.77	59.13	66.65	90.14	36.53	72.01	164.42	58.3	127.89	60.39	42.41	51.71	77.79	90.14	64.8	58.3	69.52	55.89	90.14	118.43	44.57	120.1	68.55	105.15	47.5	63.0	79.45	58.3	56.68	52.45	185.11	133.36	94.01	178.77	161.02	136.19	206.94	175.07	96.01	91.41	132.44	140.04
APPBP2	529.06	579.04	454.09	457.25	575.03	796.86	314.17	665.29	759.08	224.97	163.28	395.18	180.02	351.14	193.01	149.12	208.38	161.02	171.45	150.17	135.24	100.13	262.2	218.79	217.27	121.79	211.31	237.86	318.57	158.79	190.34	273.37	175.07	327.56	190.34	141.02	218.79	356.05	253.23	223.41	199.85	150.17	176.29	206.94	115.97	287.01	246.28	241.19	166.73	141.02	186.4	103.69	180.02	209.84	283.05	161.02	208.38	312.0	176.29	131.51	223.41	297.17	241.19	159.9	186.4	264.03	123.5	204.07	291.04	166.73	299.25	159.9	111.21	151.22	218.79	244.57	197.09	191.67	169.07	146.03	199.85	256.78	132.44	285.03	193.01	287.01	145.02	177.53	182.55	199.85	146.03	195.72	412.0	343.89	260.38	432.53	323.03	334.46	633.73	457.25	392.44	363.56	316.37	281.09
APPL1	409.15	339.14	447.82	571.05	470.14	373.81	303.44	435.55	473.41	305.55	229.72	343.89	273.37	351.14	283.05	204.07	327.56	231.32	256.78	211.31	204.07	146.03	366.09	262.2	244.57	195.72	291.04	279.14	307.69	183.82	232.94	264.03	221.86	314.17	237.86	171.45	283.05	358.54	348.71	287.01	269.6	218.79	218.79	277.2	185.11	303.44	275.28	301.33	228.13	218.79	279.14	191.67	231.32	283.05	309.83	231.32	269.6	346.29	211.31	204.07	307.69	361.04	336.79	204.07	279.14	303.44	215.77	256.78	435.55	208.38	327.56	229.72	182.55	215.77	269.6	239.52	297.17	283.05	232.94	197.09	273.37	271.48	183.82	283.05	297.17	327.56	182.55	242.88	224.97	248.0	232.94	248.0	493.56	371.22	480.04	466.88	438.59	376.41	591.22	463.65	379.04	400.71	444.72	361.04
ATE1	620.67	406.31	507.46	483.38	438.59	348.71	599.49	409.15	921.88	303.44	185.11	334.46	258.57	325.29	223.41	142.01	221.86	205.5	187.71	167.9	158.79	126.12	297.17	229.72	232.94	145.02	239.52	293.07	277.2	151.22	239.52	205.5	178.77	312.0	239.52	128.79	215.77	400.71	303.44	273.37	256.78	198.47	191.67	202.66	115.97	312.0	285.03	255.0	242.88	155.5	220.32	131.51	183.82	217.27	277.2	191.67	253.23	279.14	186.4	187.71	267.73	297.17	226.54	171.45	246.28	309.83	158.79	273.37	447.82	146.03	339.14	190.34	157.68	199.85	244.57	271.48	214.27	232.94	220.32	151.22	239.52	305.55	146.03	309.83	262.2	314.17	147.06	246.28	256.78	205.5	224.97	194.36	387.02	336.79	279.14	426.57	414.87	381.68	595.34	376.41	381.68	406.31	353.59	285.03
ATP13A3	1936.53	2816.11	2976.74	1685.71	1447.15	2104.58	1378.57	1857.6	3491.39	1037.29	995.0	909.17	1529.73	1721.16	1208.34	679.29	1487.87	1350.18	1175.27	1151.06	603.67	521.76	1135.2	769.69	941.27	934.76	1388.16	1457.23	1378.57	1088.92	941.27	1037.29	890.44	1417.35	1167.14	785.88	1242.34	2133.97	941.27	1119.56	934.76	1059.11	1015.93	1268.46	571.05	1242.34	1721.16	1322.37	1216.75	1286.18	769.69	1059.11	1030.12	1250.98	1457.23	1081.39	1467.37	1794.29	995.0	1191.69	1359.57	1233.75	1059.11	1073.91	1143.1	1561.89	791.35	1561.89	1457.23	1015.93	1388.16	1427.22	1250.98	902.89	1088.92	1331.57	1073.91	1111.82	1119.56	981.29	1477.58	1447.15	813.63	890.44	1286.18	1594.73	1030.12	1104.13	1030.12	854.13	1044.52	1331.57	2119.22	2209.26	5112.16	1628.26	1628.26	1769.57	2163.77	2119.22	2816.11	2287.2	2047.0	1397.83
