	TCGA.BT.A2LA.01A.11R.A18C.07	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.DD.A1EA.01A.11R.A131.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.XR.A8TD.01A.12R.A39D.07	TCGA.BC.A3KG.01A.11R.A213.07	TCGA.DD.AACV.01A.11R.A41C.07	TCGA.CC.A8HT.01A.11R.A36F.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.QA.A7B7.01A.11R.A32O.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13NYB.1026.SM.5IFH3	GTEX.13N11.0926.SM.5IJG2	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.14DAQ.1726.SM.5S2R2	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.WFON.1726.SM.4LVMQ	TCGA.NK.A5D1.01A.11R.A26W.07	TCGA.A5.A1OH.01A.21R.A22K.07
APOC2	2.29	118949.35	85283.74	229795.93	22692.63	109455.64	181548.07	130165.62	57448.23	207103.59	87681.42	408505.64	741454.2	593956.43	489177.0	805764.22	506427.83	1355129.16	1412675.8	663619.99	313910.86	610654.84	405683.88	932018.1	654483.73	783730.52	348306.01	834179.46	598087.73	434801.29	31.22	45.85
ARHGAP11A	483.38	94.67	103.69	155.5	185.11	142.01	454.09	204.07	220.32	353.59	120.94	3.29	341.51	4.66	47.5	24.81	52.45	4.66	16.63	30.78	0.83	4.39	45.85	6.16	12.09	2.56	32.82	15.11	4.62	12.0	563.18	182.55
ATAD5	96.68	21.63	22.43	44.25	56.28	26.28	133.36	48.18	45.85	63.89	61.25	8.92	17.64	4.54	15.56	6.26	28.45	2.97	9.93	2.97	1.19	4.98	8.85	2.2	5.92	2.94	18.16	3.86	4.9	3.03	159.9	57.08
BUB1	511.0	107.38	87.03	229.72	463.65	181.28	417.77	260.38	303.44	273.37	397.93	1.38	275.28	4.17	67.12	18.03	66.65	3.63	6.26	19.82	0.0	5.92	29.48	3.79	10.16	5.19	44.57	3.63	4.66	3.14	733.19	603.67
C16orf59	981.29	88.26	49.56	248.0	551.56	293.07	669.92	346.29	258.57	420.68	563.18	6.89	115.97	6.67	96.01	41.52	182.55	19.97	33.54	10.16	7.69	6.89	29.48	13.03	29.7	6.31	66.18	73.03	15.11	45.85	753.83	473.41
C4orf21	84.04	32.13	23.25	54.72	78.89	79.45	140.04	73.54	75.11	262.2	141.02	14.45	16.15	10.08	15.56	18.97	38.67	16.03	26.28	9.27	10.24	29.27	16.88	7.17	19.53	12.83	31.67	15.22	14.24	12.45	249.73	110.43
CCDC18	135.24	83.45	74.58	89.51	157.68	99.43	223.41	112.77	215.77	291.04	153.34	45.85	51.35	39.79	53.57	61.68	40.93	48.87	30.34	26.67	19.39	67.59	46.84	50.98	67.12	33.3	39.5	38.67	25.35	34.51	153.34	141.02
CCNA2	633.73	255.0	169.07	273.37	665.29	473.41	642.59	339.14	638.15	529.06	503.95	7.4	612.11	16.63	104.42	33.3	159.9	12.64	11.47	26.1	6.57	13.03	34.51	2.27	14.67	8.06	104.42	16.75	5.45	4.5	1066.48	638.15
CCNB2	1572.76	293.07	183.82	309.83	764.36	483.38	1119.56	713.11	915.51	830.75	928.3	5.63	651.58	3.66	157.68	31.9	149.12	4.74	15.45	50.98	0.0	14.89	64.8	14.24	10.88	5.23	152.28	16.75	10.08	10.24	2434.5	1427.22
CDCA8	1685.71	193.01	101.54	289.02	1044.52	231.32	559.28	400.71	571.05	463.65	511.0	8.06	414.87	10.55	82.87	31.0	143.01	5.96	10.79	34.51	4.39	9.48	45.21	9.48	11.55	2.48	112.77	13.52	8.32	5.63	1286.18	529.06
