	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.T2IS.1526.SM.32QPR	GTEX.ZF29.1926.SM.5S2P1	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11NV4.1326.SM.5HL6V	GTEX.145LU.1326.SM.5LU9N	GTEX.SJXC.1226.SM.4DM78	TCGA.38.4625.01A.01R.1206.07.1
EIF4B	4239.45	3491.39	5329.3	3372.43	2777.33	5995.9	4450.27	5555.65	4419.52	3874.05	5672.41	2573.36	6471.02	4388.98	12853.63	7537.18	7130.55	6037.61	9740.98	7032.37	13492.72	10585.95	4607.24	5006.93	8963.45	8479.89	5791.62	7081.29	3018.3	1896.65	1794.29	1819.35	1697.45	1498.22	1977.24	1721.16	1540.37	1883.54	3103.19
EP300	267.73	325.29	339.14	217.27	480.04	595.34	379.04	403.5	204.07	283.05	221.86	221.86	460.44	348.71	802.41	620.67	518.15	447.82	981.29	629.35	579.04	1051.79	583.07	246.28	181.28	454.09	299.25	708.18	185.11	127.89	117.6	110.43	108.9	163.28	155.5	158.79	178.77	164.42	86.43
FBXW4	1437.15	1044.52	476.71	651.58	1015.93	1350.18	1037.29	775.05	1313.23	1175.27	981.29	660.68	1639.59	1819.35	1427.22	1286.18	1331.57	1745.2	1447.15	1685.71	1909.85	1508.65	1617.0	684.02	743.43	1030.12	1896.65	995.0	624.99	466.88	599.49	525.39	607.87	954.43	743.43	723.08	934.76	802.41	0.58
FCF1	470.14	796.86	688.78	525.39	620.67	1096.5	728.11	753.83	791.35	620.67	884.29	426.57	909.17	444.72	1313.23	1073.91	988.12	878.17	1350.18	954.43	1457.23	1225.22	947.83	1127.35	674.59	1519.15	909.17	1286.18	366.09	291.04	239.52	269.6	305.55	384.34	312.0	293.07	285.03	231.32	0.21
GCC1	208.38	265.87	323.03	323.03	291.04	457.25	299.25	256.78	417.77	275.28	329.84	241.19	363.56	195.72	392.44	373.81	376.41	178.77	454.09	248.0	379.04	426.57	244.57	135.24	191.67	289.02	265.87	363.56	195.72	131.51	106.63	178.77	147.06	118.43	215.77	173.85	115.97	110.43	0.0
GCN1L1	348.71	373.81	518.15	1242.34	555.41	642.59	551.56	708.18	620.67	599.49	723.08	638.15	693.58	389.72	748.61	842.36	674.59	457.25	775.05	607.87	1088.92	620.67	728.11	571.05	373.81	674.59	305.55	358.54	262.2	185.11	175.07	173.85	178.77	212.78	215.77	182.55	147.06	156.59	0.82
IL17RA	122.64	96.68	150.17	94.01	137.14	189.02	186.4	164.42	108.14	138.1	127.0	107.38	214.27	84.63	226.54	260.38	165.57	157.68	185.11	153.34	114.36	283.05	176.29	105.89	91.41	130.6	145.02	123.5	66.65	69.03	94.01	90.77	69.03	61.68	82.29	52.45	73.54	76.17	48.87
KIAA1143	343.89	444.72	438.59	167.9	223.41	575.03	447.82	363.56	209.84	218.79	463.65	253.23	414.87	204.07	854.13	518.15	466.88	343.89	708.18	507.46	759.08	974.5	412.0	460.44	607.87	332.14	466.88	579.04	118.43	142.01	202.66	105.15	105.15	84.63	118.43	124.37	154.42	87.65	71.0
KMT2D	463.65	237.86	480.04	460.44	507.46	563.18	638.15	733.19	395.18	384.34	547.75	346.29	764.36	244.57	708.18	669.92	620.67	525.39	780.44	764.36	571.05	1015.93	693.58	281.09	208.38	351.14	327.56	480.04	206.94	142.01	113.56	154.42	98.04	84.63	115.97	181.28	149.12	149.12	0.93
LANCL1	444.72	651.58	791.35	403.5	435.55	934.76	583.07	928.3	518.15	543.96	674.59	255.0	759.08	603.67	1191.69	941.27	988.12	1259.69	1388.16	1397.83	1066.48	1322.37	728.11	444.72	417.77	1242.34	769.69	1467.37	185.11	145.02	170.25	163.28	187.71	176.29	148.09	178.77	185.11	244.57	0.37
