	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.T2IS.1526.SM.32QPR	GTEX.ZF29.1926.SM.5S2P1	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11NV4.1326.SM.5HL6V	GTEX.145LU.1326.SM.5LU9N	GTEX.SJXC.1226.SM.4DM78	TCGA.38.4625.01A.01R.1206.07.1
TRMT5	155.5	169.07	159.9	68.07	301.33	267.73	237.86	260.38	241.19	157.68	363.56	150.17	265.87	146.03	412.0	279.14	283.05	194.36	417.77	376.41	438.59	334.46	223.41	301.33	195.72	423.61	314.17	325.29	98.73	79.45	69.03	73.54	56.68	82.87	59.97	91.41	48.52	66.18	61.25
USP22	1662.49	1733.13	1268.46	915.51	2434.5	2209.26	1709.26	1437.15	1757.34	1208.34	1733.13	1417.35	2319.15	1175.27	3303.0	2384.37	2915.45	2090.03	3540.14	3491.39	3325.99	3820.7	2997.45	934.76	866.07	1781.89	1617.0	3794.3	389.72	395.18	327.56	444.72	358.54	540.19	400.71	403.5	246.28	260.38	503.95
UTP20	88.88	111.99	128.79	204.07	107.38	183.82	126.12	125.24	114.36	80.57	127.0	77.25	125.24	59.55	204.07	172.65	141.02	128.79	194.36	249.73	371.22	265.87	191.67	260.38	125.24	144.01	94.01	170.25	36.53	33.78	35.5	28.04	30.78	32.36	24.81	37.05	23.42	30.12	0.17
VPS4B	551.56	1111.82	878.17	444.72	466.88	1216.75	559.28	808.0	878.17	708.18	460.44	559.28	1037.29	540.19	1519.15	1199.98	1233.75	1119.56	1832.01	1457.23	1104.13	1721.16	780.44	547.75	813.63	1857.6	1104.13	1551.09	312.0	291.04	295.11	264.03	285.03	457.25	379.04	307.69	483.38	384.34	0.21
WDR3	110.43	251.48	366.09	346.29	275.28	543.96	329.84	444.72	318.57	228.13	262.2	246.28	381.68	149.12	591.22	547.75	409.15	162.14	848.22	323.03	361.04	514.56	343.89	571.05	348.71	454.09	267.73	397.93	86.43	59.55	113.56	79.45	106.63	76.71	141.02	79.45	79.45	55.1	0.0
XRCC6	3303.0	5872.48	4152.18	4210.15	5076.84	6607.01	3768.09	4210.15	3742.05	5711.87	3018.3	4543.8	5791.62	6471.02	5366.37	5633.22	6037.61	5219.6	4607.24	5872.48	7966.99	5517.27	4388.98	9945.68	11424.74	6337.83	7857.29	4972.34	2777.33	2104.58	2502.97	2240.11	2485.67	2193.99	1540.37	1857.6	1721.16	2271.4	1.07
ZBED4	113.56	113.56	154.42	195.72	170.25	197.09	112.77	120.94	85.22	123.5	112.77	189.02	159.9	139.07	193.01	172.65	154.42	82.87	172.65	170.25	201.25	281.09	80.01	71.5	78.89	49.56	114.36	128.79	49.91	44.89	40.07	43.94	35.0	70.51	49.56	48.87	43.32	20.26	0.56
ZNF106	123.5	175.07	323.03	97.36	265.87	563.18	248.0	336.79	212.78	154.42	165.57	136.19	318.57	159.9	878.17	684.02	395.18	381.68	866.07	463.65	490.14	1467.37	373.81	262.2	277.2	486.75	470.14	457.25	87.65	72.01	62.56	75.11	57.89	76.17	50.98	62.12	65.72	65.26	0.33
ZNF324	154.42	92.7	139.07	119.26	104.42	140.04	111.99	102.25	102.97	143.01	131.51	142.01	165.57	116.78	158.79	186.4	131.51	156.59	172.65	204.07	186.4	181.28	150.17	86.43	70.51	51.35	123.5	100.83	69.03	44.25	43.63	57.08	40.93	33.78	59.55	83.45	43.63	34.75	0.16
ZNF426	53.95	70.01	92.05	69.03	97.36	147.06	82.29	161.02	67.59	75.11	77.25	41.52	127.0	55.49	303.44	208.38	186.4	158.79	334.46	241.19	403.5	353.59	145.02	161.02	108.14	195.72	171.45	379.04	9.27	8.13	9.2	10.63	12.18	11.82	3.53	13.72	6.16	8.92	0.21
ZNF562	185.11	181.28	264.03	215.77	191.67	376.41	285.03	575.03	161.02	189.02	341.51	164.42	297.17	156.59	500.46	384.34	339.14	336.79	358.54	269.6	629.35	607.87	199.85	366.09	145.02	438.59	163.28	429.54	80.01	53.95	67.12	77.25	56.68	70.51	70.01	49.91	73.03	29.91	316.37
ZNF619	52.45	68.07	78.34	35.25	37.05	130.6	76.17	76.17	45.53	46.18	100.83	30.78	99.43	39.5	135.24	72.52	109.66	87.65	143.01	126.12	89.51	115.97	130.6	55.1	37.32	141.02	56.28	101.54	16.03	19.97	20.71	18.29	18.97	19.53	16.88	26.1	33.3	23.25	0.0
ZNF770	96.68	314.17	376.41	103.69	248.0	435.55	181.28	212.78	162.14	123.5	163.28	109.66	281.09	155.5	638.15	403.5	429.54	473.41	651.58	890.44	567.1	890.44	183.82	271.48	105.89	521.76	206.94	708.18	126.12	92.05	91.41	83.45	84.63	72.01	98.73	45.21	59.13	62.56	0.53
ZNF800	218.79	356.05	277.2	191.67	226.54	511.0	275.28	236.21	226.54	193.01	295.11	186.4	295.11	194.36	435.55	358.54	361.04	309.83	371.22	392.44	463.65	890.44	285.03	258.57	182.55	212.78	242.88	384.34	138.1	111.99	140.04	133.36	100.13	140.04	176.29	149.12	180.02	141.02	0.42
ZNF805	31.9	30.12	61.25	25.72	32.82	54.33	65.26	74.06	19.53	26.47	44.25	25.54	45.53	21.16	93.35	72.52	72.01	40.36	111.99	50.27	82.87	208.38	50.63	29.48	27.84	52.45	64.34	72.52	17.25	14.14	12.74	19.82	12.93	16.75	8.25	8.99	10.16	17.38	0.22
