	TCGA.BH.A0BW.11A.12R.A115.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.E9.A1N4.11A.33R.A14M.07	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.6648.01A.11R.1774.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.QLQW.0426.SM.447A7	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.147F3.1926.SM.5SIB9	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.11DXX.1826.SM.5H126	GTEX.XUJ4.2026.SM.4BOOW	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.1128S.1626.SM.5H12O	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.ZVP2.1526.SM.5NQ82	GTEX.133LE.1526.SM.5IFEN	GTEX.1122O.1526.SM.5N9CL	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.131XG.1826.SM.5LZV4	GTEX.XUZC.1326.SM.4BRV2	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.T5JW.1126.SM.4DM5V	GTEX.ZTSS.1126.SM.5985O	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.CG.5734.11A.01R.1602.13
AGAP5	177.53	167.9	135.24	177.53	53.95	72.52	74.58	120.94	65.26	38.67	82.29	105.15	75.64	120.94	115.16	130.6	59.55	88.88	78.89	53.95	66.65	127.0	115.16	63.45	49.56	64.8	93.35	79.45	107.38	84.04	122.64	124.37	101.54	119.26	70.51	61.68	85.82	208.38	118.43	64.8	79.45	78.89	71.0	118.43	120.1	69.52	6.67	228.13	277.2	226.54	267.73	23.76
AGTPBP1	293.07	198.47	262.2	193.01	82.29	289.02	90.77	106.63	81.14	51.71	75.11	106.63	101.54	104.42	156.59	120.94	59.55	118.43	60.39	65.72	59.97	94.01	99.43	76.17	92.7	86.43	120.1	120.94	73.54	82.87	111.21	146.03	85.82	103.69	82.87	70.51	99.43	158.79	88.26	87.65	87.03	91.41	87.65	111.99	96.01	62.56	19.39	223.41	251.48	218.79	226.54	48.52
ANKRD28	633.73	796.86	947.83	848.22	343.89	679.29	309.83	423.61	348.71	140.04	384.34	221.86	387.02	500.46	583.07	438.59	334.46	521.76	299.25	239.52	325.29	255.0	309.83	329.84	435.55	373.81	447.82	454.09	273.37	299.25	450.94	543.96	429.54	281.09	693.58	373.81	314.17	780.44	325.29	251.48	599.49	607.87	287.01	387.02	463.65	320.8	112.77	854.13	629.35	909.17	620.67	182.55
BCLAF1	2133.97	2400.97	3168.41	2935.74	738.29	1757.34	728.11	872.1	603.67	381.68	665.29	775.05	693.58	1151.06	1066.48	921.88	713.11	866.07	748.61	450.94	559.28	660.68	624.99	540.19	872.1	1167.14	941.27	808.0	476.71	583.07	1199.98	995.0	669.92	679.29	753.83	620.67	769.69	1662.49	769.69	466.88	483.38	1051.79	660.68	1322.37	813.63	529.06	140.04	1950.0	2018.8	2468.49	2133.97	647.07
BDP1	438.59	555.41	674.59	660.68	88.88	262.2	98.73	136.19	94.67	46.18	100.83	112.77	104.42	163.28	164.42	162.14	83.45	171.45	102.97	50.63	102.97	77.25	111.21	81.71	90.14	106.63	202.66	158.79	72.01	96.01	146.03	185.11	120.94	115.97	115.16	83.45	101.54	178.77	136.19	84.63	115.97	147.06	113.56	162.14	132.44	82.87	23.42	409.15	633.73	525.39	420.68	94.67
C3orf17	934.76	748.61	1015.93	1015.93	258.57	769.69	329.84	262.2	361.04	229.72	281.09	297.17	316.37	540.19	414.87	356.05	260.38	420.68	309.83	232.94	271.48	476.71	327.56	320.8	353.59	291.04	423.61	400.71	316.37	275.28	400.71	454.09	285.03	329.84	400.71	237.86	389.72	775.05	366.09	285.03	339.14	412.0	281.09	423.61	403.5	358.54	133.36	563.18	738.29	693.58	651.58	244.57
C5orf28	438.59	363.56	669.92	703.28	124.37	218.79	137.14	173.85	162.14	71.5	202.66	139.07	144.01	273.37	167.9	228.13	145.02	182.55	173.85	101.54	183.82	140.04	169.07	111.99	128.79	155.5	199.85	241.19	136.19	105.15	177.53	309.83	147.06	211.31	105.15	118.43	131.51	226.54	145.02	118.43	154.42	212.78	88.88	193.01	180.02	140.04	58.71	279.14	301.33	346.29	305.55	88.88
CCNL1	2935.74	3280.18	4210.15	3467.27	1487.87	2240.11	1268.46	1175.27	1059.11	830.75	1143.1	1151.06	1781.89	1519.15	1477.58	1378.57	941.27	1572.76	1233.75	1313.23	1250.98	1066.48	1467.37	1685.71	1233.75	1225.22	1350.18	1225.22	1250.98	967.76	1844.76	1781.89	1745.2	1407.55	1498.22	1015.93	1651.0	2855.44	1662.49	1030.12	1233.75	2468.49	1104.13	1268.46	2075.59	1594.73	299.25	2720.15	3794.3	3794.3	3639.7	1015.93
CDK17	543.96	775.05	878.17	624.99	147.06	264.03	164.42	167.9	130.6	78.34	146.03	161.02	146.03	167.9	193.01	212.78	114.36	215.77	140.04	96.68	111.99	90.77	119.26	146.03	148.09	148.09	289.02	162.14	110.43	110.43	181.28	212.78	140.04	146.03	180.02	115.97	162.14	497.0	183.82	149.12	163.28	229.72	164.42	414.87	171.45	108.9	90.77	493.56	595.34	595.34	379.04	129.69
CEP57	796.86	796.86	1199.98	967.76	281.09	791.35	356.05	429.54	387.02	190.34	371.22	397.93	373.81	540.19	426.57	595.34	305.55	571.05	348.71	215.77	329.84	287.01	356.05	299.25	358.54	343.89	723.08	532.74	262.2	397.93	409.15	591.22	450.94	417.77	463.65	389.72	409.15	540.19	432.53	361.04	389.72	454.09	351.14	587.13	435.55	334.46	125.24	567.1	723.08	813.63	842.36	275.28
CHD1	1008.9	802.41	1639.59	878.17	540.19	733.19	353.59	638.15	297.17	303.44	392.44	514.56	587.13	551.56	684.02	559.28	376.41	543.96	406.31	460.44	426.57	346.29	435.55	460.44	555.41	583.07	583.07	555.41	490.14	417.77	629.35	620.67	547.75	457.25	629.35	376.41	629.35	775.05	563.18	429.54	447.82	728.11	379.04	392.44	536.45	571.05	48.87	796.86	1104.13	1127.35	921.88	371.22
CREBZF	954.43	1037.29	1340.84	1183.45	463.65	1697.45	429.54	476.71	420.68	180.02	438.59	490.14	466.88	748.61	470.14	543.96	400.71	563.18	473.41	329.84	429.54	429.54	444.72	384.34	329.84	473.41	599.49	525.39	387.02	329.84	674.59	808.0	529.06	447.82	543.96	336.79	497.0	723.08	638.15	297.17	314.17	854.13	325.29	693.58	620.67	307.69	148.09	802.41	1250.98	1127.35	1233.75	217.27
DGKH	85.22	121.79	100.13	74.58	56.28	153.34	38.67	53.95	30.56	9.56	22.92	46.84	46.18	59.55	45.85	46.84	29.48	78.34	72.52	28.04	35.25	25.54	37.59	26.47	44.25	53.19	99.43	50.27	32.13	33.3	44.25	98.73	65.72	48.87	44.57	37.05	49.56	98.73	68.07	26.28	40.36	64.8	27.05	68.07	69.52	34.51	1.99	126.12	211.31	74.06	96.68	9.48
ELK4	463.65	397.93	435.55	281.09	117.6	226.54	83.45	113.56	98.73	49.91	71.5	111.21	120.94	163.28	172.65	146.03	77.79	127.89	108.14	58.3	72.01	84.63	101.54	88.88	119.26	147.06	244.57	154.42	88.26	82.87	199.85	221.86	104.42	134.3	141.02	84.04	109.66	234.57	131.51	108.14	100.13	127.0	77.25	136.19	151.22	79.45	59.97	532.74	529.06	638.15	417.77	123.5
FAM208B	769.69	733.19	854.13	698.41	231.32	733.19	220.32	346.29	178.77	116.78	262.2	244.57	253.23	373.81	341.51	320.8	226.54	293.07	237.86	177.53	194.36	228.13	211.31	180.02	214.27	343.89	336.79	417.77	175.07	163.28	406.31	497.0	220.32	229.72	239.52	205.5	323.03	571.05	237.86	141.02	180.02	441.64	241.19	334.46	412.0	236.21	37.05	995.0	1340.84	1167.14	1081.39	595.34
FBXO11	954.43	1073.91	1242.34	961.07	470.14	616.37	395.18	525.39	332.14	221.86	343.89	387.02	441.64	480.04	591.22	454.09	301.33	423.61	423.61	307.69	339.14	258.57	397.93	384.34	441.64	420.68	500.46	466.88	316.37	371.22	473.41	579.04	426.57	460.44	463.65	376.41	409.15	555.41	500.46	309.83	325.29	559.28	305.55	470.14	432.53	366.09	119.26	764.36	954.43	848.22	1001.93	316.37
FZD6	547.75	551.56	665.29	525.39	134.3	314.17	145.02	178.77	117.6	54.72	122.64	127.89	113.56	169.07	223.41	182.55	113.56	156.59	114.36	78.34	120.94	133.36	108.14	102.97	158.79	136.19	191.67	199.85	100.83	106.63	224.97	187.71	125.24	96.01	145.02	116.78	127.89	312.0	139.07	78.34	83.45	147.06	143.01	212.78	169.07	100.83	16.39	493.56	307.69	351.14	363.56	83.45
JARID2	361.04	217.27	231.32	248.0	66.18	156.59	119.26	139.07	113.56	60.39	112.77	97.36	127.89	118.43	137.14	171.45	69.52	133.36	81.71	52.82	112.77	110.43	127.89	96.68	100.83	91.41	129.69	122.64	76.71	77.25	154.42	150.17	102.25	135.24	149.12	90.77	101.54	197.09	121.79	90.77	125.24	155.5	126.12	167.9	129.69	96.01	34.51	195.72	193.01	214.27	215.77	111.99
