	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.GJ.A6C0.01A.12R.A311.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.75.6203.01A.11R.1755.07	TCGA.38.4631.01A.01R.1755.07	TCGA.95.7043.01A.11R.1949.07	TCGA.91.6829.11A.01R.1858.07	TCGA.91.6836.11A.01R.1858.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.P44H.1126.SM.48TBU	GTEX.12WSG.0326.SM.5FQU3	GTEX.13D11.0326.SM.5LZXX	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.ZYFG.0226.SM.5GIDT	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.XUJ4.1426.SM.4BONT	GTEX.ZAB4.0626.SM.5CVN3	GTEX.139T6.0426.SM.5IJEM	GTEX.R55G.0826.SM.2TC5U	GTEX.12696.1026.SM.5FQUV	GTEX.13FLV.0426.SM.5KLZA	GTEX.ZAB5.0626.SM.5PNVB	GTEX.P78B.0926.SM.2I5FA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.11NUK.0826.SM.5HL4U	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.WVJS.0826.SM.4MVNR	GTEX.ZPIC.0626.SM.57WDY	GTEX.131XE.0726.SM.5HL9K	GTEX.11P81.0226.SM.5HL5M	GTEX.T8EM.0326.SM.3DB7F	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.SUCS.0626.SM.32PM5	GTEX.NFK9.1026.SM.2HMK1	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.18.3411.01A.01R.0980.07	TCGA.77.8007.11A.01R.2187.07	TCGA.AJ.A3BG.01A.11R.A19W.07
ADAM29	0.0	0.0	0.85	0.39	1.83	0.0	0.0	1.36	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.41	1.69	0.0	0.0	6.94	5.54	3.47	0.72	5.82	2.14	1.71	9.78	2.66	0.47	0.0	3.47	0.46	3.79	0.74	1.13	3.38	1.01	4.98	4.03	2.89	4.21	3.89	9.93	10.31	10.71	1.93	2.81	23.59	2.66	8.99	6.31	0.79	2.18	4.17	2.94	3.63	3.89	4.98	0.79	11.3	1.3	0.0	0.35	0.0
AKAP11	120.1	88.88	141.02	84.63	86.43	38.4	151.22	81.14	63.89	77.25	86.43	48.52	57.08	55.1	41.52	26.67	80.57	80.57	50.27	50.27	64.8	40.64	114.36	34.26	98.73	34.75	37.32	71.5	53.57	34.75	64.8	154.42	29.06	120.1	123.5	15.34	53.19	77.25	93.35	77.79	53.57	111.21	40.07	88.88	99.43	88.26	50.27	70.01	84.04	81.71	122.64	102.25	90.14	50.27	80.01	140.04	154.42	205.5	229.72	161.02	175.07	215.77	275.28	176.29	135.24	226.54	256.78	155.5	202.66	241.19	181.28	172.65	285.03	346.29	309.83	133.36	166.73	204.07	201.25	242.88	273.37	208.38	329.84	275.28	137.14	397.93	287.01	202.66	86.43	301.33	197.09	269.6	214.27	239.52	353.59	253.23	256.78	237.86	339.14	187.71	244.57	214.27	269.6	94.67	143.01	42.41
ANKRD12	68.55	63.89	59.97	40.93	36.53	7.82	39.79	69.52	44.25	90.77	94.01	82.29	76.17	71.5	49.21	57.89	57.49	97.36	59.13	57.49	93.35	51.71	180.02	100.13	92.05	85.82	49.21	68.07	59.55	40.64	86.43	96.68	49.91	150.17	82.29	47.5	65.72	82.87	58.3	105.15	33.06	135.24	63.45	147.06	114.36	85.82	73.54	136.19	63.45	75.11	28.45	49.91	99.43	107.38	78.89	103.69	94.67	186.4	176.29	42.41	214.27	217.27	279.14	104.42	146.03	323.03	316.37	129.69	279.14	239.52	134.3	587.13	214.27	131.51	176.29	96.68	185.11	127.89	208.38	163.28	170.25	169.07	420.68	273.37	463.65	303.44	191.67	167.9	50.98	253.23	172.65	141.02	87.65	129.69	159.9	221.86	281.09	167.9	193.01	162.14	305.55	220.32	129.69	67.59	185.11	37.05
ARHGAP21	246.28	178.77	343.89	156.59	137.14	105.15	208.38	162.14	111.99	173.85	175.07	229.72	332.14	171.45	204.07	122.64	148.09	194.36	111.21	131.51	221.86	130.6	226.54	194.36	189.02	183.82	161.02	299.25	183.82	144.01	146.03	253.23	148.09	253.23	273.37	71.5	122.64	194.36	217.27	223.41	115.16	215.77	166.73	267.73	260.38	205.5	158.79	123.5	265.87	158.79	212.78	100.83	98.73	163.28	181.28	237.86	217.27	429.54	490.14	267.73	371.22	503.95	669.92	265.87	339.14	583.07	674.59	323.03	432.53	435.55	414.87	395.18	473.41	775.05	403.5	234.57	438.59	275.28	417.77	518.15	819.3	503.95	473.41	718.08	563.18	872.1	638.15	454.09	275.28	884.29	356.05	417.77	684.02	371.22	587.13	612.11	813.63	381.68	483.38	454.09	540.19	536.45	748.61	172.65	373.81	127.89
ARHGEF10	205.5	149.12	182.55	177.53	140.04	206.94	154.42	237.86	119.26	13.93	47.84	48.18	23.08	39.22	15.56	11.38	18.7	15.68	25.91	18.29	47.17	20.56	37.05	9.13	21.47	43.32	39.5	17.51	28.45	11.13	31.45	101.54	24.63	56.68	23.93	4.78	36.01	22.43	19.53	68.07	10.31	38.12	7.82	75.64	23.42	40.64	44.57	9.93	21.63	29.91	77.25	27.64	17.13	13.72	23.93	100.13	14.56	293.07	486.75	96.68	95.34	343.89	400.71	190.34	320.8	1037.29	1066.48	490.14	255.0	1015.93	155.5	232.94	264.03	633.73	239.52	460.44	368.65	466.88	316.37	392.44	334.46	353.59	454.09	262.2	1135.2	775.05	381.68	363.56	110.43	376.41	395.18	909.17	603.67	187.71	555.41	563.18	234.57	563.18	361.04	264.03	316.37	309.83	287.01	111.99	249.73	90.77
ARID4A	76.17	81.71	62.56	23.93	15.0	9.27	33.06	33.78	24.28	56.68	92.7	75.11	47.84	52.45	75.11	53.95	83.45	133.36	57.89	64.8	79.45	87.03	177.53	102.25	98.73	49.21	51.35	169.07	68.07	82.87	80.01	154.42	38.67	85.82	175.07	26.67	52.82	149.12	44.25	93.35	44.89	105.15	56.28	115.16	76.17	75.11	54.72	115.16	82.29	153.34	76.71	159.9	105.15	114.36	181.28	166.73	153.34	199.85	183.82	70.51	114.36	255.0	336.79	115.16	153.34	540.19	283.05	127.0	183.82	191.67	265.87	113.56	287.01	178.77	117.6	149.12	191.67	176.29	136.19	221.86	249.73	258.57	132.44	279.14	297.17	279.14	204.07	122.64	90.14	540.19	197.09	144.01	182.55	175.07	166.73	291.04	165.57	232.94	289.02	190.34	277.2	466.88	169.07	58.71	150.17	38.67
ATXN7	140.04	120.1	88.26	92.05	54.72	42.71	130.6	63.0	63.45	82.29	79.45	69.03	98.04	57.49	61.25	59.55	84.63	94.67	52.08	66.65	102.25	38.12	187.71	80.01	119.26	80.57	49.21	96.01	66.65	59.55	69.03	146.03	30.78	104.42	143.01	34.75	81.71	89.51	86.43	88.88	33.3	99.43	39.5	101.54	116.78	74.58	49.91	116.78	114.36	110.43	95.34	54.33	74.06	74.58	80.01	125.24	85.22	214.27	178.77	71.0	98.73	220.32	301.33	124.37	197.09	412.0	314.17	130.6	232.94	145.02	262.2	220.32	236.21	432.53	191.67	111.21	277.2	145.02	299.25	251.48	454.09	211.31	193.01	295.11	587.13	323.03	264.03	190.34	204.07	429.54	153.34	208.38	251.48	159.9	251.48	447.82	205.5	256.78	166.73	161.02	332.14	287.01	275.28	62.12	154.42	47.5
BAZ2B	172.65	156.59	134.3	76.71	44.57	24.46	74.06	70.01	33.06	79.45	87.03	115.16	127.0	80.57	49.56	55.1	95.34	43.02	32.13	63.45	95.34	41.81	138.1	98.73	152.28	63.89	41.52	73.54	111.21	56.28	94.67	170.25	74.58	140.04	111.21	50.63	59.55	66.65	82.29	109.66	57.89	142.01	103.69	136.19	105.15	102.25	85.82	135.24	164.42	69.52	175.07	117.6	49.91	75.64	189.02	325.29	176.29	351.14	291.04	144.01	189.02	353.59	454.09	157.68	237.86	638.15	403.5	244.57	258.57	356.05	295.11	218.79	444.72	336.79	137.14	173.85	351.14	199.85	267.73	307.69	351.14	473.41	371.22	420.68	547.75	684.02	417.77	271.48	134.3	802.41	307.69	303.44	197.09	301.33	387.02	638.15	312.0	348.71	303.44	368.65	612.11	684.02	346.29	161.02	285.03	118.43
BDP1	141.02	148.09	108.14	78.34	57.49	22.92	38.95	59.13	43.63	107.38	104.42	98.04	139.07	76.17	67.12	64.8	75.64	95.34	57.49	69.03	105.15	59.97	153.34	80.57	123.5	111.99	59.97	115.97	85.22	84.63	69.52	169.07	61.68	127.0	162.14	58.71	73.54	132.44	123.5	121.79	82.29	114.36	84.04	116.78	109.66	87.03	57.89	102.25	92.05	66.65	75.64	67.59	49.56	84.63	58.71	88.26	95.34	206.94	185.11	94.67	123.5	197.09	242.88	117.6	127.0	194.36	226.54	111.99	152.28	187.71	115.97	187.71	166.73	336.79	204.07	72.52	127.0	135.24	206.94	171.45	202.66	133.36	232.94	237.86	148.09	262.2	281.09	221.86	40.07	182.55	154.42	181.28	140.04	163.28	193.01	195.72	353.59	285.03	267.73	144.01	212.78	164.42	186.4	81.71	129.69	47.5
BMPR2	139.07	201.25	253.23	139.07	111.99	59.13	92.7	153.34	108.9	87.65	98.73	122.64	90.14	90.77	50.27	57.08	81.71	98.73	58.3	57.89	82.87	49.21	178.77	76.17	74.06	59.97	119.26	81.14	67.59	71.0	89.51	141.02	47.5	145.02	161.02	32.59	90.77	87.65	64.8	142.01	35.5	94.01	82.87	211.31	141.02	90.77	75.64	115.16	127.89	96.68	57.49	84.63	97.36	102.97	180.02	221.86	178.77	384.34	497.0	198.47	327.56	503.95	791.35	353.59	518.15	543.96	1008.9	507.46	825.0	872.1	318.57	305.55	460.44	693.58	493.56	438.59	463.65	540.19	327.56	693.58	463.65	316.37	684.02	511.0	1015.93	1477.58	872.1	624.99	138.1	444.72	769.69	733.19	514.56	320.8	1397.83	679.29	656.11	583.07	525.39	532.74	612.11	320.8	753.83	144.01	285.03	98.73
