	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
ANGPT1	146.03	76.17	8.78	131.51	10.88	148.09	178.77	9.63	10.47	102.25	93.35	81.71	131.51	172.65	61.68	75.64	45.85	35.5	131.51	204.07	107.38	15.91	24.28	61.25	33.54	24.99	62.56	61.25	32.82	46.18	69.03	181.28	0.55	29.91	97.36	35.25	29.91	309.83	140.04	6.36	15.45	71.0	39.79	100.13	126.12	29.91	71.0	136.19	10.88	6.26	180.02	28.45	28.86	59.97	29.06	12.36	241.19	234.57	19.25	62.12	25.72	70.01	11.38	14.35	178.77	93.35	161.02	28.24	62.12	14.67	218.79	4.78	14.45	66.65	239.52	20.56	53.19	6.89	34.26	35.5	229.72	217.27	540.19	277.2	323.03	348.71	555.41	242.88	547.75	432.53	214.27	244.57	285.03	180.02	194.36	583.07	208.38	145.02	376.41	460.44
ANKRD35	55.89	24.46	27.25	65.26	12.36	100.13	148.09	8.71	5.19	58.71	95.34	44.25	59.97	53.95	41.81	70.51	19.25	17.13	81.71	156.59	74.58	16.75	14.56	33.54	28.24	30.12	39.5	85.22	34.02	23.76	12.83	44.57	1.51	81.14	102.25	45.85	49.91	157.68	98.73	5.41	15.68	45.85	38.95	53.57	59.55	13.72	48.87	37.05	14.35	4.35	63.45	26.28	22.43	48.52	10.71	5.96	81.71	92.7	25.72	45.53	37.85	20.41	12.09	17.77	92.05	50.27	82.29	26.67	47.84	14.89	132.44	15.11	11.3	63.0	190.34	30.78	50.27	12.64	40.64	31.0	95.34	62.12	154.42	135.24	158.79	96.68	156.59	119.26	136.19	138.1	111.99	108.9	122.64	95.34	116.78	134.3	132.44	87.65	112.77	153.34
ANO1	264.03	159.9	46.84	260.38	62.56	555.41	591.22	63.89	13.72	336.79	269.6	239.52	102.25	376.41	209.84	332.14	228.13	48.87	320.8	435.55	450.94	71.0	37.32	103.69	88.88	40.93	80.57	409.15	169.07	120.94	80.01	116.78	38.4	131.51	318.57	99.43	81.14	373.81	325.29	21.63	181.28	339.14	217.27	305.55	195.72	125.24	151.22	120.94	108.9	24.99	264.03	97.36	59.13	90.77	61.25	36.53	379.04	417.77	81.71	214.27	96.01	85.22	84.63	44.57	417.77	163.28	251.48	154.42	176.29	85.22	669.92	44.57	116.78	98.73	688.78	112.77	186.4	70.51	100.83	96.01	483.38	743.43	587.13	791.35	915.51	529.06	412.0	583.07	325.29	583.07	497.0	493.56	503.95	587.13	466.88	684.02	299.25	299.25	587.13	412.0
ANTXR2	2895.31	1733.13	1844.76	3443.31	1159.07	3564.78	3847.29	791.35	2400.97	2664.15	3768.09	1175.27	3820.7	4095.0	1407.55	1991.0	3955.48	1498.22	2090.03	5366.37	3395.89	738.29	412.0	3325.99	4152.18	4239.45	1322.37	3081.75	890.44	2319.15	866.07	5006.93	1519.15	1350.18	2664.15	2502.97	1662.49	4869.99	3690.52	2193.99	947.83	3039.3	723.08	2997.45	3716.2	1059.11	1135.2	3190.46	387.02	934.76	3901.01	872.1	1883.54	1268.46	665.29	3515.68	4836.35	3372.43	2956.17	1870.53	660.68	1651.0	954.43	607.87	3614.55	3768.09	3280.18	2739.08	2627.46	1427.22	3794.3	988.12	2451.44	4210.15	3901.01	1407.55	2739.08	928.3	1388.16	748.61	3515.68	4972.34	5711.87	5219.6	5112.16	2816.11	3982.99	5147.73	4358.66	4268.94	3901.01	3280.18	3955.48	5441.3	5329.3	4358.66	5147.73	1639.59	5995.9	5913.33
AOX1	271.48	212.78	30.56	327.56	59.55	146.03	435.55	14.67	10.71	236.21	273.37	134.3	145.02	447.82	70.51	139.07	45.85	57.89	262.2	500.46	253.23	31.0	23.42	70.01	71.5	57.89	64.34	181.28	64.34	119.26	74.06	180.02	2.27	66.65	981.29	54.33	66.18	211.31	307.69	33.3	22.75	80.01	156.59	237.86	133.36	30.56	135.24	180.02	41.81	5.41	441.64	46.84	36.79	49.21	23.25	105.89	543.96	265.87	45.85	86.43	73.03	78.89	27.84	25.35	316.37	108.9	221.86	121.79	62.12	21.16	361.04	12.83	33.54	146.03	432.53	111.99	138.1	24.46	54.72	57.89	1135.2	127.0	723.08	198.47	733.19	571.05	603.67	466.88	423.61	665.29	339.14	967.76	536.45	466.88	559.28	638.15	381.68	384.34	769.69	476.71
AP4S1	123.5	84.63	104.42	118.43	99.43	100.13	108.9	69.03	70.51	126.12	107.38	102.25	89.51	115.97	84.63	151.22	92.05	74.06	121.79	132.44	129.69	92.05	92.05	70.01	108.14	105.89	90.77	89.51	84.04	64.34	83.45	152.28	56.28	85.82	98.73	108.14	111.99	143.01	98.04	93.35	91.41	121.79	150.17	107.38	103.69	80.57	143.01	81.71	81.14	63.89	121.79	71.5	105.15	73.03	95.34	138.1	166.73	126.12	90.77	81.14	108.14	97.36	69.03	78.89	122.64	91.41	111.21	75.64	127.89	75.11	121.79	62.56	111.21	114.36	152.28	144.01	125.24	73.03	75.64	71.5	158.79	121.79	166.73	166.73	165.57	165.57	217.27	158.79	217.27	180.02	127.89	124.37	96.68	134.3	116.78	161.02	157.68	128.79	182.55	162.14
APBB1	432.53	543.96	432.53	595.34	293.07	896.64	915.51	154.42	223.41	629.35	603.67	409.15	547.75	642.59	466.88	480.04	312.0	198.47	728.11	830.75	642.59	334.46	314.17	409.15	325.29	283.05	332.14	607.87	547.75	395.18	264.03	395.18	116.78	743.43	718.08	397.93	392.44	909.17	872.1	346.29	96.01	540.19	684.02	503.95	503.95	358.54	902.89	518.15	395.18	201.25	748.61	356.05	218.79	327.56	339.14	144.01	555.41	579.04	426.57	493.56	309.83	432.53	260.38	244.57	583.07	718.08	909.17	214.27	529.06	283.05	934.76	607.87	432.53	486.75	775.05	273.37	743.43	460.44	490.14	559.28	753.83	748.61	928.3	928.3	769.69	921.88	981.29	921.88	988.12	967.76	1081.39	947.83	1277.29	775.05	974.5	954.43	1023.0	780.44	981.29	1059.11
APOBEC3C	297.17	209.84	65.26	379.04	44.25	753.83	665.29	48.18	12.0	265.87	395.18	251.48	157.68	438.59	228.13	212.78	71.0	84.63	256.78	981.29	348.71	51.35	44.89	115.16	118.43	68.07	87.65	400.71	224.97	237.86	98.04	181.28	8.85	195.72	884.29	100.83	125.24	595.34	802.41	17.0	49.56	164.42	109.66	262.2	242.88	88.88	218.79	170.25	41.81	16.15	583.07	92.7	111.99	134.3	46.18	23.59	567.1	497.0	84.63	241.19	92.7	149.12	25.17	56.28	373.81	291.04	529.06	120.94	206.94	63.45	802.41	37.85	67.59	123.5	563.18	85.82	206.94	84.63	108.9	138.1	785.88	1059.11	718.08	967.76	764.36	967.76	785.88	1331.57	1066.48	1001.93	571.05	802.41	808.0	674.59	1191.69	890.44	796.86	607.87	954.43	854.13
ARHGAP23	217.27	181.28	46.84	162.14	70.51	289.02	303.44	36.79	28.04	147.06	223.41	180.02	149.12	218.79	89.51	167.9	114.36	44.25	309.83	275.28	199.85	52.45	64.34	88.88	211.31	55.49	70.01	277.2	143.01	78.89	91.41	113.56	27.05	116.78	246.28	84.04	82.29	518.15	295.11	20.41	65.26	190.34	239.52	138.1	154.42	48.18	109.66	141.02	63.0	13.93	143.01	76.17	52.82	87.65	41.22	18.16	193.01	348.71	95.34	88.88	85.22	83.45	45.85	27.84	299.25	104.42	202.66	75.11	180.02	61.68	624.99	25.17	126.12	84.63	341.51	96.01	173.85	41.22	78.34	74.06	353.59	218.79	583.07	438.59	698.41	348.71	336.79	348.71	267.73	607.87	295.11	353.59	361.04	323.03	432.53	563.18	323.03	256.78	346.29	366.09
ATOH8	195.72	194.36	171.45	237.86	48.18	591.22	669.92	51.71	23.42	241.19	281.09	149.12	209.84	353.59	277.2	314.17	599.49	223.41	334.46	454.09	289.02	81.14	73.54	162.14	185.11	164.42	194.36	403.5	195.72	111.21	70.51	183.82	87.65	412.0	579.04	128.79	571.05	532.74	536.45	16.63	72.01	314.17	194.36	260.38	150.17	94.01	229.72	137.14	92.7	41.52	218.79	152.28	140.04	140.04	129.69	79.45	255.0	521.76	163.28	173.85	223.41	239.52	46.84	212.78	289.02	204.07	239.52	119.26	234.57	59.13	1023.0	162.14	237.86	260.38	409.15	493.56	339.14	91.41	162.14	154.42	830.75	164.42	493.56	368.65	575.03	723.08	450.94	466.88	397.93	1096.5	457.25	638.15	497.0	447.82	665.29	785.88	435.55	688.78	708.18	409.15
