	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A1FC.11A.32R.A13Q.07	TCGA.BH.A0AY.11A.23R.A089.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A0DL.11A.13R.A115.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.BH.A18M.11A.33R.A12D.07	GTEX.ZF2S.2026.SM.5E461	GTEX.ZLV1.1426.SM.4WWES	GTEX.11P81.1926.SM.5BC53	GTEX.Y3IK.2326.SM.4WWDT	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.CV.7235.11A.01R.2016.07	TCGA.CJ.4881.01A.01R.1305.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.139YR.0226.SM.5IFEM	GTEX.X3Y1.2726.SM.4PQZH	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	TCGA.58.8388.01A.11R.2326.07
AC007040.11	1.89	1.1	2.14	1.51	3.79	3.26	4.78	2.27	1.46	0.8	5.5	5.36	4.43	3.32	2.68	0.0	0.52	1.53	0.0	0.0	0.58	0.84	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.37	7.63
AC007461.1	40.36	53.19	26.86	75.11	248.0	105.89	255.0	121.79	88.88	23.93	41.81	63.0	177.53	122.64	112.77	2.07	11.3	19.39	6.94	0.0	2.48	11.3	0.0	1.31	5.54	2.01	0.0	4.17	8.51	1.91	3.23	0.0	9.27	0.0	0.0	0.0	1.39	0.0	0.0	0.0	0.0	2.97	29.91
AC105020.1	18.29	23.76	26.28	28.86	26.47	35.0	33.3	35.0	35.5	20.71	28.24	31.67	18.29	30.34	29.06	3.82	5.19	26.28	2.41	6.62	3.53	3.35	8.38	4.24	1.25	4.54	6.01	2.73	1.27	0.0	5.32	3.06	3.44	2.29	0.4	1.73	1.17	0.61	1.5	2.18	3.59	1.08	72.52
ADAM17	327.56	325.29	339.14	341.51	514.56	480.04	395.18	438.59	493.56	320.8	400.71	466.88	343.89	384.34	447.82	68.07	253.23	246.28	39.5	60.82	57.08	108.14	73.54	69.03	100.13	72.52	28.24	72.01	82.29	42.11	100.83	46.5	120.94	56.68	157.68	47.84	55.1	57.08	19.25	75.11	22.59	61.25	693.58
AP3B2	98.04	109.66	63.45	49.91	89.51	125.24	199.85	100.13	129.69	31.67	88.88	113.56	171.45	144.01	194.36	1.51	110.43	77.25	0.0	0.0	2.61	2.46	0.0	14.45	1.43	2.71	0.0	1.38	2.03	1.39	3.89	14.35	29.27	0.0	0.0	0.0	24.46	21.63	1.2	1.25	0.0	0.0	258.57
BOC	802.41	1088.92	813.63	1008.9	1191.69	1286.18	1561.89	1159.07	1870.53	679.29	1427.22	1437.15	1135.2	1369.04	1977.24	14.14	620.67	204.07	14.78	26.86	84.04	58.71	59.55	46.84	4.82	10.63	4.31	17.9	24.11	7.17	8.78	9.93	48.52	13.32	4.21	2.92	6.57	25.54	6.57	3.06	3.03	20.11	1397.83
BZRAP1	466.88	426.57	417.77	361.04	426.57	780.44	1037.29	511.0	878.17	197.09	551.56	813.63	466.88	500.46	703.28	103.69	323.03	503.95	67.59	165.57	105.15	199.85	234.57	118.43	27.25	182.55	88.88	55.1	149.12	78.89	95.34	98.04	155.5	98.73	28.24	120.94	127.0	27.05	36.01	88.26	42.71	156.59	1583.71
C14orf132	175.07	193.01	144.01	197.09	264.03	279.14	316.37	199.85	198.47	209.84	289.02	830.75	195.72	336.79	206.94	21.78	49.21	42.11	39.5	9.63	30.12	26.86	26.47	20.71	25.72	62.12	28.65	18.56	30.12	42.11	16.51	52.45	72.52	83.45	8.06	10.71	20.56	64.34	11.3	43.02	11.13	182.55	307.69
C19orf82	189.02	151.22	264.03	170.25	248.0	223.41	265.87	231.32	180.02	154.42	186.4	253.23	241.19	212.78	389.72	55.89	202.66	215.77	91.41	55.89	96.68	125.24	81.14	84.63	78.89	77.25	62.56	85.82	98.73	123.5	46.5	94.01	105.15	113.56	98.73	81.14	122.64	88.26	79.45	72.52	42.71	115.16	275.28
C6orf164	4.39	8.58	12.36	6.31	15.11	20.26	16.51	20.86	5.73	4.17	13.52	57.49	12.93	15.56	17.9	1.22	0.0	3.08	2.29	0.0	0.0	3.72	7.46	0.0	1.17	3.53	1.08	0.0	4.21	1.91	0.0	2.07	3.14	2.56	0.41	3.41	0.0	1.41	1.64	1.53	0.0	1.53	40.64
